numbers extracted from A22_6825-1 "System/360 Instruction Timing Information"

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T201  A R,m                  :  1       -       -   1050.0  0.00%    2.62   1.00
T541  AD R,m                 :  1       -       -   1130.0  0.00%    2.83   1.08
T540  ADR R,R                :  1       -       -    850.0  0.00%    2.12   0.81
T511  AE R,m                 :  1       -       -   1130.0  0.00%    2.83   1.08
T510  AER R,R                :  1       -       -    850.0  0.00%    2.12   0.81
T202  AH R,m                 :  1       -       -   1120.0  0.00%    2.80   1.07
T204  AL R,m                 :  1       -       -   1050.0  0.00%    2.62   1.00
T203  ALR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T420  AP m,m (10d)           :  1       -       -   6200.0  0.00%   15.50   5.90
T421  AP m,m (30d)           :  1       -       -  10200.0  0.00%   25.50   9.71
T200  AR R,R                 :  1       -       -    400.0  0.00%    1.00   0.38
T522  AUR R,R                :  1       -       -    900.0  0.00%    2.25   0.86
T552  AWR R,R                :  1       -       -    900.0  0.00%    2.25   0.86
D322  BAL R,R                :  1       -       -   1000.0  0.00%    2.50   0.95
D323  BAL R,R (far)          :  1       -       -   1000.0  0.00%    2.50   0.95
D320  BALR R,R               :  1       -       -   1000.0  0.00%    2.50   0.95
D321  BALR R,R (far)         :  1       -       -   1000.0  0.00%    2.50   0.95
T300  BCR 0,0 (noop)         :  1       -       -   1000.0  0.00%    2.50   0.95
T312  BCT R,l                :  1       -       -   1000.0  0.00%    2.50   0.95
T310  BCTR R,0               :  1       -       -   1000.0  0.00%    2.50   0.95
T311  BCTR R,R               :  1       -       -   1000.0  0.00%    2.50   0.95
T301  BNZ l (no br)          :  1       -       -   1000.0  0.00%    2.50   0.95
T302  BNZ l (do br)          :  1       -       -   1000.0  0.00%    2.50   0.95
T303  BNZ l (do br, far)     :  1       -       -   1000.0  0.00%    2.50   0.95
T304  BR R                   :  1       -       -   1000.0  0.00%    2.50   0.95
T305  BR R (far)             :  1       -       -   1000.0  0.00%    2.50   0.95
T315  BXLE R,R,l             :  1       -       -   1100.0  0.00%    2.75   1.05
T261  C R,m                  :  1       -       -   1050.0  0.00%    2.62   1.00
T551  CD R,m                 :  1       -       -   1120.0  0.00%    2.80   1.07
T550  CDR R,R                :  1       -       -    800.0  0.00%    2.00   0.76
T521  CE R,m                 :  1       -       -   1120.0  0.00%    2.80   1.07
T520  CER R,R                :  1       -       -    800.0  0.00%    2.00   0.76
T262  CH R,m                 :  1       -       -   1120.0  0.00%    2.80   1.07
T264  CL R,m                 :  1       -       -   1050.0  0.00%    2.62   1.00
T270  CLC m,m (10c,eq)       :  1       -       -   4600.0  0.00%   11.50   4.38
T271  CLC m,m (10c,ne)       :  1       -       -   8200.0  0.00%   20.50   7.81
T272  CLC m,m (30c,eq)       :  1       -       -   4600.0  0.00%   11.50   4.38
T273  CLC m,m (30c,ne)       :  1       -       -  16200.0  0.00%   40.50  15.43
T274  CLC m,m (100c,eq)      :  1       -       -   4600.0  0.00%   11.50   4.38
T275  CLC m,m (100c,ne)      :  1       -       -  44200.0  0.00%  110.50  42.10
T276  CLC m,m (250c,eq)      :  1       -       -   4600.0  0.00%   11.50   4.38
T277  CLC m,m (250c,ne)      :  1       -       - 104200.0  0.00%  260.50  99.24
T265  CLI m,i                :  1       -       -   1120.0  0.00%    2.80   1.07
T263  CLR R,R                :  1       -       -    400.0  0.00%    1.00   0.38
T430  CP m,m (10d)           :  1       -       -   6000.0  0.00%   15.00   5.71
