s370_perf_ana  -cf 70.125  -cp 14.260  -cn 4

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2017-11-30_p390.prtfx                      8 5.77e+08  213.01s  3m33.01    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.39s  3m33.39    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.77s  3m32.77    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.94s  3m32.94    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.48s  3m32.48    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.08s  3m33.08    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.57s  3m32.57    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.92s  3m32.92    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.39s  3m33.39    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.88s  3m32.88    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.89s  3m32.89    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.11s  3m33.11    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.69s  3m32.69    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.66s  3m32.66    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.56s  3m32.56    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.47s  3m32.47    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.73s  3m32.73    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.00s  3m33.00    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.78s  3m32.78    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.98s  3m32.98    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.18s  3m33.18    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.01s  3m33.01    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.32s  3m33.32    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.26s  3m33.26    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.79s  3m32.79    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.98s  3m32.98    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  213.12s  3m33.12    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.54s  3m32.54    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.53s  3m32.53    2.7
2017-11-30_p390.prtfx                      8 5.77e+08  212.52s  3m32.52    2.7

Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx    n-cp  e-cp%   mcc   scc
T100  LR R,R                 : 30    59.5    59.9    57.94 0.292%    1.00   0.32    4.06     6%     1     0
T101  LA R,n                 : 30    60.8    63.0    59.17 0.607%    1.02   0.33    4.15    14%     1     0
T102  L R,m                  : 30   181.5   182.7   178.72 0.329%    3.08   1.00   12.53   -46%     3     1
T103  L R,m (unal)           : 30   239.3   240.0   235.89 0.270%    4.07   1.32   16.54   -45%     4     1
T104  LH R,m                 : 30   181.5   182.4   178.54 0.447%    3.08   1.00   12.52   -48%     3     1
T105  LH R,m (unal3)         : 30   237.8   238.8   234.56 0.327%    4.05   1.31   16.45    44%     4     0
T106  LTR R,R                : 30    60.0    60.3    58.32 0.491%    1.01   0.33    4.09     8%     1     0
T107  LCR R,R                : 30    59.4    59.7    57.98 0.461%    1.00   0.32    4.07     6%     1     0
T108  LNR R,R                : 30   117.1   117.6   115.62 0.245%    2.00   0.65    8.11    10%     2     0
T109  LPR R,R                : 30   117.1   117.4   115.64 0.239%    2.00   0.65    8.11    10%     2     0
T110  ST R,m                 : 30   160.4   162.4   157.40 0.375%    2.72   0.88   11.04     3%     2     3
T111  ST R,m (unal)          : 30   339.3   340.2   336.64 0.155%    5.81   1.88   23.61   -39%     6     0
T112  STH R,m                : 30   165.0   166.0   161.75 0.530%    2.79   0.91   11.34    34%     2     3
T113  STH R,m (unal1)        : 30   207.8   208.7   204.45 0.369%    3.53   1.14   14.34    33%     3     2
T114  STH R,m (unal3)        : 30   339.4   340.6   336.74 0.035%    5.81   1.88   23.61   -38%     6     0
T115  STC R,m                : 30   150.1   151.1   146.74 0.098%    2.53   0.82   10.29    29%     2     2
T118  STCM R,i,m (0111)      : 30   235.8   364.8   232.58 0.346%    4.01   1.30   16.31    30%     4     0
T120  STM 2,3,m (2r)         : 30   294.5   295.5   291.86 0.268%    5.04   1.63   20.47    46%     5     0
T121  STM 2,7,m (6r)         : 30   471.7   473.4   469.59 0.276%    8.10   2.63   32.93    -7%     8     1
T122  STM 14,12,m (15r)      : 30   993.8   997.5   992.03 0.015%   17.12   5.55   69.57   -43%    17     2
T123  LM 2,3,m (2r)          : 30   235.8   236.9   233.23 0.330%    4.03   1.31   16.36    35%     4     0
T124  LM 2,7,m (6r)          : 30   470.4   471.9   467.69 0.268%    8.07   2.62   32.80   -20%     8     1
T125  LM 0,11,m (12r)        : 30   818.9   821.0   817.33 0.037%   14.11   4.57   57.32    31%    14     1
T150  MVC m,m (10c)          : 30   729.0   732.6   727.31 0.039%   12.55   4.07   51.00     0%    12     3
