file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-01-03-21:45:46_J0049_PERF-ASM.prt    11 1.02e+09  176.87s  2m56.87    5.8
2018-01-03-21:50:48_J0050_PERF-ASM.prt    11 1.02e+09  177.19s  2m57.19    5.8
2018-01-03-21:54:29_J0051_PERF-ASM.prt    11 1.02e+09  176.92s  2m56.92    5.8
2018-01-03-21:58:07_J0052_PERF-ASM.prt    11 1.02e+09  177.04s  2m57.04    5.8
2018-01-03-22:01:46_J0053_PERF-ASM.prt    11 1.02e+09  177.29s  2m57.29    5.8
2018-01-03-22:05:27_J0054_PERF-ASM.prt    11 1.02e+09  176.89s  2m56.89    5.8
2018-01-03-22:09:05_J0055_PERF-ASM.prt    11 1.02e+09  177.17s  2m57.17    5.8
2018-01-03-22:12:44_J0056_PERF-ASM.prt    11 1.02e+09  176.74s  2m56.74    5.8
2018-01-03-22:16:24_J0057_PERF-ASM.prt    11 1.02e+09  176.82s  2m56.82    5.8
2018-01-03-22:20:05_J0058_PERF-ASM.prt    11 1.02e+09  177.17s  2m57.17    5.8
2018-01-03-22:23:43_J0059_PERF-ASM.prt    11 1.02e+09  177.04s  2m57.04    5.8
2018-01-03-22:27:23_J0060_PERF-ASM.prt    11 1.02e+09  176.76s  2m56.76    5.8
2018-01-03-22:31:02_J0061_PERF-ASM.prt    11 1.02e+09  177.19s  2m57.19    5.8
2018-01-03-22:34:43_J0062_PERF-ASM.prt    11 1.02e+09  176.95s  2m56.95    5.8
2018-01-03-22:38:23_J0063_PERF-ASM.prt    11 1.02e+09  176.96s  2m56.96    5.8
2018-01-03-22:42:04_J0064_PERF-ASM.prt    11 1.02e+09  177.01s  2m57.01    5.8

Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx
T100  LR R,R                 : 16    29.3    29.9    28.98   0.6%    1.00   0.22
T101  LA R,n                 : 16    50.1    51.2    49.77   0.5%    1.72   0.38
T102  L R,m                  : 16   131.0   133.5   130.93   0.5%    4.52   1.00
T103  L R,m (unal)           : 16   138.4   140.6   138.38   0.6%    4.77   1.06
T104  LH R,m                 : 16   142.2   143.9   142.14   0.9%    4.90   1.09
T105  LH R,m (unal3)         : 16   146.1   148.3   146.03   0.8%    5.04   1.12
T106  LTR R,R                : 16    38.3    39.1    38.06   0.5%    1.31   0.29
T107  LCR R,R                : 16    43.6    44.5    43.34   0.9%    1.50   0.33
T108  LNR R,R                : 16    40.5    41.1    40.17   0.8%    1.39   0.31
T109  LPR R,R                : 16    43.2    44.0    42.88   1.1%    1.48   0.33
T110  ST R,m                 : 16   126.3   128.1   126.01   0.4%    4.35   0.96
T111  ST R,m (unal)          : 16   138.3   140.1   138.13   0.3%    4.77   1.06
T112  STH R,m                : 16   137.4   139.0   137.08   0.7%    4.73   1.05
T113  STH R,m (unal1)        : 16   139.6   141.2   139.15   0.6%    4.80   1.06
T114  STH R,m (unal3)        : 16   141.9   148.2   141.80   0.7%    4.89   1.08
T115  STC R,m                : 16   126.8   128.9   126.51   0.5%    4.37   0.97
T116  STCM R,i,m (0010)      : 16   322.9   334.1   324.37   0.5%   11.19   2.48
T117  STCM R,i,m (1100)      : 16   339.8   347.2   341.75   0.4%   11.79   2.61
T118  STCM R,i,m (0111)      : 16   299.2   307.1   300.49   0.6%   10.37   2.30
T120  STM 2,3,m (2r)         : 16   167.3   177.9   168.02   0.5%    5.80   1.28
T121  STM 2,7,m (6r)         : 16   236.6   240.7   237.84   0.5%    8.21   1.82
T122  STM 14,12,m (15r)      : 16   356.2   361.3   357.29   0.5%   12.33   2.73
T123  LM 2,3,m (2r)          : 16   159.5   161.7   159.46   0.4%    5.50   1.22
T124  LM 2,7,m (6r)          : 16   211.5   215.7   211.84   0.6%    7.31   1.62
T125  LM 0,11,m (12r)        : 16   263.9   267.9   264.18   0.5%    9.12   2.02
T150  MVC m,m (10c)          : 16   312.1   317.6   313.42   0.7%   10.81   2.39
T151  MVC m,m (100c)         : 16   495.5   501.6   497.30   0.4%   17.16   3.80
T152  MVC m,m (250c)         : 16   897.0   922.3   899.30   0.7%   31.03   6.87
T153  MVC m,m (250c,over1)   : 16  1136.7  1179.5  1140.84   0.8%   39.36   8.71
T154  MVC m,m (250c,over2)   : 16   862.2   873.9   864.65   0.6%   29.83   6.60
T156  MVCIN m,m (10c)        : 16  1253.5  1266.2  1257.75   0.5%   43.40   9.61
T157  MVCIN m,m (30c)        : 16  3499.7  3563.7  3528.11   0.5%  121.73  26.95
T158  MVCIN m,m (100c)       : 16 11376.9 11550.3 11462.09   0.6%  395.48  87.54
T160  MVI m,i                : 16   115.6   117.2   116.07   0.5%    4.00   0.89
T161  MVN m,m (10c)          : 16   343.0   353.4   344.92   0.8%   11.90   2.63
T162  MVN m,m (30c)          : 16   525.6   533.2   526.64   0.6%   18.17   4.02
T165  MVZ m,m (10c)          : 16   343.5   350.5   344.56   0.3%   11.89   2.63
T166  MVZ m,m (30c)          : 16   525.6   532.9   526.49   0.5%   18.17   4.02
T170  4*LA;MVCL (10b)        : 16   668.7   676.8   667.67   0.6%   23.04   5.10
T171  4*LA;MVCL (100b)       : 16   862.6   875.2   863.43   0.7%   29.79   6.59
T172  4*LA;MVCL (250b)       : 16  1196.1  1221.0  1200.55   0.6%   41.42   9.17
T173  4*LA;MVCL (1kb)        : 16  2910.3  2970.7  2939.44   0.6%  101.42  22.45
T174  4*LR;MVCL (4kb)        : 16  9977.3 10135.3 10040.63   0.7%  346.44  76.69
T175  4*LA;MVCL (100b,pad)   : 16   550.5   564.5   548.25   1.2%   18.92   4.19
T176  4*LA;MVCL (1kb,pad)    : 16   827.3   969.8   883.11   7.4%   30.47   6.74
T177  4*LA;MVCL (4kb,pad)    : 16  1961.3  2937.6  2530.81   6.6%   87.32  19.33
T178  4*LA;MVCL (1kb,over1)  : 16   375.0   380.2   371.80   0.5%   12.83   2.84
T179  4*LA;MVCL (1kb,over2)  : 16  3008.4  3064.2  3030.62   0.6%  104.57  23.15
T190  IC R,m                 : 16   131.0   132.6   131.27   0.6%    4.53   1.00
T191  ICM R,i,m (0010)       : 16   301.4   305.4   303.10   0.4%   10.46   2.31
T192  ICM R,i,m (1100)       : 16   302.2   306.6   303.14   0.5%   10.46   2.32
T193  ICM R,i,m (0111)       : 16   139.1   142.8   139.80   0.4%    4.82   1.07
T200  AR R,R                 : 16    44.4    45.2    44.18   0.5%    1.52   0.34
T201  A R,m                  : 16   151.9   153.9   151.87   0.5%    5.24   1.16
T202  AH R,m                 : 16   155.0   156.9   154.81   0.7%    5.34   1.18
T203  ALR R,R                : 16    36.0    36.5    35.68   0.6%    1.23   0.27
T204  AL R,m                 : 16   147.7   151.0   147.54   0.7%    5.09   1.13
T210  MR R,R                 : 16    51.5    52.3    49.93   0.6%    1.72   0.38
T211  M R,m                  : 16   155.4   157.6   154.53   0.4%    5.33   1.18
T212  MH R,m                 : 16   150.4   152.7   149.61   0.5%    5.16   1.14
T215  XR R,R; DR R,R         : 16   538.6   545.4   539.18   0.4%   18.60   4.12
T216  XR R,R; D R,m          : 16   634.9   641.6   634.54   0.2%   21.89   4.85
T220  SLA R,1                : 16    77.5    82.1    75.88   0.5%    2.62   0.58
T221  SLDA R,1               : 16    94.7    95.7    93.97   0.6%    3.24   0.72
T222  SRA R,1                : 16    64.6    65.5    62.95   0.6%    2.17   0.48
T223  SRDA R,1               : 16    81.3    82.5    80.70   0.4%    2.78   0.62
T224  SRA R,30               : 16    64.4    68.3    63.05   0.4%    2.18   0.48
T225  SRDA R,60              : 16    81.0    82.2    80.57   0.6%    2.78   0.62
T230  XR R,R                 : 16    39.4    40.1    39.06   0.6%    1.35   0.30
T231  X R,m                  : 16   145.6   147.2   145.38   0.3%    5.02   1.11
T232  XI R,i                 : 16   130.8   132.4   130.50   0.4%    4.50   1.00
T235  XC m,m (10c)           : 16   324.4   329.2   325.38   0.4%   11.23   2.49
T236  XC m,m (100c)          : 16  1131.9  1144.6  1134.85   0.3%   39.16   8.67
T237  XC m,m (250c)          : 16  2468.1  2498.5  2480.54   0.2%   85.59  18.95
T238  NR R,R                 : 16    39.4    39.9    39.05   0.4%    1.35   0.30
T239  OR R,R                 : 16    39.3    39.8    39.04   0.4%    1.35   0.30
T240  SLL R,1                : 16    61.8    62.7    60.27   0.6%    2.08   0.46
T241  SLDL R,1               : 16    74.2    78.0    73.71   0.4%    2.54   0.56
T242  SRL R,1                : 16    61.9    65.3    60.45   0.6%    2.09   0.46
T243  SRDL R,1               : 16    73.1    73.9    72.62   0.8%    2.51   0.55
