file name ----------------------------  GMUL  i-count  -- total time --   MIPS
18-01-03-21:45:46_J0049_PERF-ASM.prtfx    11 1.02e+09  176.87s  2m56.87    5.8
18-01-03-21:50:48_J0050_PERF-ASM.prtfx    11 1.02e+09  177.19s  2m57.19    5.8
18-01-03-21:54:29_J0051_PERF-ASM.prtfx    11 1.02e+09  176.92s  2m56.92    5.8
18-01-03-21:58:07_J0052_PERF-ASM.prtfx    11 1.02e+09  177.04s  2m57.04    5.8
18-01-03-22:01:46_J0053_PERF-ASM.prtfx    11 1.02e+09  177.29s  2m57.29    5.8
18-01-03-22:05:27_J0054_PERF-ASM.prtfx    11 1.02e+09  176.89s  2m56.89    5.8
18-01-03-22:09:05_J0055_PERF-ASM.prtfx    11 1.02e+09  177.17s  2m57.17    5.8
18-01-03-22:12:44_J0056_PERF-ASM.prtfx    11 1.02e+09  176.74s  2m56.74    5.8
18-01-03-22:16:24_J0057_PERF-ASM.prtfx    11 1.02e+09  176.82s  2m56.82    5.8
18-01-03-22:20:05_J0058_PERF-ASM.prtfx    11 1.02e+09  177.17s  2m57.17    5.8
18-01-03-22:23:43_J0059_PERF-ASM.prtfx    11 1.02e+09  177.04s  2m57.04    5.8
18-01-03-22:27:23_J0060_PERF-ASM.prtfx    11 1.02e+09  176.76s  2m56.76    5.8
18-01-03-22:31:02_J0061_PERF-ASM.prtfx    11 1.02e+09  177.19s  2m57.19    5.8
18-01-03-22:34:43_J0062_PERF-ASM.prtfx    11 1.02e+09  176.95s  2m56.95    5.8
18-01-03-22:38:23_J0063_PERF-ASM.prtfx    11 1.02e+09  176.96s  2m56.96    5.8
18-01-03-22:42:04_J0064_PERF-ASM.prtfx    11 1.02e+09  177.01s  2m57.01    5.8

s370_perf_ana-W: lt= 7: tag T150 not found
s370_perf_ana-W: lt= 8: tag T152 not found

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 16    29.3    29.9    28.98  0.56%    1.00   0.22
T101  LA R,n                 : 16    50.1    51.2    49.77  0.55%    1.72   0.38
T102  L R,m                  : 16   131.0   133.5   130.93  0.49%    4.52   1.00
T103  L R,m (unal)           : 16   138.4   140.6   138.38  0.63%    4.77   1.06
T104  LH R,m                 : 16   142.2   143.9   142.14  0.89%    4.90   1.09
T105  LH R,m (unal3)         : 16   146.1   148.3   146.03  0.83%    5.04   1.12
T106  LTR R,R                : 16    38.3    39.1    38.06  0.49%    1.31   0.29
T107  LCR R,R                : 16    43.6    44.5    43.34  0.91%    1.50   0.33
T108  LNR R,R                : 16    40.5    41.1    40.17  0.77%    1.39   0.31
T109  LPR R,R                : 16    43.2    44.0    42.88  1.12%    1.48   0.33
T110  ST R,m                 : 16   126.3   128.1   126.01  0.42%    4.35   0.96
T111  ST R,m (unal)          : 16   138.3   140.1   138.13  0.31%    4.77   1.06
T112  STH R,m                : 16   137.4   139.0   137.08  0.66%    4.73   1.05
T113  STH R,m (unal1)        : 16   139.6   141.2   139.15  0.61%    4.80   1.06
T114  STH R,m (unal3)        : 16   141.9   148.2   141.80  0.69%    4.89   1.08
T115  STC R,m                : 16   126.8   128.9   126.51  0.47%    4.37   0.97
T116  STCM R,i,m (0010)      : 16   322.9   334.1   324.37  0.49%   11.19   2.48
T117  STCM R,i,m (1100)      : 16   339.8   347.2   341.75  0.44%   11.79   2.61
T118  STCM R,i,m (0111)      : 16   299.2   307.1   300.49  0.58%   10.37   2.30
T120  STM 2,3,m (2r)         : 16   167.3   177.9   168.02  0.50%    5.80   1.28
T121  STM 2,7,m (6r)         : 16   236.6   240.7   237.84  0.54%    8.21   1.82
T122  STM 14,12,m (15r)      : 16   356.2   361.3   357.29  0.50%   12.33   2.73
T123  LM 2,3,m (2r)          : 16   159.5   161.7   159.46  0.44%    5.50   1.22
T124  LM 2,7,m (6r)          : 16   211.5   215.7   211.84  0.61%    7.31   1.62
T125  LM 0,11,m (12r)        : 16   263.9   267.9   264.18  0.51%    9.12   2.02
T151  MVC m,m (10c)          : 16   312.1   317.6   313.42  0.71%   10.81   2.39
T154  MVC m,m (100c)         : 16   495.5   501.6   497.30  0.41%   17.16   3.80
T155  MVC m,m (250c)         : 16   897.0   922.3   899.30  0.73%   31.03   6.87
T156  MVC m,m (250c,over1)   : 16  1136.7  1179.5  1140.84  0.76%   39.36   8.71
T157  MVC m,m (250c,over2)   : 16   862.2   873.9   864.65  0.57%   29.83   6.60
T160  MVI m,i                : 16   115.6   117.2   116.07  0.47%    4.00   0.89
