file name ----------------------------  GMUL  i-count  -- total time --   MIPS
18-01-14-09:17:40_J1537_PERF-ASM.prtfx   118 1.09e+10  178.81s  2m58.81   61.2
18-01-14-09:20:47_J1538_PERF-ASM.prtfx   119 1.10e+10  180.33s  3m00.33   61.2
18-01-14-09:23:53_J1539_PERF-ASM.prtfx   119 1.10e+10  180.28s  3m00.28   61.2
18-01-14-09:26:59_J1540_PERF-ASM.prtfx   119 1.10e+10  180.27s  3m00.27   61.2
18-01-14-09:30:01_J1541_PERF-ASM.prtfx   116 1.08e+10  175.79s  2m55.79   61.2
18-01-14-09:33:05_J1542_PERF-ASM.prtfx   118 1.09e+10  178.63s  2m58.63   61.2
18-01-14-09:36:12_J1543_PERF-ASM.prtfx   119 1.10e+10  180.08s  3m00.08   61.3
18-01-14-09:39:16_J1544_PERF-ASM.prtfx   118 1.09e+10  178.70s  2m58.70   61.2
18-01-14-09:42:21_J1545_PERF-ASM.prtfx   118 1.09e+10  178.76s  2m58.76   61.2
18-01-14-09:45:27_J1546_PERF-ASM.prtfx   119 1.10e+10  180.33s  3m00.33   61.2
18-01-14-09:48:34_J1547_PERF-ASM.prtfx   119 1.10e+10  180.38s  3m00.38   61.1
18-01-14-09:51:40_J1548_PERF-ASM.prtfx   119 1.10e+10  180.46s  3m00.46   61.1
18-01-14-09:54:47_J1549_PERF-ASM.prtfx   119 1.10e+10  180.23s  3m00.23   61.2
18-01-14-09:57:51_J1550_PERF-ASM.prtfx   118 1.09e+10  178.82s  2m58.82   61.2
18-01-14-10:00:58_J1551_PERF-ASM.prtfx   119 1.10e+10  180.21s  3m00.21   61.2
18-01-14-10:04:04_J1552_PERF-ASM.prtfx   119 1.10e+10  180.13s  3m00.13   61.2
18-01-14-10:07:09_J1553_PERF-ASM.prtfx   118 1.09e+10  178.40s  2m58.40   61.3
18-01-14-10:10:13_J1554_PERF-ASM.prtfx   118 1.09e+10  178.48s  2m58.48   61.3
18-01-14-10:13:19_J1555_PERF-ASM.prtfx   119 1.10e+10  179.89s  2m59.89   61.3
18-01-14-10:16:23_J1556_PERF-ASM.prtfx   118 1.09e+10  178.76s  2m58.76   61.2

s370_perf_ana-W: lt= 7: tag T150 not found
s370_perf_ana-W: lt= 8: tag T152 not found

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 20     3.1     3.2     3.07  0.52%    1.00   0.24
T101  LA R,n                 : 20     4.0     4.1     3.91  0.52%    1.27   0.31
T102  L R,m                  : 20    12.9    13.3    12.81  0.56%    4.18   1.00
T103  L R,m (unal)           : 20    15.1    15.5    15.06  0.33%    4.91   1.18
T104  LH R,m                 : 20    14.7    14.8    14.56  0.34%    4.75   1.14
T105  LH R,m (unal3)         : 20    15.9    16.4    15.87  0.69%    5.18   1.24
T106  LTR R,R                : 20     4.1     4.2     4.02  0.50%    1.31   0.31
T107  LCR R,R                : 20     4.6     4.7     4.58  0.43%    1.49   0.36
T108  LNR R,R                : 20     4.0     4.2     3.97  0.74%    1.30   0.31
T109  LPR R,R                : 20     4.8     5.0     4.78  0.62%    1.56   0.37
T110  ST R,m                 : 20    12.9    13.1    12.79  0.67%    4.17   1.00
T111  ST R,m (unal)          : 20    13.7    13.8    13.57  0.20%    4.43   1.06
T112  STH R,m                : 20    15.1    15.3    15.04  0.28%    4.91   1.17
T113  STH R,m (unal1)        : 20    14.8    15.0    14.77  0.38%    4.82   1.15
T114  STH R,m (unal3)        : 20    15.5    15.8    15.36  0.20%    5.01   1.20
T115  STC R,m                : 20    14.1    14.2    13.99  0.23%    4.56   1.09
T116  STCM R,i,m (0010)      : 20    19.6    19.8    19.49  0.29%    6.36   1.52
T117  STCM R,i,m (1100)      : 20    19.5    20.3    19.98  2.42%    6.52   1.56
T118  STCM R,i,m (0111)      : 20    16.2    16.3    16.10  0.26%    5.25   1.26
T120  STM 2,3,m (2r)         : 20    17.6    17.8    17.53  0.42%    5.72   1.37
T121  STM 2,7,m (6r)         : 20    21.7    21.9    21.64  0.45%    7.06   1.69
T122  STM 14,12,m (15r)      : 20    30.7    31.4    30.66  0.35%   10.00   2.39
T123  LM 2,3,m (2r)          : 20    17.7    18.0    17.63  0.27%    5.75   1.38
T124  LM 2,7,m (6r)          : 20    21.9    22.2    21.80  0.41%    7.11   1.70
T125  LM 0,11,m (12r)        : 20    28.5    29.8    28.36  0.35%    9.25   2.21
T151  MVC m,m (10c)          : 20    31.5    31.9    31.41  0.19%   10.25   2.45
T154  MVC m,m (100c)         : 20    36.0    36.3    35.90  0.31%   11.71   2.80
T155  MVC m,m (250c)         : 20    56.5    58.5    56.28  0.23%   18.36   4.39
