file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-01-21-18:23:19_J0353_PERF-ASM.prt   124 1.15e+10  229.23s  3m49.23   50.1
2018-01-21-18:27:21_J0354_PERF-ASM.prt   127 1.18e+10  231.72s  3m51.72   50.8
2018-01-21-18:31:22_J0355_PERF-ASM.prt   127 1.18e+10  231.49s  3m51.49   50.9
2018-01-21-18:35:33_J0356_PERF-ASM.prt   131 1.21e+10  240.89s  4m00.89   50.4
2018-01-21-18:39:38_J0357_PERF-ASM.prt   128 1.19e+10  235.01s  3m55.01   50.5
2018-01-21-18:43:35_J0358_PERF-ASM.prt   124 1.15e+10  227.30s  3m47.30   50.6
2018-01-21-18:47:46_J0359_PERF-ASM.prt   131 1.21e+10  241.03s  4m01.03   50.4
2018-01-21-18:51:49_J0360_PERF-ASM.prt   128 1.19e+10  233.40s  3m53.40   50.8
2018-01-21-18:55:46_J0361_PERF-ASM.prt   125 1.16e+10  227.20s  3m47.20   51.0
2018-01-21-18:59:45_J0362_PERF-ASM.prt   126 1.17e+10  229.60s  3m49.60   50.9
2018-01-21-19:03:52_J0363_PERF-ASM.prt   130 1.20e+10  238.17s  3m58.17   50.6
2018-01-21-19:07:46_J0364_PERF-ASM.prt   123 1.14e+10  224.17s  3m44.17   50.9
2018-01-21-19:11:51_J0365_PERF-ASM.prt   129 1.20e+10  234.81s  3m54.81   50.9
2018-01-21-19:15:50_J0366_PERF-ASM.prt   126 1.17e+10  229.13s  3m49.13   51.0
2018-01-21-19:19:43_J0367_PERF-ASM.prt   123 1.14e+10  223.70s  3m43.70   51.0
2018-01-21-19:23:42_J0368_PERF-ASM.prt   126 1.17e+10  229.35s  3m49.35   50.9
2018-01-21-19:27:45_J0369_PERF-ASM.prt   128 1.19e+10  233.17s  3m53.17   50.9
2018-01-21-19:31:47_J0370_PERF-ASM.prt   126 1.17e+10  232.53s  3m52.53   50.2
2018-01-21-19:35:57_J0371_PERF-ASM.prt   124 1.15e+10  240.25s  4m00.25   47.8
2018-01-21-19:40:01_J0372_PERF-ASM.prt   129 1.20e+10  234.40s  3m54.40   51.0

Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx
T100  LR R,R                 : 20     3.5     3.9     3.53   2.0%    1.00   0.30
T101  LA R,n                 : 20     4.1     4.3     4.07   1.3%    1.15   0.34
T102  L R,m                  : 20    11.7    12.8    11.86   1.1%    3.36   1.00
T103  L R,m (unal)           : 20    14.6    15.7    14.87   2.7%    4.21   1.25
T104  LH R,m                 : 20    14.9    19.7    15.13   2.3%    4.28   1.27
T105  LH R,m (unal3)         : 20    15.3    19.2    15.66   1.5%    4.44   1.32
T106  LTR R,R                : 20     5.1     5.6     5.23   1.0%    1.48   0.44
T107  LCR R,R                : 20     5.1     5.5     5.20   2.0%    1.47   0.44
T108  LNR R,R                : 20     4.8     5.2     4.85   1.8%    1.37   0.41
T109  LPR R,R                : 20     5.2     5.6     5.23   2.3%    1.48   0.44
T110  ST R,m                 : 20    12.1    13.7    12.32   2.6%    3.49   1.04
T111  ST R,m (unal)          : 20    13.5    15.7    13.57   1.8%    3.84   1.14
T112  STH R,m                : 20    15.3    16.4    15.63   1.9%    4.43   1.32
T113  STH R,m (unal1)        : 20    14.8    16.4    15.00   2.1%    4.25   1.26
T114  STH R,m (unal3)        : 20    14.6    15.5    15.04   3.5%    4.26   1.27
T115  STC R,m                : 20    14.6    15.5    14.94   2.4%    4.23   1.26
T116  STCM R,i,m (0010)      : 20    19.3    26.1    19.92   1.3%    5.64   1.68
T117  STCM R,i,m (1100)      : 20    20.2    27.1    20.79   1.6%    5.89   1.75
T118  STCM R,i,m (0111)      : 20    16.2    20.6    16.51   2.7%    4.68   1.39
T120  STM 2,3,m (2r)         : 20    17.4    21.5    17.75   2.1%    5.03   1.50
T121  STM 2,7,m (6r)         : 20    22.1    23.8    22.66   2.3%    6.42   1.91
T122  STM 14,12,m (15r)      : 20    32.3    34.4    32.95   2.4%    9.33   2.78
T123  LM 2,3,m (2r)          : 20    18.2    19.5    18.66   1.5%    5.28   1.57
T124  LM 2,7,m (6r)          : 20    23.3    24.8    23.74   1.6%    6.72   2.00
T125  LM 0,11,m (12r)        : 20    32.7    35.3    33.65   2.6%    9.53   2.84
T150  MVC m,m (10c)          : 20    34.2    38.1    35.30   1.8%   10.00   2.98
