file name ----------------------------  GMUL  i-count  -- total time --   MIPS
18-01-21-20:23:39_J0374_PERF-ASM.prtfx   122 1.13e+10  243.58s  4m03.58   46.4
18-01-21-20:27:48_J0375_PERF-ASM.prtfx   122 1.13e+10  238.46s  3m58.46   47.4
18-01-21-20:32:06_J0376_PERF-ASM.prtfx   126 1.17e+10  246.66s  4m06.66   47.3
18-01-21-20:36:22_J0377_PERF-ASM.prtfx   126 1.17e+10  245.68s  4m05.68   47.5
18-01-21-20:40:38_J0378_PERF-ASM.prtfx   125 1.16e+10  245.42s  4m05.42   47.2
18-01-21-20:44:53_J0379_PERF-ASM.prtfx   125 1.16e+10  244.41s  4m04.41   47.4
18-01-21-20:49:04_J0380_PERF-ASM.prtfx   123 1.14e+10  240.34s  4m00.34   47.4
18-01-21-20:54:04_J0381_PERF-ASM.prtfx   123 1.14e+10  289.32s  4m49.32   39.4
18-01-21-20:58:21_J0382_PERF-ASM.prtfx   124 1.15e+10  243.79s  4m03.79   47.1
18-01-21-21:02:34_J0383_PERF-ASM.prtfx   124 1.15e+10  242.08s  4m02.08   47.5
18-01-21-21:06:52_J0384_PERF-ASM.prtfx   127 1.18e+10  248.10s  4m08.10   47.4
18-01-21-21:11:15_J0385_PERF-ASM.prtfx   129 1.20e+10  252.16s  4m12.16   47.4
18-01-21-21:15:35_J0386_PERF-ASM.prtfx   126 1.17e+10  249.92s  4m09.92   46.7
18-01-21-21:19:50_J0387_PERF-ASM.prtfx   125 1.16e+10  244.05s  4m04.05   47.5
18-01-21-21:23:43_J0388_PERF-ASM.prtfx   114 1.06e+10  222.83s  3m42.83   47.4
18-01-21-21:27:55_J0389_PERF-ASM.prtfx   124 1.15e+10  241.34s  4m01.34   47.6
18-01-21-21:32:09_J0390_PERF-ASM.prtfx   124 1.15e+10  242.49s  4m02.49   47.4
18-01-21-21:36:22_J0391_PERF-ASM.prtfx   125 1.16e+10  243.19s  4m03.19   47.6
18-01-21-21:40:36_J0392_PERF-ASM.prtfx   124 1.15e+10  243.31s  4m03.31   47.2
18-01-21-21:44:54_J0393_PERF-ASM.prtfx   127 1.18e+10  247.22s  4m07.22   47.6

s370_perf_ana-W: lt= 7: tag T150 not found
s370_perf_ana-W: lt= 8: tag T152 not found

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 20     3.6     3.8     3.56  1.48%    1.00   0.30
T101  LA R,n                 : 20     4.1     4.8     4.09  2.17%    1.15   0.34
T102  L R,m                  : 20    11.7    13.3    11.90  3.29%    3.34   1.00
T103  L R,m (unal)           : 20    14.7    16.1    15.17  4.19%    4.26   1.27
T104  LH R,m                 : 20    14.6    16.3    15.22  3.74%    4.27   1.28
T105  LH R,m (unal3)         : 20    15.3    17.2    15.81  2.46%    4.44   1.33
T106  LTR R,R                : 20     5.1     5.6     5.22  2.10%    1.47   0.44
T107  LCR R,R                : 20     5.1     5.5     5.22  1.84%    1.47   0.44
T108  LNR R,R                : 20     4.8     5.3     4.87  2.71%    1.37   0.41
T109  LPR R,R                : 20     5.1     5.5     5.27  2.12%    1.48   0.44
T110  ST R,m                 : 20    12.0    13.5    12.23  2.79%    3.43   1.03
T111  ST R,m (unal)          : 20    13.3    14.7    13.67  1.79%    3.84   1.15
T112  STH R,m                : 20    15.1    16.2    15.57  2.09%    4.37   1.31
T113  STH R,m (unal1)        : 20    14.6    16.1    15.06  1.72%    4.23   1.27
T114  STH R,m (unal3)        : 20    14.5    15.9    15.07  2.26%    4.23   1.27
T115  STC R,m                : 20    14.7    15.7    14.99  1.56%    4.21   1.26
T116  STCM R,i,m (0010)      : 20    19.4    20.8    19.96  3.06%    5.60   1.68
T117  STCM R,i,m (1100)      : 20    20.1    22.7    20.84  1.73%    5.85   1.75
T118  STCM R,i,m (0111)      : 20    16.1    17.8    16.61  1.82%    4.66   1.40
T120  STM 2,3,m (2r)         : 20    17.5    19.6    17.94  1.42%    5.04   1.51
T121  STM 2,7,m (6r)         : 20    22.1    23.8    22.97  2.85%    6.45   1.93
T122  STM 14,12,m (15r)      : 20    31.8    37.0    33.16  2.09%    9.31   2.79
T123  LM 2,3,m (2r)          : 20    18.0    21.9    18.67  3.58%    5.24   1.57
T124  LM 2,7,m (6r)          : 20    23.2    29.8    23.76  3.01%    6.67   2.00
T125  LM 0,11,m (12r)        : 20    32.7    40.0    33.52  1.71%    9.41   2.82
T151  MVC m,m (10c)          : 20    34.2    49.0    35.28  2.71%    9.90   2.97
T154  MVC m,m (100c)         : 20    40.1    49.2    41.16  2.33%   11.55   3.46
T155  MVC m,m (250c)         : 20    53.7    68.9    55.09  1.80%   15.46   4.63
T156  MVC m,m (250c,over1)   : 20   500.1   571.5   519.15  1.33%  145.68  43.64
T157  MVC m,m (250c,over2)   : 20    53.5    64.1    54.99  1.86%   15.43   4.62
T160  MVI m,i                : 20    13.4    16.0    13.58  1.88%    3.81   1.14
T161  MVN m,m (10c)          : 20    31.9    40.6    32.95  1.32%    9.25   2.77
T162  MVN m,m (30c)          : 20    56.4    69.2    57.50  2.45%   16.14   4.83
T165  MVZ m,m (10c)          : 20    31.8    38.6    32.89  4.09%    9.23   2.76
T166  MVZ m,m (30c)          : 20    56.1    76.3    57.14  2.22%   16.04   4.80
T167  MVCIN m,m (10c)        : 20   125.8   151.7   128.49  2.75%   36.06  10.80
T168  MVCIN m,m (30c)        : 20   348.8   427.0   361.76  2.79%  101.52  30.41
T169  MVCIN m,m (100c)       : 20  1153.8  1428.9  1180.32  1.30%  331.22  99.21
T170  4*Lx;MVCL (10b)        : 20    59.0    72.8    60.20  2.73%   16.89   5.06
T171  4*Lx;MVCL (100b)       : 20    69.8    85.4    71.25  3.12%   19.99   5.99
T172  4*Lx;MVCL (250b)       : 20    82.9    97.7    84.94  1.25%   23.84   7.14
T173  4*Lx;MVCL (1kb)        : 20   204.7   215.0   209.56  1.70%   58.81  17.61
T174  4*LR;MVCL (4kb)        : 20   671.2   721.6   695.52  2.44%  195.18  58.46
T175  4*Lx;MVCL (100b,pad)   : 20    47.6    51.9    49.08  2.12%   13.77   4.12
T176  4*Lx;MVCL (1kb,pad)    : 20    67.2    75.0    69.27  1.76%   19.44   5.82
T177  4*Lx;MVCL (4kb,pad)    : 20   159.6   177.3   164.73  1.54%   46.23  13.85
T178  4*LA;MVCL (1kb,over1)  : 20    44.6    48.1    45.32  2.80%   12.72   3.81
T179  4*LA;MVCL (1kb,over2)  : 20   224.0   244.9   234.76  1.35%   65.88  19.73
T190  IC R,m                 : 20    15.2    16.6    15.58  2.21%    4.37   1.31
T191  ICM R,i,m (0010)       : 20    23.3    25.4    24.22  2.40%    6.80   2.04
T192  ICM R,i,m (1100)       : 20    23.1    25.1    24.03  1.83%    6.74   2.02
T193  ICM R,i,m (0111)       : 20    17.7    19.4    18.52  2.06%    5.20   1.56
T200  AR R,R                 : 20     4.7     5.1     4.87  3.82%    1.37   0.41
T201  A R,m                  : 20    15.7    16.8    16.17  2.15%    4.54   1.36
T202  AH R,m                 : 20    15.8    17.1    16.11  2.87%    4.52   1.35
T203  ALR R,R                : 20     4.4     4.7     4.41  2.36%    1.24   0.37
T204  AL R,m                 : 20    15.5    16.9    16.04  2.97%    4.50   1.35
T210  MR R,R                 : 20     6.6     7.1     6.32  2.13%    1.77   0.53
T211  M R,m                  : 20    16.5    18.2    16.79  3.35%    4.71   1.41
T212  MH R,m                 : 20    16.0    17.5    16.19  3.63%    4.54   1.36
T215  XR R,R; DR R,R         : 20    25.6    27.9    26.45  2.89%    7.42   2.22
T216  XR R,R; D R,m          : 20    34.5    37.5    35.31  2.67%    9.91   2.97
T220  SLA R,1                : 20     9.2    10.1     9.13  3.61%    2.56   0.77
T221  SLDA R,1               : 20    11.0    11.8    11.18  2.36%    3.14   0.94
T222  SRA R,1                : 20     7.2     8.2     7.09  2.34%    1.99   0.60
T223  SRDA R,1               : 20     9.0     9.9     9.00  1.83%    2.52   0.76
T224  SRA R,30               : 20     7.4     7.8     7.09  1.34%    1.99   0.60
T225  SRDA R,60              : 20     8.8     9.5     8.93  2.55%    2.51   0.75
T230  XR R,R                 : 20     4.6     5.1     4.66  3.21%    1.31   0.39
T231  X R,m                  : 20    15.0    16.3    15.52  2.22%    4.35   1.30
T232  XI m,i                 : 20    16.5    18.4    16.95  2.39%    4.76   1.42
T235  XC m,m (10c)           : 20    36.2    40.7    37.44  2.00%   10.51   3.15
T236  XC m,m (100c)          : 20   183.7   193.5   187.76  1.13%   52.69  15.78
T237  XC m,m (250c)          : 20   416.4   438.4   426.98  2.38%  119.82  35.89
T238  NR R,R                 : 20     4.7     5.4     4.71  2.29%    1.32   0.40
T239  OR R,R                 : 20     4.6     5.4     4.70  1.12%    1.32   0.40
T240  SLL R,1                : 20     6.4     8.3     6.19  2.21%    1.74   0.52
T241  SLDL R,1               : 20     8.7    11.4     8.70  1.74%    2.44   0.73
T242  SRL R,1                : 20     6.4     7.1     6.21  2.47%    1.74   0.52
T243  SRDL R,1               : 20     8.7     9.3     8.69  2.24%    2.44   0.73
T244  SLL R,30               : 20     6.4     7.3     6.21  2.97%    1.74   0.52
T245  SLDL R,60              : 20     8.7     9.3     8.70  1.97%    2.44   0.73
T250  TM m,i                 : 20    14.2    15.2    14.52  2.04%    4.07   1.22
T252  TR m,m (10c)           : 20    45.9    50.6    46.65  1.39%   13.09   3.92
T253  TR m,m (100c)          : 20   248.6   261.4   255.80  1.73%   71.78  21.50
T254  TR m,m (250c)          : 20   600.2   634.2   620.23  1.63%  174.05  52.13
T255  TRT m,m (10c,zero)     : 20   131.5   160.8   135.47  3.20%   38.02  11.39
T256  TRT m,m (100c,zero)    : 20  1209.5  1367.2  1241.69  2.38%  348.44 104.37
T257  TRT m,m (250c,zero)    : 20  2984.5  3605.2  3087.36  2.19%  866.38 259.50
T258  TRT m,m (250c,10b)     : 20   145.2   199.4   150.95  1.12%   42.36  12.69
T259  TRT m,m (250c,100b)    : 20  1217.6  1470.9  1271.65  2.23%  356.85 106.88
T260  CR R,R                 : 20     4.4     5.3     4.44  2.20%    1.24   0.37
T261  C R,m                  : 20    14.9    17.0    15.38  1.74%    4.32   1.29
T262  CH R,m                 : 20    15.9    18.2    16.44  2.32%    4.61   1.38
T263  CLR R,R                : 20     4.2     4.7     4.22  2.73%    1.18   0.35
T264  CL R,m                 : 20    13.4    15.5    13.81  2.26%    3.88   1.16
T265  CLI m,i                : 20    16.0    19.6    16.45  1.08%    4.62   1.38
T266  CLM R,i,m              : 20    18.9    23.1    19.47  2.28%    5.46   1.64
T270  CLC m,m (10c,eq)       : 20    47.5    54.3    48.50  2.59%   13.61   4.08
T271  CLC m,m (10c,ne)       : 20    39.4    62.3    40.91  2.50%   11.48   3.44
T272  CLC m,m (30c,eq)       : 20    63.7   138.3    65.37  2.83%   18.34   5.49
T273  CLC m,m (30c,ne)       : 20    40.0    74.8    40.64  3.07%   11.41   3.42
T274  CLC m,m (100c,eq)      : 20   117.2   257.3   120.65  2.39%   33.86  10.14
T275  CLC m,m (100c,ne)      : 20    39.6    69.2    40.75  2.55%   11.43   3.42
