s370_perf_ana  -cp 57.135  -t311 171.405

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
03-10-23-12:04:15_J0184_PERF-ASM.prtfx     8 7.36e+08  309.08s  5m09.08    2.4
03-10-23-12:11:13_J0185_PERF-ASM.prtfx     8 7.36e+08  309.32s  5m09.32    2.4
03-10-23-12:18:10_J0186_PERF-ASM.prtfx     8 7.36e+08  306.36s  5m06.36    2.4
03-10-23-12:25:13_J0187_PERF-ASM.prtfx     8 7.36e+08  306.31s  5m06.31    2.4
03-10-23-12:32:20_J0188_PERF-ASM.prtfx     8 7.36e+08  309.07s  5m09.07    2.4
03-10-23-12:39:20_J0189_PERF-ASM.prtfx     8 7.36e+08  306.64s  5m06.64    2.4
03-10-23-12:46:11_J0190_PERF-ASM.prtfx     8 7.36e+08  306.29s  5m06.29    2.4
03-10-23-12:53:09_J0191_PERF-ASM.prtfx     8 7.36e+08  306.29s  5m06.29    2.4
03-10-23-13:00:09_J0192_PERF-ASM.prtfx     8 7.36e+08  306.01s  5m06.01    2.4
03-10-23-13:07:04_J0193_PERF-ASM.prtfx     8 7.36e+08  306.02s  5m06.02    2.4
s370_perf version: s370_perf V0.9.2  rev  993  2018-02-10  

s370_perf_ana-W: lt= 7: tag T150 not found
s370_perf_ana-W: lt= 8: tag T152 not found

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx    n-cp  e-cp%   mcc
T100  LR R,R                 : 10    58.9    59.0    57.15 0.174%    1.00   0.33    1.00     0%     1
T101  LA R,n                 : 10    60.0    60.3    58.54 0.038%    1.02   0.34    1.02     2%     1
T102  L R,m                  : 10   178.0   178.2   174.70 0.027%    3.06   1.00    3.06     5%     3
T103  L R,m (unal)           : 10   236.1   237.6   232.78 0.044%    4.07   1.33    4.07     7%     4
T104  LH R,m                 : 10   178.0   178.9   174.69 0.045%    3.06   1.00    3.06     5%     3
T105  LH R,m (unal3)         : 10   235.6   236.4   232.88 0.240%    4.07   1.33    4.08     7%     4
T106  LTR R,R                : 10    58.8    59.1    57.16 0.355%    1.00   0.33    1.00     0%     1
T107  LCR R,R                : 10    58.8    58.9    57.14 0.066%    1.00   0.33    1.00     0%     1
T108  LNR R,R                : 10   116.2   116.6   114.54 0.004%    2.00   0.66    2.00     0%     2
T109  LPR R,R                : 10   116.0   116.3   114.29 0.184%    2.00   0.65    2.00     0%     2
T110  ST R,m                 : 10   164.9   165.6   162.08 0.021%    2.84   0.93    2.84   -16%     3
T111  ST R,m (unal)          : 10   334.1   335.5   331.37 0.166%    5.80   1.90    5.80   -20%     6
T112  STH R,m                : 10   223.0   224.6   219.65 0.336%    3.84   1.26    3.84   -15%     4
T113  STH R,m (unal1)        : 10   218.2   219.1   214.98 0.367%    3.76   1.23    3.76   -23%     4
T114  STH R,m (unal3)        : 10   334.1   335.8   331.49 0.238%    5.80   1.90    5.80   -19%     6
T115  STC R,m                : 10   164.9   165.7   161.87 0.415%    2.83   0.93    2.83   -16%     3
T116  STCM R,i,m (0010)      : 10   244.5   245.7   241.67 0.370%    4.23   1.38    4.23    22%     4
T117  STCM R,i,m (1100)      : 10   244.5   244.7   241.25 0.059%    4.22   1.38    4.22    22%     4
