file name ----------------------------  GMUL  i-count  -- total time --   MIPS
18-03-04-10:46:16_J5598_PERF-ASM.prtfx   196 2.44e+10  258.52s  4m18.52   94.3
18-03-04-10:55:56_J5599_PERF-ASM.prtfx   196 2.44e+10  258.34s  4m18.34   94.4
18-03-04-11:00:25_J5600_PERF-ASM.prtfx   196 2.44e+10  258.39s  4m18.39   94.3
18-03-04-11:04:47_J5601_PERF-ASM.prtfx   193 2.40e+10  254.22s  4m14.22   94.4
18-03-04-11:09:16_J5602_PERF-ASM.prtfx   196 2.44e+10  258.07s  4m18.07   94.5
18-03-04-11:13:41_J5603_PERF-ASM.prtfx   192 2.39e+10  252.94s  4m12.94   94.4
18-03-04-11:18:09_J5604_PERF-ASM.prtfx   196 2.44e+10  258.14s  4m18.14   94.4
18-03-04-11:22:33_J5605_PERF-ASM.prtfx   193 2.40e+10  254.08s  4m14.08   94.5
18-03-04-11:27:01_J5606_PERF-ASM.prtfx   195 2.43e+10  256.68s  4m16.68   94.5
18-03-04-11:31:22_J5607_PERF-ASM.prtfx   191 2.38e+10  251.75s  4m11.75   94.4
18-03-04-11:35:51_J5608_PERF-ASM.prtfx   196 2.44e+10  258.19s  4m18.19   94.4
18-03-04-11:40:18_J5609_PERF-ASM.prtfx   196 2.44e+10  257.87s  4m17.87   94.5
18-03-04-11:44:46_J5610_PERF-ASM.prtfx   196 2.44e+10  258.22s  4m18.22   94.4
18-03-04-11:49:12_J5611_PERF-ASM.prtfx   193 2.40e+10  254.26s  4m14.26   94.4
18-03-04-11:53:39_J5612_PERF-ASM.prtfx   196 2.44e+10  258.21s  4m18.21   94.4
18-03-04-11:58:08_J5613_PERF-ASM.prtfx   196 2.44e+10  258.40s  4m18.40   94.3
18-03-04-12:02:29_J5614_PERF-ASM.prtfx   190 2.36e+10  250.18s  4m10.18   94.5
18-03-04-12:06:57_J5615_PERF-ASM.prtfx   194 2.41e+10  255.48s  4m15.48   94.4
18-03-04-12:11:27_J5616_PERF-ASM.prtfx   196 2.44e+10  258.16s  4m18.16   94.4
18-03-04-12:15:53_J5617_PERF-ASM.prtfx   194 2.41e+10  255.57s  4m15.57   94.4
s370_perf version: s370_perf V0.9.5  rev  998  2018-03-04

s370_perf_ana-W: lt= 7: tag T150 not found
s370_perf_ana-W: lt= 8: tag T152 not found

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 20     2.1     2.3     2.09  1.66%    1.00   0.28
T101  LA R,n                 : 20     2.8     2.9     2.76  0.63%    1.32   0.37
T102  L R,m                  : 20     7.6     7.9     7.53  1.03%    3.59   1.00
T103  L R,m (unal)           : 20     8.7     9.0     8.61  0.75%    4.11   1.14
T104  LH R,m                 : 20     9.2     9.5     9.13  1.00%    4.36   1.21
T105  LH R,m (unal3)         : 20     9.7    10.1     9.54  0.76%    4.56   1.27
T106  LTR R,R                : 20     3.6     4.3     3.53  1.08%    1.68   0.47
T107  LCR R,R                : 20     3.7     3.7     3.62  0.67%    1.73   0.48
T108  LNR R,R                : 20     3.3     3.4     3.22  1.07%    1.54   0.43
T109  LPR R,R                : 20     3.8     3.9     3.79  0.71%    1.81   0.50
T110  ST R,m                 : 20     7.8     8.0     7.74  0.94%    3.70   1.03
T111  ST R,m (unal)          : 20     8.7     9.4     8.73  3.78%    4.17   1.16
T112  STH R,m                : 20     9.6     9.9     9.56  1.03%    4.57   1.27
T113  STH R,m (unal1)        : 20     9.5     9.7     9.38  0.86%    4.48   1.25
T114  STH R,m (unal3)        : 20     9.5     9.6     9.37  0.69%    4.47   1.24
T115  STC R,m                : 20     8.9     9.4     8.79  0.78%    4.20   1.17
T116  STCM R,i,m (0010)      : 20    12.4    12.6    12.27  0.92%    5.86   1.63
T117  STCM R,i,m (1100)      : 20    13.4    14.3    13.39  0.92%    6.39   1.78
T118  STCM R,i,m (0111)      : 20     9.9    10.0     9.75  0.59%    4.66   1.30
T120  STM 2,3,m (2r)         : 20    11.1    11.3    11.04  0.76%    5.27   1.47
T121  STM 2,7,m (6r)         : 20    14.5    14.7    14.45  0.77%    6.90   1.92
T122  STM 14,12,m (15r)      : 20    19.8    20.2    19.69  0.45%    9.40   2.62
T123  LM 2,3,m (2r)          : 20    11.4    11.6    11.32  0.78%    5.41   1.50
T124  LM 2,7,m (6r)          : 20    15.4    15.6    15.29  0.73%    7.30   2.03
T125  LM 0,11,m (12r)        : 20    20.4    20.7    20.28  0.41%    9.68   2.69
T151  MVC m,m (10c)          : 20    20.2    20.6    20.15  0.90%    9.62   2.68
T154  MVC m,m (100c)         : 20    23.2    23.7    23.16  0.79%   11.06   3.08
T155  MVC m,m (250c)         : 20    31.4    42.8    31.17  0.48%   14.89   4.14
