s370_perf_ana  -d3  -w1  -nonrr  -dt 0  -du 1

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
after_ipl_1_run_1.txtfx                  300 3.74e+10  125.89s  2m05.89  296.7
after_ipl_1_run_2.txtfx                  300 3.74e+10  128.96s  2m08.96  289.7
after_ipl_2_run_1.txtfx                  300 3.74e+10  127.85s  2m07.85  292.2
after_ipl_2_run_2.txtfx                  300 3.74e+10  141.29s  2m21.29  264.4
after_ipl_3_run_1.txtfx                  300 3.74e+10  130.05s  2m10.05  287.2
after_ipl_3_run_2.txtfx                  300 3.74e+10  490.70s  8m10.70   76.1
run_1.txtfx                              300 3.74e+10  151.98s  2m31.98  245.8
run_2.txtfx                              300 3.74e+10  127.71s  2m07.71  292.5
run_3.txtfx                              300 3.74e+10  339.71s  5m39.71  110.0
run_4.txtfx                              300 3.74e+10  489.22s  8m09.22   76.4
run_5.txtfx                              300 3.74e+10  129.71s  2m09.71  288.0
s370_perf version: s370_perf V0.9.5  rev  998  2018-03-04

s370_perf_ana-W: lt= 7: tag T150 not found
s370_perf_ana-W: lt= 8: tag T152 not found
s370_perf_ana-W: lt= 7: tag T150 not found
s370_perf_ana-W: lt= 8: tag T152 not found
s370_perf_ana-W: lt= 8: tag T152 not found
s370_perf_ana-W: lt= 8: tag T152 not found
Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 11    0.03    0.04   -0.000  38.5%    0.00   0.00
T101  LA R,n                 : 11    0.03    0.04    0.001  59.3%    0.00   0.00
T102  L R,m                  : 11    0.10    0.21    0.045 119.6%    0.00   0.00
T103  L R,m (unal)           : 11    0.11    0.13    0.053  27.6%    0.00   0.00
T104  LH R,m                 : 11    0.11    0.14    0.053  37.1%    0.00   0.00
T105  LH R,m (unal3)         : 11    0.11    0.20    0.058  77.3%    0.00   0.00
T106  LTR R,R                : 11    0.04    0.06    0.011  59.5%    0.00   0.00
T107  LCR R,R                : 11    0.05    0.07    0.019  48.9%    0.00   0.00
T108  LNR R,R                : 11    0.05    0.08    0.021  61.7%    0.00   0.00
T109  LPR R,R                : 11    0.05    0.06    0.020  30.4%    0.00   0.00
T110  ST R,m                 : 11    0.83    1.02    0.782  22.5%    0.00   0.00
T111  ST R,m (unal)          : 11    1.47    1.79    1.418  21.8%    0.00   0.00
T112  STH R,m                : 11    0.85    1.08    0.800  26.5%    0.00   0.00
T113  STH R,m (unal1)        : 11    0.84    1.21    0.783  45.0%    0.00   0.00
T114  STH R,m (unal3)        : 11    1.51    1.92    1.456  27.2%    0.00   0.00
T115  STC R,m                : 11    0.85    1.06    0.803  24.0%    0.00   0.00
T116  STCM R,i,m (0010)      : 11    0.90    1.11    0.845  23.6%    0.00   0.00
T117  STCM R,i,m (1100)      : 11    0.87    1.20    0.817  37.5%    0.00   0.00
T118  STCM R,i,m (0111)      : 11    1.34    1.69    1.288  25.7%    0.00   0.00
T120  STM 2,3,m (2r)         : 11    1.28    1.64    1.230  27.7%    0.00   0.00
T121  STM 2,7,m (6r)         : 11    2.95    3.61    2.897  22.6%    0.00   0.00
T122  STM 14,12,m (15r)      : 11    8.24   11.42    8.192  38.5%    0.00   0.00
T123  LM 2,3,m (2r)          : 11    0.13    0.23    0.078  80.0%    0.00   0.00
T124  LM 2,7,m (6r)          : 11    0.22    0.44    0.169  98.2%    0.00   0.00
T125  LM 0,11,m (12r)        : 11    0.43    0.60    0.377  41.5%    0.00   0.00
