file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-03-31-21:30:07_J0053_PERF-ASM.prt   115 1.52e+10  239.95s  3m59.95   63.4
2018-03-31-21:34:11_J0054_PERF-ASM.prt   115 1.52e+10  237.57s  3m57.57   64.0
2018-03-31-21:38:19_J0055_PERF-ASM.prt   117 1.55e+10  241.91s  4m01.91   64.0
2018-03-31-21:42:29_J0056_PERF-ASM.prt   118 1.56e+10  244.26s  4m04.26   63.9
2018-03-31-21:46:41_J0057_PERF-ASM.prt   118 1.56e+10  245.45s  4m05.45   63.6
2018-03-31-21:50:53_J0058_PERF-ASM.prt   119 1.57e+10  246.23s  4m06.23   63.9
2018-03-31-21:55:03_J0059_PERF-ASM.prt   118 1.56e+10  244.23s  4m04.23   63.9
2018-03-31-21:59:13_J0060_PERF-ASM.prt   118 1.56e+10  244.19s  4m04.19   63.9
2018-03-31-22:03:26_J0061_PERF-ASM.prt   119 1.57e+10  246.23s  4m06.23   63.9
2018-03-31-22:07:34_J0062_PERF-ASM.prt   117 1.55e+10  241.94s  4m01.94   64.0
2018-03-31-22:11:44_J0063_PERF-ASM.prt   118 1.56e+10  244.43s  4m04.43   63.8
2018-03-31-22:15:55_J0064_PERF-ASM.prt   118 1.56e+10  244.19s  4m04.19   63.9
2018-03-31-22:20:07_J0065_PERF-ASM.prt   119 1.57e+10  246.14s  4m06.14   63.9
2018-03-31-22:24:19_J0066_PERF-ASM.prt   119 1.57e+10  246.32s  4m06.32   63.9
2018-03-31-22:28:32_J0067_PERF-ASM.prt   119 1.57e+10  246.93s  4m06.93   63.7
2018-03-31-22:32:44_J0068_PERF-ASM.prt   119 1.57e+10  246.24s  4m06.24   63.9
2018-03-31-22:36:55_J0069_PERF-ASM.prt   118 1.56e+10  244.30s  4m04.30   63.9
2018-03-31-22:41:03_J0070_PERF-ASM.prt   117 1.55e+10  242.24s  4m02.24   63.9
2018-03-31-22:45:15_J0071_PERF-ASM.prt   119 1.57e+10  246.25s  4m06.25   63.9
2018-03-31-22:49:21_J0072_PERF-ASM.prt   116 1.53e+10  239.96s  3m59.96   63.9
2018-03-31-22:53:32_J0073_PERF-ASM.prt   118 1.56e+10  244.21s  4m04.21   63.9
2018-03-31-22:57:44_J0074_PERF-ASM.prt   119 1.57e+10  246.37s  4m06.37   63.9
2018-03-31-23:01:55_J0075_PERF-ASM.prt   118 1.56e+10  244.42s  4m04.42   63.8
2018-03-31-23:06:05_J0076_PERF-ASM.prt   118 1.56e+10  244.26s  4m04.26   63.9
2018-03-31-23:10:15_J0077_PERF-ASM.prt   118 1.56e+10  244.17s  4m04.17   63.9
2018-03-31-23:14:25_J0078_PERF-ASM.prt   118 1.56e+10  244.21s  4m04.21   63.9
2018-03-31-23:18:38_J0079_PERF-ASM.prt   119 1.57e+10  246.32s  4m06.32   63.9
2018-03-31-23:22:48_J0080_PERF-ASM.prt   118 1.56e+10  244.25s  4m04.25   63.9
2018-03-31-23:27:00_J0081_PERF-ASM.prt   119 1.57e+10  246.24s  4m06.24   63.9
2018-03-31-23:31:10_J0082_PERF-ASM.prt   118 1.56e+10  244.30s  4m04.30   63.9
2018-03-31-23:35:21_J0083_PERF-ASM.prt   118 1.56e+10  244.09s  4m04.09   63.9
2018-03-31-23:39:33_J0084_PERF-ASM.prt   119 1.57e+10  246.33s  4m06.33   63.9
2018-03-31-23:43:46_J0085_PERF-ASM.prt   119 1.57e+10  246.74s  4m06.74   63.8
2018-03-31-23:47:56_J0086_PERF-ASM.prt   118 1.56e+10  244.20s  4m04.20   63.9
2018-03-31-23:52:04_J0087_PERF-ASM.prt   117 1.55e+10  242.24s  4m02.24   63.9
2018-03-31-23:56:15_J0088_PERF-ASM.prt   118 1.56e+10  244.18s  4m04.18   63.9
2018-04-01-00:00:27_J0089_PERF-ASM.prt   119 1.57e+10  246.28s  4m06.28   63.9
2018-04-01-00:04:40_J0090_PERF-ASM.prt   119 1.57e+10  246.59s  4m06.59   63.8
