file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-03-31-15:31:17_J0023_PERF-ASM.prt    87 1.15e+10  209.54s  3m29.54   54.9
2018-03-31-15:36:10_J0024_PERF-ASM.prt   118 1.56e+10  286.75s  4m46.75   54.4
2018-03-31-15:40:07_J0025_PERF-ASM.prt    96 1.27e+10  230.84s  3m50.84   55.0
2018-03-31-15:45:03_J0026_PERF-ASM.prt   118 1.56e+10  289.36s  4m49.36   53.9
2018-03-31-15:49:05_J0027_PERF-ASM.prt    98 1.30e+10  235.50s  3m55.50   55.0
2018-03-31-15:54:03_J0028_PERF-ASM.prt   119 1.57e+10  292.15s  4m52.15   53.9
2018-03-31-15:58:50_J0029_PERF-ASM.prt   119 1.57e+10  280.03s  4m40.03   56.2
2018-03-31-16:03:44_J0030_PERF-ASM.prt   119 1.57e+10  288.12s  4m48.12   54.6
2018-03-31-16:08:28_J0031_PERF-ASM.prt   118 1.56e+10  277.60s  4m37.60   56.2
2018-03-31-16:13:21_J0032_PERF-ASM.prt   118 1.56e+10  285.96s  4m45.96   54.6
2018-03-31-16:18:04_J0033_PERF-ASM.prt   118 1.56e+10  276.70s  4m36.70   56.4
2018-03-31-16:22:14_J0034_PERF-ASM.prt   103 1.36e+10  243.73s  4m03.73   55.9
2018-03-31-16:27:05_J0035_PERF-ASM.prt   118 1.56e+10  285.03s  4m45.03   54.7
2018-03-31-16:30:20_J0036_PERF-ASM.prt    79 1.04e+10  188.14s  3m08.14   55.5
2018-03-31-16:33:36_J0037_PERF-ASM.prt    79 1.04e+10  188.75s  3m08.75   55.4
2018-03-31-16:37:34_J0038_PERF-ASM.prt    96 1.27e+10  231.98s  3m51.98   54.7
2018-03-31-16:41:35_J0039_PERF-ASM.prt    96 1.27e+10  233.61s  3m53.61   54.3
2018-03-31-16:46:22_J0040_PERF-ASM.prt   117 1.55e+10  281.39s  4m41.39   55.0
2018-03-31-16:50:15_J0041_PERF-ASM.prt    96 1.27e+10  226.68s  3m46.68   56.0
2018-03-31-16:55:06_J0042_PERF-ASM.prt   117 1.55e+10  284.66s  4m44.66   54.4
2018-03-31-16:58:19_J0043_PERF-ASM.prt    77 1.02e+10  185.67s  3m05.67   54.8
2018-03-31-17:02:45_J0044_PERF-ASM.prt   109 1.44e+10  260.23s  4m20.23   55.4
2018-03-31-17:06:00_J0045_PERF-ASM.prt    78 1.03e+10  187.69s  3m07.69   55.0
2018-03-31-17:10:45_J0046_PERF-ASM.prt   118 1.56e+10  279.14s  4m39.14   55.9
2018-03-31-17:15:33_J0047_PERF-ASM.prt   119 1.57e+10  281.53s  4m41.53   55.9
2018-03-31-17:18:55_J0048_PERF-ASM.prt    79 1.04e+10  195.55s  3m15.55   53.4
2018-03-31-17:23:47_J0049_PERF-ASM.prt   117 1.55e+10  285.08s  4m45.08   54.3
2018-03-31-17:28:37_J0050_PERF-ASM.prt   118 1.56e+10  284.42s  4m44.42   54.9
2018-03-31-17:32:15_J0051_PERF-ASM.prt    90 1.19e+10  210.87s  3m30.87   56.4
2018-03-31-17:37:05_J0052_PERF-ASM.prt   118 1.56e+10  284.41s  4m44.41   54.9
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30     3.1     4.7     3.78 31.47%    1.00   0.25
T101  LA R,n                 : 30     4.0     6.0     4.53 36.16%    1.20   0.30
T102  L R,m                  : 30    12.9    19.4    15.16 31.26%    4.01   1.00
T103  L R,m (unal)           : 30    15.2    23.2    18.32 31.65%    4.85   1.21
T104  LH R,m                 : 30    14.6    22.2    17.10 35.88%    4.52   1.13
T105  LH R,m (unal3)         : 30    16.0    24.3    19.51 32.18%    5.16   1.29
T106  LTR R,R                : 30     4.1     6.2     4.07 30.35%    1.08   0.27
T107  LCR R,R                : 30     4.6     7.0     4.69 28.44%    1.24   0.31
T108  LNR R,R                : 30     4.0     6.1     4.37 27.54%    1.16   0.29
T109  LPR R,R                : 30     4.8     7.3     5.59 32.14%    1.48   0.37
T110  ST R,m                 : 30    12.9    19.4    15.70 26.24%    4.15   1.04
T111  ST R,m (unal)          : 30    13.7    20.6    15.86 25.38%    4.20   1.05
T112  STH R,m                : 30    15.2    22.9    15.96 21.44%    4.22   1.05
T113  STH R,m (unal1)        : 30    15.0    22.8    16.57 36.83%    4.38   1.09
T114  STH R,m (unal3)        : 30    15.5    23.8    16.62 25.90%    4.40   1.10
T115  STC R,m                : 30    14.1    21.4    14.96 22.43%    3.96   0.99
T116  STCM R,i,m (0010)      : 30    19.6    29.6    20.26 18.96%    5.36   1.34
T117  STCM R,i,m (1100)      : 30    19.5    29.5    22.60 20.23%    5.98   1.49
T118  STCM R,i,m (0111)      : 30    16.2    24.4    17.88 24.18%    4.73   1.18
T120  STM 2,3,m (2r)         : 30    17.6    26.5    18.69 23.30%    4.94   1.23
T121  STM 2,7,m (6r)         : 30    21.7    32.7    25.03 25.92%    6.62   1.65
T122  STM 14,12,m (15r)      : 30    30.7    46.5    30.71 27.40%    8.13   2.03
T123  LM 2,3,m (2r)          : 30    17.7    26.6    18.28 26.72%    4.84   1.21
T124  LM 2,7,m (6r)          : 30    21.9    33.0    23.96 22.62%    6.34   1.58
T125  LM 0,11,m (12r)        : 30    28.5    40.9    30.78 25.10%    8.14   2.03
T150  MVC m,m (5c)           : 30    27.3    41.1    27.48 23.53%    7.27   1.81
T151  MVC m,m (10c)          : 30    31.5    47.6    33.40 20.25%    8.84   2.20
T152  MVC m,m (15c)          : 30    29.9    44.9    29.95  9.86%    7.92   1.98
T153  MVC m,m (30c)          : 30    30.5    46.0    30.88 27.54%    8.17   2.04
T154  MVC m,m (100c)         : 30    36.0    54.1    42.30 24.39%   11.19   2.79
T155  MVC m,m (250c)         : 30    56.5    84.9    56.55  3.71%   14.96   3.73
T156  MVC m,m (250c,over1)   : 30   448.4   678.5   450.83 22.85%  119.28  29.74
T157  MVC m,m (250c,over2)   : 30    52.6    78.2    53.46 18.41%   14.14   3.53
T160  MVI m,i                : 30    13.2    19.9    13.19 18.72%    3.49   0.87
T161  MVN m,m (10c)          : 30    31.8    49.2    33.41 23.64%    8.84   2.20
T162  MVN m,m (30c)          : 30    50.4    76.0    57.62 35.41%   15.24   3.80
T165  MVZ m,m (10c)          : 30    32.1    48.8    33.09 17.48%    8.76   2.18
T166  MVZ m,m (30c)          : 30    50.3    76.2    56.61 30.52%   14.98   3.74
T167  MVCIN m,m (10c)        : 30   115.1   173.7   120.20 27.22%   31.80   7.93
T168  MVCIN m,m (30c)        : 30   319.0   482.4   342.42 36.56%   90.60  22.59
T169  MVCIN m,m (100c)       : 30  1043.0  1577.5  1208.37 30.83%  319.70  79.72
T170  4*Lx;MVCL (10b)        : 30    60.8    93.3    70.69 34.67%   18.70   4.66
T171  4*Lx;MVCL (100b)       : 30    62.3    94.3    68.14 29.96%   18.03   4.50
T172  4*Lx;MVCL (250b)       : 30    80.3   121.4    80.07 19.45%   21.18   5.28
T173  4*Lx;MVCL (1kb)        : 30   141.5   214.2   141.93 27.19%   37.55   9.36
T174  4*LR;MVCL (4kb)        : 30   422.3   641.1   493.93 34.71%  130.68  32.59
T175  4*Lx;MVCL (100b,pad)   : 30    58.6    88.1    62.05 33.39%   16.42   4.09
T176  4*Lx;MVCL (1kb,pad)    : 30    73.5   110.6    73.29 16.59%   19.39   4.84
T177  4*Lx;MVCL (4kb,pad)    : 30   156.0   237.0   164.00 27.59%   43.39  10.82
T178  4*LA;MVCL (1kb,over1)  : 30    39.7    60.1    44.81 23.59%   11.86   2.96
T179  4*LA;MVCL (1kb,over2)  : 30   215.5   324.5   228.17 28.22%   60.37  15.05
T190  IC R,m                 : 30    14.8    22.2    16.26 27.19%    4.30   1.07
T191  ICM R,i,m (0010)       : 30    22.9    34.4    23.46 29.96%    6.21   1.55
T192  ICM R,i,m (1100)       : 30    23.5    35.4    27.91 28.11%    7.38   1.84
T193  ICM R,i,m (0111)       : 30    18.9    28.5    21.29 34.38%    5.63   1.40
T200  AR R,R                 : 30     4.3     6.5     4.34 26.35%    1.15   0.29
T201  A R,m                  : 30    14.3    21.4    15.99 30.85%    4.23   1.05
T202  AH R,m                 : 30    15.8    23.8    17.49 16.07%    4.63   1.15
T203  ALR R,R                : 30     3.8     5.7     3.86 20.36%    1.02   0.25
