file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-03-31-11:40:51_J6188_PERF-ASM.prt   203 2.68e+10  279.78s  4m39.78   96.0
2018-03-31-11:45:33_J6189_PERF-ASM.prt   202 2.67e+10  277.36s  4m37.36   96.3
2018-03-31-11:50:16_J6190_PERF-ASM.prt   203 2.68e+10  278.74s  4m38.74   96.3
2018-03-31-11:54:57_J6191_PERF-ASM.prt   202 2.67e+10  277.00s  4m37.00   96.4
2018-03-31-11:59:38_J6192_PERF-ASM.prt   202 2.67e+10  277.42s  4m37.42   96.3
2018-03-31-12:04:19_J6193_PERF-ASM.prt   202 2.67e+10  277.01s  4m37.01   96.4
2018-03-31-12:09:01_J6194_PERF-ASM.prt   202 2.67e+10  277.44s  4m37.44   96.3
2018-03-31-12:13:43_J6195_PERF-ASM.prt   203 2.68e+10  278.68s  4m38.68   96.3
2018-03-31-12:18:26_J6196_PERF-ASM.prt   203 2.68e+10  278.54s  4m38.54   96.4
2018-03-31-12:23:08_J6197_PERF-ASM.prt   203 2.68e+10  278.51s  4m38.51   96.4
2018-03-31-12:27:50_J6198_PERF-ASM.prt   202 2.67e+10  277.25s  4m37.25   96.4
2018-03-31-12:32:31_J6199_PERF-ASM.prt   202 2.67e+10  277.13s  4m37.13   96.4
2018-03-31-12:37:14_J6200_PERF-ASM.prt   203 2.68e+10  279.29s  4m39.29   96.1
2018-03-31-12:41:57_J6201_PERF-ASM.prt   203 2.68e+10  278.82s  4m38.82   96.3
2018-03-31-12:46:38_J6202_PERF-ASM.prt   202 2.67e+10  277.44s  4m37.44   96.3
2018-03-31-12:51:19_J6203_PERF-ASM.prt   202 2.67e+10  277.19s  4m37.19   96.4
2018-03-31-12:56:02_J6204_PERF-ASM.prt   203 2.68e+10  278.70s  4m38.70   96.3
2018-03-31-13:00:43_J6205_PERF-ASM.prt   202 2.67e+10  277.21s  4m37.21   96.4
2018-03-31-13:05:25_J6206_PERF-ASM.prt   202 2.67e+10  277.67s  4m37.67   96.2
2018-03-31-13:10:07_J6207_PERF-ASM.prt   203 2.68e+10  278.46s  4m38.46   96.4
2018-03-31-13:14:50_J6208_PERF-ASM.prt   203 2.68e+10  278.79s  4m38.79   96.3
2018-03-31-13:19:32_J6209_PERF-ASM.prt   202 2.67e+10  277.55s  4m37.55   96.3
2018-03-31-13:24:14_J6210_PERF-ASM.prt   203 2.68e+10  278.31s  4m38.31   96.5
2018-03-31-13:28:55_J6211_PERF-ASM.prt   202 2.67e+10  277.27s  4m37.27   96.3
2018-03-31-13:33:37_J6212_PERF-ASM.prt   202 2.67e+10  277.07s  4m37.07   96.4
2018-03-31-13:38:18_J6213_PERF-ASM.prt   202 2.67e+10  277.29s  4m37.29   96.3
2018-03-31-13:42:59_J6214_PERF-ASM.prt   202 2.67e+10  277.17s  4m37.17   96.4
2018-03-31-13:47:42_J6215_PERF-ASM.prt   203 2.68e+10  278.86s  4m38.86   96.3
2018-03-31-13:52:25_J6216_PERF-ASM.prt   203 2.68e+10  278.49s  4m38.49   96.4
2018-03-31-13:57:07_J6217_PERF-ASM.prt   203 2.68e+10  278.74s  4m38.74   96.3
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30     2.1     2.1     2.07  0.33%    1.00   0.28
T101  LA R,n                 : 30     2.8     2.9     2.76  0.17%    1.33   0.37
T102  L R,m                  : 30     7.6     7.6     7.44  0.21%    3.59   1.00
T103  L R,m (unal)           : 30     8.7     9.0     8.58  0.23%    4.15   1.15
T104  LH R,m                 : 30     9.2     9.3     9.07  0.22%    4.38   1.22
T105  LH R,m (unal3)         : 30     9.6    10.0     9.47  0.21%    4.57   1.27
T106  LTR R,R                : 30     3.6     3.6     3.51  0.08%    1.69   0.47
T107  LCR R,R                : 30     3.7     3.7     3.64  0.19%    1.76   0.49
T108  LNR R,R                : 30     3.3     3.4     3.22  0.21%    1.55   0.43
T109  LPR R,R                : 30     3.8     3.9     3.78  0.21%    1.83   0.51
T110  ST R,m                 : 30     7.8     7.9     7.68  0.29%    3.71   1.03
T111  ST R,m (unal)          : 30     8.6     9.5     8.60  7.52%    4.15   1.16
T112  STH R,m                : 30     9.6     9.7     9.45  0.15%    4.56   1.27
T113  STH R,m (unal1)        : 30     9.5     9.8     9.38  0.27%    4.53   1.26
T114  STH R,m (unal3)        : 30     9.5     9.5     9.34  0.35%    4.51   1.26
T115  STC R,m                : 30     8.9    11.2     8.82  0.12%    4.26   1.19
T116  STCM R,i,m (0010)      : 30    12.4    12.5    12.27  0.26%    5.93   1.65
T117  STCM R,i,m (1100)      : 30    13.4    13.6    13.33  0.31%    6.44   1.79
T118  STCM R,i,m (0111)      : 30     9.9    10.2     9.78  0.20%    4.73   1.32
T120  STM 2,3,m (2r)         : 30    11.1    11.2    10.96  0.23%    5.30   1.47
T121  STM 2,7,m (6r)         : 30    14.5    14.6    14.35  0.19%    6.93   1.93
T122  STM 14,12,m (15r)      : 30    19.8    20.5    19.67  0.21%    9.50   2.64
T123  LM 2,3,m (2r)          : 30    11.4    13.8    11.25  0.23%    5.44   1.51
T124  LM 2,7,m (6r)          : 30    15.3    15.5    15.19  0.23%    7.34   2.04
T125  LM 0,11,m (12r)        : 30    20.4    21.1    20.27  0.19%    9.79   2.73
T150  MVC m,m (5c)           : 30    17.7    18.0    17.60  0.31%    8.50   2.37
T151  MVC m,m (10c)          : 30    20.1    20.7    19.98  0.23%    9.65   2.69
T152  MVC m,m (15c)          : 30    19.2    19.5    19.07  0.18%    9.21   2.56
T153  MVC m,m (30c)          : 30    19.7    19.9    19.67  0.27%    9.50   2.64
T154  MVC m,m (100c)         : 30    23.1    23.8    23.02  0.22%   11.12   3.09
T155  MVC m,m (250c)         : 30    31.4    31.9    31.11  0.21%   15.03   4.18
T156  MVC m,m (250c,over1)   : 30   350.4   354.2   350.48  0.12%  169.29  47.13
T157  MVC m,m (250c,over2)   : 30    31.4    32.3    31.10  0.33%   15.02   4.18
T160  MVI m,i                : 30     7.9     8.1     7.89  0.25%    3.81   1.06
T161  MVN m,m (10c)          : 30    20.0    20.6    19.93  0.34%    9.63   2.68
T162  MVN m,m (30c)          : 30    33.8    34.4    33.62  0.47%   16.24   4.52
T165  MVZ m,m (10c)          : 30    20.0    20.8    19.94  0.50%    9.63   2.68
T166  MVZ m,m (30c)          : 30    33.8    34.3    33.59  0.59%   16.23   4.52
T167  MVCIN m,m (10c)        : 30    73.4    74.0    73.10  0.28%   35.31   9.83
