file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-03-31-07:39:03_J6058_PERF-ASM.prt     1 1.32e+08    1.42s  0m01.42   93.2
2018-03-31-07:39:11_J6059_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.4
2018-03-31-07:39:20_J6060_PERF-ASM.prt     1 1.32e+08    1.49s  0m01.49   88.7
2018-03-31-07:39:27_J6061_PERF-ASM.prt     1 1.32e+08    1.47s  0m01.47   90.1
2018-03-31-07:39:36_J6062_PERF-ASM.prt     1 1.32e+08    1.50s  0m01.50   88.4
2018-03-31-07:39:44_J6063_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.0
2018-03-31-07:39:53_J6064_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:39:59_J6065_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.8
2018-03-31-07:40:08_J6066_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.3
2018-03-31-07:40:17_J6067_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   92.1
2018-03-31-07:40:27_J6068_PERF-ASM.prt     1 1.32e+08    1.48s  0m01.48   89.6
2018-03-31-07:40:36_J6069_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.4
2018-03-31-07:40:44_J6070_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:40:52_J6071_PERF-ASM.prt     1 1.32e+08    1.42s  0m01.42   92.8
2018-03-31-07:41:00_J6072_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.5
2018-03-31-07:41:07_J6073_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.8
2018-03-31-07:41:14_J6074_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.7
2018-03-31-07:41:24_J6075_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.3
2018-03-31-07:41:32_J6076_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.7
2018-03-31-07:41:42_J6077_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.5
2018-03-31-07:41:51_J6078_PERF-ASM.prt     1 1.32e+08    1.49s  0m01.49   88.7
2018-03-31-07:42:00_J6079_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.9
2018-03-31-07:42:09_J6080_PERF-ASM.prt     1 1.32e+08    1.46s  0m01.46   90.6
2018-03-31-07:42:19_J6081_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   92.1
2018-03-31-07:42:29_J6082_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.3
2018-03-31-07:42:38_J6083_PERF-ASM.prt     1 1.32e+08    1.42s  0m01.42   93.0
2018-03-31-07:42:47_J6084_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   92.1
2018-03-31-07:42:56_J6085_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.3
2018-03-31-07:43:06_J6086_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.3
2018-03-31-07:43:15_J6087_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.9
2018-03-31-07:43:25_J6088_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.3
2018-03-31-07:43:33_J6089_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.7
2018-03-31-07:43:42_J6090_PERF-ASM.prt     1 1.32e+08    1.45s  0m01.45   91.1
2018-03-31-07:43:51_J6091_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.7
2018-03-31-07:43:59_J6092_PERF-ASM.prt     1 1.32e+08    1.43s  0m01.43   92.4
2018-03-31-07:44:08_J6093_PERF-ASM.prt     1 1.32e+08    1.44s  0m01.44   91.9
