s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T201  A R,m                  : 92     9.4     9.7     9.33  0.99%    4.47   1.25
T541  AD R,m                 : 92    20.7    21.3    20.65  0.79%    9.88   2.76
T540  ADR R,R                : 92    15.5    15.9    15.43  0.88%    7.39   2.07
T511  AE R,m                 : 92    19.6    20.1    19.59  0.73%    9.38   2.62
T510  AER R,R                : 92    14.6    15.1    14.56  0.86%    6.97   1.95
T202  AH R,m                 : 92    10.1    10.4    10.03  0.91%    4.80   1.34
T204  AL R,m                 : 92    10.5    10.8    10.39  0.76%    4.97   1.39
T203  ALR R,R                : 92     2.9     3.0     2.81  0.90%    1.35   0.38
T420  AP m,m (10d)           : 92   221.8   229.4   221.84  0.90%  106.20  29.69
T421  AP m,m (30d)           : 92   217.0   222.7   217.21  0.86%  103.98  29.07
T200  AR R,R                 : 92     3.4     3.6     3.40  0.96%    1.63   0.46
T522  AUR R,R                : 92    10.3    10.6    10.01  0.98%    4.79   1.34
T552  AWR R,R                : 92    12.4    12.7    12.15  0.93%    5.81   1.63
T560  AXR R,R                : 92    25.7    26.5    25.66  0.76%   12.28   3.43
D322  BAL R,R                : 92       -       -     8.62  2.02%    4.13   1.15
D323  BAL R,R (far)          : 92       -       -    16.18  1.54%    7.75   2.17
D320  BALR R,R               : 92       -       -     6.61  2.25%    3.17   0.89
D321  BALR R,R (far)         : 92       -       -    29.02  1.25%   13.89   3.88
D325  BAS R,R                : 92       -       -     8.57  1.70%    4.10   1.15
D324  BASR R,R               : 92       -       -     6.79  1.79%    3.25   0.91
T300  BCR 0,0 (noop)         : 92     2.5     2.6     2.49  0.87%    1.19   0.33
T312  BCT R,l                : 92     8.4     8.5     8.41  0.87%    4.03   1.13
T310  BCTR R,0               : 92     3.6     3.7     3.55  0.69%    1.70   0.48
T311  BCTR R,R               : 92     7.1     7.3     7.11  1.07%    3.40   0.95
T301  BNZ l (no br)          : 92     2.2     2.2     2.11  0.93%    1.01   0.28
T302  BNZ l (do br)          : 92     7.3     7.4     7.16  0.76%    3.43   0.96
T303  BNZ l (do br, far)     : 92    12.9    13.4    12.88  1.12%    6.17   1.72
T304  BR R                   : 92     7.4     7.6     6.70  0.93%    3.21   0.90
T305  BR R (far)             : 92    11.3    11.9    10.73  0.96%    5.14   1.44
T315  BXLE R,R,l             : 92     8.7     9.4     8.58  0.89%    4.11   1.15
T261  C R,m                  : 92     8.8     9.1     8.70  0.70%    4.16   1.16
T551  CD R,m                 : 92    18.2    18.6    18.15  0.73%    8.69   2.43
T550  CDR R,R                : 92    12.0    12.4    11.94  0.87%    5.71   1.60
D295  CDS R,R,m (eq,eq)      : 92       -       -    39.36  0.96%   18.84   5.27
D296  CDS R,R,m (eq,ne)      : 92       -       -    39.40  0.91%   18.86   5.27
D297  CDS R,R,m (ne)         : 92       -       -   176.49  0.98%   84.49  23.62
T521  CE R,m                 : 92    16.8    17.4    16.78  0.95%    8.03   2.25
T520  CER R,R                : 92    11.0    11.3    10.98  0.75%    5.26   1.47
T262  CH R,m                 : 92     9.2     9.6     9.15  0.91%    4.38   1.23
T264  CL R,m                 : 92     7.8     8.1     7.74  1.03%    3.70   1.04
T270  CLC m,m (10c,eq)       : 92    34.4    35.6    34.19  0.86%   16.37   4.58
T271  CLC m,m (10c,ne)       : 92    30.3    31.1    29.99  0.93%   14.36   4.01
T272  CLC m,m (30c,eq)       : 92    45.5    46.6    45.29  0.83%   21.68   6.06
T273  CLC m,m (30c,ne)       : 92    30.2    31.3    30.05  0.71%   14.38   4.02
T274  CLC m,m (100c,eq)      : 92    83.6    85.8    83.62  0.68%   40.03  11.19
T275  CLC m,m (100c,ne)      : 92    30.2    31.0    30.00  0.88%   14.36   4.01
T276  CLC m,m (250c,eq)      : 92   165.4   170.1   165.90  0.78%   79.42  22.20
T277  CLC m,m (250c,ne)      : 92    30.2    31.1    30.00  0.74%   14.36   4.02
D280  CLCL (100b,10b)        : 92       -       -    98.28  1.02%   47.05  13.15
D281  CLCL (4kb,10b)         : 92       -       -   100.88  0.96%   48.29  13.50
D282  CLCL (4kb,100b)        : 92       -       -   870.45  0.95%  416.69 116.50
D283  CLCL (4kb,250b)        : 92       -       -  2134.36  0.65% 1021.74 285.65
T265  CLI m,i                : 92     9.9    10.1     9.79  0.72%    4.69   1.31
T266  CLM R,i,m              : 92    12.4    13.1    12.30  0.89%    5.89   1.65
T263  CLR R,R                : 92     2.6     2.6     2.51  0.97%    1.20   0.34
T430  CP m,m (10d)           : 92   157.5   162.3   157.86  0.67%   75.57  21.13
T431  CP m,m (30d)           : 92   157.4   161.6   158.00  0.83%   75.64  21.15
T260  CR R,R                 : 92     2.6     2.7     2.56  0.76%    1.23   0.34
D290  CS R,R,m (eq,eq)       : 92       -       -    36.80  0.67%   17.62   4.93
D291  CS R,R,m (eq,ne)       : 92       -       -    36.84  1.11%   17.63   4.93
D292  CS R,R,m (ne)          : 92       -       -   174.66  0.81%   83.61  23.38
T400  CVB R,m                : 92    38.8    40.4    38.90  0.77%   18.62   5.21
T401  CVD R,m                : 92    36.1    37.0    36.04  0.72%   17.25   4.82
D216  D R,m                  : 92       -       -    20.20  0.97%    9.67   2.70
T547  DD R,m                 : 92   156.5   159.4   156.37  0.62%   74.86  20.93
T546  DDR R,R                : 92   152.5   155.3   152.40  0.72%   72.95  20.40
T517  DE R,m                 : 92    25.2    25.9    24.95  0.86%   11.94   3.34
T516  DER R,R                : 92    20.5    21.1    20.30  0.80%    9.72   2.72
D426  DP m,m (10d)           : 92       -       -   442.87  0.92%  212.01  59.27
D427  DP m,m (30d)           : 92       -       -  1030.89  0.65%  493.50 137.97
D215  DR R,R                 : 92       -       -    14.72  0.96%    7.04   1.97
D410  ED (10c)               : 92       -       -   129.41  0.92%   61.95  17.32
D411  ED (30c)               : 92       -       -   389.96  1.29%  186.68  52.19
D415  EDMK (10c)             : 92       -       -   132.04  0.91%   63.21  17.67
D610  EX R,i (bare, via TM)  : 92       -       -    21.75  1.06%   10.41   2.91
D611  EX R,i (bare, via XI)  : 92       -       -    20.85  1.11%    9.98   2.79
T610  EX R,i (with TM)       : 92    30.6    31.2    30.57  0.72%   14.63   4.09
T611  EX R,i (with XI)       : 92    30.7    31.6    30.62  0.71%   14.66   4.10
T553  HDR R,R                : 92     7.9     8.1     7.56  0.77%    3.62   1.01
T523  HER R,R                : 92     6.6     6.7     6.27  0.86%    3.00   0.84
T190  IC R,m                 : 92     9.0     9.2     8.98  0.88%    4.30   1.20
T191  ICM R,i,m (0010)       : 92    15.9    16.4    15.87  0.83%    7.60   2.12
T192  ICM R,i,m (1100)       : 92    16.5    16.9    16.48  0.96%    7.89   2.21
T193  ICM R,i,m (0111)       : 92    12.6    12.9    12.57  0.94%    6.02   1.68
T102  L R,m                  : 92     7.6     8.0     7.47  0.93%    3.58   1.00
T103  L R,m (unal)           : 92     8.7     9.0     8.60  0.86%    4.12   1.15
T101  LA R,n                 : 92     2.8     2.9     2.77  0.97%    1.32   0.37
T534  LCDR R,R               : 92     5.2     5.4     5.20  0.69%    2.49   0.70
T504  LCER R,R               : 92     4.9     5.0     4.84  0.87%    2.32   0.65
T107  LCR R,R                : 92     3.7     3.9     3.65  0.90%    1.75   0.49
T531  LD R,m                 : 92    10.1    10.3     9.99  0.91%    4.78   1.34
T532  LD R,m (unal)          : 92    10.0    10.2     9.87  0.92%    4.73   1.32
T530  LDR R,R                : 92     5.7     5.9     5.70  0.92%    2.73   0.76
T501  LE R,m                 : 92     9.3     9.6     9.22  1.03%    4.41   1.23
T502  LE R,m (unal)          : 92     9.6     9.9     9.57  0.96%    4.58   1.28
T500  LER R,R                : 92     5.6     5.7     5.54  0.85%    2.65   0.74
T104  LH R,m                 : 92     9.2     9.6     9.09  1.05%    4.35   1.22
T105  LH R,m (unal3)         : 92     9.6     9.9     9.48  0.96%    4.54   1.27
T123  LM 2,3,m (2r)          : 92    11.4    11.8    11.30  0.80%    5.41   1.51
T124  LM 2,7,m (6r)          : 92    15.3    15.7    15.28  1.03%    7.31   2.05
T125  LM 0,11,m (12r)        : 92    20.4    20.9    20.33  0.93%    9.73   2.72
T535  LNDR R,R               : 92     5.5     5.6     5.45  0.87%    2.61   0.73
T505  LNER R,R               : 92     5.2     5.3     5.11  0.86%    2.45   0.68
T108  LNR R,R                : 92     3.3     3.4     3.22  1.06%    1.54   0.43
T536  LPDR R,R               : 92     5.4     5.5     5.32  0.77%    2.55   0.71
T506  LPER R,R               : 92     5.7     6.0     5.68  0.82%    2.72   0.76
T109  LPR R,R                : 92     3.8     3.9     3.79  0.75%    1.81   0.51
T100  LR R,R                 : 92     2.1     2.3     2.09  1.31%    1.00   0.28
T537  LRDR R,R               : 92     7.4     7.8     7.38  0.80%    3.53   0.99
T507  LRER R,R               : 92     6.2     6.4     6.17  0.92%    2.96   0.83
T533  LTDR R,R               : 92     5.2     5.3     5.18  0.76%    2.48   0.69
T503  LTER R,R               : 92     5.1     5.2     5.01  0.94%    2.40   0.67
T106  LTR R,R                : 92     3.6     3.7     3.52  0.78%    1.68   0.47
T211  M R,m                  : 92    10.2    11.2     9.94  0.91%    4.76   1.33
T545  MD R,m                 : 92    22.5    23.0    22.32  0.75%   10.68   2.99
T544  MDR R,R                : 92    16.6    17.0    16.37  0.96%    7.84   2.19
T515  ME R,m                 : 92    15.3    15.7    15.06  0.85%    7.21   2.02
T514  MER R,R                : 92    10.3    10.6    10.06  0.80%    4.81   1.35
T212  MH R,m                 : 92    10.3    10.5    10.02  0.96%    4.80   1.34
T424  MP m,m (10d)           : 92   277.6   286.9   277.65  1.02%  132.91  37.16
T425  MP m,m (30d)           : 92   277.1   283.8   277.56  0.89%  132.87  37.15
T210  MR R,R                 : 92     6.0     6.2     5.75  0.72%    2.75   0.77
T150  MVC m,m (5c)           : 92    17.7    18.3    17.66  0.89%    8.45   2.36
T151  MVC m,m (10c)          : 92    20.1    20.8    20.01  0.77%    9.58   2.68
T152  MVC m,m (15c)          : 92    19.2    19.9    19.15  0.96%    9.17   2.56
T153  MVC m,m (30c)          : 92    19.7    20.3    19.73  0.93%    9.44   2.64
T154  MVC m,m (100c)         : 92    23.1    24.2    23.10  0.94%   11.06   3.09
T155  MVC m,m (250c)         : 92    31.4    32.4    31.20  1.00%   14.94   4.18
T156  MVC m,m (250c,over1)   : 92   350.1   362.4   351.62  0.98%  168.33  47.06
T157  MVC m,m (250c,over2)   : 92    31.3    32.5    31.22  0.95%   14.95   4.18
T167  MVCIN m,m (10c)        : 92    73.3    74.8    73.19  0.83%   35.04   9.80
T168  MVCIN m,m (30c)        : 92   203.6   208.3   204.04  0.78%   97.67  27.31
T169  MVCIN m,m (100c)       : 92   665.6   682.7   667.17  0.76%  319.38  89.29
D170  MVCL (10b)             : 92       -       -    24.92  1.53%   11.93   3.34
D171  MVCL (100b)            : 92       -       -    31.79  1.23%   15.22   4.25
D172  MVCL (250b)            : 92       -       -    40.94  1.28%   19.60   5.48
D173  MVCL (1kb)             : 92       -       -    96.68  0.93%   46.28  12.94
D174  MVCL (4kb)             : 92       -       -   325.75  0.94%  155.94  43.60
D175  MVCL (100b,pad)        : 92       -       -    19.89  1.31%    9.52   2.66
D176  MVCL (1kb,pad)         : 92       -       -    36.18  1.18%   17.32   4.84
D177  MVCL (4kb,pad)         : 92       -       -    97.64  1.10%   46.74  13.07
D178  MVCL (1kb,over1)       : 92       -       -    10.77  2.21%    5.16   1.44
D179  MVCL (1kb,over2)       : 92       -       -   103.63  1.06%   49.61  13.87
T160  MVI m,i                : 92     7.9     8.2     7.91  0.87%    3.78   1.06
T161  MVN m,m (10c)          : 92    20.1    20.5    20.06  0.79%    9.60   2.69
T162  MVN m,m (30c)          : 92    33.8    34.9    33.78  0.90%   16.17   4.52
T450  MVO m,m (10d)          : 92    50.0    51.9    49.91  0.80%   23.89   6.68
T451  MVO m,m (30d)          : 92   128.6   132.5   129.11  0.89%   61.81  17.28
T165  MVZ m,m (10c)          : 92    20.0    20.6    20.02  0.89%    9.58   2.68
T166  MVZ m,m (30c)          : 92    33.8    35.1    33.75  0.76%   16.16   4.52
T561  MXR R,R                : 92    30.1    31.0    29.68  0.75%   14.21   3.97
T238  NR R,R                 : 92     3.6     3.7     3.56  0.98%    1.71   0.48
T239  OR R,R                 : 92     3.6     3.7     3.55  0.77%    1.70   0.47
T402  PACK m,m (5d)          : 92    38.7    41.3    38.52  0.86%   18.44   5.16
T403  PACK m,m (15d)         : 92    96.1    99.1    96.11  0.89%   46.01  12.86
T206  S R,m                  : 92    10.0    10.4     9.89  0.81%    4.73   1.32
T543  SD R,m                 : 92    21.0    21.4    20.98  0.71%   10.04   2.81
T542  SDR R,R                : 92    15.6    16.1    15.53  0.84%    7.43   2.08
T513  SE R,m                 : 92    20.0    20.5    19.97  0.88%    9.56   2.67
T512  SER R,R                : 92    14.7    15.6    14.64  0.79%    7.01   1.96
T207  SH R,m                 : 92    10.7    10.9    10.58  0.85%    5.07   1.42
T209  SL R,m                 : 92    10.7    11.0    10.60  0.75%    5.07   1.42
T220  SLA R,1                : 92     6.8     6.9     6.47  0.94%    3.10   0.87
T221  SLDA R,1               : 92     7.6     7.8     7.43  0.91%    3.56   0.99
T241  SLDL R,1               : 92     6.0     6.1     5.78  0.87%    2.77   0.77
T245  SLDL R,60              : 92     6.0     6.1     5.77  0.89%    2.76   0.77
T240  SLL R,1                : 92     4.6     4.8     4.31  1.01%    2.07   0.58
T244  SLL R,30               : 92     4.6     4.7     4.32  1.11%    2.07   0.58
T208  SLR R,R                : 92     2.9     3.0     2.87  0.85%    1.37   0.38
T422  SP m,m (10d)           : 92   223.6   231.4   223.74  0.98%  107.10  29.94
T423  SP m,m (30d)           : 92   232.7   240.7   233.56  1.17%  111.81  31.26
T601  SPM R                  : 92     2.8     2.9     2.79  0.73%    1.34   0.37
T205  SR R,R                 : 92     3.9     4.0     3.86  0.71%    1.85   0.52
