file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-03-31-08:05:09_J6157_PERF-ASM.prt   193 2.55e+10  276.54s  4m36.54   92.3
2018-03-31-08:09:59_J6158_PERF-ASM.prt   198 2.62e+10  283.25s  4m43.25   92.4
2018-03-31-08:14:52_J6159_PERF-ASM.prt   199 2.63e+10  285.04s  4m45.04   92.3
2018-03-31-08:19:35_J6160_PERF-ASM.prt   193 2.55e+10  276.43s  4m36.43   92.3
2018-03-31-08:24:22_J6161_PERF-ASM.prt   194 2.57e+10  277.81s  4m37.81   92.4
2018-03-31-08:29:13_J6162_PERF-ASM.prt   198 2.62e+10  283.44s  4m43.44   92.4
2018-03-31-08:34:04_J6163_PERF-ASM.prt   198 2.62e+10  283.52s  4m43.52   92.4
2018-03-31-08:38:52_J6164_PERF-ASM.prt   195 2.58e+10  279.08s  4m39.08   92.4
2018-03-31-08:43:43_J6165_PERF-ASM.prt   198 2.62e+10  283.39s  4m43.39   92.4
2018-03-31-08:48:34_J6166_PERF-ASM.prt   198 2.62e+10  283.71s  4m43.71   92.3
2018-03-31-08:53:23_J6167_PERF-ASM.prt   197 2.61e+10  282.12s  4m42.12   92.3
2018-03-31-08:58:14_J6168_PERF-ASM.prt   198 2.62e+10  283.51s  4m43.51   92.4
2018-03-31-09:03:05_J6169_PERF-ASM.prt   198 2.62e+10  283.41s  4m43.41   92.4
2018-03-31-09:07:52_J6170_PERF-ASM.prt   195 2.58e+10  279.11s  4m39.11   92.4
2018-03-31-09:12:43_J6171_PERF-ASM.prt   197 2.61e+10  282.16s  4m42.16   92.3
2018-03-31-09:17:34_J6172_PERF-ASM.prt   198 2.62e+10  283.32s  4m43.32   92.4
2018-03-31-09:22:20_J6173_PERF-ASM.prt   194 2.57e+10  277.72s  4m37.72   92.4
2018-03-31-09:27:12_J6174_PERF-ASM.prt   198 2.62e+10  283.30s  4m43.30   92.4
2018-03-31-09:32:03_J6175_PERF-ASM.prt   198 2.62e+10  283.46s  4m43.46   92.4
2018-03-31-09:36:54_J6176_PERF-ASM.prt   198 2.62e+10  283.39s  4m43.39   92.4
2018-03-31-09:41:40_J6177_PERF-ASM.prt   195 2.58e+10  279.03s  4m39.03   92.4
2018-03-31-09:46:32_J6178_PERF-ASM.prt   198 2.62e+10  283.62s  4m43.62   92.3
2018-03-31-09:51:19_J6179_PERF-ASM.prt   194 2.57e+10  277.74s  4m37.74   92.4
2018-03-31-09:56:06_J6180_PERF-ASM.prt   195 2.58e+10  279.18s  4m39.18   92.4
2018-03-31-10:00:56_J6181_PERF-ASM.prt   198 2.62e+10  283.55s  4m43.55   92.3
2018-03-31-10:05:49_J6182_PERF-ASM.prt   198 2.62e+10  283.53s  4m43.53   92.4
2018-03-31-10:10:36_J6183_PERF-ASM.prt   196 2.59e+10  280.40s  4m40.40   92.4
2018-03-31-10:15:24_J6184_PERF-ASM.prt   195 2.58e+10  279.25s  4m39.25   92.3
2018-03-31-10:20:16_J6185_PERF-ASM.prt   198 2.62e+10  283.50s  4m43.50   92.4
2018-03-31-10:25:08_J6186_PERF-ASM.prt   198 2.62e+10  283.38s  4m43.38   92.4
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30     2.1     2.2     2.08  0.94%    1.00   0.28
T101  LA R,n                 : 30     3.1     3.3     3.05  1.16%    1.46   0.41
T102  L R,m                  : 30     7.5     7.7     7.41  0.56%    3.56   1.00
T103  L R,m (unal)           : 30     8.7     9.0     8.66  0.92%    4.16   1.17
T104  LH R,m                 : 30     9.2     9.3     9.08  0.55%    4.36   1.23
T105  LH R,m (unal3)         : 30     9.4     9.7     9.38  1.01%    4.50   1.27
T106  LTR R,R                : 30     3.5     3.6     3.48  0.82%    1.67   0.47
T107  LCR R,R                : 30     3.9     4.0     3.81  0.73%    1.83   0.51
T108  LNR R,R                : 30     3.3     3.4     3.27  0.84%    1.57   0.44
T109  LPR R,R                : 30     4.2     4.4     4.19  0.74%    2.01   0.57
T110  ST R,m                 : 30     7.9     8.2     7.77  0.77%    3.73   1.05
T111  ST R,m (unal)          : 30     8.7     9.4     8.70  4.60%    4.18   1.17
T112  STH R,m                : 30     9.6     9.9     9.48  0.69%    4.55   1.28
T113  STH R,m (unal1)        : 30     9.5     9.8     9.43  0.95%    4.52   1.27
T114  STH R,m (unal3)        : 30     9.5     9.7     9.41  1.08%    4.52   1.27
T115  STC R,m                : 30     8.9     9.1     8.80  0.92%    4.22   1.19
T116  STCM R,i,m (0010)      : 30    12.4    12.5    12.29  0.90%    5.90   1.66
T117  STCM R,i,m (1100)      : 30    14.1    14.3    14.03  0.84%    6.73   1.89
T118  STCM R,i,m (0111)      : 30     9.9    10.8     9.77  0.69%    4.69   1.32
T120  STM 2,3,m (2r)         : 30    11.1    12.0    11.03  0.98%    5.29   1.49
T121  STM 2,7,m (6r)         : 30    14.5    14.9    14.40  0.72%    6.91   1.94
T122  STM 14,12,m (15r)      : 30    20.1    20.4    19.97  0.42%    9.58   2.70
T123  LM 2,3,m (2r)          : 30    11.4    11.6    11.36  0.78%    5.45   1.53
T124  LM 2,7,m (6r)          : 30    15.3    15.7    15.28  0.96%    7.33   2.06
T125  LM 0,11,m (12r)        : 30    20.8    21.4    20.75  0.74%    9.96   2.80
T150  MVC m,m (5c)           : 30    17.7    18.1    17.66  1.11%    8.47   2.38
T151  MVC m,m (10c)          : 30    20.1    20.5    20.03  0.76%    9.61   2.70
T152  MVC m,m (15c)          : 30    19.2    19.7    19.19  0.93%    9.21   2.59
T153  MVC m,m (30c)          : 30    19.6    20.3    19.64  1.00%    9.42   2.65
T154  MVC m,m (100c)         : 30    32.3    33.1    32.45  1.07%   15.57   4.38
T155  MVC m,m (250c)         : 30    31.5    32.0    31.27  0.79%   15.01   4.22
T156  MVC m,m (250c,over1)   : 30   350.7   355.8   352.09  0.69%  168.96  47.52
T157  MVC m,m (250c,over2)   : 30    31.4    31.9    31.13  0.73%   14.94   4.20
T160  MVI m,i                : 30     8.3     8.5     8.30  0.78%    3.98   1.12
T161  MVN m,m (10c)          : 30    20.5    21.0    20.54  0.85%    9.86   2.77
T162  MVN m,m (30c)          : 30    34.3    34.9    34.31  0.70%   16.46   4.63
T165  MVZ m,m (10c)          : 30    20.5    20.9    20.51  0.56%    9.84   2.77
T166  MVZ m,m (30c)          : 30    34.4    35.6    34.34  0.96%   16.48   4.63
T167  MVCIN m,m (10c)        : 30    73.5    74.8    73.36  0.63%   35.20   9.90
