file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-03-30-15:42:10_J5958_PERF-ASM.prt   193 2.55e+10  271.97s  4m31.97   93.8
2018-03-30-15:46:49_J5959_PERF-ASM.prt   193 2.55e+10  272.57s  4m32.57   93.6
2018-03-30-15:51:37_J5960_PERF-ASM.prt   198 2.62e+10  278.29s  4m38.29   94.1
2018-03-30-15:56:22_J5961_PERF-ASM.prt   197 2.61e+10  276.73s  4m36.73   94.1
2018-03-30-16:01:06_J5962_PERF-ASM.prt   198 2.62e+10  278.19s  4m38.19   94.1
2018-03-30-16:05:45_J5963_PERF-ASM.prt   193 2.55e+10  270.97s  4m30.97   94.2
2018-03-30-16:10:28_J5964_PERF-ASM.prt   196 2.59e+10  275.43s  4m35.43   94.1
2018-03-30-16:15:09_J5965_PERF-ASM.prt   193 2.55e+10  270.87s  4m30.87   94.2
2018-03-30-16:19:53_J5966_PERF-ASM.prt   198 2.62e+10  278.09s  4m38.09   94.2
2018-03-30-16:24:35_J5967_PERF-ASM.prt   195 2.58e+10  273.92s  4m33.92   94.1
2018-03-30-16:29:20_J5968_PERF-ASM.prt   197 2.61e+10  276.47s  4m36.47   94.2
2018-03-30-16:34:04_J5969_PERF-ASM.prt   197 2.61e+10  276.80s  4m36.80   94.1
2018-03-30-16:38:37_J5970_PERF-ASM.prt   189 2.50e+10  265.51s  4m25.51   94.1
2018-03-30-16:43:23_J5971_PERF-ASM.prt   197 2.61e+10  277.02s  4m37.02   94.0
2018-03-30-16:48:08_J5972_PERF-ASM.prt   197 2.61e+10  276.71s  4m36.71   94.2
2018-03-30-16:52:53_J5973_PERF-ASM.prt   197 2.61e+10  276.73s  4m36.73   94.1
2018-03-30-16:57:38_J5974_PERF-ASM.prt   197 2.61e+10  276.68s  4m36.68   94.2
2018-03-30-17:02:22_J5975_PERF-ASM.prt   197 2.61e+10  276.72s  4m36.72   94.2
2018-03-30-17:07:05_J5976_PERF-ASM.prt   197 2.61e+10  276.82s  4m36.82   94.1
2018-03-30-17:11:51_J5977_PERF-ASM.prt   197 2.61e+10  276.72s  4m36.72   94.2
2018-03-30-17:16:29_J5978_PERF-ASM.prt   193 2.55e+10  271.14s  4m31.14   94.1
2018-03-30-17:21:11_J5979_PERF-ASM.prt   197 2.61e+10  276.84s  4m36.84   94.1
2018-03-30-17:25:49_J5980_PERF-ASM.prt   192 2.54e+10  269.77s  4m29.77   94.1
2018-03-30-17:30:33_J5981_PERF-ASM.prt   197 2.61e+10  276.80s  4m36.80   94.1
2018-03-30-17:35:18_J5982_PERF-ASM.prt   197 2.61e+10  276.99s  4m36.99   94.1
2018-03-30-17:40:03_J5983_PERF-ASM.prt   197 2.61e+10  276.71s  4m36.71   94.2
2018-03-30-17:44:42_J5984_PERF-ASM.prt   193 2.55e+10  271.05s  4m31.05   94.2
2018-03-30-17:49:28_J5985_PERF-ASM.prt   197 2.61e+10  278.07s  4m38.07   93.7
2018-03-30-17:54:16_J5986_PERF-ASM.prt   198 2.62e+10  278.38s  4m38.38   94.1
2018-03-30-17:58:56_J5987_PERF-ASM.prt   194 2.57e+10  272.59s  4m32.59   94.1
2018-03-30-18:03:41_J5988_PERF-ASM.prt   197 2.61e+10  276.69s  4m36.69   94.2
2018-03-30-18:08:26_J5989_PERF-ASM.prt   197 2.61e+10  276.74s  4m36.74   94.1
2018-03-30-18:13:11_J5990_PERF-ASM.prt   197 2.61e+10  276.75s  4m36.75   94.1
