file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-01-18:00:05_J3098_PERF-ASM.prt   204 2.70e+10  294.62s  4m54.62   91.6
2018-04-01-18:05:04_J3099_PERF-ASM.prt   203 2.68e+10  293.57s  4m53.57   91.4
2018-04-01-18:09:59_J3100_PERF-ASM.prt   201 2.66e+10  290.08s  4m50.08   91.6
2018-04-01-18:14:58_J3101_PERF-ASM.prt   204 2.70e+10  294.27s  4m54.27   91.7
2018-04-01-18:19:46_J3102_PERF-ASM.prt   196 2.59e+10  282.89s  4m42.89   91.6
2018-04-01-18:24:43_J3103_PERF-ASM.prt   202 2.67e+10  291.38s  4m51.38   91.7
2018-04-01-18:29:41_J3104_PERF-ASM.prt   203 2.68e+10  292.88s  4m52.88   91.7
2018-04-01-18:34:36_J3105_PERF-ASM.prt   201 2.66e+10  289.98s  4m49.98   91.7
2018-04-01-18:39:31_J3106_PERF-ASM.prt   201 2.66e+10  289.70s  4m49.70   91.8
2018-04-01-18:44:26_J3107_PERF-ASM.prt   201 2.66e+10  289.87s  4m49.87   91.7
2018-04-01-18:49:22_J3108_PERF-ASM.prt   202 2.67e+10  291.24s  4m51.24   91.7
2018-04-01-18:54:19_J3109_PERF-ASM.prt   202 2.67e+10  291.44s  4m51.44   91.7
2018-04-01-18:59:15_J3110_PERF-ASM.prt   202 2.67e+10  291.35s  4m51.35   91.7
2018-04-01-19:04:10_J3111_PERF-ASM.prt   201 2.66e+10  289.85s  4m49.85   91.7
2018-04-01-19:09:06_J3112_PERF-ASM.prt   202 2.67e+10  291.27s  4m51.27   91.7
2018-04-01-19:14:09_J3113_PERF-ASM.prt   204 2.70e+10  297.90s  4m57.90   90.6
2018-04-01-19:19:09_J3114_PERF-ASM.prt   204 2.70e+10  295.00s  4m55.00   91.5
2018-04-01-19:24:06_J3115_PERF-ASM.prt   202 2.67e+10  291.68s  4m51.68   91.6
2018-04-01-19:29:04_J3116_PERF-ASM.prt   203 2.68e+10  293.03s  4m53.03   91.6
2018-04-01-19:33:58_J3117_PERF-ASM.prt   200 2.64e+10  288.71s  4m48.71   91.6
2018-04-01-19:38:55_J3118_PERF-ASM.prt   202 2.67e+10  291.28s  4m51.28   91.7
2018-04-01-19:43:51_J3119_PERF-ASM.prt   202 2.67e+10  291.40s  4m51.40   91.7
2018-04-01-19:48:48_J3120_PERF-ASM.prt   202 2.67e+10  291.46s  4m51.46   91.7
2018-04-01-19:53:47_J3121_PERF-ASM.prt   204 2.70e+10  294.25s  4m54.25   91.7
2018-04-01-19:58:45_J3122_PERF-ASM.prt   203 2.68e+10  292.93s  4m52.93   91.6
2018-04-01-20:03:41_J3123_PERF-ASM.prt   202 2.67e+10  291.26s  4m51.26   91.7
2018-04-01-20:08:37_J3124_PERF-ASM.prt   201 2.66e+10  290.09s  4m50.09   91.6
2018-04-01-20:13:33_J3125_PERF-ASM.prt   202 2.67e+10  291.45s  4m51.45   91.7
2018-04-01-20:18:28_J3126_PERF-ASM.prt   201 2.66e+10  290.19s  4m50.19   91.6
2018-04-01-20:23:27_J3127_PERF-ASM.prt   203 2.68e+10  293.03s  4m53.03   91.6
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30     2.3     2.4     2.27  0.88%    1.00   0.30
T101  LA R,n                 : 30     3.1     3.2     3.08  0.63%    1.35   0.41
T102  L R,m                  : 30     7.5     7.7     7.47  0.80%    3.29   1.00
T103  L R,m (unal)           : 30     8.6     8.8     8.56  0.62%    3.77   1.15
T104  LH R,m                 : 30     9.1     9.3     9.01  0.67%    3.97   1.21
T105  LH R,m (unal3)         : 30    10.4    10.6    10.29  0.71%    4.53   1.38
T106  LTR R,R                : 30     3.5     3.6     3.48  0.52%    1.53   0.47
T107  LCR R,R                : 30     3.6     3.6     3.51  0.43%    1.55   0.47
T108  LNR R,R                : 30     3.3     3.3     3.22  0.74%    1.42   0.43
T109  LPR R,R                : 30     3.9     4.0     3.84  0.92%    1.69   0.51
T110  ST R,m                 : 30     7.6     7.7     7.50  0.62%    3.30   1.00
T111  ST R,m (unal)          : 30     8.4     8.5     8.30  0.70%    3.66   1.11
T112  STH R,m                : 30     9.4     9.6     9.35  0.72%    4.12   1.25
T113  STH R,m (unal1)        : 30     9.4     9.6     9.37  0.71%    4.12   1.25
T114  STH R,m (unal3)        : 30     9.4     9.6     9.31  0.46%    4.10   1.25
T115  STC R,m                : 30     8.9     9.2     8.86  0.50%    3.90   1.19
T116  STCM R,i,m (0010)      : 30    14.1    14.3    14.04  0.47%    6.18   1.88
T117  STCM R,i,m (1100)      : 30    15.0    15.2    14.94  0.43%    6.58   2.00
T118  STCM R,i,m (0111)      : 30    10.1    10.3    10.00  0.57%    4.40   1.34
T120  STM 2,3,m (2r)         : 30    11.3    11.5    11.24  0.53%    4.95   1.50
T121  STM 2,7,m (6r)         : 30    14.3    14.6    14.31  0.71%    6.30   1.92
T122  STM 14,12,m (15r)      : 30    21.0    21.4    21.08  0.61%    9.28   2.82
T123  LM 2,3,m (2r)          : 30    11.7    11.9    11.65  0.47%    5.13   1.56
T124  LM 2,7,m (6r)          : 30    15.3    15.5    15.24  0.55%    6.71   2.04
T125  LM 0,11,m (12r)        : 30    20.1    20.4    20.05  0.55%    8.83   2.68
T150  MVC m,m (5c)           : 30    18.7    19.0    18.66  0.54%    8.21   2.50
T151  MVC m,m (10c)          : 30    20.9    21.3    20.98  0.49%    9.24   2.81
T152  MVC m,m (15c)          : 30    20.0    20.3    20.04  0.63%    8.82   2.68
T153  MVC m,m (30c)          : 30    20.8    21.3    20.89  1.43%    9.20   2.80
T154  MVC m,m (100c)         : 30    24.7    25.1    24.62  0.64%   10.84   3.30
T155  MVC m,m (250c)         : 30    34.8    35.5    34.77  0.56%   15.31   4.65
T156  MVC m,m (250c,over1)   : 30   379.4   384.9   381.12  0.57%  167.80  51.03
T157  MVC m,m (250c,over2)   : 30    34.8    35.3    34.61  0.51%   15.24   4.63
T160  MVI m,i                : 30     8.0     8.1     7.93  0.56%    3.49   1.06
T161  MVN m,m (10c)          : 30    21.9    22.3    21.88  0.59%    9.63   2.93
T162  MVN m,m (30c)          : 30    37.4    37.9    37.28  0.45%   16.41   4.99
T165  MVZ m,m (10c)          : 30    21.9    22.2    21.91  0.63%    9.65   2.93
T166  MVZ m,m (30c)          : 30    37.3    38.0    37.29  0.56%   16.42   4.99
T167  MVCIN m,m (10c)        : 30    73.8    74.7    73.87  0.51%   32.52   9.89
