file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-01-09:33:05_J0001_PERF-ASM.prt   118 1.56e+10  247.79s  4m07.79   63.0
2018-04-01-09:37:20_J0002_PERF-ASM.prt   119 1.57e+10  248.79s  4m08.79   63.3
2018-04-01-09:41:33_J0003_PERF-ASM.prt   118 1.56e+10  247.18s  4m07.18   63.1
2018-04-01-09:45:46_J0004_PERF-ASM.prt   118 1.56e+10  247.03s  4m07.03   63.2
2018-04-01-09:49:57_J0005_PERF-ASM.prt   117 1.55e+10  244.97s  4m04.97   63.2
2018-04-01-09:54:12_J0006_PERF-ASM.prt   119 1.57e+10  249.21s  4m09.21   63.2
2018-04-01-09:58:27_J0007_PERF-ASM.prt   119 1.57e+10  248.91s  4m08.91   63.2
2018-04-01-10:02:40_J0008_PERF-ASM.prt   118 1.56e+10  246.67s  4m06.67   63.3
2018-04-01-10:06:53_J0009_PERF-ASM.prt   118 1.56e+10  246.73s  4m06.73   63.2
2018-04-01-10:11:04_J0010_PERF-ASM.prt   117 1.55e+10  244.94s  4m04.94   63.2
2018-04-01-10:15:18_J0011_PERF-ASM.prt   119 1.57e+10  249.11s  4m09.11   63.2
2018-04-01-10:19:31_J0012_PERF-ASM.prt   118 1.56e+10  246.84s  4m06.84   63.2
2018-04-01-10:23:46_J0013_PERF-ASM.prt   119 1.57e+10  249.14s  4m09.14   63.2
2018-04-01-10:27:59_J0014_PERF-ASM.prt   118 1.56e+10  246.87s  4m06.87   63.2
2018-04-01-10:32:12_J0015_PERF-ASM.prt   118 1.56e+10  246.96s  4m06.96   63.2
2018-04-01-10:36:25_J0016_PERF-ASM.prt   118 1.56e+10  246.89s  4m06.89   63.2
2018-04-01-10:40:38_J0017_PERF-ASM.prt   118 1.56e+10  246.97s  4m06.97   63.2
2018-04-01-10:44:51_J0018_PERF-ASM.prt   118 1.56e+10  247.20s  4m07.20   63.1
2018-04-01-10:49:06_J0019_PERF-ASM.prt   119 1.57e+10  249.17s  4m09.17   63.2
2018-04-01-10:53:20_J0020_PERF-ASM.prt   118 1.56e+10  246.92s  4m06.92   63.2
2018-04-01-10:57:33_J0021_PERF-ASM.prt   118 1.56e+10  247.00s  4m07.00   63.2
2018-04-01-11:01:46_J0022_PERF-ASM.prt   118 1.56e+10  247.04s  4m07.04   63.2
2018-04-01-11:05:59_J0023_PERF-ASM.prt   118 1.56e+10  246.84s  4m06.84   63.2
2018-04-01-11:10:10_J0024_PERF-ASM.prt   117 1.55e+10  244.80s  4m04.80   63.2
2018-04-01-11:14:23_J0025_PERF-ASM.prt   118 1.56e+10  246.93s  4m06.93   63.2
2018-04-01-11:18:36_J0026_PERF-ASM.prt   118 1.56e+10  246.89s  4m06.89   63.2
2018-04-01-11:22:50_J0027_PERF-ASM.prt   119 1.57e+10  248.32s  4m08.32   63.4
2018-04-01-11:27:04_J0028_PERF-ASM.prt   119 1.57e+10  248.37s  4m08.37   63.4
2018-04-01-11:31:19_J0029_PERF-ASM.prt   119 1.57e+10  248.65s  4m08.65   63.3
2018-04-01-11:35:31_J0030_PERF-ASM.prt   118 1.56e+10  246.34s  4m06.34   63.3
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30     3.1     3.2     3.03  0.59%    1.00   0.24
T101  LA R,n                 : 30     4.0     4.0     3.89  0.69%    1.28   0.30
T102  L R,m                  : 30    12.9    13.1    12.81  0.56%    4.22   1.00
T103  L R,m (unal)           : 30    15.2    15.6    15.11  0.67%    4.98   1.18
T104  LH R,m                 : 30    14.6    14.9    14.53  0.58%    4.79   1.13
T105  LH R,m (unal3)         : 30    16.0    16.2    15.86  0.51%    5.23   1.24
T106  LTR R,R                : 30     4.1     4.2     4.04  0.57%    1.33   0.32
T107  LCR R,R                : 30     4.8     4.9     4.70  0.73%    1.55   0.37
T108  LNR R,R                : 30     4.0     4.1     3.97  0.56%    1.31   0.31
T109  LPR R,R                : 30     5.0     5.1     4.97  0.66%    1.64   0.39
T110  ST R,m                 : 30    12.9    13.4    12.79  0.77%    4.22   1.00
T111  ST R,m (unal)          : 30    13.7    14.3    13.59  0.40%    4.48   1.06
T112  STH R,m                : 30    15.1    15.6    15.04  0.51%    4.96   1.17
T113  STH R,m (unal1)        : 30    14.8    15.1    14.69  0.42%    4.84   1.15
T114  STH R,m (unal3)        : 30    15.5    15.7    15.43  0.40%    5.09   1.20
T115  STC R,m                : 30    14.0    14.5    13.91  1.53%    4.59   1.09
T116  STCM R,i,m (0010)      : 30    19.5    19.8    19.50  0.48%    6.43   1.52
T117  STCM R,i,m (1100)      : 30    19.9    20.9    19.99  0.56%    6.59   1.56
T118  STCM R,i,m (0111)      : 30    16.1    16.6    16.02  0.56%    5.28   1.25
T120  STM 2,3,m (2r)         : 30    17.7    18.1    17.61  0.44%    5.80   1.37
T121  STM 2,7,m (6r)         : 30    21.7    22.0    21.63  0.53%    7.13   1.69
T122  STM 14,12,m (15r)      : 30    30.8    31.1    30.65  0.42%   10.10   2.39
T123  LM 2,3,m (2r)          : 30    17.6    17.8    17.54  0.45%    5.78   1.37
T124  LM 2,7,m (6r)          : 30    21.9    22.1    21.78  0.49%    7.18   1.70
T125  LM 0,11,m (12r)        : 30    28.6    29.0    28.46  0.41%    9.38   2.22
T150  MVC m,m (5c)           : 30    27.3    28.3    27.23  0.50%    8.97   2.13
T151  MVC m,m (10c)          : 30    31.3    33.1    31.40  0.37%   10.35   2.45
T152  MVC m,m (15c)          : 30    29.8    30.8    29.76  0.45%    9.81   2.32
T153  MVC m,m (30c)          : 30    30.5    31.6    30.43  0.23%   10.03   2.38
T154  MVC m,m (100c)         : 30    34.9    36.6    34.87  0.42%   11.49   2.72
T155  MVC m,m (250c)         : 30    56.8    66.4    56.68  0.43%   18.68   4.42
T156  MVC m,m (250c,over1)   : 30   448.4   467.0   449.07  0.43%  148.01  35.06
T157  MVC m,m (250c,over2)   : 30    46.3    46.7    46.01  0.49%   15.17   3.59
T160  MVI m,i                : 30    13.2    13.8    13.18  1.15%    4.34   1.03
T161  MVN m,m (10c)          : 30    31.5    36.4    32.01  1.89%   10.55   2.50
T162  MVN m,m (30c)          : 30    50.3    50.9    50.04  0.52%   16.49   3.91
T165  MVZ m,m (10c)          : 30    31.7    34.9    32.69  1.75%   10.77   2.55
T166  MVZ m,m (30c)          : 30    50.3    52.6    50.13  0.52%   16.52   3.91
T167  MVCIN m,m (10c)        : 30   115.3   121.1   115.30  0.46%   38.00   9.00
