file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-01-18:37:44_J0002_PERF-ASM.prt    99 1.31e+10  276.15s  4m36.15   47.4
2018-04-01-18:42:27_J0003_PERF-ASM.prt    99 1.31e+10  275.04s  4m35.04   47.6
2018-04-01-18:47:13_J0004_PERF-ASM.prt   100 1.32e+10  278.40s  4m38.40   47.5
2018-04-01-18:51:59_J0005_PERF-ASM.prt   100 1.32e+10  278.73s  4m38.73   47.4
2018-04-01-18:56:42_J0006_PERF-ASM.prt    99 1.31e+10  275.82s  4m35.82   47.5
2018-04-01-19:01:28_J0007_PERF-ASM.prt   100 1.32e+10  278.40s  4m38.40   47.5
2018-04-01-19:06:15_J0008_PERF-ASM.prt   100 1.32e+10  278.51s  4m38.51   47.5
2018-04-01-19:11:03_J0009_PERF-ASM.prt   101 1.34e+10  281.21s  4m41.21   47.5
2018-04-01-19:15:47_J0010_PERF-ASM.prt    99 1.31e+10  275.73s  4m35.73   47.5
2018-04-01-19:20:33_J0011_PERF-ASM.prt   100 1.32e+10  278.68s  4m38.68   47.5
2018-04-01-19:25:19_J0012_PERF-ASM.prt   100 1.32e+10  278.78s  4m38.78   47.4
2018-04-01-19:30:08_J0013_PERF-ASM.prt   101 1.34e+10  281.48s  4m41.48   47.5
2018-04-01-19:34:52_J0014_PERF-ASM.prt    99 1.31e+10  276.15s  4m36.15   47.4
2018-04-01-19:39:38_J0015_PERF-ASM.prt   100 1.32e+10  278.73s  4m38.73   47.4
2018-04-01-19:44:22_J0016_PERF-ASM.prt    99 1.31e+10  276.09s  4m36.09   47.4
2018-04-01-19:49:06_J0017_PERF-ASM.prt    99 1.31e+10  276.21s  4m36.21   47.4
2018-04-01-19:53:49_J0018_PERF-ASM.prt    99 1.31e+10  276.13s  4m36.13   47.4
2018-04-01-19:58:35_J0019_PERF-ASM.prt   100 1.32e+10  278.46s  4m38.46   47.5
2018-04-01-20:03:22_J0020_PERF-ASM.prt   100 1.32e+10  278.65s  4m38.65   47.5
2018-04-01-20:08:05_J0021_PERF-ASM.prt    99 1.31e+10  276.18s  4m36.18   47.4
2018-04-01-20:12:49_J0022_PERF-ASM.prt    99 1.31e+10  276.15s  4m36.15   47.4
2018-04-01-20:17:36_J0023_PERF-ASM.prt   100 1.32e+10  279.26s  4m39.26   47.4
2018-04-01-20:22:25_J0024_PERF-ASM.prt   101 1.34e+10  281.52s  4m41.52   47.4
2018-04-01-20:27:09_J0025_PERF-ASM.prt    99 1.31e+10  275.96s  4m35.96   47.4
2018-04-01-20:31:52_J0026_PERF-ASM.prt    99 1.31e+10  276.23s  4m36.23   47.4
2018-04-01-20:36:41_J0027_PERF-ASM.prt   101 1.34e+10  280.98s  4m40.98   47.5
2018-04-01-20:41:30_J0028_PERF-ASM.prt   101 1.34e+10  281.56s  4m41.56   47.4
2018-04-01-20:46:16_J0029_PERF-ASM.prt   100 1.32e+10  278.23s  4m38.23   47.5
2018-04-01-20:51:02_J0030_PERF-ASM.prt   100 1.32e+10  278.58s  4m38.58   47.5
2018-04-01-20:55:45_J0031_PERF-ASM.prt    99 1.31e+10  275.28s  4m35.28   47.6
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30     4.9     5.4     4.83  0.16%    1.00   0.32
T101  LA R,n                 : 30     6.1     6.5     6.00  0.25%    1.24   0.40
T102  L R,m                  : 30    15.2    15.9    15.11  1.12%    3.13   1.00
T103  L R,m (unal)           : 30    17.1    17.9    17.13  0.78%    3.55   1.13
T104  LH R,m                 : 30    17.4    18.2    17.28  0.34%    3.58   1.14
T105  LH R,m (unal3)         : 30    18.2    19.2    18.32  0.93%    3.79   1.21
T106  LTR R,R                : 30     6.2     6.6     6.15  0.43%    1.27   0.41
T107  LCR R,R                : 30     7.6     7.8     7.63  0.26%    1.58   0.51
T108  LNR R,R                : 30     6.4     6.5     6.34  0.59%    1.31   0.42
T109  LPR R,R                : 30     7.7     7.8     7.64  0.36%    1.58   0.51
T110  ST R,m                 : 30    15.2    15.3    15.02  0.21%    3.11   0.99
T111  ST R,m (unal)          : 30    16.1    16.6    16.21  0.80%    3.36   1.07
T112  STH R,m                : 30    17.2    17.5    17.03  0.31%    3.53   1.13
T113  STH R,m (unal1)        : 30    17.4    17.5    17.23  0.31%    3.57   1.14
T114  STH R,m (unal3)        : 30    17.9    18.4    17.95  0.79%    3.72   1.19
T115  STC R,m                : 30    16.2    16.6    16.27  0.43%    3.37   1.08
T116  STCM R,i,m (0010)      : 30    25.4    27.5    26.48  4.75%    5.48   1.75
T117  STCM R,i,m (1100)      : 30    26.3    28.3    27.44  2.45%    5.68   1.82
T118  STCM R,i,m (0111)      : 30    18.9    19.1    18.80  0.33%    3.89   1.24
T120  STM 2,3,m (2r)         : 30    20.8    21.1    20.67  0.44%    4.28   1.37
T121  STM 2,7,m (6r)         : 30    26.7    27.1    26.57  0.30%    5.50   1.76
T122  STM 14,12,m (15r)      : 30    49.1    50.8    49.82  1.10%   10.32   3.30
T123  LM 2,3,m (2r)          : 30    21.1    21.3    20.96  0.42%    4.34   1.39
T124  LM 2,7,m (6r)          : 30    28.4    29.1    28.30  0.21%    5.86   1.87
T125  LM 0,11,m (12r)        : 30    38.6    44.4    38.93  5.14%    8.06   2.58
T150  MVC m,m (5c)           : 30    35.4    35.9    35.39  0.36%    7.33   2.34
T151  MVC m,m (10c)          : 30    40.8    41.6    40.76  0.29%    8.44   2.70
T152  MVC m,m (15c)          : 30    39.0    39.3    38.97  0.40%    8.07   2.58
T153  MVC m,m (30c)          : 30    39.8    40.3    39.85  0.31%    8.25   2.64
T154  MVC m,m (100c)         : 30    58.5    59.4    58.64  0.42%   12.14   3.88
T155  MVC m,m (250c)         : 30    75.4    76.8    75.76  0.81%   15.69   5.02
T156  MVC m,m (250c,over1)   : 30   792.6   794.0   792.86  0.04%  164.21  52.48
T157  MVC m,m (250c,over2)   : 30    73.4    75.2    73.71  0.95%   15.27   4.88
T160  MVI m,i                : 30    15.2    15.4    15.21  0.38%    3.15   1.01
T161  MVN m,m (10c)          : 30    38.6    41.2    38.55  0.31%    7.98   2.55
T162  MVN m,m (30c)          : 30    79.8    80.3    79.50  0.17%   16.47   5.26
T165  MVZ m,m (10c)          : 30    38.6    39.5    38.58  0.26%    7.99   2.55
T166  MVZ m,m (30c)          : 30    79.8    80.7    79.51  0.19%   16.47   5.26
T167  MVCIN m,m (10c)        : 30   142.4   144.2   142.58  0.47%   29.53   9.44
