file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-02-09:39:53_J0066_PERF-ASM.prt    11 1.45e+09  231.76s  3m51.76    6.3
2018-04-02-09:44:29_J0067_PERF-ASM.prt    11 1.45e+09  231.72s  3m51.72    6.3
2018-04-02-09:49:04_J0068_PERF-ASM.prt    11 1.45e+09  231.22s  3m51.22    6.3
2018-04-02-09:53:38_J0069_PERF-ASM.prt    11 1.45e+09  231.97s  3m51.97    6.3
2018-04-02-09:58:12_J0070_PERF-ASM.prt    11 1.45e+09  231.55s  3m51.55    6.3
2018-04-02-10:02:48_J0071_PERF-ASM.prt    11 1.45e+09  231.81s  3m51.81    6.3
2018-04-02-10:07:23_J0072_PERF-ASM.prt    11 1.45e+09  231.85s  3m51.85    6.3
2018-04-02-10:11:58_J0073_PERF-ASM.prt    11 1.45e+09  231.60s  3m51.60    6.3
2018-04-02-10:16:34_J0074_PERF-ASM.prt    11 1.45e+09  231.86s  3m51.86    6.3
2018-04-02-10:21:08_J0075_PERF-ASM.prt    11 1.45e+09  231.78s  3m51.78    6.3
2018-04-02-10:25:42_J0076_PERF-ASM.prt    11 1.45e+09  231.58s  3m51.58    6.3
2018-04-02-10:30:17_J0077_PERF-ASM.prt    11 1.45e+09  231.57s  3m51.57    6.3
2018-04-02-10:34:52_J0078_PERF-ASM.prt    11 1.45e+09  231.84s  3m51.84    6.3
2018-04-02-10:39:27_J0079_PERF-ASM.prt    11 1.45e+09  231.53s  3m51.53    6.3
2018-04-02-10:44:03_J0080_PERF-ASM.prt    11 1.45e+09  231.89s  3m51.89    6.3
2018-04-02-10:48:39_J0081_PERF-ASM.prt    11 1.45e+09  231.73s  3m51.73    6.3
2018-04-02-10:53:14_J0082_PERF-ASM.prt    11 1.45e+09  231.78s  3m51.78    6.3
2018-04-02-10:57:50_J0083_PERF-ASM.prt    11 1.45e+09  231.77s  3m51.77    6.3
2018-04-02-11:02:24_J0084_PERF-ASM.prt    11 1.45e+09  231.95s  3m51.95    6.3
2018-04-02-11:07:00_J0085_PERF-ASM.prt    11 1.45e+09  231.96s  3m51.96    6.3
2018-04-02-11:11:34_J0086_PERF-ASM.prt    11 1.45e+09  231.67s  3m51.67    6.3
2018-04-02-11:16:10_J0087_PERF-ASM.prt    11 1.45e+09  231.76s  3m51.76    6.3
2018-04-02-11:20:45_J0088_PERF-ASM.prt    11 1.45e+09  231.55s  3m51.55    6.3
2018-04-02-11:25:20_J0089_PERF-ASM.prt    11 1.45e+09  231.64s  3m51.64    6.3
2018-04-02-11:29:55_J0090_PERF-ASM.prt    11 1.45e+09  231.58s  3m51.58    6.3
2018-04-02-11:34:31_J0091_PERF-ASM.prt    11 1.45e+09  231.71s  3m51.71    6.3
2018-04-02-11:39:06_J0092_PERF-ASM.prt    11 1.45e+09  231.36s  3m51.36    6.3
2018-04-02-11:43:40_J0093_PERF-ASM.prt    11 1.45e+09  231.84s  3m51.84    6.3
2018-04-02-11:48:16_J0094_PERF-ASM.prt    11 1.45e+09  231.57s  3m51.57    6.3
2018-04-02-11:52:51_J0095_PERF-ASM.prt    11 1.45e+09  231.65s  3m51.65    6.3
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30    29.3    29.8    28.92  0.74%    1.00   0.22
T101  LA R,n                 : 30    49.9    51.0    49.67  0.83%    1.72   0.38
T102  L R,m                  : 30   131.1   132.8   130.71  0.31%    4.52   1.00
T103  L R,m (unal)           : 30   138.3   141.7   138.10  0.58%    4.77   1.06
T104  LH R,m                 : 30   142.2   144.6   141.93  0.68%    4.91   1.09
T105  LH R,m (unal3)         : 30   146.2   148.2   145.87  0.57%    5.04   1.12
T106  LTR R,R                : 30    38.3    40.0    37.94  0.46%    1.31   0.29
T107  LCR R,R                : 30    43.6    46.4    43.31  0.55%    1.50   0.33
T108  LNR R,R                : 30    40.5    42.1    40.18  0.62%    1.39   0.31
T109  LPR R,R                : 30    43.2    44.1    43.10  1.23%    1.49   0.33
T110  ST R,m                 : 30   126.2   128.9   125.95  0.60%    4.35   0.96
T111  ST R,m (unal)          : 30   138.3   142.0   137.97  0.64%    4.77   1.06
T112  STH R,m                : 30   137.4   145.4   136.99  0.61%    4.74   1.05
T113  STH R,m (unal1)        : 30   139.6   141.7   139.25  0.61%    4.81   1.07
T114  STH R,m (unal3)        : 30   141.9   144.0   141.64  0.65%    4.90   1.08
T115  STC R,m                : 30   126.8   129.7   126.46  0.73%    4.37   0.97
T116  STCM R,i,m (0010)      : 30   322.9   327.5   323.62  0.39%   11.19   2.48
T117  STCM R,i,m (1100)      : 30   339.9   351.8   341.34  0.47%   11.80   2.61
T118  STCM R,i,m (0111)      : 30   299.1   307.2   300.61  0.53%   10.39   2.30
T120  STM 2,3,m (2r)         : 30   167.4   170.4   167.29  0.46%    5.78   1.28
T121  STM 2,7,m (6r)         : 30   237.2   239.9   237.10  0.31%    8.20   1.81
T122  STM 14,12,m (15r)      : 30   356.0   359.7   356.55  0.37%   12.33   2.73
T123  LM 2,3,m (2r)          : 30   159.4   162.1   159.25  0.48%    5.51   1.22
T124  LM 2,7,m (6r)          : 30   211.6   223.8   212.31  0.84%    7.34   1.62
T125  LM 0,11,m (12r)        : 30   263.8   267.6   264.30  0.52%    9.14   2.02
T150  MVC m,m (5c)           : 30   297.8   301.6   298.70  0.51%   10.33   2.29
T151  MVC m,m (10c)          : 30   312.0   317.3   313.56  0.61%   10.84   2.40
T152  MVC m,m (15c)          : 30   329.8   335.2   330.95  0.47%   11.44   2.53
T153  MVC m,m (30c)          : 30   372.1   388.1   373.79  0.62%   12.92   2.86
T154  MVC m,m (100c)         : 30   494.3   500.8   496.71  0.34%   17.17   3.80
T155  MVC m,m (250c)         : 30   895.6   907.5   899.11  0.51%   31.09   6.88
T156  MVC m,m (250c,over1)   : 30  1134.1  1155.7  1140.12  0.64%   39.42   8.72
T157  MVC m,m (250c,over2)   : 30   860.9   887.7   864.13  0.41%   29.88   6.61
T160  MVI m,i                : 30   115.5   117.2   115.72  0.49%    4.00   0.89
T161  MVN m,m (10c)          : 30   343.9   355.6   344.66  0.48%   11.92   2.64
T162  MVN m,m (30c)          : 30   525.4   531.7   526.88  0.58%   18.22   4.03
T165  MVZ m,m (10c)          : 30   343.0   347.7   344.24  0.59%   11.90   2.63
T166  MVZ m,m (30c)          : 30   525.5   532.9   526.48  0.50%   18.20   4.03
