file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-06-19:49:18_J0001_PERF-ASM.prt   103 1.36e+10  258.12s  4m18.12   52.8
2018-04-06-19:54:03_J0002_PERF-ASM.prt   111 1.47e+10  277.64s  4m37.64   52.9
2018-04-06-19:58:48_J0003_PERF-ASM.prt   111 1.47e+10  277.59s  4m37.59   52.9
2018-04-06-20:03:34_J0004_PERF-ASM.prt   111 1.47e+10  277.74s  4m37.74   52.9
2018-04-06-20:08:19_J0005_PERF-ASM.prt   111 1.47e+10  277.90s  4m37.90   52.8
2018-04-06-20:13:02_J0006_PERF-ASM.prt   110 1.45e+10  274.79s  4m34.79   52.9
2018-04-06-20:17:47_J0007_PERF-ASM.prt   111 1.47e+10  277.15s  4m37.15   53.0
2018-04-06-20:22:32_J0008_PERF-ASM.prt   111 1.47e+10  277.50s  4m37.50   52.9
2018-04-06-20:27:20_J0009_PERF-ASM.prt   112 1.48e+10  280.04s  4m40.04   52.9
2018-04-06-20:32:05_J0010_PERF-ASM.prt   111 1.47e+10  277.41s  4m37.41   52.9
2018-04-06-20:36:42_J0011_PERF-ASM.prt   108 1.43e+10  269.65s  4m29.65   53.0
2018-04-06-20:41:27_J0012_PERF-ASM.prt   111 1.47e+10  277.24s  4m37.24   52.9
2018-04-06-20:46:15_J0013_PERF-ASM.prt   112 1.48e+10  280.33s  4m40.33   52.8
2018-04-06-20:50:58_J0014_PERF-ASM.prt   110 1.45e+10  275.41s  4m35.41   52.8
2018-04-06-20:55:46_J0015_PERF-ASM.prt   112 1.48e+10  280.48s  4m40.48   52.8
2018-04-06-21:00:34_J0016_PERF-ASM.prt   112 1.48e+10  280.21s  4m40.21   52.9
2018-04-06-21:05:16_J0017_PERF-ASM.prt   110 1.45e+10  274.76s  4m34.76   52.9
2018-04-06-21:10:07_J0018_PERF-ASM.prt   113 1.49e+10  282.67s  4m42.67   52.9
2018-04-06-21:14:52_J0019_PERF-ASM.prt   111 1.47e+10  277.40s  4m37.40   52.9
2018-04-06-21:19:36_J0020_PERF-ASM.prt   111 1.47e+10  276.82s  4m36.82   53.0
2018-04-06-21:24:22_J0021_PERF-ASM.prt   111 1.47e+10  278.40s  4m38.40   52.7
2018-04-06-21:29:10_J0022_PERF-ASM.prt   112 1.48e+10  279.87s  4m39.87   52.9
2018-04-06-21:33:55_J0023_PERF-ASM.prt   111 1.47e+10  277.78s  4m37.78   52.8
2018-04-06-21:38:39_J0024_PERF-ASM.prt   111 1.47e+10  276.95s  4m36.95   53.0
2018-04-06-21:43:25_J0025_PERF-ASM.prt   111 1.47e+10  277.84s  4m37.84   52.8
2018-04-06-21:48:11_J0026_PERF-ASM.prt   111 1.47e+10  277.83s  4m37.83   52.8
2018-04-06-21:52:53_J0027_PERF-ASM.prt   110 1.45e+10  274.58s  4m34.58   53.0
2018-04-06-21:57:39_J0028_PERF-ASM.prt   111 1.47e+10  278.17s  4m38.17   52.8
2018-04-06-22:02:27_J0029_PERF-ASM.prt   112 1.48e+10  279.97s  4m39.97   52.9
2018-04-06-22:07:09_J0030_PERF-ASM.prt   110 1.45e+10  274.40s  4m34.40   53.0
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30     4.4     4.9     4.33  0.51%    1.00   0.32
T101  LA R,n                 : 30     5.5     5.8     5.37  0.68%    1.24   0.40
T102  L R,m                  : 30    13.6    15.7    13.47  1.12%    3.11   1.00
T103  L R,m (unal)           : 30    15.6    17.2    15.44  0.48%    3.56   1.15
T104  LH R,m                 : 30    15.5    15.8    15.44  0.53%    3.56   1.15
T105  LH R,m (unal3)         : 30    16.6    16.8    16.48  0.86%    3.80   1.22
T106  LTR R,R                : 30     5.6     6.3     5.51  0.78%    1.27   0.41
T107  LCR R,R                : 30     6.9     7.3     6.83  0.85%    1.58   0.51
T108  LNR R,R                : 30     5.7     6.1     5.69  0.80%    1.31   0.42
T109  LPR R,R                : 30     6.9     7.0     6.85  0.57%    1.58   0.51
T110  ST R,m                 : 30    13.6    13.8    13.44  0.34%    3.10   1.00
T111  ST R,m (unal)          : 30    14.7    14.9    14.59  0.53%    3.37   1.08
T112  STH R,m                : 30    15.4    15.8    15.27  0.60%    3.52   1.13
T113  STH R,m (unal1)        : 30    15.5    15.8    15.44  0.38%    3.56   1.15
T114  STH R,m (unal3)        : 30    16.2    16.5    16.15  0.49%    3.73   1.20
T115  STC R,m                : 30    14.5    15.0    14.60  0.67%    3.37   1.08
T116  STCM R,i,m (0010)      : 30    22.8    24.6    23.70  2.47%    5.47   1.76
T117  STCM R,i,m (1100)      : 30    23.6    25.4    24.52  1.75%    5.66   1.82
T118  STCM R,i,m (0111)      : 30    17.0    17.3    16.88  0.44%    3.89   1.25
T120  STM 2,3,m (2r)         : 30    18.6    18.9    18.50  0.55%    4.27   1.37
T121  STM 2,7,m (6r)         : 30    23.9    24.3    23.78  0.46%    5.49   1.77
T122  STM 14,12,m (15r)      : 30    44.6    45.8    45.20  0.74%   10.43   3.36
T123  LM 2,3,m (2r)          : 30    18.9    19.3    18.77  0.60%    4.33   1.39
T124  LM 2,7,m (6r)          : 30    25.5    25.9    25.34  0.31%    5.85   1.88
T125  LM 0,11,m (12r)        : 30    34.6    42.2    34.66 10.53%    8.00   2.57
T150  MVC m,m (5c)           : 30    31.7    32.2    31.71  0.47%    7.32   2.35
T151  MVC m,m (10c)          : 30    36.6    37.1    36.57  0.38%    8.44   2.72
T152  MVC m,m (15c)          : 30    35.0    35.4    35.00  0.35%    8.08   2.60
T153  MVC m,m (30c)          : 30    35.9    36.4    35.87  0.44%    8.28   2.66
T154  MVC m,m (100c)         : 30    52.4    53.4    52.69  0.73%   12.16   3.91
T155  MVC m,m (250c)         : 30    67.7    69.2    68.03  0.54%   15.70   5.05
T156  MVC m,m (250c,over1)   : 30   710.3   714.9   710.63  0.30%  163.99  52.76
T157  MVC m,m (250c,over2)   : 30    65.9    67.5    66.26  0.44%   15.29   4.92
T160  MVI m,i                : 30    13.7    13.9    13.64  0.56%    3.15   1.01
T161  MVN m,m (10c)          : 30    34.6    35.0    34.54  0.54%    7.97   2.56
T162  MVN m,m (30c)          : 30    71.6    72.4    71.22  0.38%   16.43   5.29
T165  MVZ m,m (10c)          : 30    34.4    35.5    34.81  0.74%    8.03   2.58
T166  MVZ m,m (30c)          : 30    71.4    72.8    71.43  0.80%   16.48   5.30
T167  MVCIN m,m (10c)        : 30   127.2   130.1   128.12  0.65%   29.56   9.51
T168  MVCIN m,m (30c)        : 30   336.5   340.0   336.46  0.27%   77.64  24.98
T169  MVCIN m,m (100c)       : 30  1066.9  1080.9  1067.15  0.56%  246.26  79.23
T170  4*Lx;MVCL (10b)        : 30    63.7    72.0    63.76  1.90%   14.71   4.73
T171  4*Lx;MVCL (100b)       : 30    74.8    77.9    74.82  0.78%   17.27   5.56
T172  4*Lx;MVCL (250b)       : 30   100.0   114.0   107.59  7.46%   24.83   7.99
T173  4*Lx;MVCL (1kb)        : 30   187.2   190.4   187.64  0.64%   43.30  13.93
T174  4*LR;MVCL (4kb)        : 30   596.8   616.1   605.46  1.13%  139.72  44.95
T175  4*Lx;MVCL (100b,pad)   : 30    56.1    60.5    55.45  1.47%   12.80   4.12
T176  4*Lx;MVCL (1kb,pad)    : 30    86.7    97.1    86.31  0.50%   19.92   6.41
T177  4*Lx;MVCL (4kb,pad)    : 30   254.2   264.3   259.09  1.79%   59.79  19.24
T178  4*LA;MVCL (1kb,over1)  : 30    45.6    52.7    50.79  3.74%   11.72   3.77
T179  4*LA;MVCL (1kb,over2)  : 30   204.1   208.9   204.83  0.59%   47.27  15.21
T190  IC R,m                 : 30    14.8    15.1    14.72  0.59%    3.40   1.09
T191  ICM R,i,m (0010)       : 30    29.2    44.4    30.03 21.91%    6.93   2.23
T192  ICM R,i,m (1100)       : 30    29.5    43.4    30.83  9.08%    7.11   2.29
T193  ICM R,i,m (0111)       : 30    39.6    39.9    39.59  0.23%    9.14   2.94
T200  AR R,R                 : 30     5.8     5.9     5.72  0.45%    1.32   0.43
T201  A R,m                  : 30    15.3    15.9    15.50  0.84%    3.58   1.15
T202  AH R,m                 : 30    15.7    16.1    15.59  0.51%    3.60   1.16
T203  ALR R,R                : 30     4.9     5.0     4.82  0.38%    1.11   0.36
T204  AL R,m                 : 30    16.3    16.6    16.23  0.45%    3.75   1.21
T205  SR R,R                 : 30     6.9     7.3     6.95  0.50%    1.60   0.52
T206  S R,m                  : 30    16.1    16.4    16.01  0.59%    3.69   1.19
T207  SH R,m                 : 30    16.1    16.6    16.24  0.70%    3.75   1.21
T208  SLR R,R                : 30     5.4     5.5     5.38  0.24%    1.24   0.40
T209  SL R,m                 : 30    16.6    17.0    16.48  0.49%    3.80   1.22
T210  MR R,R                 : 30     7.9     8.0     7.38  0.41%    1.70   0.55
T211  M R,m                  : 30    17.5    18.5    17.66  1.16%    4.07   1.31
T212  MH R,m                 : 30    16.6    17.0    16.19  0.58%    3.74   1.20
T215  XR R,R; DR R,R         : 30    26.0    26.5    25.32  0.99%    5.84   1.88
T216  XR R,R; D R,m          : 30    32.6    33.2    32.12  0.61%    7.41   2.38
T220  SLA R,1                : 30    12.1    12.5    11.86  1.55%    2.74   0.88
T221  SLDA R,1               : 30    14.2    14.3    13.88  0.62%    3.20   1.03
T222  SRA R,1                : 30     9.2     9.4     8.75  0.57%    2.02   0.65
T223  SRDA R,1               : 30    10.6    10.8    10.28  0.55%    2.37   0.76
T224  SRA R,30               : 30     9.2     9.3     8.73  0.33%    2.01   0.65
T225  SRDA R,60              : 30    10.6    10.8    10.31  0.54%    2.38   0.77
T230  XR R,R                 : 30     5.6     5.8     5.53  1.80%    1.28   0.41
T231  X R,m                  : 30    14.9    15.4    14.99  0.64%    3.46   1.11
T232  XI m,i                 : 30    15.5    15.8    15.38  0.32%    3.55   1.14
T235  XC m,m (10c)           : 30    40.6    41.1    40.47  0.37%    9.34   3.00
T236  XC m,m (100c)          : 30   188.3   192.1   189.06  0.97%   43.63  14.04
T237  XC m,m (250c)          : 30   434.2   438.7   434.44  0.20%  100.25  32.26
T238  NR R,R                 : 30     5.4     5.6     5.36  0.80%    1.24   0.40
T239  OR R,R                 : 30     5.4     5.8     5.32  2.94%    1.23   0.39
T240  SLL R,1                : 30     8.1     8.2     7.60  0.73%    1.75   0.56
T241  SLDL R,1               : 30     9.9    10.3     9.61  0.54%    2.22   0.71
T242  SRL R,1                : 30     7.9     8.0     7.45  0.83%    1.72   0.55
T243  SRDL R,1               : 30    10.0    10.2     9.69  0.10%    2.24   0.72
T244  SLL R,30               : 30     8.1     8.2     7.60  0.29%    1.75   0.56
T245  SLDL R,60              : 30     9.9    10.1     9.61  0.53%    2.22   0.71
T250  TM m,i                 : 30    14.5    14.7    14.36  0.65%    3.31   1.07
T252  TR m,m (10c)           : 30    29.9    30.3    29.73  0.17%    6.86   2.21
T253  TR m,m (100c)          : 30   106.2   108.6   105.81  0.08%   24.42   7.86
T254  TR m,m (250c)          : 30   217.2   223.0   216.95  0.22%   50.06  16.11
T255  TRT m,m (10c,zero)     : 30   134.3   137.3   136.04  0.55%   31.39  10.10
T256  TRT m,m (100c,zero)    : 30  1141.7  1159.4  1146.44  0.13%  264.56  85.12
T257  TRT m,m (250c,zero)    : 30  2810.2  2839.1  2812.46  0.27%  649.01 208.81
T258  TRT m,m (250c,10b)     : 30   148.8   153.3   150.84  0.46%   34.81  11.20
T259  TRT m,m (250c,100b)    : 30  1156.6  1177.6  1165.69  0.33%  269.00  86.55
T260  CR R,R                 : 30     5.0     5.1     4.92  0.39%    1.14   0.37
