file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-07-07:55:27_J0032_PERF-ASM.prt   111 1.47e+10  277.50s  4m37.50   52.9
2018-04-07-08:00:19_J0033_PERF-ASM.prt   113 1.49e+10  284.29s  4m44.29   52.6
2018-04-07-08:05:02_J0034_PERF-ASM.prt   111 1.47e+10  276.85s  4m36.85   53.0
2018-04-07-08:09:45_J0035_PERF-ASM.prt   111 1.47e+10  276.78s  4m36.78   53.0
2018-04-07-08:14:31_J0036_PERF-ASM.prt   111 1.47e+10  278.91s  4m38.91   52.6
2018-04-07-08:19:19_J0037_PERF-ASM.prt   113 1.49e+10  281.79s  4m41.79   53.0
2018-04-07-08:24:03_J0038_PERF-ASM.prt   111 1.47e+10  276.50s  4m36.50   53.1
2018-04-07-08:28:49_J0039_PERF-ASM.prt   112 1.48e+10  280.14s  4m40.14   52.9
2018-04-07-08:33:33_J0040_PERF-ASM.prt   111 1.47e+10  277.46s  4m37.46   52.9
2018-04-07-08:38:19_J0041_PERF-ASM.prt   111 1.47e+10  279.29s  4m39.29   52.6
2018-04-07-08:43:03_J0042_PERF-ASM.prt   111 1.47e+10  276.88s  4m36.88   53.0
2018-04-07-08:47:50_J0043_PERF-ASM.prt   112 1.48e+10  280.67s  4m40.67   52.8
2018-04-07-08:52:39_J0044_PERF-ASM.prt   113 1.49e+10  282.14s  4m42.14   53.0
2018-04-07-08:57:22_J0045_PERF-ASM.prt   111 1.47e+10  276.66s  4m36.66   53.1
2018-04-07-09:02:07_J0046_PERF-ASM.prt   111 1.47e+10  278.32s  4m38.32   52.7
2018-04-07-09:06:53_J0047_PERF-ASM.prt   112 1.48e+10  279.43s  4m39.43   53.0
2018-04-07-09:11:38_J0048_PERF-ASM.prt   111 1.47e+10  278.29s  4m38.29   52.7
2018-04-07-09:16:24_J0049_PERF-ASM.prt   112 1.48e+10  279.46s  4m39.46   53.0
2018-04-07-09:21:08_J0050_PERF-ASM.prt   111 1.47e+10  277.25s  4m37.25   52.9
2018-04-07-09:25:52_J0051_PERF-ASM.prt   111 1.47e+10  276.93s  4m36.93   53.0
2018-04-07-09:30:38_J0052_PERF-ASM.prt   111 1.47e+10  278.74s  4m38.74   52.7
2018-04-07-09:35:21_J0053_PERF-ASM.prt   111 1.47e+10  276.77s  4m36.77   53.0
2018-04-07-09:40:05_J0054_PERF-ASM.prt   111 1.47e+10  277.22s  4m37.22   53.0
2018-04-07-09:44:51_J0055_PERF-ASM.prt   111 1.47e+10  279.47s  4m39.47   52.5
2018-04-07-09:49:36_J0056_PERF-ASM.prt   111 1.47e+10  278.16s  4m38.16   52.8
2018-04-07-09:54:25_J0057_PERF-ASM.prt   113 1.49e+10  282.19s  4m42.19   53.0
2018-04-07-09:59:14_J0058_PERF-ASM.prt   113 1.49e+10  282.40s  4m42.40   52.9
2018-04-07-10:03:59_J0059_PERF-ASM.prt   111 1.47e+10  277.95s  4m37.95   52.8
2018-04-07-10:08:43_J0060_PERF-ASM.prt   111 1.47e+10  277.02s  4m37.02   53.0
2018-04-07-10:13:26_J0061_PERF-ASM.prt   111 1.47e+10  277.07s  4m37.07   53.0
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30     4.4     4.5     4.33  0.11%    1.00   0.32
T101  LA R,n                 : 30     5.5    18.3     5.38  0.28%    1.24   0.40
T102  L R,m                  : 30    13.6    14.3    13.44  0.45%    3.11   1.00
T103  L R,m (unal)           : 30    15.3    16.2    15.38  0.63%    3.56   1.14
T104  LH R,m                 : 30    15.5    15.7    15.43  0.50%    3.57   1.15
T105  LH R,m (unal3)         : 30    16.4    55.2    16.48  0.45%    3.81   1.23
T106  LTR R,R                : 30     5.6     6.1     5.52  0.87%    1.28   0.41
T107  LCR R,R                : 30     6.9     7.4     6.84  0.30%    1.58   0.51
T108  LNR R,R                : 30     5.7     5.8     5.68  0.56%    1.31   0.42
T109  LPR R,R                : 30     6.9     7.0     6.84  0.30%    1.58   0.51
T110  ST R,m                 : 30    13.6    13.7    13.46  0.33%    3.11   1.00
T111  ST R,m (unal)          : 30    14.5    14.9    14.55  0.57%    3.36   1.08
T112  STH R,m                : 30    15.4    15.7    15.29  0.29%    3.53   1.14
T113  STH R,m (unal1)        : 30    15.6    15.7    15.44  0.26%    3.57   1.15
T114  STH R,m (unal3)        : 30    16.0    16.5    16.15  0.59%    3.73   1.20
T115  STC R,m                : 30    14.6    14.9    14.58  0.41%    3.37   1.08
T116  STCM R,i,m (0010)      : 30    23.0    24.6    23.91  2.90%    5.53   1.78
T117  STCM R,i,m (1100)      : 30    23.6    25.4    24.95  2.16%    5.77   1.86
T118  STCM R,i,m (0111)      : 30    17.0    17.1    16.83  0.27%    3.89   1.25
T120  STM 2,3,m (2r)         : 30    18.6    18.8    18.48  0.41%    4.27   1.38
T121  STM 2,7,m (6r)         : 30    23.9    24.2    23.82  0.23%    5.51   1.77
T122  STM 14,12,m (15r)      : 30    43.9    45.5    44.78  1.40%   10.35   3.33
T123  LM 2,3,m (2r)          : 30    18.9    19.1    18.83  0.24%    4.35   1.40
T124  LM 2,7,m (6r)          : 30    25.5    25.6    25.36  0.19%    5.86   1.89
T125  LM 0,11,m (12r)        : 30    34.6    42.5    35.32  6.88%    8.16   2.63
T150  MVC m,m (5c)           : 30    31.6    32.0    31.68  0.37%    7.32   2.36
T151  MVC m,m (10c)          : 30    36.6    37.0    36.55  0.30%    8.45   2.72
T152  MVC m,m (15c)          : 30    35.0    35.3    34.93  0.49%    8.07   2.60
T153  MVC m,m (30c)          : 30    35.7    36.2    35.71  0.38%    8.25   2.66
T154  MVC m,m (100c)         : 30    52.3    53.3    52.71  0.64%   12.18   3.92
T155  MVC m,m (250c)         : 30    67.6    70.5    67.70  0.64%   15.65   5.04
T156  MVC m,m (250c,over1)   : 30   710.6   711.9   710.78  0.07%  164.29  52.88
T157  MVC m,m (250c,over2)   : 30    66.1    68.7    66.13  1.13%   15.29   4.92
T160  MVI m,i                : 30    13.7    14.0    13.64  0.45%    3.15   1.01
T161  MVN m,m (10c)          : 30    34.7    34.9    34.56  0.23%    7.99   2.57
T162  MVN m,m (30c)          : 30    71.6    71.9    71.15  0.15%   16.45   5.29
T165  MVZ m,m (10c)          : 30    34.6    37.5    34.63  0.96%    8.00   2.58
T166  MVZ m,m (30c)          : 30    69.8    72.3    71.29  0.53%   16.48   5.30
T167  MVCIN m,m (10c)        : 30   126.7   128.9   127.69  0.82%   29.52   9.50
T168  MVCIN m,m (30c)        : 30   336.4   337.8   336.11  0.18%   77.69  25.00
T169  MVCIN m,m (100c)       : 30  1066.6  1069.3  1067.03  0.09%  246.64  79.38
T170  4*Lx;MVCL (10b)        : 30    63.5    67.2    63.02  0.60%   14.57   4.69
T171  4*Lx;MVCL (100b)       : 30    75.0   164.4    75.00  1.04%   17.34   5.58
T172  4*Lx;MVCL (250b)       : 30    99.6   101.5    98.78  0.29%   22.83   7.35
T173  4*Lx;MVCL (1kb)        : 30   187.7   190.3   187.36  0.39%   43.31  13.94
T174  4*LR;MVCL (4kb)        : 30   592.6   611.7   601.38  0.91%  139.01  44.74
T175  4*Lx;MVCL (100b,pad)   : 30    56.1    64.7    55.83  1.94%   12.90   4.15
T176  4*Lx;MVCL (1kb,pad)    : 30    86.8    95.3    86.56  1.20%   20.01   6.44
T177  4*Lx;MVCL (4kb,pad)    : 30   261.6   269.4   262.53  0.68%   60.68  19.53
T178  4*LA;MVCL (1kb,over1)  : 30    46.3    52.9    51.28  1.83%   11.85   3.82
