s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30  

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx    n-cp  e-cp%   mcc
T201  A R,m                  : 30   178.0   178.9   174.65 0.472%    3.06   1.00    3.06     5%     3
T541  AD R,m                 : 30   459.4   461.3   457.37 0.306%    8.00   2.62    8.00     0%     8
T540  ADR R,R                : 30   343.7   346.2   340.98 0.321%    5.96   1.95    5.97    -3%     6
T511  AE R,m                 : 30   405.7   408.1   403.51 0.311%    7.06   2.31    7.06     5%     7
T510  AER R,R                : 30   343.8   345.9   340.85 0.277%    5.96   1.95    5.96    -3%     6
T202  AH R,m                 : 30   178.0   179.2   174.67 0.451%    3.06   1.00    3.06     5%     3
T204  AL R,m                 : 30   178.0   179.9   174.66 0.479%    3.06   1.00    3.06     5%     3
T203  ALR R,R                : 30    58.8    59.4    57.15 0.389%    1.00   0.33    1.00     0%     1
T420  AP m,m (10d)           : 30  2542.8  2571.3  2518.49 0.090%   44.06  14.42   44.06     6%    44
T421  AP m,m (30d)           : 30  2928.9  2950.2  2895.22 0.082%   50.65  16.57   50.65   -34%    51
T200  AR R,R                 : 30    58.8    59.2    57.16 0.511%    1.00   0.33    1.00     0%     1
T522  AUR R,R                : 30   348.4   350.1   342.09 0.221%    5.98   1.96    5.98    -1%     6
T552  AWR R,R                : 30   350.1   351.3   342.91 0.268%    6.00   1.96    6.00     0%     6
T560  AXR R,R                : 30   684.9   689.4   681.60 0.293%   11.92   3.90   11.92    -7%    12
D322  BAL R,R                : 30       -       -   315.01 0.412%    5.51   1.80    5.51   -48%     6
D323  BAL R,R (far)          : 30       -       -   260.93 0.959%    4.56   1.49    4.56   -43%     5
D320  BALR R,R               : 30       -       -   295.41 0.390%    5.17   1.69    5.17    16%     5
D321  BALR R,R (far)         : 30       -       -   244.95 1.115%    4.28   1.40    4.29    28%     4
T300  BCR 0,0 (noop)         : 30    58.8    59.1    57.15 0.320%    1.00   0.33    1.00     0%     1
T312  BCT R,l                : 30   288.6   289.7   289.30 0.040%    5.06   1.66    5.06     6%     5
T310  BCTR R,0               : 30    58.8    59.2    57.14 0.445%    1.00   0.33    1.00     0%     1
T311  BCTR R,R               : 30   114.1   114.8   114.20 0.428%    2.00   0.65    2.00     0%     2
T301  BNZ l (no br)          : 30    60.0    60.4    58.50 0.264%    1.02   0.33    1.02     2%     1
T302  BNZ l (do br)          : 30   236.6   237.4   234.26 0.240%    4.10   1.34    4.10     9%     4
T303  BNZ l (do br, far)     : 30   236.6   353.1   233.88 0.500%    4.09   1.34    4.09     9%     4
T304  BR R                   : 30   180.1   181.0   163.03 0.299%    2.85   0.93    2.85   -14%     3
T305  BR R (far)             : 30   238.7   331.2   221.77 0.358%    3.88   1.27    3.88   -12%     4
T315  BXLE R,R,l             : 30   290.1   292.0   287.18 0.232%    5.02   1.64    5.02     2%     5
T261  C R,m                  : 30   178.0   178.8   174.64 0.404%    3.06   1.00    3.06     5%     3
T551  CD R,m                 : 30   456.9   458.6   454.69 0.285%    7.95   2.60    7.96    -4%     8
T550  CDR R,R                : 30   342.5   343.6   339.58 0.280%    5.94   1.94    5.94    -5%     6
D295  CDS R,R,m (eq,eq)      : 30       -       -   526.51 0.639%    9.21   3.01    9.21    21%     9
D296  CDS R,R,m (eq,ne)      : 30       -       -   522.91 0.518%    9.15   2.99    9.15    14%     9
D297  CDS R,R,m (ne)         : 30       -       -   465.21 0.029%    8.14   2.66    8.14    13%     8
T521  CE R,m                 : 30   400.2   402.1   398.10 0.326%    6.96   2.28    6.96    -3%     7
T520  CER R,R                : 30   342.5   344.2   339.85 0.241%    5.95   1.95    5.95    -5%     6
T262  CH R,m                 : 30   178.0   179.0   175.25 0.350%    3.07   1.00    3.07     6%     3
T264  CL R,m                 : 30   178.0   179.4   174.65 0.394%    3.06   1.00    3.06     5%     3
T270  CLC m,m (10c,eq)       : 30   532.5   535.9   524.35 0.565%    9.17   3.00    9.17    17%     9
T271  CLC m,m (10c,ne)       : 30   358.4   362.3   349.81 0.111%    6.12   2.00    6.12    12%     6
T272  CLC m,m (30c,eq)       : 30   358.1   365.5   349.57 0.117%    6.12   2.00    6.12    11%     6
T273  CLC m,m (30c,ne)       : 30   358.4   361.3   350.09 0.737%    6.12   2.00    6.13    12%     6
T274  CLC m,m (100c,eq)      : 30  1756.5  1764.3  1748.91 0.409%   30.59  10.01   30.60   -40%    31
T275  CLC m,m (100c,ne)      : 30   362.4   370.9   353.81 0.564%    6.19   2.03    6.19    19%     6
T276  CLC m,m (250c,eq)      : 30  3990.1  4005.0  3982.77 0.308%   69.67  22.80   69.68   -31%    70
T277  CLC m,m (250c,ne)      : 30   362.4   365.1   353.80 0.130%    6.19   2.03    6.19    18%     6
D280  CLCL (100b,10b)        : 30       -       -  1503.45 0.756%   26.30   8.61   26.30    30%    26
D281  CLCL (4kb,10b)         : 30       -       -  1558.19 0.562%   27.26   8.92   27.26    26%    27
D282  CLCL (4kb,100b)        : 30       -       -  4063.09 0.683%   71.08  23.26   71.09     8%    71
D283  CLCL (4kb,250b)        : 30       -       -  8565.61 0.194%  149.84  49.03  149.86   -14%   150
T265  CLI m,i                : 30   178.0   179.9   174.69 0.464%    3.06   1.00    3.06     5%     3
T266  CLM R,i,m              : 30   235.5   236.6   232.21 0.402%    4.06   1.33    4.06     6%     4
T263  CLR R,R                : 30    58.8    59.1    57.15 0.364%    1.00   0.33    1.00     0%     1
T430  CP m,m (10d)           : 30  1637.9  1652.6  1632.21 0.034%   28.55   9.34   28.56   -44%    29
T431  CP m,m (30d)           : 30  2042.7  2058.3  2039.11 0.670%   35.67  11.67   35.67   -32%    36
T260  CR R,R                 : 30    58.8    59.2    57.15 0.393%    1.00   0.33    1.00     0%     1
D290  CS R,R,m (eq,eq)       : 30       -       -   526.22 0.665%    9.21   3.01    9.21    20%     9
D291  CS R,R,m (eq,ne)       : 30       -       -   525.91 0.106%    9.20   3.01    9.20    20%     9
D292  CS R,R,m (ne)          : 30       -       -   465.88 0.031%    8.15   2.67    8.15    15%     8
T400  CVB R,m                : 30  2245.0  2251.5  2242.06 0.128%   39.22  12.83   39.23    22%    39
T401  CVD R,m                : 30  2891.4  2900.9  2891.54 0.115%   50.58  16.55   50.59   -41%    51
D216  D R,m                  : 30       -       -   632.41 0.287%   11.06   3.62   11.06     6%    11
T547  DD R,m                 : 30  4053.4  4080.2  4056.01 0.271%   70.95  23.22   70.96    -3%    71
T546  DDR R,R                : 30  3939.4  3962.0  3932.92 0.274%   68.80  22.51   68.81   -19%    69
T517  DE R,m                 : 30  2171.4  2176.3  2166.61 0.015%   37.90  12.40   37.91    -9%    38
T516  DER R,R                : 30  2115.5  2117.6  2108.56 0.004%   36.89  12.07   36.89   -11%    37
D426  DP m,m (10d)           : 30       -       - 13926.19 0.273%  243.62  79.72  243.64   -35%   244
D427  DP m,m (30d)           : 30       -       - 45653.17 0.010%  798.63 261.33  798.72   -28%   799
D215  DR R,R                 : 30       -       -   516.33 0.286%    9.03   2.96    9.03     3%     9
D410  ED (10c)               : 30       -       -  9093.06 0.019%  159.07  52.05  159.09     8%   159
D411  ED (30c)               : 30       -       - 26535.94 0.123%  464.21 151.90  464.26    25%   464
D415  EDMK (10c)             : 30       -       -  9150.85 0.141%  160.08  52.38  160.10     9%   160
T610  EX R,i (with TM)       : 30   466.3   469.0   463.18 0.505%    8.10   2.65    8.10    10%     8
T611  EX R,i (with XI)       : 30   480.2   482.9   477.02 0.498%    8.34   2.73    8.35    34%     8
D610  EX R,i (bare, via TM)  : 30       -       -   288.51 0.859%    5.05   1.65    5.05     4%     5
D611  EX R,i (bare, via XI)  : 30       -       -   256.27 0.970%    4.48   1.47    4.48    48%     4
T553  HDR R,R                : 30   404.9   405.8   396.80 0.009%    6.94   2.27    6.94    -5%     7
T523  HER R,R                : 30   403.6   404.5   396.71 0.132%    6.94   2.27    6.94    -5%     7
T190  IC R,m                 : 30   176.2   177.9   175.21 0.362%    3.07   1.00    3.07     6%     3
T191  ICM R,i,m (0010)       : 30   291.5   293.4   289.82 0.075%    5.07   1.66    5.07     7%     5
T192  ICM R,i,m (1100)       : 30   291.5   293.0   289.98 0.484%    5.07   1.66    5.07     7%     5
T193  ICM R,i,m (0111)       : 30   291.7   293.1   290.90 0.321%    5.09   1.67    5.09     8%     5
T102  L R,m                  : 30   178.0   179.1   174.70 0.337%    3.06   1.00    3.06     5%     3
T103  L R,m (unal)           : 30   235.5   236.3   232.75 0.272%    4.07   1.33    4.07     7%     4
T101  LA R,n                 : 30    60.0    60.7    58.46 0.367%    1.02   0.33    1.02     2%     1
T534  LCDR R,R               : 30   228.3   229.3   227.08 0.021%    3.97   1.30    3.97    -2%     4
T504  LCER R,R               : 30   228.7   229.5   227.09 0.009%    3.97   1.30    3.97    -2%     4
T107  LCR R,R                : 30    58.8    59.8    57.14 0.517%    1.00   0.33    1.00     0%     1
T531  LD R,m                 : 30   235.5   236.4   232.90 0.330%    4.07   1.33    4.07     7%     4
T532  LD R,m (unal)          : 30   349.1   350.2   346.51 0.240%    6.06   1.98    6.06     6%     6
T530  LDR R,R                : 30   115.4   116.0   113.77 0.355%    1.99   0.65    1.99     0%     2
T501  LE R,m                 : 30   180.0   181.1   176.67 0.468%    3.09   1.01    3.09     9%     3
T502  LE R,m (unal)          : 30   294.3   295.5   291.30 0.268%    5.10   1.67    5.10     9%     5
T500  LER R,R                : 30   115.5   115.9   113.81 0.326%    1.99   0.65    1.99     0%     2
T104  LH R,m                 : 30   178.0   179.6   174.64 0.070%    3.06   1.00    3.06     5%     3
T105  LH R,m (unal3)         : 30   235.5   236.4   232.88 0.312%    4.07   1.33    4.07     7%     4
T123  LM 2,3,m (2r)          : 30   236.5   238.0   233.26 0.361%    4.08   1.34    4.08     8%     4
T124  LM 2,7,m (6r)          : 30   469.1   470.6   466.91 0.260%    8.17   2.67    8.17    16%     8
T125  LM 0,11,m (12r)        : 30   818.8   825.9   814.77 0.204%   14.25   4.66   14.25    25%    14
T535  LNDR R,R               : 30   228.4   229.3   227.08 0.012%    3.97   1.30    3.97    -2%     4
T505  LNER R,R               : 30   228.4   229.5   227.08 0.015%    3.97   1.30    3.97    -2%     4
T108  LNR R,R                : 30   116.0   116.8   114.55 0.274%    2.00   0.66    2.00     0%     2
T536  LPDR R,R               : 30   228.8   229.0   227.12 0.014%    3.97   1.30    3.97    -2%     4
T506  LPER R,R               : 30   228.4   229.3   227.10 0.034%    3.97   1.30    3.97    -2%     4
T109  LPR R,R                : 30   116.0   116.5   114.42 0.253%    2.00   0.65    2.00     0%     2
T100  LR R,R                 : 30    58.9    59.1    57.16 0.239%    1.00   0.33    1.00     0%     1
T537  LRDR R,R               : 30   230.1   231.2   228.97 0.238%    4.01   1.31    4.01     0%     4
T507  LRER R,R               : 30   230.1   230.9   228.95 0.226%    4.01   1.31    4.01     0%     4
T533  LTDR R,R               : 30   228.3   229.2   227.08 0.032%    3.97   1.30    3.97    -2%     4
T503  LTER R,R               : 30   228.4   229.3   227.08 0.017%    3.97   1.30    3.97    -2%     4
T106  LTR R,R                : 30    58.8    59.3    57.16 0.473%    1.00   0.33    1.00     0%     1
T211  M R,m                  : 30   527.1   528.2   519.58 0.013%    9.09   2.97    9.09     9%     9
T545  MD R,m                 : 30  1032.4  1034.5  1024.47 0.010%   17.92   5.86   17.92    -7%    18
T544  MDR R,R                : 30   917.8   919.4   909.73 0.009%   15.91   5.21   15.92    -8%    16
T515  ME R,m                 : 30   802.6   804.2   795.66 0.014%   13.92   4.55   13.92    -7%    14
T514  MER R,R                : 30   745.0   748.3   738.79 0.105%   12.92   4.23   12.93    -7%    13
T212  MH R,m                 : 30   470.0   471.8   463.18 0.193%    8.10   2.65    8.10    10%     8
T424  MP m,m (10d)           : 30  5788.2  5853.1  5755.23 0.370%  100.68  32.94  100.69   -31%   101
T425  MP m,m (30d)           : 30  6040.5  6066.7  5994.19 0.352%  104.86  34.31  104.87   -12%   105
T210  MR R,R                 : 30   407.7   408.7   400.45 0.107%    7.01   2.29    7.01     0%     7
T150  MVC m,m (5c)           : 30   557.5   561.5   555.61 0.283%    9.72   3.18    9.72   -27%    10
T151  MVC m,m (10c)          : 30   729.4   731.4   727.69 0.033%   12.73   4.17   12.73   -26%    13
T152  MVC m,m (15c)          : 30   842.2   849.4   840.48 0.019%   14.70   4.81   14.70   -29%    15
T153  MVC m,m (30c)          : 30  1246.3  1248.7  1243.19 0.127%   21.75   7.12   21.75   -24%    22
T154  MVC m,m (100c)         : 30  3220.7  3230.6  3219.37 0.076%   56.32  18.43   56.32    32%    56
T155  MVC m,m (250c)         : 30  7704.0  7709.9  7698.33 0.034%  134.67  44.07  134.69   -31%   135
T156  MVC m,m (250c,over1)   : 30  2440.7  2483.2  2432.15 0.005%   42.55  13.92   42.55   -44%    43
