file name ----------------------------  GMUL  i-count  -- total time --   MIPS
pogo-30x.txt                               4 5.29e+08  186.71s  3m06.71    2.8
pogo-30x.txt                               4 5.29e+08  186.96s  3m06.96    2.8
pogo-30x.txt                               4 5.29e+08  186.95s  3m06.95    2.8
pogo-30x.txt                               4 5.29e+08  186.64s  3m06.64    2.8
pogo-30x.txt                               4 5.29e+08  186.23s  3m06.23    2.8
pogo-30x.txt                               4 5.29e+08  185.97s  3m05.97    2.8
pogo-30x.txt                               4 5.29e+08  185.91s  3m05.91    2.8
pogo-30x.txt                               4 5.29e+08  186.01s  3m06.01    2.8
pogo-30x.txt                               4 5.29e+08  185.81s  3m05.81    2.8
pogo-30x.txt                               4 5.29e+08  186.07s  3m06.07    2.8
pogo-30x.txt                               4 5.29e+08  186.01s  3m06.01    2.8
pogo-30x.txt                               4 5.29e+08  185.96s  3m05.96    2.8
pogo-30x.txt                               3 3.97e+08  139.38s  2m19.38    2.8
pogo-30x.txt                               4 5.29e+08  186.08s  3m06.08    2.8
pogo-30x.txt                               4 5.29e+08  185.78s  3m05.78    2.8
pogo-30x.txt                               4 5.29e+08  185.95s  3m05.95    2.8
pogo-30x.txt                               4 5.29e+08  185.97s  3m05.97    2.8
pogo-30x.txt                               4 5.29e+08  186.07s  3m06.07    2.8
pogo-30x.txt                               4 5.29e+08  185.94s  3m05.94    2.8
pogo-30x.txt                               4 5.29e+08  185.83s  3m05.83    2.8
pogo-30x.txt                               4 5.29e+08  185.87s  3m05.87    2.8
pogo-30x.txt                               4 5.29e+08  186.09s  3m06.09    2.8
pogo-30x.txt                               4 5.29e+08  185.81s  3m05.81    2.8
pogo-30x.txt                               4 5.29e+08  186.35s  3m06.35    2.8
pogo-30x.txt                               4 5.29e+08  185.79s  3m05.79    2.8
pogo-30x.txt                               4 5.29e+08  186.05s  3m06.05    2.8
pogo-30x.txt                               4 5.29e+08  185.87s  3m05.87    2.8
pogo-30x.txt                               4 5.29e+08  185.95s  3m05.95    2.8
pogo-30x.txt                               4 5.29e+08  185.76s  3m05.76    2.8
pogo-30x.txt                               4 5.29e+08  185.84s  3m05.84    2.8
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30    69.8    84.8    69.31  0.95%    1.00   0.20
T101  LA R,n                 : 30   155.9   177.9   155.93  0.97%    2.25   0.45
T102  L R,m                  : 30   347.4   411.5   348.61  0.62%    5.03   1.00
T103  L R,m (unal)           : 30   356.1   360.6   355.72  0.49%    5.13   1.02
T104  LH R,m                 : 30   328.0   396.0   328.51  0.79%    4.74   0.94
T105  LH R,m (unal3)         : 30   332.3   389.6   332.36  0.36%    4.80   0.95
T106  LTR R,R                : 30    79.8   103.6    79.55  0.68%    1.15   0.23
T107  LCR R,R                : 30    94.5   134.9    94.44  1.49%    1.36   0.27
T108  LNR R,R                : 30    80.7    92.2    80.24  1.23%    1.16   0.23
T109  LPR R,R                : 30    94.0   112.5    93.81  0.79%    1.35   0.27
T110  ST R,m                 : 30   345.4   389.8   345.85  0.59%    4.99   0.99
T111  ST R,m (unal)          : 30   340.1   355.8   340.58  0.56%    4.91   0.98
T112  STH R,m                : 30   326.5   361.3   326.24  0.91%    4.71   0.94
T113  STH R,m (unal1)        : 30   325.7   405.1   326.02  0.81%    4.70   0.94
T114  STH R,m (unal3)        : 30   324.8   374.0   325.33  0.41%    4.69   0.93
T115  STC R,m                : 30   280.2   332.1   280.44  1.22%    4.05   0.80
T116  STCM R,i,m (0010)      : 30   399.6   447.6   399.83  0.55%    5.77   1.15
T117  STCM R,i,m (1100)      : 30   406.0   462.9   407.12  0.30%    5.87   1.17
T118  STCM R,i,m (0111)      : 30   388.2   403.1   388.86  0.60%    5.61   1.12
T120  STM 2,3,m (2r)         : 30   450.3   493.0   450.28  0.56%    6.50   1.29
T121  STM 2,7,m (6r)         : 30   760.8   827.5   763.57  0.75%   11.02   2.19
T122  STM 14,12,m (15r)      : 30  1448.7  1599.2  1452.72  0.64%   20.96   4.17
T123  LM 2,3,m (2r)          : 30   448.4   485.0   451.22  0.68%    6.51   1.29
T124  LM 2,7,m (6r)          : 30   759.8   799.1   761.50  0.55%   10.99   2.18
T125  LM 0,11,m (12r)        : 30  1227.5  1320.9  1229.32  0.64%   17.74   3.53
T150  MVC m,m (5c)           : 30   454.7   545.6   456.67  0.75%    6.59   1.31
T151  MVC m,m (10c)          : 30   601.9   614.2   604.23  0.70%    8.72   1.73
T152  MVC m,m (15c)          : 30   748.8   857.0   752.80  0.76%   10.86   2.16
T153  MVC m,m (30c)          : 30  1266.0  1355.1  1270.60  0.83%   18.33   3.64
T154  MVC m,m (100c)         : 30  3593.4  3716.0  3601.18  0.42%   51.96  10.33
