file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-20-09:41:34_J0001_PERF-ASM.prt   165 2.18e+10  288.26s  4m48.26   75.7
2018-04-20-09:46:22_J0002_PERF-ASM.prt   166 2.20e+10  282.33s  4m42.33   77.8
2018-04-20-09:51:44_J0003_PERF-ASM.prt   182 2.41e+10  316.24s  5m16.24   76.1
2018-04-20-09:56:42_J0004_PERF-ASM.prt   165 2.18e+10  291.32s  4m51.32   74.9
2018-04-20-10:01:44_J0005_PERF-ASM.prt   171 2.26e+10  296.29s  4m56.29   76.3
2018-04-20-10:06:45_J0006_PERF-ASM.prt   166 2.20e+10  294.64s  4m54.64   74.5
2018-04-20-10:11:37_J0007_PERF-ASM.prt   165 2.18e+10  286.21s  4m46.21   76.2
2018-04-20-10:16:28_J0008_PERF-ASM.prt   166 2.20e+10  285.48s  4m45.48   76.9
2018-04-20-10:21:25_J0009_PERF-ASM.prt   164 2.17e+10  290.67s  4m50.67   74.6
2018-04-20-10:26:31_J0010_PERF-ASM.prt   170 2.25e+10  299.31s  4m59.31   75.1
2018-04-20-10:31:31_J0011_PERF-ASM.prt   166 2.20e+10  293.97s  4m53.97   74.7
2018-04-20-10:36:34_J0012_PERF-ASM.prt   170 2.25e+10  296.86s  4m56.86   75.7
2018-04-20-10:41:15_J0013_PERF-ASM.prt   159 2.10e+10  275.65s  4m35.65   76.3
2018-04-20-10:46:15_J0014_PERF-ASM.prt   166 2.20e+10  294.10s  4m54.10   74.6
2018-04-20-10:51:03_J0015_PERF-ASM.prt   159 2.10e+10  281.68s  4m41.68   74.7
2018-04-20-10:56:05_J0016_PERF-ASM.prt   165 2.18e+10  295.64s  4m55.64   73.8
2018-04-20-11:00:55_J0017_PERF-ASM.prt   162 2.14e+10  284.55s  4m44.55   75.3
2018-04-20-11:05:53_J0018_PERF-ASM.prt   167 2.21e+10  291.44s  4m51.44   75.8
2018-04-20-11:10:50_J0019_PERF-ASM.prt   165 2.18e+10  291.25s  4m51.25   74.9
2018-04-20-11:15:50_J0020_PERF-ASM.prt   163 2.16e+10  293.62s  4m53.62   73.4
2018-04-20-11:20:50_J0021_PERF-ASM.prt   164 2.17e+10  294.46s  4m54.46   73.7
2018-04-20-11:25:52_J0022_PERF-ASM.prt   166 2.20e+10  295.35s  4m55.35   74.3
2018-04-20-11:30:42_J0023_PERF-ASM.prt   165 2.18e+10  284.40s  4m44.40   76.7
2018-04-20-11:35:34_J0024_PERF-ASM.prt   161 2.13e+10  285.77s  4m45.77   74.5
2018-04-20-11:40:33_J0025_PERF-ASM.prt   165 2.18e+10  292.13s  4m52.13   74.7
2018-04-20-11:45:55_J0026_PERF-ASM.prt   178 2.35e+10  316.58s  5m16.58   74.4
2018-04-20-11:50:55_J0027_PERF-ASM.prt   166 2.20e+10  294.25s  4m54.25   74.6
2018-04-20-11:56:05_J0028_PERF-ASM.prt   178 2.35e+10  303.94s  5m03.94   77.5
2018-04-20-12:01:11_J0029_PERF-ASM.prt   168 2.22e+10  299.10s  4m59.10   74.3
2018-04-20-12:06:06_J0030_PERF-ASM.prt   163 2.16e+10  289.08s  4m49.08   74.6
2018-04-20-12:11:04_J0031_PERF-ASM.prt   177 2.34e+10  292.81s  4m52.81   79.9
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31     2.6     3.0     2.76  3.07%    1.00   0.30
T101  LA R,n                 : 31     3.5     4.1     3.74  3.49%    1.35   0.41
T102  L R,m                  : 31     8.4     9.8     9.09  3.90%    3.29   1.00
T103  L R,m (unal)           : 31     9.6    11.1    10.46  3.02%    3.78   1.15
T104  LH R,m                 : 31    10.1    11.7    11.00  4.94%    3.98   1.21
T105  LH R,m (unal3)         : 31    11.6    13.2    12.59  3.93%    4.56   1.38
T106  LTR R,R                : 31     3.9     4.5     4.24  4.61%    1.54   0.47
T107  LCR R,R                : 31     4.0     4.6     4.30  4.13%    1.56   0.47
T108  LNR R,R                : 31     3.7     4.2     3.93  4.44%    1.42   0.43
T109  LPR R,R                : 31     4.4     5.1     4.71  3.92%    1.70   0.52
T110  ST R,m                 : 31     8.7     9.7     9.20  4.18%    3.33   1.01
T111  ST R,m (unal)          : 31     9.5    10.7    10.14  3.79%    3.67   1.11
T112  STH R,m                : 31    10.5    12.0    11.31  3.51%    4.09   1.24
T113  STH R,m (unal1)        : 31    10.6    12.3    11.40  2.86%    4.13   1.25
T114  STH R,m (unal3)        : 31    10.4    12.0    11.36  3.27%    4.11   1.25
T115  STC R,m                : 31     9.9    11.8    10.76  4.19%    3.89   1.18
T116  STCM R,i,m (0010)      : 31    15.7    18.2    17.14  3.88%    6.20   1.89
T117  STCM R,i,m (1100)      : 31    16.7    19.8    18.27  3.31%    6.61   2.01
T118  STCM R,i,m (0111)      : 31    11.3    13.4    12.17  4.21%    4.40   1.34
T120  STM 2,3,m (2r)         : 31    12.6    15.0    13.72  6.59%    4.97   1.51
T121  STM 2,7,m (6r)         : 31    16.0    18.4    17.34  7.23%    6.27   1.91
T122  STM 14,12,m (15r)      : 31    23.4    26.5    25.57  6.50%    9.25   2.81
T123  LM 2,3,m (2r)          : 31    13.0    15.4    14.17  5.92%    5.13   1.56
T124  LM 2,7,m (6r)          : 31    17.0    19.6    18.54  6.43%    6.71   2.04
T125  LM 0,11,m (12r)        : 31    22.3    25.7    24.29  5.31%    8.79   2.67
T150  MVC m,m (5c)           : 31    20.8    23.8    22.91  5.26%    8.29   2.52
T151  MVC m,m (10c)          : 31    23.3    27.4    25.81  5.65%    9.34   2.84
T152  MVC m,m (15c)          : 31    22.3    26.4    24.48  4.06%    8.86   2.69
T153  MVC m,m (30c)          : 31    23.0    27.1    25.33  6.55%    9.16   2.79
T154  MVC m,m (100c)         : 31    27.3    31.9    29.87  7.14%   10.81   3.29
T155  MVC m,m (250c)         : 31    38.5    44.6    41.99  6.28%   15.19   4.62
T156  MVC m,m (250c,over1)   : 31   421.8   493.1   460.49  6.62%  166.61  50.64
T157  MVC m,m (250c,over2)   : 31    38.5    45.2    41.96  7.05%   15.18   4.61
T160  MVI m,i                : 31     8.8    10.5     9.67  5.87%    3.50   1.06
T161  MVN m,m (10c)          : 31    24.3    31.9    26.78  4.74%    9.69   2.94
T162  MVN m,m (30c)          : 31    41.6    77.6    45.64  4.31%   16.51   5.02
T165  MVZ m,m (10c)          : 31    24.3    32.1    26.71  4.42%    9.66   2.94
T166  MVZ m,m (30c)          : 31    41.8    47.9    45.98  3.31%   16.64   5.06
T167  MVCIN m,m (10c)        : 31    82.2    93.8    90.85  2.50%   32.87   9.99
T168  MVCIN m,m (30c)        : 31   230.9   261.2   254.93  3.76%   92.24  28.04
