file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-27-17:48:22_J0001_PERF-ASM.prt   218 2.88e+10  333.52s  5m33.52   86.4
2018-04-27-17:54:07_J0002_PERF-ASM.prt   227 3.00e+10  340.77s  5m40.77   88.1
2018-04-27-17:59:56_J0003_PERF-ASM.prt   229 3.03e+10  343.99s  5m43.99   88.0
2018-04-27-18:05:41_J0004_PERF-ASM.prt   227 3.00e+10  340.52s  5m40.52   88.2
2018-04-27-18:11:28_J0005_PERF-ASM.prt   228 3.02e+10  342.09s  5m42.09   88.1
2018-04-27-18:17:15_J0006_PERF-ASM.prt   228 3.02e+10  342.24s  5m42.24   88.1
2018-04-27-18:22:57_J0007_PERF-ASM.prt   224 2.96e+10  336.66s  5m36.66   88.0
2018-04-27-18:28:43_J0008_PERF-ASM.prt   227 3.00e+10  341.13s  5m41.13   88.0
2018-04-27-18:34:31_J0009_PERF-ASM.prt   229 3.03e+10  343.42s  5m43.42   88.2
2018-04-27-18:40:19_J0010_PERF-ASM.prt   224 2.96e+10  341.51s  5m41.51   86.7
2018-04-27-18:46:06_J0011_PERF-ASM.prt   228 3.02e+10  342.51s  5m42.51   88.0
2018-04-27-18:51:52_J0012_PERF-ASM.prt   227 3.00e+10  340.65s  5m40.65   88.1
2018-04-27-18:57:38_J0013_PERF-ASM.prt   228 3.02e+10  341.71s  5m41.71   88.2
2018-04-27-19:03:26_J0014_PERF-ASM.prt   229 3.03e+10  343.24s  5m43.24   88.2
2018-04-27-19:09:13_J0015_PERF-ASM.prt   228 3.02e+10  341.94s  5m41.94   88.2
2018-04-27-19:14:58_J0016_PERF-ASM.prt   227 3.00e+10  340.38s  5m40.38   88.2
2018-04-27-19:20:46_J0017_PERF-ASM.prt   229 3.03e+10  343.07s  5m43.07   88.3
2018-04-27-19:26:33_J0018_PERF-ASM.prt   229 3.03e+10  343.08s  5m43.08   88.3
2018-04-27-19:32:22_J0019_PERF-ASM.prt   229 3.03e+10  343.41s  5m43.41   88.2
2018-04-27-19:38:10_J0020_PERF-ASM.prt   229 3.03e+10  343.52s  5m43.52   88.2
2018-04-27-19:43:53_J0021_PERF-ASM.prt   225 2.98e+10  337.88s  5m37.88   88.1
2018-04-27-19:49:42_J0022_PERF-ASM.prt   228 3.02e+10  344.18s  5m44.18   87.6
2018-04-27-19:55:27_J0023_PERF-ASM.prt   227 3.00e+10  340.33s  5m40.33   88.2
2018-04-27-20:01:15_J0024_PERF-ASM.prt   229 3.03e+10  343.26s  5m43.26   88.2
2018-04-27-20:07:03_J0025_PERF-ASM.prt   229 3.03e+10  343.16s  5m43.16   88.3
2018-04-27-20:12:52_J0026_PERF-ASM.prt   230 3.04e+10  344.48s  5m44.48   88.3
2018-04-27-20:18:40_J0027_PERF-ASM.prt   229 3.03e+10  343.06s  5m43.06   88.3
2018-04-27-20:24:28_J0028_PERF-ASM.prt   229 3.03e+10  343.39s  5m43.39   88.2
2018-04-27-20:30:15_J0029_PERF-ASM.prt   228 3.02e+10  341.88s  5m41.88   88.2
2018-04-27-20:36:01_J0030_PERF-ASM.prt   228 3.02e+10  341.72s  5m41.72   88.2
2018-04-27-20:41:50_J0031_PERF-ASM.prt   229 3.03e+10  343.78s  5m43.78   88.1
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31     2.9     3.2     2.79  0.23%    1.00   0.42
T101  LA R,n                 : 31     3.2     3.7     3.09  0.27%    1.11   0.47
T102  L R,m                  : 31     6.7     7.8     6.58  0.56%    2.36   1.00
T103  L R,m (unal)           : 31     7.6     8.1     7.53  0.33%    2.70   1.15
T104  LH R,m                 : 31     7.9     9.0     7.76  0.44%    2.79   1.18
T105  LH R,m (unal3)         : 31     8.3     8.6     8.20  0.43%    2.94   1.25
T106  LTR R,R                : 31     5.3     5.5     5.38  0.42%    1.93   0.82
T107  LCR R,R                : 31     5.7     6.1     5.64  0.27%    2.02   0.86
T108  LNR R,R                : 31     5.5     6.2     5.42  0.15%    1.95   0.82
T109  LPR R,R                : 31     5.5     6.0     5.62  0.41%    2.02   0.85
T110  ST R,m                 : 31    11.4    13.5    11.47  2.04%    4.12   1.74
T111  ST R,m (unal)          : 31    11.9    13.4    11.98  2.46%    4.30   1.82
T112  STH R,m                : 31    12.4    14.4    12.65  2.96%    4.54   1.92
T113  STH R,m (unal1)        : 31    12.0    12.8    12.20  2.66%    4.38   1.85
T114  STH R,m (unal3)        : 31    12.0    12.9    12.24  1.80%    4.39   1.86
T115  STC R,m                : 31    11.8    13.3    11.96  1.85%    4.29   1.82
T116  STCM R,i,m (0010)      : 31    12.9    13.8    12.89  0.93%    4.63   1.96
T117  STCM R,i,m (1100)      : 31    14.6    15.3    14.82  3.01%    5.32   2.25
T118  STCM R,i,m (0111)      : 31    12.6    13.8    12.51  0.37%    4.49   1.90
T120  STM 2,3,m (2r)         : 31    11.8    13.4    12.38  0.83%    4.44   1.88
T121  STM 2,7,m (6r)         : 31    13.4    15.2    13.30  0.41%    4.77   2.02
T122  STM 14,12,m (15r)      : 31    19.7    21.3    19.68  0.35%    7.06   2.99
T123  LM 2,3,m (2r)          : 31    10.6    11.3    10.46  0.22%    3.76   1.59
T124  LM 2,7,m (6r)          : 31    13.9    14.8    13.84  0.40%    4.97   2.10
T125  LM 0,11,m (12r)        : 31    19.2    19.5    19.08  0.57%    6.85   2.90
T150  MVC m,m (5c)           : 31    17.7    19.4    17.61  0.41%    6.32   2.68
T151  MVC m,m (10c)          : 31    20.8    23.0    20.69  0.36%    7.43   3.15
T152  MVC m,m (15c)          : 31    19.7    22.1    19.65  0.45%    7.05   2.99
T153  MVC m,m (30c)          : 31    20.2    23.6    20.10  0.31%    7.22   3.06
T154  MVC m,m (100c)         : 31    23.9    26.6    23.86  0.42%    8.56   3.63
T155  MVC m,m (250c)         : 31    33.4    34.8    33.17  0.32%   11.91   5.04
T156  MVC m,m (250c,over1)   : 31   576.2   649.5   576.72  0.17%  207.00  87.67
T157  MVC m,m (250c,over2)   : 31    33.5    39.1    33.24  0.38%   11.93   5.05
T160  MVI m,i                : 31    11.0    13.9    11.23  2.67%    4.03   1.71
T161  MVN m,m (10c)          : 31    21.2    25.2    21.23  0.44%    7.62   3.23
T162  MVN m,m (30c)          : 31    36.4    41.4    36.18  0.53%   12.99   5.50
T165  MVZ m,m (10c)          : 31    21.2    23.7    21.30  0.84%    7.65   3.24
T166  MVZ m,m (30c)          : 31    36.6    41.3    36.33  0.50%   13.04   5.52
T167  MVCIN m,m (10c)        : 31    60.6    67.4    60.46  0.27%   21.70   9.19
T168  MVCIN m,m (30c)        : 31   167.7   185.8   167.89  0.23%   60.26  25.52
T169  MVCIN m,m (100c)       : 31   519.0   576.9   519.71  0.24%  186.54  79.01
