file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-28-17:04:49_J0097_PERF-ASM.prt   240 3.17e+10  297.71s  4m57.71  106.6
2018-04-28-17:09:17_J0098_PERF-ASM.prt   214 2.83e+10  263.58s  4m23.58  107.4
2018-04-28-17:14:14_J0099_PERF-ASM.prt   241 3.19e+10  292.85s  4m52.85  108.8
2018-04-28-17:19:12_J0100_PERF-ASM.prt   241 3.19e+10  294.41s  4m54.41  108.3
2018-04-28-17:23:51_J0101_PERF-ASM.prt   225 2.98e+10  274.48s  4m34.48  108.4
2018-04-28-17:28:50_J0102_PERF-ASM.prt   241 3.19e+10  295.23s  4m55.23  108.0
2018-04-28-17:33:15_J0103_PERF-ASM.prt   210 2.78e+10  261.11s  4m21.11  106.4
2018-04-28-17:37:37_J0104_PERF-ASM.prt   208 2.75e+10  258.05s  4m18.05  106.6
2018-04-28-17:42:00_J0105_PERF-ASM.prt   207 2.74e+10  258.35s  4m18.35  106.0
2018-04-28-17:46:32_J0106_PERF-ASM.prt   219 2.90e+10  268.02s  4m28.02  108.1
2018-04-28-17:51:06_J0107_PERF-ASM.prt   221 2.92e+10  270.50s  4m30.50  108.0
2018-04-28-17:56:03_J0108_PERF-ASM.prt   240 3.17e+10  293.40s  4m53.40  108.2
2018-04-28-18:01:01_J0109_PERF-ASM.prt   241 3.19e+10  294.43s  4m54.43  108.2
2018-04-28-18:05:57_J0110_PERF-ASM.prt   238 3.15e+10  292.18s  4m52.18  107.7
2018-04-28-18:10:12_J0111_PERF-ASM.prt   201 2.66e+10  250.38s  4m10.38  106.2
2018-04-28-18:14:49_J0112_PERF-ASM.prt   218 2.88e+10  272.68s  4m32.68  105.7
2018-04-28-18:19:44_J0113_PERF-ASM.prt   237 3.13e+10  291.88s  4m51.88  107.4
2018-04-28-18:24:40_J0114_PERF-ASM.prt   239 3.16e+10  291.32s  4m51.32  108.5
2018-04-28-18:29:36_J0115_PERF-ASM.prt   238 3.15e+10  292.25s  4m52.25  107.7
2018-04-28-18:34:33_J0116_PERF-ASM.prt   241 3.19e+10  293.47s  4m53.47  108.6
2018-04-28-18:39:31_J0117_PERF-ASM.prt   241 3.19e+10  294.22s  4m54.22  108.3
2018-04-28-18:44:29_J0118_PERF-ASM.prt   240 3.17e+10  293.90s  4m53.90  108.0
2018-04-28-18:48:32_J0119_PERF-ASM.prt   195 2.58e+10  239.43s  3m59.43  107.7
2018-04-28-18:53:25_J0120_PERF-ASM.prt   236 3.12e+10  288.72s  4m48.72  108.1
2018-04-28-18:58:16_J0121_PERF-ASM.prt   236 3.12e+10  286.62s  4m46.62  108.9
2018-04-28-19:02:46_J0122_PERF-ASM.prt   217 2.87e+10  266.31s  4m26.31  107.8
2018-04-28-19:07:19_J0123_PERF-ASM.prt   215 2.84e+10  269.34s  4m29.34  105.6
2018-04-28-19:12:29_J0124_PERF-ASM.prt   237 3.13e+10  305.88s  5m05.88  102.5
2018-04-28-19:17:21_J0125_PERF-ASM.prt   206 2.72e+10  287.87s  4m47.87   94.6
2018-04-28-19:21:54_J0126_PERF-ASM.prt   205 2.71e+10  268.51s  4m28.51  101.0
2018-04-28-19:26:29_J0127_PERF-ASM.prt   208 2.75e+10  270.49s  4m30.49  101.7
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31     2.1     2.5     2.12  9.11%    1.00   0.34
T101  LA R,n                 : 31     2.9     3.4     2.83  5.27%    1.34   0.45
T102  L R,m                  : 31     6.4     7.7     6.27  6.33%    2.96   1.00
T103  L R,m (unal)           : 31     7.4     8.9     7.29  6.36%    3.45   1.16
T104  LH R,m                 : 31     7.6     9.2     7.55  2.55%    3.57   1.20
T105  LH R,m (unal3)         : 31     8.1     9.6     8.03  1.82%    3.79   1.28
T106  LTR R,R                : 31     2.9     3.5     2.82  1.11%    1.33   0.45
T107  LCR R,R                : 31     3.0     3.5     2.94  0.62%    1.39   0.47
T108  LNR R,R                : 31     2.8     3.3     2.74  2.10%    1.29   0.44
T109  LPR R,R                : 31     3.2     3.9     3.14  1.00%    1.48   0.50
T110  ST R,m                 : 31     6.5     7.5     6.36  5.13%    3.01   1.01
T111  ST R,m (unal)          : 31     7.1     8.6     7.05  8.17%    3.33   1.12
T112  STH R,m                : 31     7.8     9.5     7.70  5.60%    3.64   1.23
T113  STH R,m (unal1)        : 31     7.6     9.2     7.54  6.11%    3.56   1.20
T114  STH R,m (unal3)        : 31     7.6     9.0     7.51  5.13%    3.55   1.20
T115  STC R,m                : 31     7.5     9.1     7.39  4.49%    3.49   1.18
T116  STCM R,i,m (0010)      : 31    11.2    13.2    11.11  4.85%    5.25   1.77
T117  STCM R,i,m (1100)      : 31    12.1    14.7    11.99  1.80%    5.67   1.91
T118  STCM R,i,m (0111)      : 31     8.6    10.6     8.48  1.73%    4.01   1.35
T120  STM 2,3,m (2r)         : 31     9.5    11.6     9.41  3.08%    4.45   1.50
T121  STM 2,7,m (6r)         : 31    12.1    14.1    12.07  1.71%    5.70   1.92
T122  STM 14,12,m (15r)      : 31    17.4    20.4    17.40  1.23%    8.22   2.77
T123  LM 2,3,m (2r)          : 31    10.0    12.3     9.87  1.50%    4.66   1.57
T124  LM 2,7,m (6r)          : 31    13.1    15.1    13.01  5.21%    6.15   2.07
T125  LM 0,11,m (12r)        : 31    17.3    20.4    17.26  2.76%    8.16   2.75
T150  MVC m,m (5c)           : 31    16.3    19.0    16.25  6.04%    7.68   2.59
T151  MVC m,m (10c)          : 31    19.3    23.2    19.34  5.92%    9.14   3.08
T152  MVC m,m (15c)          : 31    17.9    20.5    17.95  4.46%    8.48   2.86
T153  MVC m,m (30c)          : 31    18.4    21.2    18.38  1.35%    8.69   2.93
T154  MVC m,m (100c)         : 31    21.7    26.4    21.68  4.22%   10.24   3.46
T155  MVC m,m (250c)         : 31    28.9    35.1    28.70  5.31%   13.56   4.58
T156  MVC m,m (250c,over1)   : 31   377.1   462.1   379.09  4.42%  179.12  60.43
T157  MVC m,m (250c,over2)   : 31    28.9    34.6    28.76  3.78%   13.59   4.59
T160  MVI m,i                : 31     6.8     7.8     6.75  3.55%    3.19   1.08
T161  MVN m,m (10c)          : 31    19.2    23.2    19.14  4.73%    9.05   3.05
T162  MVN m,m (30c)          : 31    34.7    41.5    34.52  3.95%   16.31   5.50
T165  MVZ m,m (10c)          : 31    19.0    23.3    19.03  2.05%    8.99   3.03
T166  MVZ m,m (30c)          : 31    34.6    43.3    34.50  2.71%   16.30   5.50
T167  MVCIN m,m (10c)        : 31    67.5    81.2    67.61  2.10%   31.94  10.78
T168  MVCIN m,m (30c)        : 31   189.0   235.1   190.02  5.31%   89.79  30.29
