file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-29-07:57:47_J0161_PERF-ASM.prt   224 2.96e+10  283.67s  4m43.67  104.4
2018-04-29-08:02:39_J0162_PERF-ASM.prt   221 2.92e+10  288.31s  4m48.31  101.4
2018-04-29-08:07:21_J0163_PERF-ASM.prt   204 2.70e+10  276.96s  4m36.96   97.4
2018-04-29-08:11:52_J0164_PERF-ASM.prt   212 2.80e+10  267.78s  4m27.78  104.7
2018-04-29-08:16:50_J0165_PERF-ASM.prt   223 2.95e+10  293.73s  4m53.73  100.4
2018-04-29-08:21:09_J0166_PERF-ASM.prt   195 2.58e+10  254.69s  4m14.69  101.3
2018-04-29-08:26:01_J0167_PERF-ASM.prt   218 2.88e+10  287.84s  4m47.84  100.2
2018-04-29-08:30:45_J0168_PERF-ASM.prt   221 2.92e+10  279.95s  4m39.95  104.4
2018-04-29-08:35:27_J0169_PERF-ASM.prt   216 2.86e+10  278.57s  4m38.57  102.5
2018-04-29-08:39:49_J0170_PERF-ASM.prt   201 2.66e+10  257.41s  4m17.41  103.3
2018-04-29-08:45:07_J0171_PERF-ASM.prt   227 3.00e+10  314.54s  5m14.54   95.4
2018-04-29-08:49:55_J0172_PERF-ASM.prt   211 2.79e+10  283.17s  4m43.17   98.5
2018-04-29-08:54:28_J0173_PERF-ASM.prt   211 2.79e+10  269.72s  4m29.72  103.5
2018-04-29-08:59:45_J0174_PERF-ASM.prt   228 3.02e+10  312.87s  5m12.87   96.4
2018-04-29-09:04:29_J0175_PERF-ASM.prt   214 2.83e+10  279.71s  4m39.71  101.2
2018-04-29-09:08:54_J0176_PERF-ASM.prt   203 2.68e+10  260.20s  4m20.20  103.2
2018-04-29-09:13:48_J0177_PERF-ASM.prt   227 3.00e+10  290.16s  4m50.16  103.5
2018-04-29-09:18:54_J0178_PERF-ASM.prt   230 3.04e+10  302.07s  5m02.07  100.7
2018-04-29-09:23:22_J0179_PERF-ASM.prt   198 2.62e+10  263.97s  4m23.97   99.2
2018-04-29-09:27:42_J0180_PERF-ASM.prt   197 2.61e+10  256.04s  4m16.04  101.8
2018-04-29-09:32:36_J0181_PERF-ASM.prt   222 2.94e+10  290.26s  4m50.26  101.1
2018-04-29-09:37:32_J0182_PERF-ASM.prt   210 2.78e+10  291.20s  4m51.20   95.4
2018-04-29-09:42:18_J0183_PERF-ASM.prt   206 2.72e+10  281.66s  4m41.66   96.7
2018-04-29-09:47:13_J0184_PERF-ASM.prt   219 2.90e+10  290.79s  4m50.79   99.6
2018-04-29-09:51:53_J0185_PERF-ASM.prt   201 2.66e+10  275.89s  4m35.89   96.4
2018-04-29-09:56:06_J0186_PERF-ASM.prt   195 2.58e+10  249.32s  4m09.32  103.4
2018-04-29-10:00:58_J0187_PERF-ASM.prt   226 2.99e+10  287.53s  4m47.53  103.9
2018-04-29-10:05:56_J0188_PERF-ASM.prt   228 3.02e+10  294.37s  4m54.37  102.4
2018-04-29-10:10:27_J0189_PERF-ASM.prt   194 2.57e+10  266.32s  4m26.32   96.3
2018-04-29-10:15:10_J0190_PERF-ASM.prt   202 2.67e+10  278.80s  4m38.80   95.8
2018-04-29-10:19:54_J0191_PERF-ASM.prt   217 2.87e+10  280.82s  4m40.82  102.2
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31     2.1     2.5     2.21  8.24%    1.00   0.31
T101  LA R,n                 : 31     2.9     3.4     3.04  9.43%    1.38   0.43
T102  L R,m                  : 31     6.7     7.9     7.02  7.89%    3.18   1.00
T103  L R,m (unal)           : 31     7.8     9.3     8.32  9.03%    3.77   1.19
T104  LH R,m                 : 31     7.9     9.4     8.51 10.80%    3.86   1.21
T105  LH R,m (unal3)         : 31     8.4     9.9     8.84 11.25%    4.01   1.26
T106  LTR R,R                : 31     3.0     3.6     3.13 10.34%    1.42   0.45
T107  LCR R,R                : 31     3.1     3.7     3.24 11.35%    1.47   0.46
T108  LNR R,R                : 31     2.9     3.4     2.94  9.10%    1.33   0.42
T109  LPR R,R                : 31     3.4     4.1     3.50  9.15%    1.59   0.50
T110  ST R,m                 : 31     6.7     7.9     6.89 10.55%    3.12   0.98
T111  ST R,m (unal)          : 31     7.4     8.7     7.54  8.32%    3.42   1.07
T112  STH R,m                : 31     8.1     9.6     8.24  8.25%    3.74   1.17
T113  STH R,m (unal1)        : 31     7.9     9.4     8.12  8.90%    3.68   1.16
T114  STH R,m (unal3)        : 31     7.9     9.3     8.22  9.20%    3.73   1.17
T115  STC R,m                : 31     7.6     8.8     7.88  9.33%    3.57   1.12
T116  STCM R,i,m (0010)      : 31    11.2    13.2    11.59  8.21%    5.25   1.65
T117  STCM R,i,m (1100)      : 31    12.1    14.3    12.62  6.88%    5.72   1.80
T118  STCM R,i,m (0111)      : 31     8.9    10.6     9.23  6.96%    4.19   1.31
T120  STM 2,3,m (2r)         : 31     9.8    11.8    10.12  7.94%    4.59   1.44
T121  STM 2,7,m (6r)         : 31    12.4    14.6    12.88  7.22%    5.84   1.83
T122  STM 14,12,m (15r)      : 31    17.8    21.1    18.58  7.84%    8.42   2.65
T123  LM 2,3,m (2r)          : 31    10.3    12.2    10.70  6.11%    4.85   1.52
T124  LM 2,7,m (6r)          : 31    13.5    16.2    14.03  6.92%    6.36   2.00
T125  LM 0,11,m (12r)        : 31    17.8    21.6    18.50  4.96%    8.39   2.64
T150  MVC m,m (5c)           : 31    16.7    19.6    17.32  5.84%    7.85   2.47
T151  MVC m,m (10c)          : 31    19.4    22.9    20.16  6.81%    9.14   2.87
T152  MVC m,m (15c)          : 31    18.0    21.0    18.59  7.46%    8.43   2.65
T153  MVC m,m (30c)          : 31    18.7    25.1    19.49  6.93%    8.84   2.78
T154  MVC m,m (100c)         : 31    21.8    39.4    22.85  7.91%   10.36   3.25
T155  MVC m,m (250c)         : 31    29.5    38.2    30.60  7.91%   13.87   4.36
T156  MVC m,m (250c,over1)   : 31   388.1   458.6   409.32  8.76%  185.59  58.31
T157  MVC m,m (250c,over2)   : 31    29.4    34.5    30.09  6.92%   13.64   4.29
T160  MVI m,i                : 31     7.0     8.2     7.22  7.03%    3.27   1.03
T161  MVN m,m (10c)          : 31    19.3    22.5    20.05  6.68%    9.09   2.86
T162  MVN m,m (30c)          : 31    34.8    40.2    35.92  5.32%   16.29   5.12
T165  MVZ m,m (10c)          : 31    19.2    22.4    19.72  5.91%    8.94   2.81
T166  MVZ m,m (30c)          : 31    34.6    40.5    35.45  6.52%   16.08   5.05
T167  MVCIN m,m (10c)        : 31    67.6    79.0    69.95  7.58%   31.72   9.96
T168  MVCIN m,m (30c)        : 31   189.1   222.3   198.27  7.78%   89.90  28.24
