file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-30-18:20:45_J0097_PERF-ASM.prt    11 1.45e+09  228.36s  3m48.36    6.4
2018-04-30-18:25:12_J0098_PERF-ASM.prt    11 1.45e+09  227.47s  3m47.47    6.4
2018-04-30-18:29:38_J0099_PERF-ASM.prt    11 1.45e+09  227.88s  3m47.88    6.4
2018-04-30-18:34:04_J0100_PERF-ASM.prt    11 1.45e+09  226.95s  3m46.95    6.4
2018-04-30-18:38:30_J0101_PERF-ASM.prt    11 1.45e+09  226.84s  3m46.84    6.4
2018-04-30-18:42:55_J0102_PERF-ASM.prt    11 1.45e+09  226.99s  3m46.99    6.4
2018-04-30-18:47:21_J0103_PERF-ASM.prt    11 1.45e+09  227.37s  3m47.37    6.4
2018-04-30-18:51:47_J0104_PERF-ASM.prt    11 1.45e+09  227.58s  3m47.58    6.4
2018-04-30-18:56:13_J0105_PERF-ASM.prt    11 1.45e+09  227.58s  3m47.58    6.4
2018-04-30-19:00:39_J0106_PERF-ASM.prt    11 1.45e+09  227.00s  3m47.00    6.4
2018-04-30-19:05:06_J0107_PERF-ASM.prt    11 1.45e+09  227.85s  3m47.85    6.4
2018-04-30-19:09:31_J0108_PERF-ASM.prt    11 1.45e+09  227.16s  3m47.16    6.4
2018-04-30-19:13:57_J0109_PERF-ASM.prt    11 1.45e+09  227.61s  3m47.61    6.4
2018-04-30-19:18:24_J0110_PERF-ASM.prt    11 1.45e+09  227.23s  3m47.23    6.4
2018-04-30-19:22:50_J0111_PERF-ASM.prt    11 1.45e+09  227.16s  3m47.16    6.4
2018-04-30-19:27:16_J0112_PERF-ASM.prt    11 1.45e+09  227.72s  3m47.72    6.4
2018-04-30-19:31:41_J0113_PERF-ASM.prt    11 1.45e+09  227.51s  3m47.51    6.4
2018-04-30-19:36:08_J0114_PERF-ASM.prt    11 1.45e+09  227.85s  3m47.85    6.4
2018-04-30-19:40:35_J0115_PERF-ASM.prt    11 1.45e+09  227.90s  3m47.90    6.4
2018-04-30-19:45:01_J0116_PERF-ASM.prt    11 1.45e+09  227.33s  3m47.33    6.4
2018-04-30-19:49:27_J0117_PERF-ASM.prt    11 1.45e+09  227.41s  3m47.41    6.4
2018-04-30-19:53:53_J0118_PERF-ASM.prt    11 1.45e+09  227.27s  3m47.27    6.4
2018-04-30-19:58:19_J0119_PERF-ASM.prt    11 1.45e+09  227.40s  3m47.40    6.4
2018-04-30-20:02:46_J0120_PERF-ASM.prt    11 1.45e+09  227.89s  3m47.89    6.4
2018-04-30-20:07:12_J0121_PERF-ASM.prt    11 1.45e+09  227.22s  3m47.22    6.4
2018-04-30-20:11:39_J0122_PERF-ASM.prt    11 1.45e+09  227.71s  3m47.71    6.4
2018-04-30-20:16:03_J0123_PERF-ASM.prt    11 1.45e+09  227.05s  3m47.05    6.4
2018-04-30-20:20:30_J0124_PERF-ASM.prt    11 1.45e+09  227.65s  3m47.65    6.4
2018-04-30-20:24:56_J0125_PERF-ASM.prt    11 1.45e+09  227.16s  3m47.16    6.4
2018-04-30-20:29:21_J0126_PERF-ASM.prt    11 1.45e+09  226.80s  3m46.80    6.4
2018-04-30-20:33:45_J0127_PERF-ASM.prt    11 1.45e+09  226.98s  3m46.98    6.4
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31    29.4    29.8    29.01  0.74%    1.00   0.22
T101  LA R,n                 : 31    50.0    50.9    49.72  0.76%    1.71   0.38
T102  L R,m                  : 31   131.3   133.2   130.62  0.38%    4.50   1.00
T103  L R,m (unal)           : 31   138.5   140.1   137.93  0.40%    4.75   1.06
T104  LH R,m                 : 31   142.4   144.4   141.87  0.70%    4.89   1.09
T105  LH R,m (unal3)         : 31   146.4   147.9   145.82  0.57%    5.03   1.12
T106  LTR R,R                : 31    38.3    38.9    37.89  0.59%    1.31   0.29
T107  LCR R,R                : 31    43.7    44.5    43.23  0.61%    1.49   0.33
T108  LNR R,R                : 31    40.5    41.1    40.16  0.53%    1.38   0.31
T109  LPR R,R                : 31    43.2    44.0    42.89  0.62%    1.48   0.33
T110  ST R,m                 : 31   126.4   128.2   125.83  0.50%    4.34   0.96
T111  ST R,m (unal)          : 31   138.5   140.0   138.26  0.48%    4.77   1.06
T112  STH R,m                : 31   137.6   140.0   137.06  0.41%    4.72   1.05
T113  STH R,m (unal1)        : 31   139.8   141.9   139.31  0.83%    4.80   1.07
T114  STH R,m (unal3)        : 31   142.1   143.8   141.55  0.55%    4.88   1.08
T115  STC R,m                : 31   126.9   128.8   126.31  0.50%    4.35   0.97
T116  STCM R,i,m (0010)      : 31   323.3   326.9   323.79  0.53%   11.16   2.48
T117  STCM R,i,m (1100)      : 31   340.3   344.6   340.94  0.50%   11.75   2.61
T118  STCM R,i,m (0111)      : 31   299.5   303.5   299.54  0.42%   10.33   2.29
T120  STM 2,3,m (2r)         : 31   167.6   170.3   167.10  0.40%    5.76   1.28
T121  STM 2,7,m (6r)         : 31   237.0   240.2   236.79  0.37%    8.16   1.81
T122  STM 14,12,m (15r)      : 31   355.9   359.8   357.00  0.46%   12.31   2.73
T123  LM 2,3,m (2r)          : 31   159.6   161.9   159.11  0.64%    5.48   1.22
T124  LM 2,7,m (6r)          : 31   211.8   215.9   211.60  0.74%    7.29   1.62
T125  LM 0,11,m (12r)        : 31   264.2   268.8   264.62  0.52%    9.12   2.03
T150  MVC m,m (5c)           : 31   299.1   303.7   299.38  0.50%   10.32   2.29
T151  MVC m,m (10c)          : 31   322.9   326.6   323.82  0.44%   11.16   2.48
T152  MVC m,m (15c)          : 31   339.4   344.2   339.49  0.59%   11.70   2.60
T153  MVC m,m (30c)          : 31   368.4   372.5   369.42  0.42%   12.73   2.83
T154  MVC m,m (100c)         : 31   495.1   501.9   495.92  0.50%   17.09   3.80
T155  MVC m,m (250c)         : 31   899.3   908.3   900.43  0.47%   31.04   6.89
T156  MVC m,m (250c,over1)   : 31  1139.9  1170.1  1140.70  0.62%   39.32   8.73
T157  MVC m,m (250c,over2)   : 31   866.7   877.9   868.38  0.55%   29.93   6.65
T160  MVI m,i                : 31   115.7   117.2   115.56  0.71%    3.98   0.88
T161  MVN m,m (10c)          : 31   343.4   348.3   343.98  0.41%   11.86   2.63
T162  MVN m,m (30c)          : 31   526.2   533.7   525.44  0.45%   18.11   4.02
T165  MVZ m,m (10c)          : 31   343.4   348.4   343.78  0.37%   11.85   2.63
T166  MVZ m,m (30c)          : 31   526.3   534.6   526.27  0.44%   18.14   4.03
T167  MVCIN m,m (10c)        : 31  1251.8  1268.9  1253.54  0.45%   43.21   9.60
T168  MVCIN m,m (30c)        : 31  3504.6  3542.9  3516.62  0.36%  121.22  26.92
T169  MVCIN m,m (100c)       : 31 11388.4 11548.5 11426.96  0.63%  393.89  87.48
T170  4*Lx;MVCL (10b)        : 31   663.9   670.9   661.17  0.34%   22.79   5.06
T171  4*Lx;MVCL (100b)       : 31   845.3   854.0   842.70  0.33%   29.05   6.45
T172  4*Lx;MVCL (250b)       : 31  1207.0  1224.8  1206.85  0.41%   41.60   9.24
T173  4*Lx;MVCL (1kb)        : 31  2915.5  2952.4  2920.96  0.37%  100.69  22.36
T174  4*LR;MVCL (4kb)        : 31 10008.6 10131.7 10048.95  0.37%  346.39  76.93
T175  4*Lx;MVCL (100b,pad)   : 31   551.3   557.5   547.71  0.36%   18.88   4.19
T176  4*Lx;MVCL (1kb,pad)    : 31   834.2   979.2   872.63  7.82%   30.08   6.68
T177  4*Lx;MVCL (4kb,pad)    : 31  2043.8  3221.8  2742.53 19.57%   94.53  21.00
T178  4*LA;MVCL (1kb,over1)  : 31   375.5   379.5   371.33  0.65%   12.80   2.84
T179  4*LA;MVCL (1kb,over2)  : 31  3004.2  3080.0  3008.05  0.37%  103.69  23.03
T190  IC R,m                 : 31   131.2   133.7   131.07  0.50%    4.52   1.00
T191  ICM R,i,m (0010)       : 31   301.8   306.3   302.49  0.34%   10.43   2.32
T192  ICM R,i,m (1100)       : 31   302.0   304.8   302.64  0.44%   10.43   2.32
T193  ICM R,i,m (0111)       : 31   139.3   141.1   139.30  0.60%    4.80   1.07
T200  AR R,R                 : 31    44.5    45.0    44.11  0.65%    1.52   0.34
T201  A R,m                  : 31   152.1   153.7   151.57  0.53%    5.22   1.16
T202  AH R,m                 : 31   155.1   156.7   154.61  0.45%    5.33   1.18
T203  ALR R,R                : 31    36.1    36.6    35.61  0.61%    1.23   0.27
T204  AL R,m                 : 31   147.8   149.3   147.29  0.53%    5.08   1.13
T205  SR R,R                 : 31    50.1    51.1    49.75  0.52%    1.71   0.38
T206  S R,m                  : 31   152.4   154.0   151.88  0.60%    5.24   1.16
T207  SH R,m                 : 31   154.9   156.5   154.34  0.59%    5.32   1.18
T208  SLR R,R                : 31    36.1    36.5    35.64  0.63%    1.23   0.27
