file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-05-06-18:48:07_J0001_PERF-ASM.prt    18 2.38e+09  233.89s  3m53.89   10.2
2018-05-06-18:52:25_J0002_PERF-ASM.prt    18 2.38e+09  233.91s  3m53.91   10.2
2018-05-06-18:56:43_J0003_PERF-ASM.prt    18 2.38e+09  233.45s  3m53.45   10.2
2018-05-06-19:01:00_J0004_PERF-ASM.prt    18 2.38e+09  233.82s  3m53.82   10.2
2018-05-06-19:05:18_J0005_PERF-ASM.prt    18 2.38e+09  233.25s  3m53.25   10.2
2018-05-06-19:09:36_J0006_PERF-ASM.prt    18 2.38e+09  233.83s  3m53.83   10.2
2018-05-06-19:13:54_J0007_PERF-ASM.prt    18 2.38e+09  233.65s  3m53.65   10.2
2018-05-06-19:18:12_J0008_PERF-ASM.prt    18 2.38e+09  233.73s  3m53.73   10.2
2018-05-06-19:22:30_J0009_PERF-ASM.prt    18 2.38e+09  234.14s  3m54.14   10.2
2018-05-06-19:26:48_J0010_PERF-ASM.prt    18 2.38e+09  233.82s  3m53.82   10.2
2018-05-06-19:31:07_J0011_PERF-ASM.prt    18 2.38e+09  233.97s  3m53.97   10.2
2018-05-06-19:35:25_J0012_PERF-ASM.prt    18 2.38e+09  234.56s  3m54.56   10.1
2018-05-06-19:39:44_J0013_PERF-ASM.prt    18 2.38e+09  234.51s  3m54.51   10.2
2018-05-06-19:44:02_J0014_PERF-ASM.prt    18 2.38e+09  234.07s  3m54.07   10.2
2018-05-06-19:48:20_J0015_PERF-ASM.prt    18 2.38e+09  233.75s  3m53.75   10.2
2018-05-06-19:52:38_J0016_PERF-ASM.prt    18 2.38e+09  233.94s  3m53.94   10.2
2018-05-06-19:56:56_J0017_PERF-ASM.prt    18 2.38e+09  233.93s  3m53.93   10.2
2018-05-06-20:01:15_J0018_PERF-ASM.prt    18 2.38e+09  234.80s  3m54.80   10.1
2018-05-06-20:05:33_J0019_PERF-ASM.prt    18 2.38e+09  233.95s  3m53.95   10.2
2018-05-06-20:09:51_J0020_PERF-ASM.prt    18 2.38e+09  234.00s  3m54.00   10.2
2018-05-06-20:14:08_J0021_PERF-ASM.prt    18 2.38e+09  233.41s  3m53.41   10.2
2018-05-06-20:18:26_J0022_PERF-ASM.prt    18 2.38e+09  233.60s  3m53.60   10.2
2018-05-06-20:22:46_J0023_PERF-ASM.prt    18 2.38e+09  235.06s  3m55.06   10.1
2018-05-06-20:27:04_J0024_PERF-ASM.prt    18 2.38e+09  233.99s  3m53.99   10.2
2018-05-06-20:31:22_J0025_PERF-ASM.prt    18 2.38e+09  233.62s  3m53.62   10.2
2018-05-06-20:35:39_J0026_PERF-ASM.prt    18 2.38e+09  233.69s  3m53.69   10.2
2018-05-06-20:39:57_J0027_PERF-ASM.prt    18 2.38e+09  233.42s  3m53.42   10.2
2018-05-06-20:44:15_J0028_PERF-ASM.prt    18 2.38e+09  233.80s  3m53.80   10.2
2018-05-06-20:48:33_J0029_PERF-ASM.prt    18 2.38e+09  233.81s  3m53.81   10.2
2018-05-06-20:52:50_J0030_PERF-ASM.prt    18 2.38e+09  233.65s  3m53.65   10.2
2018-05-06-20:57:07_J0031_PERF-ASM.prt    18 2.38e+09  233.59s  3m53.59   10.2
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31    18.5    18.9    18.21  0.65%    1.00   0.22
T101  LA R,n                 : 31    32.2    32.8    32.02  0.64%    1.76   0.38
T102  L R,m                  : 31    83.9    86.4    83.53  0.41%    4.59   1.00
T103  L R,m (unal)           : 31    88.7    90.4    88.27  0.46%    4.85   1.06
T104  LH R,m                 : 31    90.3    91.7    89.89  0.52%    4.94   1.08
T105  LH R,m (unal3)         : 31    92.8    93.9    92.54  0.48%    5.08   1.11
T106  LTR R,R                : 31    25.1    25.5    24.86  0.46%    1.36   0.30
T107  LCR R,R                : 31    28.1    28.4    27.80  0.44%    1.53   0.33
T108  LNR R,R                : 31    26.8    27.3    26.57  0.59%    1.46   0.32
T109  LPR R,R                : 31    28.8    29.7    28.58  0.41%    1.57   0.34
T110  ST R,m                 : 31    79.4    83.9    79.09  0.58%    4.34   0.95
T111  ST R,m (unal)          : 31    87.8    91.8    87.46  0.56%    4.80   1.05
T112  STH R,m                : 31    87.8    89.0    87.44  0.57%    4.80   1.05
T113  STH R,m (unal1)        : 31    89.4    91.4    89.13  0.44%    4.89   1.07
T114  STH R,m (unal3)        : 31    91.1    92.4    90.81  0.50%    4.99   1.09
T115  STC R,m                : 31    80.3    85.9    80.00  0.54%    4.39   0.96
T116  STCM R,i,m (0010)      : 31   218.0   222.7   218.51  0.33%   12.00   2.62
T117  STCM R,i,m (1100)      : 31   221.3   225.4   221.81  0.46%   12.18   2.66
T118  STCM R,i,m (0111)      : 31   202.2   207.5   202.57  0.52%   11.12   2.42
T120  STM 2,3,m (2r)         : 31   100.7   102.3   100.62  0.35%    5.52   1.20
T121  STM 2,7,m (6r)         : 31   134.1   135.8   134.17  0.54%    7.37   1.61
T122  STM 14,12,m (15r)      : 31   217.1   223.6   217.46  0.27%   11.94   2.60
T123  LM 2,3,m (2r)          : 31    97.5    98.8    97.20  0.38%    5.34   1.16
T124  LM 2,7,m (6r)          : 31   124.1   127.3   123.95  0.42%    6.81   1.48
T125  LM 0,11,m (12r)        : 31   171.4   173.8   171.21  0.29%    9.40   2.05
T150  MVC m,m (5c)           : 31   185.1   188.2   185.69  0.53%   10.19   2.22
T151  MVC m,m (10c)          : 31   205.1   209.0   206.31  0.66%   11.33   2.47
T152  MVC m,m (15c)          : 31   211.8   216.4   212.36  0.65%   11.66   2.54
T153  MVC m,m (30c)          : 31   228.5   231.7   229.32  0.34%   12.59   2.75
T154  MVC m,m (100c)         : 31   318.4   335.9   319.40  0.41%   17.54   3.82
T155  MVC m,m (250c)         : 31   553.9   576.3   554.99  0.49%   30.47   6.64
T156  MVC m,m (250c,over1)   : 31   822.8   835.6   826.17  0.51%   45.36   9.89
T157  MVC m,m (250c,over2)   : 31   528.1   535.7   529.86  0.53%   29.09   6.34
T160  MVI m,i                : 31    73.0    74.4    73.02  0.45%    4.01   0.87
T161  MVN m,m (10c)          : 31   217.1   221.6   217.32  0.41%   11.93   2.60
T162  MVN m,m (30c)          : 31   336.0   341.7   336.08  0.29%   18.45   4.02
T165  MVZ m,m (10c)          : 31   217.1   220.6   217.33  0.39%   11.93   2.60
T166  MVZ m,m (30c)          : 31   335.9   359.1   335.84  0.39%   18.44   4.02
T167  MVCIN m,m (10c)        : 31   801.9   846.0   803.59  0.33%   44.12   9.62
T168  MVCIN m,m (30c)        : 31  2253.3  2277.2  2258.94  0.41%  124.02  27.04
