file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-06-17-09:48:52_J0023_PERF-ASM.prt    92 1.22e+10  138.37s  2m18.37   87.9
2018-06-17-09:53:54_J0024_PERF-ASM.prt   202 2.67e+10  297.06s  4m57.06   89.9
2018-06-17-09:58:56_J0025_PERF-ASM.prt   201 2.66e+10  296.39s  4m56.39   89.7
2018-06-17-10:03:50_J0026_PERF-ASM.prt   196 2.59e+10  289.17s  4m49.17   89.6
2018-06-17-10:08:48_J0027_PERF-ASM.prt   199 2.63e+10  292.83s  4m52.83   89.9
2018-06-17-10:13:50_J0028_PERF-ASM.prt   202 2.67e+10  297.03s  4m57.03   89.9
2018-06-17-10:18:49_J0029_PERF-ASM.prt   200 2.64e+10  294.10s  4m54.10   89.9
2018-06-17-10:23:51_J0030_PERF-ASM.prt   202 2.67e+10  296.83s  4m56.83   90.0
2018-06-17-10:28:53_J0031_PERF-ASM.prt   202 2.67e+10  296.73s  4m56.73   90.0
2018-06-17-10:33:57_J0032_PERF-ASM.prt   203 2.68e+10  298.43s  4m58.43   90.0
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 10     2.3     5.0     2.27  1.08%    1.00   0.30
T101  LA R,n                 : 10     3.1     6.2     3.09  0.56%    1.36   0.41
T102  L R,m                  : 10     7.6    15.0     7.52  0.69%    3.32   1.00
T103  L R,m (unal)           : 10     8.7    16.1     8.62  0.67%    3.80   1.15
T104  LH R,m                 : 10     9.1    14.7     9.09  0.63%    4.01   1.21
T105  LH R,m (unal3)         : 10    10.4    15.6    10.34  0.55%    4.56   1.37
T106  LTR R,R                : 10     3.4     4.6     3.41  0.91%    1.50   0.45
T107  LCR R,R                : 10     3.5     4.6     3.52  0.44%    1.55   0.47
T108  LNR R,R                : 10     3.2     4.2     3.19  1.67%    1.41   0.42
T109  LPR R,R                : 10     3.8     4.9     3.81  1.79%    1.68   0.51
T110  ST R,m                 : 10     7.6     9.7     7.52  0.62%    3.32   1.00
T111  ST R,m (unal)          : 10     8.4    10.0     8.29  0.89%    3.66   1.10
T112  STH R,m                : 10     9.4    10.1     9.40  0.75%    4.15   1.25
T113  STH R,m (unal1)        : 10     9.4     9.5     9.30  0.78%    4.10   1.24
T114  STH R,m (unal3)        : 10     9.4     9.6     9.35  1.20%    4.12   1.24
T115  STC R,m                : 10     8.9     9.3     8.89  1.12%    3.92   1.18
T116  STCM R,i,m (0010)      : 10    13.3    13.6    13.32  1.01%    5.88   1.77
T117  STCM R,i,m (1100)      : 10    15.0    15.3    14.97  0.59%    6.60   1.99
T118  STCM R,i,m (0111)      : 10    10.1    10.4    10.03  0.86%    4.42   1.33
