file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-06-23-14:08:30_J0001_PERF-ASM.prt   129 1.71e+10  293.51s  4m53.51   58.1
2018-06-23-14:13:45_J0002_PERF-ASM.prt   135 1.79e+10  306.53s  5m06.53   58.2
2018-06-23-14:19:01_J0003_PERF-ASM.prt   136 1.80e+10  307.91s  5m07.91   58.4
2018-06-23-14:24:07_J0004_PERF-ASM.prt   132 1.75e+10  298.50s  4m58.50   58.5
2018-06-23-14:29:19_J0005_PERF-ASM.prt   135 1.79e+10  304.68s  5m04.68   58.6
2018-06-23-14:34:25_J0006_PERF-ASM.prt   132 1.75e+10  298.46s  4m58.46   58.5
2018-06-23-14:39:28_J0007_PERF-ASM.prt   130 1.72e+10  295.40s  4m55.40   58.2
2018-06-23-14:44:39_J0008_PERF-ASM.prt   134 1.77e+10  302.84s  5m02.84   58.5
2018-06-23-14:49:50_J0009_PERF-ASM.prt   134 1.77e+10  303.72s  5m03.72   58.3
2018-06-23-14:55:01_J0010_PERF-ASM.prt   134 1.77e+10  303.99s  5m03.99   58.3
2018-06-23-15:00:09_J0011_PERF-ASM.prt   133 1.76e+10  300.58s  5m00.58   58.5
2018-06-23-15:05:27_J0012_PERF-ASM.prt   137 1.81e+10  309.29s  5m09.29   58.6
2018-06-23-15:10:34_J0013_PERF-ASM.prt   132 1.75e+10  299.53s  4m59.53   58.3
2018-06-23-15:15:38_J0014_PERF-ASM.prt   131 1.73e+10  296.26s  4m56.26   58.5
2018-06-23-15:20:51_J0015_PERF-ASM.prt   135 1.79e+10  304.77s  5m04.77   58.6
2018-06-23-15:26:04_J0016_PERF-ASM.prt   135 1.79e+10  304.67s  5m04.67   58.6
2018-06-23-15:31:12_J0017_PERF-ASM.prt   133 1.76e+10  301.19s  5m01.19   58.4
2018-06-23-15:36:15_J0018_PERF-ASM.prt   130 1.72e+10  294.54s  4m54.54   58.4
2018-06-23-15:41:28_J0019_PERF-ASM.prt   135 1.79e+10  304.96s  5m04.96   58.5
2018-06-23-15:46:38_J0020_PERF-ASM.prt   134 1.77e+10  302.42s  5m02.42   58.6
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 20     3.4     3.7     3.33  1.42%    1.00   0.30
T101  LA R,n                 : 20     3.9     4.3     3.84  2.08%    1.16   0.34
T102  L R,m                  : 20    11.1    11.6    11.23  1.91%    3.38   1.00
T103  L R,m (unal)           : 20    13.9    15.6    14.01  2.48%    4.21   1.25
T104  LH R,m                 : 20    14.0    14.8    14.18  1.27%    4.26   1.26
T105  LH R,m (unal3)         : 20    14.5    15.4    14.71  1.45%    4.42   1.31
T106  LTR R,R                : 20     4.9     5.2     4.92  1.45%    1.48   0.44
T107  LCR R,R                : 20     4.9     5.5     4.92  1.73%    1.48   0.44
T108  LNR R,R                : 20     4.5     5.3     4.55  2.31%    1.37   0.41
T109  LPR R,R                : 20     4.9     5.3     4.92  1.43%    1.48   0.44
T110  ST R,m                 : 20    11.5    12.7    11.53  2.02%    3.47   1.03
T111  ST R,m (unal)          : 20    12.6    14.3    12.81  1.31%    3.85   1.14
T112  STH R,m                : 20    14.5    16.3    14.62  1.45%    4.40   1.30
T113  STH R,m (unal1)        : 20    14.1    15.1    14.11  1.73%    4.24   1.26
T114  STH R,m (unal3)        : 20    13.9    15.9    14.16  0.86%    4.26   1.26
T115  STC R,m                : 20    13.8    15.6    14.03  1.70%    4.22   1.25
T116  STCM R,i,m (0010)      : 20    18.8    20.5    18.93  1.92%    5.69   1.68
T117  STCM R,i,m (1100)      : 20    19.6    22.3    19.80  2.08%    5.95   1.76
T118  STCM R,i,m (0111)      : 20    15.4    17.1    15.60  2.59%    4.69   1.39
T120  STM 2,3,m (2r)         : 20    16.5    18.4    16.75  2.80%    5.04   1.49
T121  STM 2,7,m (6r)         : 20    21.1    21.9    21.26  1.00%    6.39   1.89
T122  STM 14,12,m (15r)      : 20    30.6    34.5    30.89  1.95%    9.29   2.75
T123  LM 2,3,m (2r)          : 20    17.4    19.5    17.54  1.64%    5.27   1.56
T124  LM 2,7,m (6r)          : 20    22.1    23.9    22.52  2.66%    6.77   2.00
T125  LM 0,11,m (12r)        : 20    31.3    35.1    31.62  1.90%    9.51   2.82
T150  MVC m,m (5c)           : 20    28.5    30.8    28.60  0.65%    8.60   2.55
T151  MVC m,m (10c)          : 20    32.4    34.1    33.20  1.49%    9.98   2.96
T152  MVC m,m (15c)          : 20    30.8    33.8    31.43  1.28%    9.45   2.80
T153  MVC m,m (30c)          : 20    31.6    34.9    32.10  1.82%    9.65   2.86
T154  MVC m,m (100c)         : 20    38.0    39.2    38.63  0.68%   11.62   3.44
T155  MVC m,m (250c)         : 20    50.9    53.0    51.42  1.54%   15.46   4.58
T156  MVC m,m (250c,over1)   : 20   477.2   532.7   486.16  2.38%  146.20  43.28
T157  MVC m,m (250c,over2)   : 20    50.8    56.3    51.07  1.98%   15.36   4.55
T160  MVI m,i                : 20    12.5    14.9    12.72  1.60%    3.83   1.13
T161  MVN m,m (10c)          : 20    30.3    34.1    30.68  1.17%    9.23   2.73
T162  MVN m,m (30c)          : 20    53.0    54.8    53.57  1.22%   16.11   4.77
T165  MVZ m,m (10c)          : 20    30.2    31.6    30.91  1.65%    9.30   2.75
T166  MVZ m,m (30c)          : 20    52.9    56.3    53.93  1.58%   16.22   4.80
T167  MVCIN m,m (10c)        : 20   117.6   125.6   120.06  2.10%   36.11  10.69
T168  MVCIN m,m (30c)        : 20   328.6   372.4   335.79  0.82%  100.98  29.89
T169  MVCIN m,m (100c)       : 20  1079.3  1127.5  1100.35  0.96%  330.91  97.95
T170  4*Lx;MVCL (10b)        : 20    56.6    58.1    56.49  0.68%   16.99   5.03
T171  4*Lx;MVCL (100b)       : 20    66.0    70.4    66.59  2.11%   20.03   5.93
T172  4*Lx;MVCL (250b)       : 20    78.8    83.8    79.50  1.54%   23.91   7.08
