file name ----------------------------  GMUL  i-count  -- total time --   MIPS
atom-1-perf.txt                           28 3.68e+09  274.70s  4m34.70   13.4
atom-1-perf.txt                           28 3.68e+09  275.78s  4m35.78   13.4
atom-1-perf.txt                           29 3.81e+09  285.16s  4m45.16   13.4
atom-1-perf.txt                           28 3.68e+09  274.65s  4m34.65   13.4
atom-1-perf.txt                           28 3.68e+09  274.13s  4m34.13   13.4
atom-1-perf.txt                           29 3.81e+09  283.16s  4m43.16   13.5
atom-1-perf.txt                           28 3.68e+09  273.28s  4m33.28   13.5
atom-1-perf.txt                           28 3.68e+09  273.13s  4m33.13   13.5
atom-1-perf.txt                           28 3.68e+09  273.49s  4m33.49   13.5
atom-1-perf.txt                           28 3.68e+09  273.23s  4m33.23   13.5
atom-1-perf.txt                           28 3.68e+09  273.46s  4m33.46   13.5
atom-1-perf.txt                           28 3.68e+09  273.39s  4m33.39   13.5
atom-1-perf.txt                           28 3.68e+09  273.45s  4m33.45   13.5
atom-1-perf.txt                           28 3.68e+09  273.85s  4m33.85   13.4
atom-1-perf.txt                           28 3.68e+09  274.93s  4m34.93   13.4
atom-1-perf.txt                           28 3.68e+09  273.57s  4m33.57   13.5
atom-1-perf.txt                           28 3.68e+09  273.45s  4m33.45   13.5
atom-1-perf.txt                           24 3.16e+09  234.11s  3m54.11   13.5
atom-1-perf.txt                           28 3.68e+09  273.47s  4m33.47   13.5
atom-1-perf.txt                           28 3.68e+09  273.62s  4m33.62   13.5
atom-1-perf.txt                           28 3.68e+09  273.39s  4m33.39   13.5
atom-1-perf.txt                           28 3.68e+09  273.44s  4m33.44   13.5
atom-1-perf.txt                           28 3.68e+09  273.45s  4m33.45   13.5
atom-1-perf.txt                           28 3.68e+09  273.38s  4m33.38   13.5
atom-1-perf.txt                           28 3.68e+09  273.72s  4m33.72   13.5
atom-1-perf.txt                           28 3.68e+09  273.61s  4m33.61   13.5
atom-1-perf.txt                           28 3.68e+09  273.53s  4m33.53   13.5
atom-1-perf.txt                           28 3.68e+09  272.97s  4m32.97   13.5
atom-1-perf.txt                           28 3.68e+09  273.35s  4m33.35   13.5
atom-1-perf.txt                           28 3.68e+09  273.26s  4m33.26   13.5
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 30    12.5    14.9    12.45  1.37%    1.00   0.24
T101  LA R,n                 : 30    15.2    18.9    15.08  1.06%    1.21   0.29
T102  L R,m                  : 30    52.8    78.3    52.86  0.94%    4.25   1.00
T103  L R,m (unal)           : 30    70.7    79.0    70.43  0.71%    5.66   1.33
T104  LH R,m                 : 30    60.3    66.2    60.52  0.45%    4.86   1.14
T105  LH R,m (unal3)         : 30    72.3    75.1    72.07  0.40%    5.79   1.36
T106  LTR R,R                : 30    21.4    23.6    21.31  1.36%    1.71   0.40
T107  LCR R,R                : 30    25.5    29.0    25.50  0.71%    2.05   0.48
T108  LNR R,R                : 30    20.6    23.5    20.40  0.93%    1.64   0.39
T109  LPR R,R                : 30    26.0    28.7    25.97  0.68%    2.09   0.49
T110  ST R,m                 : 30    52.2    56.7    52.10  0.58%    4.18   0.99
T111  ST R,m (unal)          : 30    68.2    73.2    68.19  0.73%    5.48   1.29
T112  STH R,m                : 30    57.0    63.8    57.02  1.44%    4.58   1.08
T113  STH R,m (unal1)        : 30    57.7    63.1    57.86  0.72%    4.65   1.09
T114  STH R,m (unal3)        : 30    68.0    73.0    68.03  0.45%    5.46   1.29
T115  STC R,m                : 30    55.5    61.1    55.51  1.10%    4.46   1.05
T116  STCM R,i,m (0010)      : 30    90.2    95.2    90.06  0.32%    7.23   1.70
T117  STCM R,i,m (1100)      : 30    96.1   105.4    96.41  0.78%    7.74   1.82
T118  STCM R,i,m (0111)      : 30    63.0    68.9    63.19  0.61%    5.08   1.20
T120  STM 2,3,m (2r)         : 30    79.8    87.2    79.54  0.56%    6.39   1.50
T121  STM 2,7,m (6r)         : 30   109.8   117.9   109.73  0.30%    8.81   2.08
T122  STM 14,12,m (15r)      : 30   187.4   199.7   188.13  0.44%   15.11   3.56
T123  LM 2,3,m (2r)          : 30    66.4    72.9    66.65  1.43%    5.35   1.26
T124  LM 2,7,m (6r)          : 30    93.6   104.0    94.13  1.45%    7.56   1.78
T125  LM 0,11,m (12r)        : 30   135.1   147.0   135.29  0.64%   10.87   2.56
T150  MVC m,m (5c)           : 30   153.4   156.6   153.52  0.93%   12.33   2.90
T151  MVC m,m (10c)          : 30   162.3   173.5   162.59  0.70%   13.06   3.08
T152  MVC m,m (15c)          : 30   171.8   185.1   172.71  1.30%   13.87   3.27
T153  MVC m,m (30c)          : 30   197.6   212.3   198.53  0.64%   15.95   3.76
T154  MVC m,m (100c)         : 30   259.4   278.4   261.13  0.66%   20.98   4.94
T155  MVC m,m (250c)         : 30   437.8   536.1   439.38  0.71%   35.29   8.31
T156  MVC m,m (250c,over1)   : 30  1342.6  1623.0  1348.93  0.82%  108.35  25.52
T157  MVC m,m (250c,over2)   : 30   399.5   422.2   400.94  0.56%   32.21   7.59
T160  MVI m,i                : 30    49.6    51.1    50.01  0.73%    4.02   0.95
T161  MVN m,m (10c)          : 30   171.1   187.9   171.94  0.93%   13.81   3.25
T162  MVN m,m (30c)          : 30   349.1   374.7   350.18  0.89%   28.13   6.62
T165  MVZ m,m (10c)          : 30   171.1   209.7   171.51  1.01%   13.78   3.24
T166  MVZ m,m (30c)          : 30   348.8   390.1   350.57  0.92%   28.16   6.63
T167  MVCIN m,m (10c)        : 30   447.8   463.0   451.92  0.64%   36.30   8.55
T168  MVCIN m,m (30c)        : 30  1208.0  1341.6  1223.97  1.05%   98.32  23.16
T169  MVCIN m,m (100c)       : 30  3868.7  4654.1  3920.93  0.71%  314.95  74.18
T170  4*Lx;MVCL (10b)        : 30   317.1   341.2   316.75  0.80%   25.44   5.99
T171  4*Lx;MVCL (100b)       : 30   411.2   436.0   412.73  0.52%   33.15   7.81
T172  4*Lx;MVCL (250b)       : 30   576.6   611.8   577.56  0.74%   46.39  10.93
T173  4*Lx;MVCL (1kb)        : 30  1363.3  1446.1  1371.74  1.59%  110.19  25.95
T174  4*LR;MVCL (4kb)        : 30  4665.2  4946.7  4681.38  0.65%  376.04  88.57
T175  4*Lx;MVCL (100b,pad)   : 30   292.5   311.3   291.38  0.96%   23.41   5.51
T176  4*Lx;MVCL (1kb,pad)    : 30   361.9   396.9   361.63  1.18%   29.05   6.84
T177  4*Lx;MVCL (4kb,pad)    : 30   642.6   761.9   649.72  0.87%   52.19  12.29
T178  4*LA;MVCL (1kb,over1)  : 30   183.1   196.9   181.40  0.90%   14.57   3.43
T179  4*LA;MVCL (1kb,over2)  : 30  1397.3  1475.2  1403.63  0.61%  112.75  26.55
T190  IC R,m                 : 30    57.5    62.5    57.68  1.23%    4.63   1.09
T191  ICM R,i,m (0010)       : 30   100.6   111.4   101.31  0.84%    8.14   1.92
T192  ICM R,i,m (1100)       : 30   108.3   121.1   109.41  0.51%    8.79   2.07
T193  ICM R,i,m (0111)       : 30    69.5    79.7    69.99  1.39%    5.62   1.32
T200  AR R,R                 : 30    27.5    29.8    27.31  0.67%    2.19   0.52
T201  A R,m                  : 30    61.0    65.4    61.24  0.94%    4.92   1.16
T202  AH R,m                 : 30    61.1    75.0    61.32  1.35%    4.93   1.16
T203  ALR R,R                : 30    17.2    20.2    17.14  0.93%    1.38   0.32
T204  AL R,m                 : 30    61.1    86.5    61.21  0.85%    4.92   1.16
T205  SR R,R                 : 30    26.8    28.8    26.64  0.64%    2.14   0.50
T206  S R,m                  : 30    61.9    85.1    61.91  0.94%    4.97   1.17
T207  SH R,m                 : 30    61.7    68.7    62.03  1.15%    4.98   1.17
T208  SLR R,R                : 30    17.8    20.1    17.76  0.79%    1.43   0.34
T209  SL R,m                 : 30    63.8    86.0    63.91  0.77%    5.13   1.21
T210  MR R,R                 : 30    37.9    42.7    36.63  0.51%    2.94   0.69
T211  M R,m                  : 30    73.1   107.0    72.55  0.54%    5.83   1.37
T212  MH R,m                 : 30    65.7    81.8    65.12  0.78%    5.23   1.23
T215  XR R,R; DR R,R         : 30   206.0   225.1   205.89  1.49%   16.54   3.90
T216  XR R,R; D R,m          : 30   230.1   242.9   229.47  0.65%   18.43   4.34
T220  SLA R,1                : 30    44.5    49.0    43.58  0.60%    3.50   0.82
T221  SLDA R,1               : 30    56.7    63.2    56.01  0.94%    4.50   1.06
T222  SRA R,1                : 30    33.5    37.7    32.55  0.98%    2.61   0.62
T223  SRDA R,1               : 30    56.1    71.6    55.43  1.04%    4.45   1.05
T224  SRA R,30               : 30    33.6    36.9    32.53  0.63%    2.61   0.62
T225  SRDA R,60              : 30    55.8    61.6    55.35  0.89%    4.45   1.05
T230  XR R,R                 : 30    18.9    19.4    18.80  0.97%    1.51   0.36
T231  X R,m                  : 30    59.2    63.8    59.28  0.69%    4.76   1.12
T232  XI m,i                 : 30    59.0    76.8    59.17  1.26%    4.75   1.12
T235  XC m,m (10c)           : 30   171.6   195.7   172.34  1.14%   13.84   3.26
T236  XC m,m (100c)          : 30   869.6   966.9   875.03  0.84%   70.29  16.55
T237  XC m,m (250c)          : 30  2027.3  2183.6  2042.03  0.90%  164.03  38.63
T238  NR R,R                 : 30    18.9    20.9    18.80  1.24%    1.51   0.36
T239  OR R,R                 : 30    18.9    22.0    18.80  1.52%    1.51   0.36
T240  SLL R,1                : 30    28.8    33.0    27.75  0.53%    2.23   0.53
T241  SLDL R,1               : 30    50.0    54.9    49.27  0.65%    3.96   0.93
T242  SRL R,1                : 30    28.8    32.6    27.69  0.74%    2.22   0.52
T243  SRDL R,1               : 30    50.7    52.8    49.92  0.99%    4.01   0.94
T244  SLL R,30               : 30    28.9    33.0    27.77  0.79%    2.23   0.53
T245  SLDL R,60              : 30    49.9    57.3    49.32  0.89%    3.96   0.93
T250  TM m,i                 : 30    52.1    58.4    52.22  1.39%    4.19   0.99
T252  TR m,m (10c)           : 30   166.3   187.0   167.46  0.88%   13.45   3.17
T253  TR m,m (100c)          : 30  1050.4  1112.8  1054.77  0.40%   84.73  19.95
T254  TR m,m (250c)          : 30  2500.6  2736.0  2522.66  0.59%  202.63  47.73
T255  TRT m,m (10c,zero)     : 30   478.7   553.0   485.07  1.25%   38.96   9.18
T256  TRT m,m (100c,zero)    : 30  4334.1  4924.9  4389.27  1.36%  352.57  83.04
T257  TRT m,m (250c,zero)    : 30 10747.0 12189.7 10857.34  1.11%  872.13 205.41
T258  TRT m,m (250c,10b)     : 30   530.7   613.1   535.06  1.29%   42.98  10.12
T259  TRT m,m (250c,100b)    : 30  4389.9  4524.2  4433.67  1.17%  356.14  83.88
T260  CR R,R                 : 30    17.2    18.4    17.12  0.92%    1.37   0.32
T261  C R,m                  : 30    59.7    65.5    59.89  1.02%    4.81   1.13
T262  CH R,m                 : 30    60.8    69.0    60.52  0.44%    4.86   1.14
T263  CLR R,R                : 30    13.9    16.4    13.78  1.26%    1.11   0.26
T264  CL R,m                 : 30    53.2    56.3    52.99  0.56%    4.26   1.00
T265  CLI m,i                : 30    54.8    60.4    54.97  1.13%    4.42   1.04
T266  CLM R,i,m              : 30    76.0    84.8    76.32  0.88%    6.13   1.44
T270  CLC m,m (10c,eq)       : 30   137.4   141.1   136.79  0.70%   10.99   2.59
T271  CLC m,m (10c,ne)       : 30   117.1   142.0   116.41  0.48%    9.35   2.20
T272  CLC m,m (30c,eq)       : 30   192.0   221.8   192.20  0.73%   15.44   3.64
T273  CLC m,m (30c,ne)       : 30   117.0   120.4   116.47  0.87%    9.36   2.20
T274  CLC m,m (100c,eq)      : 30   382.8   421.2   383.53  1.05%   30.81   7.26
T275  CLC m,m (100c,ne)      : 30   117.0   145.1   116.45  0.77%    9.35   2.20
T276  CLC m,m (250c,eq)      : 30   792.4  1168.4   795.33  1.27%   63.89  15.05
T277  CLC m,m (250c,ne)      : 30   117.1   121.0   116.35  0.58%    9.35   2.20
T280  4*LR;CLCL (100b,10b)   : 30   795.0   888.8   797.48  1.22%   64.06  15.09
T281  4*LR;CLCL (4kb,10b)    : 30   815.3   923.2   817.60  0.57%   65.67  15.47
T282  4*LR;CLCL (4kb,100b)   : 30  6039.4  8286.3  6087.67  0.69%  489.00 115.17
T283  4*LR;CLCL (4kb,250b)   : 30 14683.2 15788.5 14879.11  0.65% 1195.18 281.49
T290  LR;CS R,R,m (eq,eq)    : 30   106.5   163.2   107.85  0.68%    8.66   2.04
T291  LR;CS R,R,m (eq,ne)    : 30   105.9   146.4   107.24  1.64%    8.61   2.03
T292  LR;CS R,R,m (ne)       : 30   123.3   139.8   123.87  5.29%    9.95   2.34
T295  LR;CDS R,R,m (eq,eq)   : 30   134.9   168.1   135.83  0.68%   10.91   2.57
T296  LR;CDS R,R,m (eq,ne)   : 30   134.3   165.4   135.68  0.96%   10.90   2.57
T297  LR;CDS R,R,m (ne)      : 30   158.8   176.0   161.30  1.41%   12.96   3.05
T300  BCR 0,0 (noop)         : 30    19.4    21.5    19.22  1.80%    1.54   0.36
T301  BNZ l (no br)          : 30    15.2    18.4    15.07  1.29%    1.21   0.29
T302  BNZ l (do br)          : 30    19.6    24.8    19.64  0.76%    1.58   0.37
T303  BNZ l (do br, far)     : 30    72.4   100.9    72.89  1.26%    5.85   1.38
T304  BR R                   : 30    27.9    28.6    25.39  0.54%    2.04   0.48
T305  BR R (far)             : 30    65.3    70.6    63.51  1.06%    5.10   1.20
T310  BCTR R,0               : 30    24.2    30.4    24.05  1.00%    1.93   0.45
T311  BCTR R,R               : 30    27.0    31.7    27.12  1.13%    2.18   0.51
T312  BCT R,l                : 30    25.9    31.5    26.44  1.35%    2.12   0.50
T315  BXLE R,R,l             : 30    39.3    42.7    39.02  1.03%    3.13   0.74
T320  BALR R,R; BR R         : 30    62.5    64.4    62.36  0.77%    5.01   1.18
T321  BALR R,R; BR R (far)   : 30   179.4   196.6   180.16  1.15%   14.47   3.41
T322  BAL R,l; BR R          : 30    68.0    74.8    68.14  1.14%    5.47   1.29
T323  BAL R,l; BR R (far)    : 30   207.4   229.4   207.92  0.92%   16.70   3.93
T330  L;BALR;SAV(14,12);RET  : 30   971.0  1042.2   977.57  0.95%   78.52  18.49
T400  CVB R,m                : 30   428.4   459.3   429.49  0.71%   34.50   8.13
T401  CVD R,m                : 30  1427.4  1478.9  1433.81  1.04%  115.17  27.13
T402  PACK m,m (5d)          : 30   246.1   264.7   247.45  1.12%   19.88   4.68
T403  PACK m,m (15d)         : 30   577.3   644.9   582.73  0.62%   46.81  11.02
T404  UNPK m,m (5d)          : 30   252.1   278.2   254.49  1.26%   20.44   4.81
T405  UNPK m,m (15d)         : 30   562.6   623.4   568.09  0.61%   45.63  10.75
T410  MVC;ED (10c)           : 30  1034.0  1095.0  1039.18  0.64%   83.47  19.66
T411  MVC;ED (30c)           : 30  2705.7  2925.6  2739.11  0.70%  220.02  51.82
T415  MVC;EDMK (10c)         : 30  1146.1  1216.7  1153.17  0.85%   92.63  21.82
T420  AP m,m (10d)           : 30  1526.4  1700.3  1543.57  0.95%  123.99  29.20
