file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-07-06-18:09:34_J0057_PERF-ASM.prt   132 1.75e+10  184.32s  3m04.32   94.7
2018-07-06-18:14:20_J0058_PERF-ASM.prt   203 2.68e+10  282.28s  4m42.28   95.1
2018-07-06-18:19:08_J0059_PERF-ASM.prt   204 2.70e+10  283.50s  4m43.50   95.2
2018-07-06-18:23:54_J0060_PERF-ASM.prt   203 2.68e+10  281.84s  4m41.84   95.3
2018-07-06-18:28:43_J0061_PERF-ASM.prt   203 2.68e+10  284.60s  4m44.60   94.3
2018-07-06-18:33:28_J0062_PERF-ASM.prt   202 2.67e+10  280.40s  4m40.40   95.3
2018-07-06-18:38:16_J0063_PERF-ASM.prt   202 2.67e+10  283.33s  4m43.33   94.3
2018-07-06-18:43:03_J0064_PERF-ASM.prt   204 2.70e+10  283.30s  4m43.30   95.2
2018-07-06-18:47:53_J0065_PERF-ASM.prt   203 2.68e+10  285.15s  4m45.15   94.1
2018-07-06-18:52:37_J0066_PERF-ASM.prt   202 2.67e+10  280.31s  4m40.31   95.3
2018-07-06-18:57:27_J0067_PERF-ASM.prt   204 2.70e+10  285.34s  4m45.34   94.5
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 11     2.3     3.9     2.26  0.34%    1.00   0.30
T101  LA R,n                 : 11     3.1     3.6     3.06  0.42%    1.35   0.41
T102  L R,m                  : 11     7.5     7.6     7.42  0.38%    3.29   1.00
T103  L R,m (unal)           : 11     8.6     8.7     8.51  0.54%    3.77   1.15
T104  LH R,m                 : 11     9.1     9.2     9.01  0.60%    4.00   1.21
T105  LH R,m (unal3)         : 11    10.3    10.5    10.23  0.45%    4.53   1.38
T106  LTR R,R                : 11     3.4     3.5     3.37  0.15%    1.50   0.45
T107  LCR R,R                : 11     3.5     3.6     3.49  0.37%    1.55   0.47
T108  LNR R,R                : 11     3.2     3.3     3.16  0.54%    1.40   0.43
T109  LPR R,R                : 11     3.8     3.9     3.77  0.20%    1.67   0.51
T110  ST R,m                 : 11     7.6     7.7     7.48  0.35%    3.31   1.01
T111  ST R,m (unal)          : 11     8.4     8.5     8.26  0.50%    3.66   1.11
T112  STH R,m                : 11     9.4     9.6     9.29  0.57%    4.12   1.25
T113  STH R,m (unal1)        : 11     9.4     9.5     9.27  0.69%    4.11   1.25
T114  STH R,m (unal3)        : 11     9.4     9.5     9.25  0.38%    4.10   1.25
T115  STC R,m                : 11     8.9     9.0     8.79  0.33%    3.90   1.18
T116  STCM R,i,m (0010)      : 11    13.3    13.5    13.23  0.23%    5.86   1.78
T117  STCM R,i,m (1100)      : 11    15.0    15.1    14.89  0.41%    6.60   2.01
T118  STCM R,i,m (0111)      : 11    10.1    10.2     9.95  0.39%    4.41   1.34
T120  STM 2,3,m (2r)         : 11    11.3    11.4    11.16  0.35%    4.95   1.50
T121  STM 2,7,m (6r)         : 11    14.3    14.4    14.19  0.28%    6.29   1.91
T122  STM 14,12,m (15r)      : 11    21.0    21.3    20.92  0.31%    9.27   2.82
T123  LM 2,3,m (2r)          : 11    11.8    11.9    11.65  0.28%    5.17   1.57
T124  LM 2,7,m (6r)          : 11    15.2    16.0    15.15  0.32%    6.72   2.04
T125  LM 0,11,m (12r)        : 11    20.1    20.3    19.95  0.62%    8.84   2.69
T150  MVC m,m (5c)           : 11    18.6    18.8    18.57  0.26%    8.23   2.50
T151  MVC m,m (10c)          : 11    20.9    21.9    20.87  0.36%    9.25   2.81
T152  MVC m,m (15c)          : 11    20.0    22.3    19.92  0.84%    8.83   2.69
T153  MVC m,m (30c)          : 11    20.5    20.8    20.50  0.68%    9.09   2.76
T154  MVC m,m (100c)         : 11    24.6    24.7    24.51  0.19%   10.87   3.30
T155  MVC m,m (250c)         : 11    34.6    35.3    34.35  0.61%   15.23   4.63
T156  MVC m,m (250c,over1)   : 11   379.2   381.3   379.54  0.35%  168.25  51.16
T157  MVC m,m (250c,over2)   : 11    34.5    35.1    34.32  0.35%   15.21   4.63
T160  MVI m,i                : 11     7.9     8.1     7.89  0.43%    3.50   1.06
T161  MVN m,m (10c)          : 11    21.8    21.9    21.71  0.34%    9.62   2.93
T162  MVN m,m (30c)          : 11    37.3    37.5    37.01  0.25%   16.41   4.99
T165  MVZ m,m (10c)          : 11    21.8    21.9    21.69  0.14%    9.62   2.92
T166  MVZ m,m (30c)          : 11    37.3    37.9    37.04  0.45%   16.42   4.99
T167  MVCIN m,m (10c)        : 11    73.8    74.2    73.56  0.19%   32.61   9.92
T168  MVCIN m,m (30c)        : 11   206.6   208.8   206.80  0.26%   91.68  27.88
T169  MVCIN m,m (100c)       : 11   678.0   686.7   678.87  0.27%  300.95  91.51
T170  4*Lx;MVCL (10b)        : 11    36.0    36.2    35.35  0.19%   15.67   4.77
T171  4*Lx;MVCL (100b)       : 11    43.3    43.9    42.74  0.73%   18.95   5.76
T172  4*Lx;MVCL (250b)       : 11    53.6    54.0    53.04  0.37%   23.52   7.15
T173  4*Lx;MVCL (1kb)        : 11   116.0   117.8   115.58  0.31%   51.24  15.58
T174  4*LR;MVCL (4kb)        : 11   367.3   374.5   367.40  0.22%  162.87  49.52
T175  4*Lx;MVCL (100b,pad)   : 11    30.9    31.4    30.33  0.25%   13.44   4.09
T176  4*Lx;MVCL (1kb,pad)    : 11    48.1    49.0    47.55  0.32%   21.08   6.41
T177  4*Lx;MVCL (4kb,pad)    : 11   113.3   115.8   112.88  0.25%   50.04  15.22
T178  4*LA;MVCL (1kb,over1)  : 11    23.7    24.1    23.17  0.37%   10.27   3.12
T179  4*LA;MVCL (1kb,over2)  : 11   122.7   123.4   122.32  0.16%   54.22  16.49
T190  IC R,m                 : 11     8.9    15.0     8.89  0.23%    3.94   1.20
T191  ICM R,i,m (0010)       : 11    16.8    35.7    16.74  0.27%    7.42   2.26
T192  ICM R,i,m (1100)       : 11    17.7    27.5    17.65  0.20%    7.83   2.38
T193  ICM R,i,m (0111)       : 11    13.1    16.4    13.11  0.25%    5.81   1.77
T200  AR R,R                 : 11     3.5     3.5     3.44  0.20%    1.52   0.46
T201  A R,m                  : 11     9.2     9.3     9.08  0.21%    4.02   1.22
T202  AH R,m                 : 11     9.9    10.1     9.82  0.28%    4.35   1.32
T203  ALR R,R                : 11     2.9     3.1     2.87  0.58%    1.27   0.39
T204  AL R,m                 : 11    10.4    10.5    10.31  0.47%    4.57   1.39
T205  SR R,R                 : 11     4.0     4.0     3.97  0.15%    1.76   0.53
T206  S R,m                  : 11     9.7    10.0     9.63  0.33%    4.27   1.30
T207  SH R,m                 : 11    10.3    10.3    10.15  0.21%    4.50   1.37
T208  SLR R,R                : 11     3.0     3.0     2.93  0.35%    1.30   0.40
T209  SL R,m                 : 11    10.5    10.7    10.47  0.63%    4.64   1.41
T210  MR R,R                 : 11     5.0     5.1     4.72  0.64%    2.09   0.64
T211  M R,m                  : 11    10.6    10.7    10.34  0.14%    4.58   1.39
T212  MH R,m                 : 11    10.0    10.1     9.68  0.39%    4.29   1.31
T215  XR R,R; DR R,R         : 11    19.1    19.3    18.67  0.32%    8.28   2.52
T216  XR R,R; D R,m          : 11    24.6    24.8    24.22  0.22%   10.74   3.26
T220  SLA R,1                : 11     6.7     6.8     6.42  0.21%    2.85   0.87
T221  SLDA R,1               : 11     7.5     7.6     7.33  0.43%    3.25   0.99
T222  SRA R,1                : 11     5.2     5.2     4.87  0.30%    2.16   0.66
T223  SRDA R,1               : 11     6.4     6.4     6.18  0.30%    2.74   0.83
T224  SRA R,30               : 11     5.2     5.2     4.86  0.24%    2.15   0.66
T225  SRDA R,60              : 11     6.4     6.4     6.18  0.27%    2.74   0.83
T230  XR R,R                 : 11     3.2     3.3     3.17  0.14%    1.41   0.43
T231  X R,m                  : 11     9.5     9.7     9.42  0.32%    4.18   1.27
T232  XI m,i                 : 11     9.9    10.1     9.80  0.50%    4.34   1.32
T235  XC m,m (10c)           : 11    24.3    56.5    24.29  0.57%   10.77   3.27
T236  XC m,m (100c)          : 11   112.7   189.9   112.79  0.32%   50.00  15.20
T237  XC m,m (250c)          : 11   249.4   336.0   249.86  0.40%  110.76  33.68
T238  NR R,R                 : 11     3.2     3.7     3.18  0.65%    1.41   0.43
T239  OR R,R                 : 11     3.2     3.3     3.18  0.31%    1.41   0.43
T240  SLL R,1                : 11     4.5     4.5     4.19  0.37%    1.86   0.56
T241  SLDL R,1               : 11     5.8     5.8     5.54  0.22%    2.46   0.75
T242  SRL R,1                : 11     4.5     4.5     4.14  0.55%    1.83   0.56
T243  SRDL R,1               : 11     5.7     5.8     5.55  0.29%    2.46   0.75
T244  SLL R,30               : 11     4.5     4.6     4.18  0.32%    1.85   0.56
T245  SLDL R,60              : 11     5.8     5.8     5.55  0.22%    2.46   0.75
T250  TM m,i                 : 11     9.2     9.2     9.06  0.24%    4.02   1.22
T252  TR m,m (10c)           : 11    18.0    18.2    17.96  0.23%    7.96   2.42
T253  TR m,m (100c)          : 11    77.6    78.1    77.45  0.24%   34.33  10.44
T254  TR m,m (250c)          : 11   167.9   171.3   168.04  0.23%   74.49  22.65
T255  TRT m,m (10c,zero)     : 11    83.0    83.6    83.08  0.40%   36.83  11.20
T256  TRT m,m (100c,zero)    : 11   760.6   774.4   762.08  0.48%  337.83 102.73
T257  TRT m,m (250c,zero)    : 11  1880.6  1902.7  1886.18  0.67%  836.15 254.25
T258  TRT m,m (250c,10b)     : 11    92.5    93.4    92.36  0.45%   40.94  12.45
T259  TRT m,m (250c,100b)    : 11   775.8   780.0   777.72  0.28%  344.77 104.83
T260  CR R,R                 : 11     2.8     2.9     2.78  0.18%    1.23   0.37
T261  C R,m                  : 11     8.6     8.7     8.52  0.28%    3.78   1.15
T262  CH R,m                 : 11     8.8     8.9     8.71  0.17%    3.86   1.17
T263  CLR R,R                : 11     2.8     2.9     2.76  0.16%    1.22   0.37
T264  CL R,m                 : 11     7.8    13.6     7.68  0.35%    3.41   1.04
T265  CLI m,i                : 11     9.6    19.6     9.49  0.42%    4.21   1.28
T266  CLM R,i,m              : 11    12.7    19.5    12.55  0.47%    5.56   1.69
T270  CLC m,m (10c,eq)       : 11    38.1    46.8    37.84  0.31%   16.78   5.10
T271  CLC m,m (10c,ne)       : 11    32.3    32.6    32.06  0.35%   14.21   4.32
T272  CLC m,m (30c,eq)       : 11    51.0    51.6    50.70  0.35%   22.48   6.83
T273  CLC m,m (30c,ne)       : 11    32.4    32.8    32.08  0.38%   14.22   4.32
T274  CLC m,m (100c,eq)      : 11    95.5    96.5    95.59  0.62%   42.38  12.89
T275  CLC m,m (100c,ne)      : 11    32.3    32.8    32.09  0.28%   14.22   4.33
T276  CLC m,m (250c,eq)      : 11   186.9   188.1   186.98  0.25%   82.89  25.20
T277  CLC m,m (250c,ne)      : 11    32.3    32.5    32.04  0.14%   14.20   4.32
T280  4*LR;CLCL (100b,10b)   : 11   113.0   114.6   112.73  0.26%   49.97  15.20
T281  4*LR;CLCL (4kb,10b)    : 11   116.0   116.7   115.58  0.26%   51.24  15.58
T282  4*LR;CLCL (4kb,100b)   : 11   956.0   968.3   958.22  0.31%  424.78 129.17
T283  4*LR;CLCL (4kb,250b)   : 11  2340.9  2373.6  2351.56  0.56% 1042.46 316.98
T290  LR;CS R,R,m (eq,eq)    : 11    17.8    18.0    17.49  0.37%    7.75   2.36
T291  LR;CS R,R,m (eq,ne)    : 11    17.2    17.5    16.97  0.64%    7.53   2.29
T292  LR;CS R,R,m (ne)       : 11    18.2    18.6    17.92  0.39%    7.94   2.42
T295  LR;CDS R,R,m (eq,eq)   : 11    17.6    17.8    17.31  0.29%    7.67   2.33
T296  LR;CDS R,R,m (eq,ne)   : 11    17.6    17.8    17.35  0.27%    7.69   2.34
T297  LR;CDS R,R,m (ne)      : 11    19.5    19.8    19.20  0.66%    8.51   2.59
T300  BCR 0,0 (noop)         : 11     2.8     2.8     2.76  0.35%    1.22   0.37
T301  BNZ l (no br)          : 11     2.4     2.4     2.31  0.19%    1.02   0.31
T302  BNZ l (do br)          : 11     7.6     7.7     7.46  0.40%    3.31   1.01
T303  BNZ l (do br, far)     : 11    13.7    13.9    13.60  0.25%    6.03   1.83
T304  BR R                   : 11     7.5     7.6     6.84  0.15%    3.03   0.92
T305  BR R (far)             : 11    11.7    12.0    11.07  0.17%    4.91   1.49
T310  BCTR R,0               : 11     3.5     3.5     3.41  0.33%    1.51   0.46
T311  BCTR R,R               : 11     6.9     6.9     6.92  0.20%    3.07   0.93
T312  BCT R,l                : 11     8.4     8.4     8.40  0.20%    3.72   1.13
T315  BXLE R,R,l             : 11     8.8    16.6     8.71  0.12%    3.86   1.17
T320  BALR R,R; BR R         : 11    13.1    26.8    13.03  0.27%    5.77   1.76
T321  BALR R,R; BR R (far)   : 11    42.2    62.1    42.25  0.28%   18.73   5.70
T322  BAL R,l; BR R          : 11    14.8    17.6    14.76  0.46%    6.54   1.99
T323  BAL R,l; BR R (far)    : 11    28.8    29.1    28.73  0.24%   12.74   3.87
T324  BASR R,R; BR R         : 11    13.3    13.4    13.25  0.22%    5.87   1.79
T325  BAS R,l; BR R          : 11    15.4    15.5    15.26  0.22%    6.77   2.06
T330  L;BALR;SAV(14,12);RET  : 11   125.9   129.2   125.79  0.87%   55.77  16.96
T400  CVB R,m                : 11    40.9    41.2    40.87  0.42%   18.12   5.51
T401  CVD R,m                : 11    34.7    34.9    34.62  0.15%   15.35   4.67
T402  PACK m,m (5d)          : 11    38.2    38.6    37.89  0.16%   16.80   5.11
T403  PACK m,m (15d)         : 11    94.9    96.6    94.91  0.26%   42.07  12.79
T404  UNPK m,m (5d)          : 11    42.3    42.7    42.04  0.17%   18.64   5.67
T405  UNPK m,m (15d)         : 11   101.6   102.5   101.61  0.50%   45.04  13.70
T410  MVC;ED (10c)           : 11   156.8   158.5   156.99  0.44%   69.60  21.16
T411  MVC;ED (30c)           : 11   418.3   423.3   418.47  0.41%  185.51  56.41
T415  MVC;EDMK (10c)         : 11   160.0   162.6   159.76  0.36%   70.82  21.53
T420  AP m,m (10d)           : 11   238.1   240.6   238.52  0.36%  105.74  32.15
T421  AP m,m (30d)           : 11   232.0   234.7   231.69  0.33%  102.71  31.23
T422  SP m,m (10d)           : 11   238.3   241.1   238.75  0.29%  105.84  32.18
T423  SP m,m (30d)           : 11   250.6   253.6   250.96  0.52%  111.25  33.83
T424  MP m,m (10d)           : 11   291.6   294.1   291.01  0.26%  129.01  39.23
T425  MP m,m (30d)           : 11   295.8   298.8   295.26  0.19%  130.89  39.80
T426  MVC;DP m,m (10d)       : 11   465.2   471.4   466.38  0.27%  206.75  62.87
T427  MVC;DP m,m (30d)       : 11  1074.2  1088.5  1078.21  0.36%  477.97 145.34
T430  CP m,m (10d)           : 11   167.7   169.4   168.16  0.47%   74.55  22.67
T431  CP m,m (30d)           : 11   169.3   171.2   170.10  0.55%   75.41  22.93
T440  ZAP m,m (10d,10d)      : 11   105.6   106.9   105.58  0.46%   46.80  14.23
T441  ZAP m,m (30d,30d)      : 11   106.0   106.9   106.14  0.32%   47.05  14.31
T442  ZAP m,m (10d,30d)      : 11   105.9   106.5   106.11  0.38%   47.04  14.30
T443  ZAP m,m (30d,10d)      : 11   105.7   106.9   105.72  0.26%   46.86  14.25
T445  SRP m,i,i (30d,<<)     : 11   137.5   138.4   136.85  0.30%   60.67  18.45
T446  SRP m,i,i (30d,>>)     : 11   194.3   195.9   193.80  0.40%   85.91  26.12
T450  MVO m,m (10d)          : 11    50.3    50.7    50.09  0.46%   22.20   6.75
T451  MVO m,m (30d)          : 11   131.3   132.4   131.34  0.31%   58.22  17.70
T500  LER R,R                : 11     4.4     4.4     4.30  0.24%    1.91   0.58
T501  LE R,m                 : 11     9.2     9.3     9.06  0.46%    4.01   1.22
T502  LE R,m (unal)          : 11     9.8     9.9     9.66  0.52%    4.28   1.30
T503  LTER R,R               : 11     4.8     4.9     4.78  0.23%    2.12   0.64
T504  LCER R,R               : 11     4.9     5.0     4.88  0.36%    2.16   0.66
T505  LNER R,R               : 11     4.8     5.6     4.77  0.17%    2.12   0.64
T506  LPER R,R               : 11     5.3     5.7     5.22  0.36%    2.31   0.70
T507  LRER R,R               : 11     6.0     6.0     5.92  0.11%    2.62   0.80
T508  STE R,m                : 11     9.3     9.8     9.16  0.44%    4.06   1.24
T509  STE R,m (unal)         : 11    10.1    10.2     9.95  0.18%    4.41   1.34
T510  AER R,R                : 11    14.3    15.0    14.21  0.22%    6.30   1.92
T511  AE R,m                 : 11    19.7    21.1    19.57  0.34%    8.68   2.64
T512  SER R,R                : 11    14.5    15.2    14.44  0.53%    6.40   1.95
T513  SE R,m                 : 11    19.8    20.7    19.76  0.35%    8.76   2.66
T514  MER R,R                : 11    10.3    10.5    10.06  0.43%    4.46   1.36
T515  ME R,m                 : 11    15.0    15.0    14.68  0.23%    6.51   1.98
T516  DER R,R                : 11    22.9    23.3    22.70  0.37%   10.06   3.06
T517  DE R,m                 : 11    25.6    26.9    25.33  0.42%   11.23   3.41
T520  CER R,R                : 11    11.4    11.8    11.31  0.29%    5.01   1.52
T521  CE R,m                 : 11    17.0    18.1    16.85  0.28%    7.47   2.27
