file name ----------------------------  GMUL  i-count  -- total time --   MIPS
perf.herc.01                              60 7.89e+09  276.36s  4m36.36   28.5
perf.herc.02                              60 7.89e+09  275.46s  4m35.46   28.6
perf.herc.03                              59 7.76e+09  266.29s  4m26.29   29.1
perf.herc.04                              16 2.10e+09   71.48s  1m11.48   29.4
perf.herc.05                              67 8.81e+09  270.39s  4m30.39   32.6
perf.herc.06                              68 8.94e+09  274.17s  4m34.17   32.6
perf.herc.07                              66 8.68e+09  267.91s  4m27.91   32.4
perf.herc.08                              68 8.94e+09  273.94s  4m33.94   32.6
perf.herc.09                              67 8.81e+09  268.45s  4m28.45   32.8
perf.herc.10                              68 8.94e+09  272.75s  4m32.75   32.8
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 10     9.1    14.1     9.01 10.18%    1.00   0.40
T101  LA R,n                 : 10    11.6    14.9    11.54  9.02%    1.28   0.52
T102  L R,m                  : 10    22.3    27.2    22.38 15.20%    2.48   1.00
T103  L R,m (unal)           : 10    25.6    44.7    25.83 14.60%    2.87   1.15
T104  LH R,m                 : 10    25.7    38.8    26.93 18.22%    2.99   1.20
T105  LH R,m (unal3)         : 10    26.3    33.8    26.41 12.29%    2.93   1.18
T106  LTR R,R                : 10     9.6    12.3     9.62 12.63%    1.07   0.43
T107  LCR R,R                : 10    10.1    11.9    10.25 10.10%    1.14   0.46
T108  LNR R,R                : 10     9.4    10.7     9.57 11.50%    1.06   0.43
T109  LPR R,R                : 10    10.9    14.4    11.10 11.62%    1.23   0.50
T110  ST R,m                 : 10    22.9    28.4    22.89 10.39%    2.54   1.02
T111  ST R,m (unal)          : 10    24.4    29.4    24.34 11.65%    2.70   1.09
T112  STH R,m                : 10    26.4    31.8    27.58  9.49%    3.06   1.23
T113  STH R,m (unal1)        : 10    24.9    29.9    26.08 13.32%    2.90   1.17
T114  STH R,m (unal3)        : 10    25.0    28.8    25.19  7.86%    2.80   1.13
T115  STC R,m                : 10    25.2    28.5    25.05  9.77%    2.78   1.12
T116  STCM R,i,m (0010)      : 10    38.8    47.8    40.16  8.97%    4.46   1.80
T117  STCM R,i,m (1100)      : 10    41.0    46.5    42.67 10.71%    4.74   1.91
T118  STCM R,i,m (0111)      : 10    38.7    51.2    39.44 15.96%    4.38   1.76
T120  STM 2,3,m (2r)         : 10    34.6    40.6    37.07 10.80%    4.12   1.66
T121  STM 2,7,m (6r)         : 10    41.9    57.7    42.74  9.98%    4.75   1.91
T122  STM 14,12,m (15r)      : 10    62.8   122.5    63.23 10.59%    7.02   2.83
T123  LM 2,3,m (2r)          : 10    34.2    55.3    34.37 12.21%    3.82   1.54
T124  LM 2,7,m (6r)          : 10    42.0   151.3    42.01 12.33%    4.66   1.88
T125  LM 0,11,m (12r)        : 10    55.9   112.7    55.99 11.64%    6.22   2.50
T150  MVC m,m (5c)           : 10    63.8   192.4    63.75 11.61%    7.08   2.85
T151  MVC m,m (10c)          : 10    72.9   134.1    76.25 10.60%    8.47   3.41
T152  MVC m,m (15c)          : 10    70.0    83.2    70.60  7.85%    7.84   3.16
T153  MVC m,m (30c)          : 10    72.2    81.6    73.15  7.99%    8.12   3.27
T154  MVC m,m (100c)         : 10    87.9    99.7    88.17  9.68%    9.79   3.94
T155  MVC m,m (250c)         : 10   129.9   194.0   129.91  8.17%   14.43   5.81
T156  MVC m,m (250c,over1)   : 10   815.1  1025.0   860.97  9.92%   95.60  38.48
T157  MVC m,m (250c,over2)   : 10   129.6   163.2   129.70  7.29%   14.40   5.80
T160  MVI m,i                : 10    24.1    31.4    24.18  8.82%    2.68   1.08
T161  MVN m,m (10c)          : 10    62.9    70.8    62.84 10.61%    6.98   2.81
T162  MVN m,m (30c)          : 10   113.8   129.5   114.12  7.70%   12.67   5.10
T165  MVZ m,m (10c)          : 10    62.0    76.1    62.14 12.03%    6.90   2.78
T166  MVZ m,m (30c)          : 10   120.0   136.5   120.43 11.50%   13.37   5.38
T167  MVCIN m,m (10c)        : 10   267.4   330.1   268.44 12.83%   29.81  12.00
T168  MVCIN m,m (30c)        : 10   738.6   822.5   745.58  6.76%   82.79  33.32
T169  MVCIN m,m (100c)       : 10  2387.2  2739.3  2413.19  9.99%  267.95 107.85
T170  4*Lx;MVCL (10b)        : 10   109.4   138.1   108.77  8.56%   12.08   4.86
T171  4*Lx;MVCL (100b)       : 10   129.9   202.9   129.47 11.63%   14.38   5.79
T172  4*Lx;MVCL (250b)       : 10   165.7   196.4   165.69  9.21%   18.40   7.41
T173  4*Lx;MVCL (1kb)        : 10   310.9   373.8   314.41 10.04%   34.91  14.05
T174  4*LR;MVCL (4kb)        : 10  1011.2  1169.7  1019.59  9.09%  113.21  45.57
T175  4*Lx;MVCL (100b,pad)   : 10   108.9   122.3   108.35  7.60%   12.03   4.84
T176  4*Lx;MVCL (1kb,pad)    : 10   160.3   234.5   161.82 10.80%   17.97   7.23
T177  4*Lx;MVCL (4kb,pad)    : 10   449.0   605.6   454.93 12.70%   50.51  20.33
T178  4*LA;MVCL (1kb,over1)  : 10    75.4    85.1    74.25 10.05%    8.24   3.32
T179  4*LA;MVCL (1kb,over2)  : 10   383.9   443.7   385.39 10.29%   42.79  17.22
T190  IC R,m                 : 10    25.1    32.4    25.25 13.40%    2.80   1.13
T191  ICM R,i,m (0010)       : 10    49.7    72.0    53.04 16.21%    5.89   2.37
T192  ICM R,i,m (1100)       : 10    52.1    69.5    55.95  9.30%    6.21   2.50
T193  ICM R,i,m (0111)       : 10    41.2    55.8    43.28  9.99%    4.81   1.93
T200  AR R,R                 : 10    12.6    14.1    12.72  8.85%    1.41   0.57
T201  A R,m                  : 10    27.6    34.3    27.71 10.98%    3.08   1.24
T202  AH R,m                 : 10    28.2    43.7    28.29  9.92%    3.14   1.26
T203  ALR R,R                : 10     9.1    12.7     9.06 10.32%    1.01   0.41
T204  AL R,m                 : 10    26.8    39.0    26.96 10.30%    2.99   1.20
T205  SR R,R                 : 10    13.7    17.8    13.77  7.80%    1.53   0.62
T206  S R,m                  : 10    27.7    42.0    28.40  7.35%    3.15   1.27
T207  SH R,m                 : 10    28.7    35.3    28.71 10.87%    3.19   1.28
T208  SLR R,R                : 10     9.1    11.2     9.03 13.42%    1.00   0.40
T209  SL R,m                 : 10    27.2    31.3    27.18 12.69%    3.02   1.21
T210  MR R,R                 : 10    15.3    18.5    15.03 10.15%    1.67   0.67
T211  M R,m                  : 10    29.3    33.3    29.59  9.93%    3.29   1.32
T212  MH R,m                 : 10    27.8    32.2    27.41  7.94%    3.04   1.23
T215  XR R,R; DR R,R         : 10    31.2    35.5    30.19  7.87%    3.35   1.35
T216  XR R,R; D R,m          : 10    45.2    50.4    44.38  6.54%    4.93   1.98
T220  SLA R,1                : 10    18.0    20.3    17.25  6.33%    1.92   0.77
T221  SLDA R,1               : 10    21.2    25.9    20.83 16.87%    2.31   0.93
T222  SRA R,1                : 10    13.7    18.9    12.94 13.76%    1.44   0.58
T223  SRDA R,1               : 10    16.2    24.7    15.73 12.92%    1.75   0.70
T224  SRA R,30               : 10    13.7    16.3    12.94  8.67%    1.44   0.58
T225  SRDA R,60              : 10    16.3    20.0    15.69 11.46%    1.74   0.70
T230  XR R,R                 : 10    10.6    12.5    10.57 12.66%    1.17   0.47
T231  X R,m                  : 10    25.8    33.7    25.98 10.31%    2.88   1.16
T232  XI m,i                 : 10    35.2    48.6    37.37 19.16%    4.15   1.67
T235  XC m,m (10c)           : 10    73.9    90.2    74.78 11.24%    8.30   3.34
T236  XC m,m (100c)          : 10   410.4  1115.2   416.54 11.28%   46.25  18.62
T237  XC m,m (250c)          : 10   955.5  2276.9   969.49 10.32%  107.65  43.33
T238  NR R,R                 : 10    10.7    12.6    10.69  9.83%    1.19   0.48
T239  OR R,R                 : 10    10.6    12.9    10.71  8.55%    1.19   0.48
T240  SLL R,1                : 10    13.4    17.4    13.26 12.11%    1.47   0.59
T241  SLDL R,1               : 10    15.9    19.2    15.65 14.63%    1.74   0.70
T242  SRL R,1                : 10    13.4    15.4    12.62  8.52%    1.40   0.56
T243  SRDL R,1               : 10    15.9    17.8    15.49  8.17%    1.72   0.69
T244  SLL R,30               : 10    13.5    16.4    12.76 12.12%    1.42   0.57
T245  SLDL R,60              : 10    16.0    25.8    15.86  9.48%    1.76   0.71
T250  TM m,i                 : 10    23.2    26.4    23.06  8.53%    2.56   1.03
T252  TR m,m (10c)           : 10    56.3    72.7    56.30  8.02%    6.25   2.52
T253  TR m,m (100c)          : 10   206.7   243.4   207.64  7.79%   23.06   9.28
T254  TR m,m (250c)          : 10   436.8   499.8   439.99  8.44%   48.86  19.66
T255  TRT m,m (10c,zero)     : 10   279.7   331.9   282.97  8.38%   31.42  12.65
T256  TRT m,m (100c,zero)    : 10  2490.8  3034.3  2524.25  9.42%  280.28 112.82
T257  TRT m,m (250c,zero)    : 10  6195.6  8025.5  6243.48 13.15%  693.25 279.04
T258  TRT m,m (250c,10b)     : 10   306.9   379.8   307.48  8.21%   34.14  13.74
T259  TRT m,m (250c,100b)    : 10  2527.5  3183.0  2542.34  8.62%  282.29 113.62
T260  CR R,R                 : 10     8.9    10.8     8.77 10.12%    0.97   0.39
T261  C R,m                  : 10    26.2    30.8    26.02  9.09%    2.89   1.16
T262  CH R,m                 : 10    26.2    29.6    26.34  8.06%    2.92   1.18
T263  CLR R,R                : 10     9.3    10.9     9.22  8.14%    1.02   0.41
T264  CL R,m                 : 10    22.7    31.7    22.69 11.91%    2.52   1.01
T265  CLI m,i                : 10    24.8    27.4    24.75  7.82%    2.75   1.11
T266  CLM R,i,m              : 10    36.9    41.4    36.65  3.52%    4.07   1.64
T270  CLC m,m (10c,eq)       : 10    53.2    59.4    53.01  1.40%    5.89   2.37
