file name ----------------------------  GMUL  i-count  -- total time --   MIPS
perf.sim3.01                               9 1.18e+09  189.75s  3m09.75    6.2
perf.sim3.02                               9 1.18e+09  192.93s  3m12.93    6.1
perf.sim3.03                               9 1.18e+09  192.97s  3m12.97    6.1
perf.sim3.04                               9 1.18e+09  193.03s  3m13.03    6.1
perf.sim3.05                               9 1.18e+09  193.98s  3m13.98    6.1
perf.sim3.06                               8 1.05e+09  171.45s  2m51.45    6.1
perf.sim3.07                               9 1.18e+09  193.26s  3m13.26    6.1
perf.sim3.08                               8 1.05e+09  172.71s  2m52.71    6.1
perf.sim3.09                               8 1.05e+09  172.36s  2m52.36    6.1
perf.sim3.10                               9 1.18e+09  193.75s  3m13.75    6.1
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 10    80.5    83.8    81.56  0.90%    1.00   0.49
T101  LA R,n                 : 10    86.7    89.8    86.99  0.90%    1.07   0.52
T102  L R,m                  : 10   165.2   180.4   167.81  1.98%    2.06   1.00
T103  L R,m (unal)           : 10   167.6   175.8   169.04  1.79%    2.07   1.01
T104  LH R,m                 : 10   163.8   172.0   166.76  2.69%    2.04   0.99
T105  LH R,m (unal3)         : 10   166.6   170.2   165.62  0.82%    2.03   0.99
T106  LTR R,R                : 10    82.2    84.7    82.62  0.49%    1.01   0.49
T107  LCR R,R                : 10    82.6    89.3    83.47  0.42%    1.02   0.50
T108  LNR R,R                : 10    81.6    85.8    83.21  1.33%    1.02   0.50
T109  LPR R,R                : 10    81.6    84.4    81.89  1.69%    1.00   0.49
T110  ST R,m                 : 10   178.5   186.9   179.23  2.17%    2.20   1.07
T111  ST R,m (unal)          : 10   176.7   193.4   180.27  3.28%    2.21   1.07
T112  STH R,m                : 10   173.9   190.2   178.59  3.03%    2.19   1.06
T113  STH R,m (unal1)        : 10   173.9   184.8   176.72  3.33%    2.17   1.05
T114  STH R,m (unal3)        : 10   176.1   183.9   177.23  1.91%    2.17   1.06
T115  STC R,m                : 10   163.8   173.8   168.78  1.47%    2.07   1.01
T116  STCM R,i,m (0010)      : 10   182.0   194.6   184.96  0.53%    2.27   1.10
T117  STCM R,i,m (1100)      : 10   183.3   193.7   186.91  2.69%    2.29   1.11
T118  STCM R,i,m (0111)      : 10   180.2   191.1   182.23  1.75%    2.23   1.09
T120  STM 2,3,m (2r)         : 10   185.1   195.7   189.52  1.98%    2.32   1.13
T121  STM 2,7,m (6r)         : 10   203.1   225.5   207.02  1.17%    2.54   1.23
T122  STM 14,12,m (15r)      : 10   325.9   340.4   331.51  1.59%    4.06   1.98
T123  LM 2,3,m (2r)          : 10   174.0   182.0   176.11  1.78%    2.16   1.05
T124  LM 2,7,m (6r)          : 10   201.4   208.2   200.13  0.00%    2.45   1.19
T125  LM 0,11,m (12r)        : 10   229.4   243.9   235.00  2.12%    2.88   1.40
T150  MVC m,m (5c)           : 10   291.3   298.6   296.92  0.53%    3.64   1.77
T151  MVC m,m (10c)          : 10   291.3   305.8   296.92  2.06%    3.64   1.77
T152  MVC m,m (15c)          : 10   298.6   313.3   303.86  1.84%    3.73   1.81
T153  MVC m,m (30c)          : 10   297.0   311.3   301.13  2.41%    3.69   1.79
T154  MVC m,m (100c)         : 10   302.1   314.0   310.12  3.06%    3.80   1.85
T155  MVC m,m (250c)         : 10   358.0   370.2   355.46  1.77%    4.36   2.12
T156  MVC m,m (250c,over1)   : 10  1365.3  1462.9  1361.26  1.79%   16.69   8.11
T157  MVC m,m (250c,over2)   : 10   752.4   776.7   757.10  2.38%    9.28   4.51
T160  MVI m,i                : 10   162.3   170.7   166.20  2.04%    2.04   0.99
T161  MVN m,m (10c)          : 10   402.3   421.9   410.02  1.58%    5.03   2.44
T162  MVN m,m (30c)          : 10   471.4   494.1   480.29  1.49%    5.89   2.86
T165  MVZ m,m (10c)          : 10   402.3   424.2   407.97  2.33%    5.00   2.43
T166  MVZ m,m (30c)          : 10   471.4   510.4   481.31  1.17%    5.90   2.87
T170  4*Lx;MVCL (10b)        : 10   693.2   749.2   699.02  1.78%    8.57   4.17
T171  4*Lx;MVCL (100b)       : 10   695.1   740.6   709.94  2.74%    8.70   4.23
T172  4*Lx;MVCL (250b)       : 10   753.5   788.9   765.53  1.21%    9.39   4.56
T173  4*Lx;MVCL (1kb)        : 10  1041.7  1092.3  1073.37  0.94%   13.16   6.40
T174  4*LR;MVCL (4kb)        : 10  2340.6  2503.1  2364.92  4.15%   29.00  14.09
T175  4*Lx;MVCL (100b,pad)   : 10   658.4   682.7   659.91  1.55%    8.09   3.93
T176  4*Lx;MVCL (1kb,pad)    : 10   937.5   957.4   938.48  1.92%   11.51   5.59
T177  4*Lx;MVCL (4kb,pad)    : 10  1506.9  1628.3  1560.08  2.72%   19.13   9.30
