file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2020-04-15-18:02:38_J0001_PERF-ASM.prt   235 3.11e+10  261.43s  4m21.43  118.9
2020-04-15-18:07:02_J0002_PERF-ASM.prt   234 3.09e+10  260.20s  4m20.20  118.9
2020-04-15-18:11:27_J0003_PERF-ASM.prt   235 3.11e+10  261.35s  4m21.35  118.9
2020-04-15-18:15:50_J0004_PERF-ASM.prt   234 3.09e+10  260.22s  4m20.22  118.9
2020-04-15-18:20:14_J0005_PERF-ASM.prt   234 3.09e+10  260.25s  4m20.25  118.9
2020-04-15-18:24:38_J0006_PERF-ASM.prt   234 3.09e+10  260.25s  4m20.25  118.9
2020-04-15-18:29:01_J0007_PERF-ASM.prt   234 3.09e+10  260.12s  4m20.12  119.0
2020-04-15-18:33:26_J0008_PERF-ASM.prt   235 3.11e+10  261.32s  4m21.32  118.9
2020-04-15-18:37:49_J0009_PERF-ASM.prt   234 3.09e+10  260.14s  4m20.14  119.0
2020-04-15-18:42:14_J0010_PERF-ASM.prt   235 3.11e+10  261.30s  4m21.30  118.9
2020-04-15-18:46:38_J0011_PERF-ASM.prt   234 3.09e+10  260.13s  4m20.13  119.0
2020-04-15-18:51:01_J0012_PERF-ASM.prt   234 3.09e+10  260.16s  4m20.16  118.9
2020-04-15-18:55:26_J0013_PERF-ASM.prt   235 3.11e+10  261.29s  4m21.29  118.9
2020-04-15-18:59:51_J0014_PERF-ASM.prt   235 3.11e+10  261.23s  4m21.23  119.0
2020-04-15-19:04:14_J0015_PERF-ASM.prt   234 3.09e+10  260.16s  4m20.16  119.0
2020-04-15-19:08:38_J0016_PERF-ASM.prt   234 3.09e+10  260.14s  4m20.14  119.0
2020-04-15-19:13:01_J0017_PERF-ASM.prt   234 3.09e+10  260.12s  4m20.12  119.0
2020-04-15-19:17:26_J0018_PERF-ASM.prt   235 3.11e+10  261.23s  4m21.23  119.0
2020-04-15-19:21:50_J0019_PERF-ASM.prt   234 3.09e+10  260.17s  4m20.17  118.9
2020-04-15-19:26:13_J0020_PERF-ASM.prt   234 3.09e+10  260.15s  4m20.15  119.0
2020-04-15-19:30:37_J0021_PERF-ASM.prt   234 3.09e+10  260.14s  4m20.14  119.0
2020-04-15-19:35:01_J0022_PERF-ASM.prt   235 3.11e+10  261.22s  4m21.22  119.0
2020-04-15-19:39:25_J0023_PERF-ASM.prt   234 3.09e+10  260.17s  4m20.17  118.9
2020-04-15-19:43:46_J0024_PERF-ASM.prt   232 3.07e+10  257.84s  4m17.84  119.0
2020-04-15-19:48:11_J0025_PERF-ASM.prt   235 3.11e+10  261.24s  4m21.24  119.0
2020-04-15-19:52:36_J0026_PERF-ASM.prt   235 3.11e+10  261.28s  4m21.28  118.9
2020-04-15-19:56:59_J0027_PERF-ASM.prt   234 3.09e+10  260.13s  4m20.13  119.0
2020-04-15-20:01:23_J0028_PERF-ASM.prt   234 3.09e+10  260.11s  4m20.11  119.0
2020-04-15-20:05:46_J0029_PERF-ASM.prt   234 3.09e+10  260.12s  4m20.12  119.0
2020-04-15-20:10:10_J0030_PERF-ASM.prt   234 3.09e+10  260.13s  4m20.13  119.0
2020-04-15-20:14:34_J0031_PERF-ASM.prt   234 3.09e+10  260.12s  4m20.12  119.0
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31     1.9     1.9     1.82  0.11%    1.00   0.28
T101  LA R,n                 : 31     2.6     2.6     2.53  0.15%    1.39   0.39
T102  L R,m                  : 31     6.5     6.6     6.44  0.11%    3.54   1.00
T103  L R,m (unal)           : 31     6.1     6.2     6.01  0.40%    3.30   0.93
T104  LH R,m                 : 31     6.1     6.3     6.07  0.25%    3.33   0.94
T105  LH R,m (unal3)         : 31     7.0     7.1     6.95  0.21%    3.82   1.08
T106  LTR R,R                : 31     2.5     2.5     2.46  0.16%    1.35   0.38
T107  LCR R,R                : 31     2.7     2.7     2.62  0.15%    1.44   0.41
T108  LNR R,R                : 31     2.4     2.5     2.38  0.16%    1.31   0.37
T109  LPR R,R                : 31     2.7     2.7     2.62  0.19%    1.44   0.41
T110  ST R,m                 : 31     5.1     5.2     5.00  0.19%    2.74   0.78
T111  ST R,m (unal)          : 31     6.0     6.1     5.86  0.16%    3.22   0.91
T112  STH R,m                : 31     7.1     7.2     7.00  0.13%    3.84   1.09
T113  STH R,m (unal1)        : 31     8.0     8.1     7.85  0.22%    4.31   1.22
T114  STH R,m (unal3)        : 31     7.9     8.0     7.85  0.12%    4.31   1.22
T115  STC R,m                : 31     7.4     7.6     7.29  0.14%    4.00   1.13
T116  STCM R,i,m (0010)      : 31    10.1    11.1     9.96  0.15%    5.46   1.55
T117  STCM R,i,m (1100)      : 31    10.8    10.9    10.71  0.14%    5.88   1.66
T118  STCM R,i,m (0111)      : 31     7.3     7.3     7.15  0.13%    3.93   1.11
T120  STM 2,3,m (2r)         : 31     8.1     8.1     7.98  0.14%    4.38   1.24
T121  STM 2,7,m (6r)         : 31    11.2    11.2    11.06  0.12%    6.07   1.72
T122  STM 14,12,m (15r)      : 31    15.5    15.8    15.40  0.20%    8.45   2.39
T123  LM 2,3,m (2r)          : 31     8.4     8.5     8.35  0.11%    4.58   1.30
T124  LM 2,7,m (6r)          : 31    11.3    11.4    11.24  0.15%    6.17   1.74
T125  LM 0,11,m (12r)        : 31    15.4    15.5    15.29  0.13%    8.39   2.37
T150  MVC m,m (5c)           : 31    14.4    14.4    14.28  0.18%    7.84   2.22
T151  MVC m,m (10c)          : 31    16.5    16.9    16.43  0.11%    9.02   2.55
T152  MVC m,m (15c)          : 31    15.9    16.1    15.86  0.10%    8.71   2.46
T153  MVC m,m (30c)          : 31    16.5    16.6    16.41  0.13%    9.01   2.55
T154  MVC m,m (100c)         : 31    19.0    19.1    18.94  0.13%   10.40   2.94
T155  MVC m,m (250c)         : 31    25.7    25.8    25.49  0.16%   13.99   3.96
T156  MVC m,m (250c,over1)   : 31   297.6   297.8   297.41  0.03%  163.24  46.16
T157  MVC m,m (250c,over2)   : 31    25.7    25.8    25.50  0.14%   14.00   3.96
T160  MVI m,i                : 31     6.2     6.3     6.20  0.13%    3.40   0.96
T161  MVN m,m (10c)          : 31    17.3    17.3    17.19  0.16%    9.44   2.67
T162  MVN m,m (30c)          : 31    30.1    30.3    29.88  0.12%   16.40   4.64
T165  MVZ m,m (10c)          : 31    17.3    17.5    17.24  0.09%    9.46   2.68
T166  MVZ m,m (30c)          : 31    30.3    30.8    30.04  0.10%   16.49   4.66
T167  MVCIN m,m (10c)        : 31    59.8    60.5    59.66  0.13%   32.74   9.26
T168  MVCIN m,m (30c)        : 31   167.1   169.7   167.38  0.17%   91.87  25.98
T169  MVCIN m,m (100c)       : 31   549.9   552.5   550.61  0.20%  302.20  85.46
T170  4*Lx;MVCL (10b)        : 31    30.6    30.9    30.14  0.16%   16.54   4.68
T171  4*Lx;MVCL (100b)       : 31    35.5    36.0    35.07  0.16%   19.25   5.44
T172  4*Lx;MVCL (250b)       : 31    42.6    42.8    42.15  0.16%   23.14   6.54
T173  4*Lx;MVCL (1kb)        : 31    90.4    91.3    90.07  0.09%   49.43  13.98
T174  4*LR;MVCL (4kb)        : 31   275.8   278.6   275.85  0.12%  151.40  42.81
T175  4*Lx;MVCL (100b,pad)   : 31    25.7    25.9    25.18  0.13%   13.82   3.91
T176  4*Lx;MVCL (1kb,pad)    : 31    29.3    29.6    28.85  0.23%   15.84   4.48
