file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2020-04-18-09:17:05_J0001_PERF-ASM.prt   137 1.81e+10  290.88s  4m50.88   62.3
2020-04-18-09:22:03_J0002_PERF-ASM.prt   137 1.81e+10  290.36s  4m50.36   62.4
2020-04-18-09:26:53_J0003_PERF-ASM.prt   133 1.76e+10  281.89s  4m41.89   62.4
2020-04-18-09:31:54_J0004_PERF-ASM.prt   138 1.83e+10  292.35s  4m52.35   62.4
2020-04-18-09:36:55_J0005_PERF-ASM.prt   138 1.83e+10  293.45s  4m53.45   62.2
2020-04-18-09:41:56_J0006_PERF-ASM.prt   138 1.83e+10  292.10s  4m52.10   62.5
2020-04-18-09:47:01_J0007_PERF-ASM.prt   140 1.85e+10  296.96s  4m56.96   62.3
2020-04-18-09:52:04_J0008_PERF-ASM.prt   139 1.84e+10  294.86s  4m54.86   62.3
2020-04-18-09:57:08_J0009_PERF-ASM.prt   139 1.84e+10  294.98s  4m54.98   62.3
2020-04-18-10:02:09_J0010_PERF-ASM.prt   138 1.83e+10  293.25s  4m53.25   62.2
2020-04-18-10:07:06_J0011_PERF-ASM.prt   136 1.80e+10  288.59s  4m48.59   62.3
2020-04-18-10:12:10_J0012_PERF-ASM.prt   139 1.84e+10  295.47s  4m55.47   62.2
2020-04-18-10:17:09_J0013_PERF-ASM.prt   137 1.81e+10  290.87s  4m50.87   62.3
2020-04-18-10:22:01_J0014_PERF-ASM.prt   134 1.77e+10  284.49s  4m44.49   62.3
2020-04-18-10:27:04_J0015_PERF-ASM.prt   139 1.84e+10  294.79s  4m54.79   62.4
2020-04-18-10:31:59_J0016_PERF-ASM.prt   135 1.79e+10  286.48s  4m46.48   62.3
2020-04-18-10:37:05_J0017_PERF-ASM.prt   140 1.85e+10  297.52s  4m57.52   62.2
2020-04-18-10:42:08_J0018_PERF-ASM.prt   139 1.84e+10  295.13s  4m55.13   62.3
2020-04-18-10:46:59_J0019_PERF-ASM.prt   133 1.76e+10  282.49s  4m42.49   62.3
2020-04-18-10:51:59_J0020_PERF-ASM.prt   138 1.83e+10  292.48s  4m52.48   62.4
2020-04-18-10:56:58_J0021_PERF-ASM.prt   137 1.81e+10  290.63s  4m50.63   62.3
2020-04-18-11:01:57_J0022_PERF-ASM.prt   137 1.81e+10  290.52s  4m50.52   62.4
2020-04-18-11:06:49_J0023_PERF-ASM.prt   134 1.77e+10  284.34s  4m44.34   62.3
2020-04-18-11:11:52_J0024_PERF-ASM.prt   139 1.84e+10  295.00s  4m55.00   62.3
2020-04-18-11:16:47_J0025_PERF-ASM.prt   135 1.79e+10  286.53s  4m46.53   62.3
2020-04-18-11:21:34_J0026_PERF-ASM.prt   132 1.75e+10  279.74s  4m39.74   62.4
2020-04-18-11:26:38_J0027_PERF-ASM.prt   139 1.84e+10  295.23s  4m55.23   62.3
2020-04-18-11:31:41_J0028_PERF-ASM.prt   139 1.84e+10  295.05s  4m55.05   62.3
2020-04-18-11:36:29_J0029_PERF-ASM.prt   132 1.75e+10  280.00s  4m40.00   62.3
2020-04-18-11:41:19_J0030_PERF-ASM.prt   133 1.76e+10  282.18s  4m42.18   62.3
2020-04-18-11:46:26_J0031_PERF-ASM.prt   140 1.85e+10  298.91s  4m58.91   61.9
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31     3.3     3.4     3.23  1.41%    1.00   0.30
T101  LA R,n                 : 31     3.8     3.9     3.74  1.20%    1.16   0.34
T102  L R,m                  : 31    10.8    11.3    10.91  0.93%    3.37   1.00
T103  L R,m (unal)           : 31    13.6    14.2    13.64  0.80%    4.22   1.25
T104  LH R,m                 : 31    13.8    14.4    13.84  1.42%    4.28   1.27
T105  LH R,m (unal3)         : 31    14.5    15.0    14.42  1.28%    4.46   1.32
T106  LTR R,R                : 31     4.8     5.0     4.78  1.41%    1.48   0.44
T107  LCR R,R                : 31     4.8     5.0     4.77  1.17%    1.48   0.44
T108  LNR R,R                : 31     4.5     4.8     4.50  1.57%    1.39   0.41
T109  LPR R,R                : 31     4.8     5.0     4.79  1.42%    1.48   0.44
T110  ST R,m                 : 31    11.3    11.6    11.26  1.07%    3.48   1.03
T111  ST R,m (unal)          : 31    12.5    13.0    12.62  1.09%    3.90   1.16
T112  STH R,m                : 31    14.4    14.9    14.49  0.82%    4.48   1.33
T113  STH R,m (unal1)        : 31    13.9    14.4    13.91  0.94%    4.30   1.28
T114  STH R,m (unal3)        : 31    13.9    15.4    14.04  1.30%    4.34   1.29
T115  STC R,m                : 31    13.7    14.1    13.70  0.82%    4.24   1.26
T116  STCM R,i,m (0010)      : 31    18.4    19.2    18.55  1.01%    5.74   1.70
T117  STCM R,i,m (1100)      : 31    19.2    20.0    19.50  1.06%    6.03   1.79
T118  STCM R,i,m (0111)      : 31    15.2    15.7    15.28  0.94%    4.73   1.40
T120  STM 2,3,m (2r)         : 31    16.3    16.8    16.38  1.12%    5.07   1.50
T121  STM 2,7,m (6r)         : 31    20.8    21.4    20.81  1.06%    6.44   1.91
T122  STM 14,12,m (15r)      : 31    29.9    30.9    30.25  1.42%    9.35   2.77
T123  LM 2,3,m (2r)          : 31    17.0    17.6    17.05  0.93%    5.27   1.56
T124  LM 2,7,m (6r)          : 31    22.0    22.7    22.09  1.01%    6.83   2.03
T125  LM 0,11,m (12r)        : 31    30.7    31.5    30.88  1.33%    9.55   2.83
T150  MVC m,m (5c)           : 31    27.6    28.4    27.80  1.03%    8.60   2.55
T151  MVC m,m (10c)          : 31    31.6    33.0    32.17  1.21%    9.95   2.95
T152  MVC m,m (15c)          : 31    30.2    31.3    30.67  1.35%    9.48   2.81
T153  MVC m,m (30c)          : 31    30.5    31.8    31.15  1.16%    9.63   2.86
T154  MVC m,m (100c)         : 31    36.7    38.4    37.44  1.67%   11.58   3.43
T155  MVC m,m (250c)         : 31    49.4    51.5    49.95  1.52%   15.45   4.58
T156  MVC m,m (250c,over1)   : 31   465.2   477.8   469.35  1.26%  145.13  43.03
T157  MVC m,m (250c,over2)   : 31    49.7    51.7    50.02  1.52%   15.47   4.59
T160  MVI m,i                : 31    12.3    12.7    12.43  1.11%    3.84   1.14
T161  MVN m,m (10c)          : 31    29.6    30.8    29.94  1.92%    9.26   2.74
T162  MVN m,m (30c)          : 31    51.7    54.4    52.57  1.92%   16.25   4.82
T165  MVZ m,m (10c)          : 31    29.5    31.1    30.02  2.02%    9.28   2.75
T166  MVZ m,m (30c)          : 31    51.7    54.6    52.36  0.92%   16.19   4.80
T167  MVCIN m,m (10c)        : 31   114.8   119.6   117.01  1.43%   36.18  10.73
T168  MVCIN m,m (30c)        : 31   321.5   339.7   329.59  0.90%  101.91  30.22
