file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2020-04-18-19:57:03_J0186_PERF-ASM.prt    85 1.12e+10  188.79s  3m08.79   59.5
2020-04-18-20:01:13_J0187_PERF-ASM.prt   118 1.56e+10  243.07s  4m03.07   64.2
2020-04-18-20:05:21_J0188_PERF-ASM.prt   118 1.56e+10  242.66s  4m02.66   64.3
2020-04-18-20:09:33_J0189_PERF-ASM.prt   119 1.57e+10  245.06s  4m05.06   64.2
2020-04-18-20:13:36_J0190_PERF-ASM.prt   115 1.52e+10  236.86s  3m56.86   64.2
2020-04-18-20:17:46_J0191_PERF-ASM.prt   119 1.57e+10  244.69s  4m04.69   64.3
2020-04-18-20:21:57_J0192_PERF-ASM.prt   119 1.57e+10  244.48s  4m04.48   64.4
2020-04-18-20:26:08_J0193_PERF-ASM.prt   119 1.57e+10  244.67s  4m04.67   64.3
2020-04-18-20:30:16_J0194_PERF-ASM.prt   118 1.56e+10  242.56s  4m02.56   64.3
2020-04-18-20:34:27_J0195_PERF-ASM.prt   119 1.57e+10  244.52s  4m04.52   64.4
2020-04-18-20:38:38_J0196_PERF-ASM.prt   119 1.57e+10  244.61s  4m04.61   64.3
2020-04-18-20:42:48_J0197_PERF-ASM.prt   119 1.57e+10  244.64s  4m04.64   64.3
2020-04-18-20:46:59_J0198_PERF-ASM.prt   119 1.57e+10  244.57s  4m04.57   64.3
2020-04-18-20:51:09_J0199_PERF-ASM.prt   119 1.57e+10  244.54s  4m04.54   64.4
2020-04-18-20:55:20_J0200_PERF-ASM.prt   119 1.57e+10  244.60s  4m04.60   64.3
2020-04-18-20:59:31_J0201_PERF-ASM.prt   119 1.57e+10  244.54s  4m04.54   64.4
2020-04-18-21:03:39_J0202_PERF-ASM.prt   118 1.56e+10  242.50s  4m02.50   64.4
2020-04-18-21:07:50_J0203_PERF-ASM.prt   119 1.57e+10  244.64s  4m04.64   64.3
2020-04-18-21:12:00_J0204_PERF-ASM.prt   119 1.57e+10  244.42s  4m04.42   64.4
2020-04-18-21:16:11_J0205_PERF-ASM.prt   119 1.57e+10  244.75s  4m04.75   64.3
2020-04-18-21:20:20_J0206_PERF-ASM.prt   118 1.56e+10  242.56s  4m02.56   64.3
2020-04-18-21:24:30_J0207_PERF-ASM.prt   119 1.57e+10  244.63s  4m04.63   64.3
2020-04-18-21:28:41_J0208_PERF-ASM.prt   119 1.57e+10  244.55s  4m04.55   64.4
2020-04-18-21:32:52_J0209_PERF-ASM.prt   119 1.57e+10  244.51s  4m04.51   64.4
2020-04-18-21:37:00_J0210_PERF-ASM.prt   118 1.56e+10  242.45s  4m02.45   64.4
2020-04-18-21:41:11_J0211_PERF-ASM.prt   119 1.57e+10  244.68s  4m04.68   64.3
2020-04-18-21:45:21_J0212_PERF-ASM.prt   119 1.57e+10  244.60s  4m04.60   64.3
2020-04-18-21:49:30_J0213_PERF-ASM.prt   118 1.56e+10  242.44s  4m02.44   64.4
2020-04-18-21:53:41_J0214_PERF-ASM.prt   119 1.57e+10  244.58s  4m04.58   64.3
2020-04-18-21:57:51_J0215_PERF-ASM.prt   119 1.57e+10  244.65s  4m04.65   64.3
2020-04-18-22:02:02_J0216_PERF-ASM.prt   119 1.57e+10  244.76s  4m04.76   64.3
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31     3.0     4.5     2.98  0.25%    1.00   0.23
T101  LA R,n                 : 31     4.0     5.3     3.89  0.23%    1.30   0.30
T102  L R,m                  : 31    12.9    14.0    12.77  0.31%    4.28   1.00
T103  L R,m (unal)           : 31    15.2    15.9    15.04  0.18%    5.05   1.18
T104  LH R,m                 : 31    14.6    21.5    14.52  0.20%    4.87   1.14
T105  LH R,m (unal3)         : 31    16.0    22.3    15.86  0.20%    5.32   1.24
T106  LTR R,R                : 31     4.1     4.6     4.01  0.24%    1.35   0.31
T107  LCR R,R                : 31     4.7     4.8     4.66  0.21%    1.56   0.36
T108  LNR R,R                : 31     4.0     4.4     3.96  0.29%    1.33   0.31
T109  LPR R,R                : 31     4.8     6.7     4.77  0.65%    1.60   0.37
T110  ST R,m                 : 31    12.9    18.6    12.76  0.24%    4.28   1.00
T111  ST R,m (unal)          : 31    13.7    18.9    13.58  0.38%    4.55   1.06
T112  STH R,m                : 31    15.2    19.0    15.05  0.15%    5.05   1.18
T113  STH R,m (unal1)        : 31    15.0    15.5    14.90  0.19%    5.00   1.17
T114  STH R,m (unal3)        : 31    15.5    18.1    15.42  0.17%    5.17   1.21
T115  STC R,m                : 31    14.1    20.9    13.98  0.19%    4.69   1.09
T116  STCM R,i,m (0010)      : 31    19.6    23.9    19.44  0.14%    6.52   1.52
T117  STCM R,i,m (1100)      : 31    19.9    20.3    20.02  0.12%    6.72   1.57
T118  STCM R,i,m (0111)      : 31    16.2    16.6    16.08  0.17%    5.39   1.26
T120  STM 2,3,m (2r)         : 31    17.6    24.7    17.51  0.14%    5.87   1.37
T121  STM 2,7,m (6r)         : 31    21.7    30.8    21.64  0.25%    7.26   1.69
T122  STM 14,12,m (15r)      : 31    30.7    42.3    30.64  0.21%   10.27   2.40
T123  LM 2,3,m (2r)          : 31    17.7    18.4    17.60  0.10%    5.90   1.38
T124  LM 2,7,m (6r)          : 31    21.9    23.5    21.77  0.15%    7.30   1.70
T125  LM 0,11,m (12r)        : 31    28.5    28.7    28.34  0.20%    9.50   2.22
T150  MVC m,m (5c)           : 31    27.2    29.6    27.18  0.19%    9.11   2.13
T151  MVC m,m (10c)          : 31    31.2    31.7    31.38  0.17%   10.53   2.46
T152  MVC m,m (15c)          : 31    29.7    30.0    29.77  0.13%    9.98   2.33
T153  MVC m,m (30c)          : 31    30.4    36.3    30.42  0.09%   10.20   2.38
T154  MVC m,m (100c)         : 31    36.0    51.6    35.89  0.26%   12.04   2.81
T155  MVC m,m (250c)         : 31    56.6    83.9    56.27  0.22%   18.87   4.41
T156  MVC m,m (250c,over1)   : 31   448.4   665.7   448.66  0.15%  150.47  35.13
T157  MVC m,m (250c,over2)   : 31    52.6    72.0    52.30  0.15%   17.54   4.09
T160  MVI m,i                : 31    13.2    13.6    13.13  0.21%    4.40   1.03
T161  MVN m,m (10c)          : 31    31.0    33.7    32.84  1.74%   11.01   2.57
T162  MVN m,m (30c)          : 31    50.4    50.7    50.05  0.17%   16.78   3.92
T165  MVZ m,m (10c)          : 31    31.8    35.5    32.42  2.86%   10.87   2.54
T166  MVZ m,m (30c)          : 31    50.4    50.6    50.04  0.17%   16.78   3.92
T167  MVCIN m,m (10c)        : 31   115.1   115.4   114.80  0.06%   38.50   8.99
T168  MVCIN m,m (30c)        : 31   318.9   338.3   318.69  0.14%  106.88  24.95
