file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2020-04-18-12:27:58_J7807_PERF-ASM.prt   180 2.38e+10  275.56s  4m35.56   86.4
2020-04-18-12:32:52_J7808_PERF-ASM.prt   198 2.62e+10  289.73s  4m49.73   90.4
2020-04-18-12:37:17_J7809_PERF-ASM.prt   178 2.35e+10  259.56s  4m19.56   90.7
2020-04-18-12:41:56_J7810_PERF-ASM.prt   188 2.49e+10  274.61s  4m34.61   90.5
2020-04-18-12:46:58_J7811_PERF-ASM.prt   201 2.66e+10  297.33s  4m57.33   89.4
2020-04-18-12:51:58_J7812_PERF-ASM.prt   201 2.66e+10  295.85s  4m55.85   89.9
2020-04-18-12:57:03_J7813_PERF-ASM.prt   202 2.67e+10  300.04s  5m00.04   89.0
2020-04-18-13:02:06_J7814_PERF-ASM.prt   202 2.67e+10  297.85s  4m57.85   89.7
2020-04-18-13:06:26_J7815_PERF-ASM.prt   175 2.31e+10  255.29s  4m15.29   90.7
2020-04-18-13:11:30_J7816_PERF-ASM.prt   202 2.67e+10  299.67s  4m59.67   89.1
2020-04-18-13:16:31_J7817_PERF-ASM.prt   201 2.66e+10  296.22s  4m56.22   89.7
2020-04-18-13:21:33_J7818_PERF-ASM.prt   202 2.67e+10  297.60s  4m57.60   89.8
2020-04-18-13:26:22_J7819_PERF-ASM.prt   194 2.57e+10  284.05s  4m44.05   90.3
2020-04-18-13:31:12_J7820_PERF-ASM.prt   196 2.59e+10  285.75s  4m45.75   90.7
2020-04-18-13:36:04_J7821_PERF-ASM.prt   197 2.61e+10  287.73s  4m47.73   90.5
2020-04-18-13:40:28_J7822_PERF-ASM.prt   176 2.33e+10  258.31s  4m18.31   90.1
2020-04-18-13:45:29_J7823_PERF-ASM.prt   200 2.64e+10  296.29s  4m56.29   89.3
2020-04-18-13:49:37_J7824_PERF-ASM.prt   166 2.20e+10  243.42s  4m03.42   90.2
2020-04-18-13:54:36_J7825_PERF-ASM.prt   201 2.66e+10  294.01s  4m54.01   90.4
2020-04-18-13:59:29_J7826_PERF-ASM.prt   196 2.59e+10  288.62s  4m48.62   89.8
2020-04-18-14:04:30_J7827_PERF-ASM.prt   202 2.67e+10  295.93s  4m55.93   90.3
2020-04-18-14:09:31_J7828_PERF-ASM.prt   201 2.66e+10  295.93s  4m55.93   89.8
2020-04-18-14:14:01_J7829_PERF-ASM.prt   179 2.37e+10  265.89s  4m25.89   89.0
2020-04-18-14:18:05_J7830_PERF-ASM.prt   161 2.13e+10  239.23s  3m59.23   89.0
2020-04-18-14:23:05_J7831_PERF-ASM.prt   202 2.67e+10  294.55s  4m54.55   90.7
2020-04-18-14:28:09_J7832_PERF-ASM.prt   202 2.67e+10  300.20s  5m00.20   89.0
2020-04-18-14:33:09_J7833_PERF-ASM.prt   202 2.67e+10  294.96s  4m54.96   90.6
2020-04-18-14:38:01_J7834_PERF-ASM.prt   195 2.58e+10  287.11s  4m47.11   89.8
2020-04-18-14:42:39_J7835_PERF-ASM.prt   184 2.43e+10  273.39s  4m33.39   89.0
2020-04-18-14:47:38_J7836_PERF-ASM.prt   202 2.67e+10  294.52s  4m54.52   90.7
2020-04-18-14:52:38_J7837_PERF-ASM.prt   201 2.66e+10  295.12s  4m55.12   90.1
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 31     2.2     2.5     2.14  7.25%    1.00   0.28
T101  LA R,n                 : 31     2.8     3.2     2.78  4.30%    1.30   0.36
T102  L R,m                  : 31     7.6     8.7     7.71  8.17%    3.61   1.00
T103  L R,m (unal)           : 31     8.7     9.9     9.01  7.70%    4.22   1.17
T104  LH R,m                 : 31     9.2    10.4     9.52  8.44%    4.46   1.23
T105  LH R,m (unal3)         : 31     9.6    10.8     9.60  4.54%    4.49   1.25
T106  LTR R,R                : 31     3.5     3.9     3.51  5.76%    1.65   0.46
T107  LCR R,R                : 31     3.7     4.3     3.72  8.51%    1.74   0.48
T108  LNR R,R                : 31     3.3     3.8     3.30  6.79%    1.55   0.43
T109  LPR R,R                : 31     3.9     4.4     3.96  6.17%    1.85   0.51
T110  ST R,m                 : 31     7.8     9.5     7.80  5.76%    3.65   1.01
T111  ST R,m (unal)          : 31     8.6    10.8     9.04  6.66%    4.23   1.17
T112  STH R,m                : 31     9.6    11.2     9.48  3.38%    4.44   1.23
T113  STH R,m (unal1)        : 31     9.5    11.2     9.56  6.04%    4.48   1.24
T114  STH R,m (unal3)        : 31     9.4    11.2     9.41  6.14%    4.40   1.22
T115  STC R,m                : 31     8.9     9.8     8.84  6.19%    4.14   1.15
T116  STCM R,i,m (0010)      : 31    12.9    14.5    13.09  7.60%    6.13   1.70
T117  STCM R,i,m (1100)      : 31    14.0    15.8    14.02  5.78%    6.56   1.82
T118  STCM R,i,m (0111)      : 31     9.9    11.9     9.91  6.00%    4.64   1.29
T120  STM 2,3,m (2r)         : 31    11.1    12.5    11.18  8.41%    5.23   1.45
T121  STM 2,7,m (6r)         : 31    14.5    16.9    14.68  5.68%    6.87   1.90
T122  STM 14,12,m (15r)      : 31    19.8    23.1    20.04  6.75%    9.38   2.60
T123  LM 2,3,m (2r)          : 31    11.4    12.9    11.77  7.27%    5.51   1.53
T124  LM 2,7,m (6r)          : 31    15.3    17.0    15.32  4.39%    7.17   1.99
T125  LM 0,11,m (12r)        : 31    20.4    24.4    21.41  7.35%   10.02   2.78
T150  MVC m,m (5c)           : 31    17.6    21.0    17.81  7.03%    8.34   2.31
T151  MVC m,m (10c)          : 31    20.0    22.7    20.23  7.54%    9.47   2.63
T152  MVC m,m (15c)          : 31    19.1    22.1    19.20  4.97%    8.99   2.49
T153  MVC m,m (30c)          : 31    19.7    23.0    19.99  7.44%    9.36   2.59
T154  MVC m,m (100c)         : 31    23.2    25.8    23.18  2.10%   10.85   3.01
T155  MVC m,m (250c)         : 31    31.4    34.6    31.27  6.35%   14.64   4.06
T156  MVC m,m (250c,over1)   : 31   349.8   418.8   351.98  4.41%  164.79  45.67
T157  MVC m,m (250c,over2)   : 31    31.4    35.3    31.23  7.27%   14.62   4.05
T160  MVI m,i                : 31     8.0     9.2     7.96  5.48%    3.73   1.03
T161  MVN m,m (10c)          : 31    20.0    22.7    20.09  5.51%    9.40   2.61
T162  MVN m,m (30c)          : 31    34.0    40.0    33.83  1.33%   15.84   4.39
T165  MVZ m,m (10c)          : 31    20.1    23.4    20.18  6.95%    9.45   2.62
T166  MVZ m,m (30c)          : 31    33.9    38.3    34.03  2.73%   15.93   4.41
T167  MVCIN m,m (10c)        : 31    73.3    84.4    73.29  6.91%   34.31   9.51
T168  MVCIN m,m (30c)        : 31   203.6   236.9   204.26  5.09%   95.63  26.50
T169  MVCIN m,m (100c)       : 31   665.1   768.8   667.48  1.61%  312.50  86.61
T170  4*Lx;MVCL (10b)        : 31    35.0    39.4    34.55  2.21%   16.17   4.48
T171  4*Lx;MVCL (100b)       : 31    41.9    47.4    41.84  7.88%   19.59   5.43
T172  4*Lx;MVCL (250b)       : 31    51.2    57.5    51.19  1.85%   23.96   6.64
T173  4*Lx;MVCL (1kb)        : 31   106.6   124.9   106.95  6.68%   50.07  13.88
T174  4*LR;MVCL (4kb)        : 31   332.5   387.0   336.48  6.22%  157.53  43.66
T175  4*Lx;MVCL (100b,pad)   : 31    37.4    41.6    37.55  6.28%   17.58   4.87
T176  4*Lx;MVCL (1kb,pad)    : 31    45.1    50.3    45.13  6.77%   21.13   5.86
T177  4*Lx;MVCL (4kb,pad)    : 31   103.2   115.4   103.76  5.58%   48.58  13.46
T178  4*LA;MVCL (1kb,over1)  : 31    22.6    26.6    22.72  6.75%   10.64   2.95
T179  4*LA;MVCL (1kb,over2)  : 31   115.1   128.8   115.30  4.32%   53.98  14.96
T190  IC R,m                 : 31     9.0    10.0     9.35  6.08%    4.38   1.21
T191  ICM R,i,m (0010)       : 31    15.9    17.6    16.00  7.83%    7.49   2.08
T192  ICM R,i,m (1100)       : 31    16.4    18.2    16.57  5.64%    7.76   2.15
T193  ICM R,i,m (0111)       : 31    12.6    13.9    12.59  4.70%    5.90   1.63
T200  AR R,R                 : 31     3.5     4.0     3.43  7.34%    1.61   0.45
T201  A R,m                  : 31     9.4    10.9     9.38  7.07%    4.39   1.22
T202  AH R,m                 : 31    10.1    11.6    10.00  1.21%    4.68   1.30
T203  ALR R,R                : 31     2.9     3.4     2.81  7.40%    1.32   0.37
T204  AL R,m                 : 31    10.5    12.3    10.65  7.46%    4.99   1.38
T205  SR R,R                 : 31     3.9     4.4     3.91  4.83%    1.83   0.51
T206  S R,m                  : 31     9.9    11.5     9.90  5.77%    4.63   1.28
T207  SH R,m                 : 31    10.6    11.8    10.54  5.80%    4.94   1.37
T208  SLR R,R                : 31     2.9     3.6     2.87  4.14%    1.35   0.37
T209  SL R,m                 : 31    10.6    12.4    10.62  8.61%    4.97   1.38
T210  MR R,R                 : 31     5.9     6.7     5.63  4.67%    2.63   0.73
T211  M R,m                  : 31    10.2    11.8    10.08  6.96%    4.72   1.31
T212  MH R,m                 : 31    10.4    12.5    10.11  5.38%    4.73   1.31
T215  XR R,R; DR R,R         : 31    18.3    20.4    18.03  3.41%    8.44   2.34
T216  XR R,R; D R,m          : 31    23.7    26.5    23.50  4.62%   11.00   3.05
T220  SLA R,1                : 31     6.8     7.9     6.54  8.52%    3.06   0.85
T221  SLDA R,1               : 31     7.5     8.7     7.54  6.43%    3.53   0.98
T222  SRA R,1                : 31     5.4     6.2     5.20  5.08%    2.44   0.67
T223  SRDA R,1               : 31     6.4     7.2     6.25  2.84%    2.93   0.81
T224  SRA R,30               : 31     5.4     6.5     5.21  5.71%    2.44   0.68
T225  SRDA R,60              : 31     6.4     7.4     6.48  7.17%    3.03   0.84
T230  XR R,R                 : 31     3.3     3.6     3.25  5.58%    1.52   0.42
T231  X R,m                  : 31     9.5    10.8     9.51  6.00%    4.45   1.23
T232  XI m,i                 : 31     9.9    10.9     9.89  5.09%    4.63   1.28
T235  XC m,m (10c)           : 31    22.4    25.1    22.44  6.68%   10.51   2.91
T236  XC m,m (100c)          : 31   101.2   115.5   101.54  3.06%   47.54  13.18
T237  XC m,m (250c)          : 31   224.0   259.9   227.87  8.71%  106.68  29.57
