file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2022-06-03-10:35:37_J0218_PERF-ASM.prt   348 4.60e+10  311.61s  5m11.61  147.7
2022-06-03-10:40:50_J0219_PERF-ASM.prt   350 4.63e+10  310.69s  5m10.69  149.0
2022-06-03-10:46:03_J0220_PERF-ASM.prt   349 4.62e+10  309.88s  5m09.88  148.9
2022-06-03-10:51:16_J0221_PERF-ASM.prt   344 4.55e+10  310.59s  5m10.59  146.5
2022-06-03-10:56:36_J0222_PERF-ASM.prt   345 4.56e+10  317.41s  5m17.41  143.7
2022-06-03-11:01:54_J0223_PERF-ASM.prt   350 4.63e+10  314.67s  5m14.67  147.1
2022-06-03-11:07:09_J0224_PERF-ASM.prt   351 4.64e+10  312.68s  5m12.68  148.5
2022-06-03-11:12:26_J0225_PERF-ASM.prt   352 4.66e+10  314.06s  5m14.06  148.2
2022-06-03-11:17:52_J0226_PERF-ASM.prt   355 4.69e+10  323.38s  5m23.38  145.2
2022-06-03-11:23:17_J0227_PERF-ASM.prt   357 4.72e+10  322.04s  5m22.04  146.6
2022-06-03-11:28:31_J0228_PERF-ASM.prt   348 4.60e+10  310.48s  5m10.48  148.2
s370_perf version: s370_perf V0.9.8  rev 1026  2018-05-27

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T100  LR R,R                 : 11     1.7     1.8     1.72  1.33%    1.00   0.40
T101  LA R,n                 : 11     2.1     2.2     2.13  1.63%    1.24   0.50
T102  L R,m                  : 11     4.2     4.5     4.29  1.00%    2.50   1.00
T103  L R,m (unal)           : 11     5.2     6.0     5.29  1.76%    3.08   1.23
T104  LH R,m                 : 11     5.4     5.7     5.54  1.46%    3.23   1.29
T105  LH R,m (unal3)         : 11     5.6     5.8     5.58  1.32%    3.24   1.30
T106  LTR R,R                : 11     2.2     2.4     2.17  1.17%    1.27   0.51
T107  LCR R,R                : 11     2.8     4.4     2.75  1.34%    1.60   0.64
T108  LNR R,R                : 11     2.2     3.2     2.20  1.64%    1.28   0.51
T109  LPR R,R                : 11     2.7     4.4     2.74  1.49%    1.59   0.64
T110  ST R,m                 : 11     4.5    11.1     4.56  1.83%    2.66   1.06
T111  ST R,m (unal)          : 11     4.9     6.0     4.85  1.14%    2.82   1.13
T112  STH R,m                : 11     5.5     5.7     5.50  1.82%    3.20   1.28
T113  STH R,m (unal1)        : 11     5.4     5.6     5.42  1.66%    3.15   1.26
T114  STH R,m (unal3)        : 11     5.3     5.6     5.40  1.63%    3.14   1.26
T115  STC R,m                : 11     5.1     5.2     5.07  1.35%    2.95   1.18
T116  STCM R,i,m (0010)      : 11     7.4     7.7     7.47  1.47%    4.35   1.74
T117  STCM R,i,m (1100)      : 11     8.1     8.4     8.19  0.54%    4.77   1.91
T118  STCM R,i,m (0111)      : 11     5.9     8.1     6.03  1.34%    3.51   1.41
T120  STM 2,3,m (2r)         : 11     6.5     9.2     6.59  1.25%    3.84   1.54
T121  STM 2,7,m (6r)         : 11     8.2    12.1     8.35  2.24%    4.86   1.95
T122  STM 14,12,m (15r)      : 11    12.5    14.8    12.77  2.18%    7.43   2.97
T123  LM 2,3,m (2r)          : 11     6.9     8.4     6.97  0.98%    4.05   1.62
T124  LM 2,7,m (6r)          : 11    10.5    10.9    10.71  0.76%    6.23   2.49
T125  LM 0,11,m (12r)        : 11    13.3    14.2    13.56  2.32%    7.89   3.16
T150  MVC m,m (5c)           : 11    11.0    11.6    11.29  2.29%    6.57   2.63
T151  MVC m,m (10c)          : 11    12.8    13.4    13.18  1.29%    7.67   3.07
T152  MVC m,m (15c)          : 11    11.9    12.6    12.28  2.62%    7.15   2.86
T153  MVC m,m (30c)          : 11    12.4    13.2    12.84  1.04%    7.47   2.99
T154  MVC m,m (100c)         : 11    15.7    16.5    16.18  2.34%    9.42   3.77
T155  MVC m,m (250c)         : 11    24.3    25.7    24.68  2.87%   14.36   5.75
T156  MVC m,m (250c,over1)   : 11   257.6   276.3   261.72  2.54%  152.31  60.96
T157  MVC m,m (250c,over2)   : 11    24.6    26.8    24.50  0.79%   14.26   5.71
T160  MVI m,i                : 11     4.4    11.0     4.52  1.92%    2.63   1.05
T161  MVN m,m (10c)          : 11    13.9    16.6    14.07  1.31%    8.19   3.28
T162  MVN m,m (30c)          : 11    31.9    33.9    33.19  1.20%   19.31   7.73
T165  MVZ m,m (10c)          : 11    13.8    16.6    14.06  2.70%    8.18   3.27
T166  MVZ m,m (30c)          : 11    25.3    29.6    25.86  2.30%   15.05   6.02
T167  MVCIN m,m (10c)        : 11    44.7    52.3    45.84  1.56%   26.67  10.68
T168  MVCIN m,m (30c)        : 11   126.7   139.7   129.74  1.80%   75.50  30.22
T169  MVCIN m,m (100c)       : 11   392.2   438.6   401.30  2.05%  233.54  93.46
T170  4*Lx;MVCL (10b)        : 11    24.1    32.2    24.23  1.48%   14.10   5.64
T171  4*Lx;MVCL (100b)       : 11    27.7    31.5    28.56  3.42%   16.62   6.65
T172  4*Lx;MVCL (250b)       : 11    33.9    43.5    34.75  1.36%   20.22   8.09
T173  4*Lx;MVCL (1kb)        : 11    77.4    85.7    78.14  2.37%   45.47  18.20
T174  4*LR;MVCL (4kb)        : 11   221.8   244.3   230.86  0.64%  134.35  53.77
T175  4*Lx;MVCL (100b,pad)   : 11    19.1    31.4    19.46  1.21%   11.32   4.53
T176  4*Lx;MVCL (1kb,pad)    : 11    24.9    30.2    25.40  1.62%   14.78   5.92
T177  4*Lx;MVCL (4kb,pad)    : 11    45.8    47.1    45.83  0.85%   26.67  10.67
T178  4*LA;MVCL (1kb,over1)  : 11    13.8    14.3    13.65  1.31%    7.94   3.18
T179  4*LA;MVCL (1kb,over2)  : 11    80.5    83.7    81.53  1.49%   47.45  18.99
T190  IC R,m                 : 11     5.3     5.5     5.34  1.51%    3.11   1.24
T191  ICM R,i,m (0010)       : 11    10.4    10.7    10.52  1.31%    6.12   2.45
T192  ICM R,i,m (1100)       : 11    10.8    11.0    10.83  0.65%    6.30   2.52
T193  ICM R,i,m (0111)       : 11     9.5     9.7     9.57  0.93%    5.57   2.23
T200  AR R,R                 : 11     2.2     3.9     2.22  1.96%    1.29   0.52
T201  A R,m                  : 11     5.7     6.1     5.84  1.37%    3.40   1.36
T202  AH R,m                 : 11     6.1     6.2     6.04  1.40%    3.51   1.41
T203  ALR R,R                : 11     2.1     2.1     2.06  1.44%    1.20   0.48
T204  AL R,m                 : 11     6.0     6.3     6.17  1.20%    3.59   1.44
T205  SR R,R                 : 11     3.0     3.2     3.03  1.43%    1.76   0.70
T206  S R,m                  : 11     6.0     6.3     6.06  0.85%    3.53   1.41
T207  SH R,m                 : 11     6.2     6.4     6.18  1.16%    3.60   1.44
T208  SLR R,R                : 11     2.0     2.1     2.01  1.09%    1.17   0.47
T209  SL R,m                 : 11     6.2     6.5     6.33  1.52%    3.68   1.47
T210  MR R,R                 : 11     3.1     5.4     2.98  0.75%    1.73   0.69
T211  M R,m                  : 11     6.3     7.9     6.20  1.93%    3.61   1.44
T212  MH R,m                 : 11     6.0     7.0     5.96  1.52%    3.47   1.39
