s370_perf_sum  -rat  -k r2  -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 2018-02-14_p390.dat                        231   0.14%    18.0%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T511  AE R,m                 :    403.52    393.71 :    0.976
T560  AXR R,R                :    681.61    665.33 :    0.976
T540  ADR R,R                :    340.98    333.56 :    0.978
T541  AD R,m                 :    457.38    448.38 :    0.980
T510  AER R,R                :    340.86    334.47 :    0.981
T193  ICM R,i,m (0111)       :    290.91    289.87 :    0.996
T190  IC R,m                 :    175.22    174.63 :    0.997
T553  HDR R,R                :    396.81    395.59 :    0.997
T301  BNZ l (no br)          :     58.50     58.34 :    0.997
T222  SRA R,1                :    173.70    173.28 :    0.998
T532  LD R,m (unal)          :    346.51    345.70 :    0.998
T220  SLA R,1                :    231.06    230.54 :    0.998
T507  LRER R,R               :    228.95    228.45 :    0.998
T520  CER R,R                :    339.86    339.13 :    0.998
D620  TS m (zero)            :    425.72    424.83 :    0.998
T240  SLL R,1                :    173.64    173.28 :    0.998
T116  STCM R,i,m (0010)      :    242.14    241.67 :    0.998
T330  L;BALR;SAV(14,12);RET  :   3145.94   3140.15 :    0.998
D621  TS m (ones)            :    425.45    424.86 :    0.999
T322  BAL R,l; BR R          :    478.04    477.44 :    0.999
T550  CDR R,R                :    339.58    339.16 :    0.999
T509  STE R,m (unal)         :    375.93    375.48 :    0.999
T109  LPR R,R                :    114.42    114.29 :    0.999
T450  MVO m,m (10d)          :   1440.51   1438.89 :    0.999
T404  UNPK m,m (5d)          :   1298.33   1296.88 :    0.999
T125  LM 0,11,m (12r)        :    814.77    813.90 :    0.999
T238  NR R,R                 :     57.21     57.15 :    0.999
T431  CP m,m (30d)           :   2039.12   2037.02 :    0.999
T401  CVD R,m                :   2891.55   2888.62 :    0.999
T235  XC m,m (10c)           :    762.91    762.22 :    0.999
D215  DR R,R                 :    516.35    516.05 :    0.999
T274  CLC m,m (100c,eq)      :   1748.93   1747.92 :    0.999
T620  MVI;TS m (zero)        :    585.71    585.40 :    0.999
T500  LER R,R                :    113.82    113.76 :    0.999
T270  CLC m,m (10c,eq)       :    524.37    524.10 :    0.999
D176  MVCL (1kb,pad)         :   8613.57   8609.70 :    1.000
T176  4*Lx;MVCL (1kb,pad)    :   8844.84   8841.09 :    1.000
T320  BALR R,R; BR R         :    458.45    458.26 :    1.000
D216  D R,m                  :    632.43    632.17 :    1.000
T151  MVC m,m (10c)          :    727.70    727.44 :    1.000
T263  CLR R,R                :     57.16     57.14 :    1.000
T100  LR R,R                 :     57.17     57.15 :    1.000
T155  MVC m,m (250c)         :   7698.35   7695.92 :    1.000
T192  ICM R,i,m (1100)       :    289.98    289.89 :    1.000
T546  DDR R,R                :   3932.93   3931.76 :    1.000
T442  ZAP m,m (10d,30d)      :   2042.27   2041.67 :    1.000
D178  MVCL (1kb,over1)       :    858.97    858.72 :    1.000
T451  MVO m,m (30d)          :   3789.87   3788.85 :    1.000
T536  LPDR R,R               :    227.13    227.07 :    1.000
D296  CDS R,R,m (eq,ne)      :    522.92    522.79 :    1.000
T296  LR;CDS R,R,m (eq,ne)   :    580.09    579.95 :    1.000
T224  SRA R,30               :    173.71    173.67 :    1.000
T231  X R,m                  :    174.71    174.67 :    1.000
T169  MVCIN m,m (100c)       :  17632.03  17628.08 :    1.000
T701  mix int RX             :    371.15    371.07 :    1.000
T523  HER R,R                :    396.72    396.65 :    1.000
T107  LCR R,R                :     57.15     57.14 :    1.000
T106  LTR R,R                :     57.17     57.16 :    1.000
D170  MVCL (10b)             :    866.80    866.65 :    1.000
T123  LM 2,3,m (2r)          :    233.27    233.23 :    1.000
T295  LR;CDS R,R,m (eq,eq)   :    583.70    583.60 :    1.000
T167  MVCIN m,m (10c)        :   1915.03   1914.72 :    1.000
