s370_perf_sum  -rat

File num: name ----------------------------------- #test w50-avr  w50-max
      01: 2018-01-03_rasp2b.dat                      205   0.69%     7.4%
      02: 2018-02-14_p390.dat                        203   3.60%    18.0%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T100  LR R,R                 :     28.98     57.15 :    1.972
T101  LA R,n                 :     49.77     58.54 :    1.176
T102  L R,m                  :    130.93    174.70 :    1.334
T103  L R,m (unal)           :    138.38    232.78 :    1.682
T104  LH R,m                 :    142.14    174.69 :    1.229
T105  LH R,m (unal3)         :    146.03    232.88 :    1.595
T106  LTR R,R                :     38.06     57.16 :    1.502
T107  LCR R,R                :     43.34     57.14 :    1.318
T108  LNR R,R                :     40.17    114.54 :    2.851
T109  LPR R,R                :     42.88    114.29 :    2.665
T110  ST R,m                 :    126.01    162.08 :    1.286
T111  ST R,m (unal)          :    138.13    331.37 :    2.399
T112  STH R,m                :    137.08    219.65 :    1.602
T113  STH R,m (unal1)        :    139.15    214.98 :    1.545
T114  STH R,m (unal3)        :    141.80    331.49 :    2.338
T115  STC R,m                :    126.51    161.87 :    1.280
T116  STCM R,i,m (0010)      :    324.37    241.67 :    0.745
T117  STCM R,i,m (1100)      :    341.75    241.25 :    0.706
T118  STCM R,i,m (0111)      :    300.49    241.96 :    0.805
T120  STM 2,3,m (2r)         :    168.02    236.79 :    1.409
T121  STM 2,7,m (6r)         :    237.84    466.82 :    1.963
T122  STM 14,12,m (15r)      :    357.29    987.86 :    2.765
T123  LM 2,3,m (2r)          :    159.46    233.23 :    1.463
T124  LM 2,7,m (6r)          :    211.84    466.95 :    2.204
T125  LM 0,11,m (12r)        :    264.18    813.90 :    3.081
T150  MVC m,m (10c)          :    313.42    727.44 :    2.321
T151  MVC m,m (100c)         :    497.30   3219.51 :    6.474
T152  MVC m,m (250c)         :    899.30   7695.92 :    8.558
T153  MVC m,m (250c,over1)   :   1140.84   2432.18 :    2.132
T154  MVC m,m (250c,over2)   :    864.65   4012.57 :    4.641
T156  MVCIN m,m (10c)        :   1257.75   1914.72 :    1.522
T157  MVCIN m,m (30c)        :   3528.11   5421.95 :    1.537
T158  MVCIN m,m (100c)       :  11462.09  17628.08 :    1.538
T160  MVI m,i                :    116.07    160.57 :    1.383
T161  MVN m,m (10c)          :    344.92   1070.30 :    3.103
T162  MVN m,m (30c)          :    526.64   1995.63 :    3.789
T165  MVZ m,m (10c)          :    344.56   1070.23 :    3.106
T166  MVZ m,m (30c)          :    526.49   1995.56 :    3.790
T170  4*LA;MVCL (10b)        :    667.67   1098.04 :    1.645
T171  4*LA;MVCL (100b)       :    863.43   2385.25 :    2.763
T172  4*LA;MVCL (250b)       :   1200.55   4604.73 :    3.836
T173  4*LA;MVCL (1kb)        :   2939.44  17218.94 :    5.858
T174  4*LR;MVCL (4kb)        :  10040.63  61368.14 :    6.112
T175  4*LA;MVCL (100b,pad)   :    548.25   1961.70 :    3.578
T176  4*LA;MVCL (1kb,pad)    :    883.11   8841.09 :   10.011
T177  4*LA;MVCL (4kb,pad)    :   2530.81  31875.49 :   12.595
T178  4*LA;MVCL (1kb,over1)  :    371.80   1092.89 :    2.939
T179  4*LA;MVCL (1kb,over2)  :   3030.62  32984.98 :   10.884
T190  IC R,m                 :    131.27    174.63 :    1.330
T191  ICM R,i,m (0010)       :    303.10    291.14 :    0.961
T192  ICM R,i,m (1100)       :    303.14    289.89 :    0.956
T193  ICM R,i,m (0111)       :    139.80    289.87 :    2.073
T200  AR R,R                 :     44.18     57.42 :    1.300
T201  A R,m                  :    151.87    174.64 :    1.150
T202  AH R,m                 :    154.81    174.82 :    1.129
T203  ALR R,R                :     35.68     57.35 :    1.607
T204  AL R,m                 :    147.54    174.68 :    1.184
T210  MR R,R                 :     49.93    402.44 :    8.060
T211  M R,m                  :    154.53    521.57 :    3.375
T212  MH R,m                 :    149.61    465.18 :    3.109
T215  XR R,R; DR R,R         :    539.18    576.39 :    1.069
T216  XR R,R; D R,m          :    634.54    692.51 :    1.091
T220  SLA R,1                :     75.88    232.55 :    3.065
T221  SLDA R,1               :     93.97    432.16 :    4.599
T222  SRA R,1                :     62.95    175.29 :    2.785
T223  SRDA R,1               :     80.70    459.25 :    5.691
T224  SRA R,30               :     63.05    175.68 :    2.786
T225  SRDA R,60              :     80.57    459.26 :    5.700
T230  XR R,R                 :     39.06     57.39 :    1.469
T231  X R,m                  :    145.38    174.67 :    1.201
T232  XI m,i                 :    130.50    220.73 :    1.691
T235  XC m,m (10c)           :    325.38    762.22 :    2.343
T236  XC m,m (100c)          :   1134.85   4089.76 :    3.604
T237  XC m,m (250c)          :   2480.54  11291.50 :    4.552
T238  NR R,R                 :     39.05     57.15 :    1.464
T239  OR R,R                 :     39.04     57.40 :    1.470
T240  SLL R,1                :     60.27    175.29 :    2.908
T241  SLDL R,1               :     73.71    345.05 :    4.681
T242  SRL R,1                :     60.45    175.68 :    2.906
T243  SRDL R,1               :     72.62    345.09 :    4.752
T244  SLL R,30               :     60.31    175.67 :    2.913
T245  SLDL R,60              :     73.74    345.08 :    4.680
T250  TM m,i                 :    123.18    174.70 :    1.418
T252  TR m,m (10c)           :    499.04   1873.80 :    3.755
T253  TR m,m (100c)          :   2111.37  15270.38 :    7.232
T254  TR m,m (250c)          :   4790.02  36945.38 :    7.713
T255  TRT m,m (10c,zero)     :   1406.46   1751.13 :    1.245
T256  TRT m,m (100c,zero)    :  13337.17  14793.50 :    1.109
T257  TRT m,m (250c,zero)    :  33188.43  36843.45 :    1.110
T258  TRT m,m (250c,10b)     :   1557.74   2039.50 :    1.309
T259  TRT m,m (250c,100b)    :  13479.28  15069.38 :    1.118
T260  CR R,R                 :     38.04     57.35 :    1.508
T261  C R,m                  :    144.63    174.64 :    1.207
T262  CH R,m                 :    147.20    175.26 :    1.191
T263  CLR R,R                :     32.40     57.14 :    1.764
T264  CL R,m                 :    135.59    174.65 :    1.288
T265  CLI m,i                :    125.98    175.05 :    1.390
T266  CLM R,i,m              :    189.20    232.19 :    1.227
T270  CLC m,m (10c,eq)       :    306.63    524.10 :    1.709
T271  CLC m,m (10c,ne)       :    285.17    349.95 :    1.227
T272  CLC m,m (30c,eq)       :    338.99    349.57 :    1.031
T273  CLC m,m (30c,ne)       :    290.54    350.10 :    1.205
T274  CLC m,m (100c,eq)      :    433.56   1747.92 :    4.032
T275  CLC m,m (100c,ne)      :    289.81    354.00 :    1.221
T276  CLC m,m (250c,eq)      :    669.14   3982.42 :    5.952
T277  CLC m,m (250c,ne)      :    277.81    354.03 :    1.274
T280  4*LA;CLCL (100b,10b)   :   1959.20   1736.82 :    0.886
T281  4*LA;CLCL (4kb,10b)    :   1998.14   1794.62 :    0.898
T282  4*LA;CLCL (4kb,100b)   :  15852.56   4291.60 :    0.271
T283  4*LA;CLCL (4kb,250b)   :  38931.74   8804.80 :    0.226
T290  LR;CS R,R,m (eq,eq)    :    549.09    585.45 :    1.066
T291  LR;CS R,R,m (eq,ne)    :    548.97    583.15 :    1.062
T292  LR;CS R,R,m (ne)       :   2531.27    523.04 :    0.207
T295  LR;CDS R,R,m (eq,eq)   :    577.13    583.60 :    1.011
T296  LR;CDS R,R,m (eq,ne)   :    578.86    579.95 :    1.002
T297  LR;CDS R,R,m (ne)      :   2551.08    522.37 :    0.205
T300  BCR 0,0 (noop)         :     33.53     57.33 :    1.710
T301  BNZ l (no br)          :     35.83     58.34 :    1.628
T302  BNZ l (do br)          :     62.19    240.50 :    3.867
T303  BNZ l (do br, far)     :    239.17    240.56 :    1.006
T310  BCTR R,0               :     44.53     57.14 :    1.283
T311  BCTR R,R               :     56.68    114.19 :    2.015
T312  BCT R,l                :     76.91    289.31 :    3.762
T315  BXLE R,R,l             :     77.06    288.97 :    3.750
T320  BALR R,R; BR R         :    122.40    458.26 :    3.744
