s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-03-31_sys2.dat                        330   0.89%     4.5%
      02: 2018-03-31_sys2-1cpu.dat                   330   0.21%     7.5%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D292  CS R,R,m (ne)          :    174.66     15.30 :    0.088
D297  CDS R,R,m (ne)         :    176.49     17.47 :    0.099
D621  TS m (ones)            :    174.69     18.01 :    0.103
D290  CS R,R,m (eq,eq)       :     36.80     13.87 :    0.377
D291  CS R,R,m (eq,ne)       :     36.84     13.98 :    0.379
D296  CDS R,R,m (eq,ne)      :     39.40     15.30 :    0.388
D295  CDS R,R,m (eq,eq)      :     39.36     15.36 :    0.390
D620  TS m (zero)            :     34.56     14.56 :    0.421
T210  MR R,R                 :      5.75      5.67 :    0.986
T500  LER R,R                :      5.54      5.48 :    0.989
T100  LR R,R                 :      2.09      2.07 :    0.990
T244  SLL R,30               :      4.32      4.28 :    0.991
D411  ED (30c)               :    389.96    386.76 :    0.992
T422  SP m,m (10d)           :    223.74    221.93 :    0.992
T222  SRA R,1                :      5.14      5.10 :    0.992
T240  SLL R,1                :      4.31      4.28 :    0.993
D176  MVCL (1kb,pad)         :     36.18     35.93 :    0.993
T552  AWR R,R                :     12.15     12.07 :    0.993
D177  MVCL (4kb,pad)         :     97.64     97.00 :    0.993
T305  BR R (far)             :     10.73     10.66 :    0.993
T161  MVN m,m (10c)          :     20.06     19.93 :    0.994
T230  XR R,R                 :      3.20      3.18 :    0.994
T543  SD R,m                 :     20.98     20.85 :    0.994
D320  BALR R,R               :      6.61      6.57 :    0.994
T522  AUR R,R                :     10.01      9.95 :    0.994
T202  AH R,m                 :     10.03      9.97 :    0.994
D324  BASR R,R               :      6.79      6.75 :    0.994
T124  LM 2,7,m (6r)          :     15.28     15.19 :    0.994
T224  SRA R,30               :      5.13      5.10 :    0.994
T533  LTDR R,R               :      5.18      5.15 :    0.994
T111  ST R,m (unal)          :      8.65      8.60 :    0.994
T239  OR R,R                 :      3.55      3.53 :    0.994
T311  BCTR R,R               :      7.11      7.07 :    0.994
T120  STM 2,3,m (2r)         :     11.02     10.96 :    0.995
T537  LRDR R,R               :      7.38      7.34 :    0.995
T521  CE R,m                 :     16.78     16.69 :    0.995
T515  ME R,m                 :     15.06     14.98 :    0.995
T553  HDR R,R                :      7.56      7.52 :    0.995
T502  LE R,m (unal)          :      9.57      9.52 :    0.995
T241  SLDL R,1               :      5.78      5.75 :    0.995
T243  SRDL R,1               :      5.78      5.75 :    0.995
T205  SR R,R                 :      3.86      3.84 :    0.995
T538  STD R,m                :      9.84      9.79 :    0.995
T550  CDR R,R                :     11.94     11.88 :    0.995
D415  EDMK (10c)             :    132.04    131.38 :    0.995
T514  MER R,R                :     10.06     10.01 :    0.995
T544  MDR R,R                :     16.37     16.29 :    0.995
D170  MVCL (10b)             :     24.92     24.80 :    0.995
T237  XC m,m (250c)          :    225.18    224.10 :    0.995
T223  SRDA R,1               :      6.26      6.23 :    0.995
T225  SRDA R,60              :      6.26      6.23 :    0.995
T523  HER R,R                :      6.27      6.24 :    0.995
T166  MVZ m,m (30c)          :     33.75     33.59 :    0.995
T162  MVN m,m (30c)          :     33.78     33.62 :    0.995
T315  BXLE R,R,l             :      8.58      8.54 :    0.995
T220  SLA R,1                :      6.47      6.44 :    0.995
T511  AE R,m                 :     19.59     19.50 :    0.995
T520  CER R,R                :     10.98     10.93 :    0.995
T542  SDR R,R                :     15.53     15.46 :    0.995
T513  SE R,m                 :     19.97     19.88 :    0.995
T190  IC R,m                 :      8.98      8.94 :    0.996
T123  LM 2,3,m (2r)          :     11.30     11.25 :    0.996
T551  CD R,m                 :     18.15     18.07 :    0.996
T508  STE R,m                :      9.14      9.10 :    0.996
T262  CH R,m                 :      9.15      9.11 :    0.996
D179  MVCL (1kb,over2)       :    103.63    103.18 :    0.996
T201  A R,m                  :      9.33      9.29 :    0.996
T152  MVC m,m (15c)          :     19.15     19.07 :    0.996
T509  STE R,m (unal)         :      9.71      9.67 :    0.996
T512  SER R,R                :     14.64     14.58 :    0.996
T232  XI m,i                 :      9.77      9.73 :    0.996
D215  DR R,R                 :     14.72     14.66 :    0.996
T539  STD R,m (unal)         :      9.83      9.79 :    0.996
T300  BCR 0,0 (noop)         :      2.49      2.48 :    0.996
T102  L R,m                  :      7.47      7.44 :    0.996
T531  LD R,m                 :      9.99      9.95 :    0.996
T165  MVZ m,m (10c)          :     20.02     19.94 :    0.996
T503  LTER R,R               :      5.01      4.99 :    0.996
T263  CLR R,R                :      2.51      2.50 :    0.996
T193  ICM R,i,m (0111)       :     12.57     12.52 :    0.996
T110  ST R,m                 :      7.71      7.68 :    0.996
T425  MP m,m (30d)           :    277.56    276.48 :    0.996
T540  ADR R,R                :     15.43     15.37 :    0.996
T303  BNZ l (do br, far)     :     12.88     12.83 :    0.996
T264  CL R,m                 :      7.74      7.71 :    0.996
T204  AL R,m                 :     10.39     10.35 :    0.996
T534  LCDR R,R               :      5.20      5.18 :    0.996
