s370_perf_sum  -rat  -i   -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-03-31_sys2.dat                        330   0.89%     4.5%
      02: 2018-03-04_sys2.dat                        303   0.78%     3.8%
      03: 2018-01-13_sys2-b.dat                      233   0.81%     3.2%

Tag   Comment                :     tpi01     tpi02     tpi03 :  t02/t01  t03/t01
T100  LR R,R                 :      2.09      2.09      2.09 :    1.000    1.000
T101  LA R,n                 :      2.77      2.76      2.78 :    0.996    1.004
T102  L R,m                  :      7.47      7.53      7.50 :    1.008    1.004
T103  L R,m (unal)           :      8.60      8.61      8.59 :    1.001    0.999
T104  LH R,m                 :      9.09      9.13      9.08 :    1.004    0.999
T105  LH R,m (unal3)         :      9.48      9.54      9.47 :    1.006    0.999
T106  LTR R,R                :      3.52      3.53      3.52 :    1.003    1.000
T107  LCR R,R                :      3.65      3.62      3.60 :    0.992    0.986
T108  LNR R,R                :      3.22      3.22      3.24 :    1.000    1.006
T109  LPR R,R                :      3.79      3.79      3.78 :    1.000    0.997
T110  ST R,m                 :      7.71      7.74      7.68 :    1.004    0.996
T111  ST R,m (unal)          :      8.65      8.73      8.58 :    1.009    0.992
T112  STH R,m                :      9.47      9.56      9.50 :    1.010    1.003
T113  STH R,m (unal1)        :      9.40      9.38      9.39 :    0.998    0.999
T114  STH R,m (unal3)        :      9.35      9.37      9.37 :    1.002    1.002
T115  STC R,m                :      8.83      8.79      8.83 :    0.995    1.000
T116  STCM R,i,m (0010)      :     12.30     12.27     12.31 :    0.998    1.001
T117  STCM R,i,m (1100)      :     13.36     13.39     13.42 :    1.002    1.004
T118  STCM R,i,m (0111)      :      9.81      9.75      9.81 :    0.994    1.000
T120  STM 2,3,m (2r)         :     11.02     11.04     11.05 :    1.002    1.003
T121  STM 2,7,m (6r)         :     14.38     14.45     14.45 :    1.005    1.005
T122  STM 14,12,m (15r)      :     19.73     19.69     19.73 :    0.998    1.000
T123  LM 2,3,m (2r)          :     11.30     11.32     11.33 :    1.002    1.003
T124  LM 2,7,m (6r)          :     15.28     15.29     15.23 :    1.001    0.997
T125  LM 0,11,m (12r)        :     20.33     20.28     20.31 :    0.998    0.999
T151  MVC m,m (10c)          :     20.01     20.15     20.11 :    1.007    1.005
T154  MVC m,m (100c)         :     23.10     23.16     23.05 :    1.003    0.998
