s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-03-31_sys2.dat                        330   0.89%     4.5%
      02: 2018-04-01_nbk1.dat                        330   0.64%     2.0%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T500  LER R,R                :      5.54      4.35 :    0.785
T530  LDR R,R                :      5.70      4.66 :    0.818
T210  MR R,R                 :      5.75      4.75 :    0.826
T238  NR R,R                 :      3.56      3.18 :    0.893
T239  OR R,R                 :      3.55      3.18 :    0.896
D322  BAL R,R                :      8.62      7.91 :    0.918
T506  LPER R,R               :      5.68      5.23 :    0.921
T242  SRL R,1                :      4.47      4.18 :    0.935
T601  SPM R                  :      2.79      2.62 :    0.939
D320  BALR R,R               :      6.61      6.21 :    0.939
T505  LNER R,R               :      5.11      4.81 :    0.941
D324  BASR R,R               :      6.79      6.42 :    0.946
T224  SRA R,30               :      5.13      4.87 :    0.949
T553  HDR R,R                :      7.56      7.19 :    0.951
T222  SRA R,1                :      5.14      4.89 :    0.951
T310  BCTR R,0               :      3.55      3.40 :    0.958
T537  LRDR R,R               :      7.38      7.07 :    0.958
T111  ST R,m (unal)          :      8.65      8.30 :    0.960
T262  CH R,m                 :      9.15      8.78 :    0.960
T207  SH R,m                 :     10.58     10.17 :    0.961
T107  LCR R,R                :      3.65      3.51 :    0.962
D175  MVCL (100b,pad)        :     19.89     19.13 :    0.962
T503  LTER R,R               :      5.01      4.82 :    0.962
T507  LRER R,R               :      6.17      5.94 :    0.963
T241  SLDL R,1               :      5.78      5.57 :    0.964
T243  SRDL R,1               :      5.78      5.58 :    0.965
T240  SLL R,1                :      4.31      4.17 :    0.968
T401  CVD R,m                :     36.04     34.91 :    0.969
T245  SLDL R,60              :      5.77      5.59 :    0.969
T244  SLL R,30               :      4.32      4.19 :    0.970
T535  LNDR R,R               :      5.45      5.30 :    0.972
T110  ST R,m                 :      7.71      7.50 :    0.973
T257  TRT m,m (250c,zero)    :   1936.51   1888.91 :    0.975
T259  TRT m,m (250c,100b)    :    799.32    780.30 :    0.976
T542  SDR R,R                :     15.53     15.17 :    0.977
T212  MH R,m                 :     10.02      9.79 :    0.977
T541  AD R,m                 :     20.65     20.18 :    0.977
T265  CLI m,i                :      9.79      9.57 :    0.978
T256  TRT m,m (100c,zero)    :    782.46    765.04 :    0.978
T510  AER R,R                :     14.56     14.25 :    0.979
T515  ME R,m                 :     15.06     14.74 :    0.979
T531  LD R,m                 :      9.99      9.79 :    0.980
T311  BCTR R,R               :      7.11      6.97 :    0.980
T201  A R,m                  :      9.33      9.15 :    0.981
T261  C R,m                  :      8.70      8.54 :    0.982
T202  AH R,m                 :     10.03      9.86 :    0.983
D325  BAS R,R                :      8.57      8.44 :    0.985
T206  S R,m                  :      9.89      9.75 :    0.986
T125  LM 0,11,m (12r)        :     20.33     20.05 :    0.986
T540  ADR R,R                :     15.43     15.22 :    0.986
T544  MDR R,R                :     16.37     16.15 :    0.987
T501  LE R,m                 :      9.22      9.10 :    0.987
T112  STH R,m                :      9.47      9.35 :    0.987
T552  AWR R,R                :     12.15     12.01 :    0.988
T255  TRT m,m (10c,zero)     :     84.11     83.15 :    0.989
T106  LTR R,R                :      3.52      3.48 :    0.989
T404  UNPK m,m (5d)          :     42.84     42.37 :    0.989
T221  SLDA R,1               :      7.43      7.35 :    0.989
T209  SL R,m                 :     10.60     10.49 :    0.990
T258  TRT m,m (250c,10b)     :     93.44     92.53 :    0.990
T225  SRDA R,60              :      6.26      6.20 :    0.990
T190  IC R,m                 :      8.98      8.90 :    0.991
T104  LH R,m                 :      9.09      9.01 :    0.991
T403  PACK m,m (15d)         :     96.11     95.32 :    0.992
T512  SER R,R                :     14.64     14.52 :    0.992
T402  PACK m,m (5d)          :     38.52     38.21 :    0.992
T223  SRDA R,1               :      6.26      6.21 :    0.992
T523  HER R,R                :      6.27      6.22 :    0.992
D170  MVCL (10b)             :     24.92     24.74 :    0.993
T405  UNPK m,m (15d)         :    102.57    101.98 :    0.994
T539  STD R,m (unal)         :      9.83      9.78 :    0.995
T121  STM 2,7,m (6r)         :     14.38     14.31 :    0.995
T103  L R,m (unal)           :      8.60      8.56 :    0.995
T114  STH R,m (unal3)        :      9.35      9.31 :    0.996
T561  MXR R,R                :     29.68     29.56 :    0.996
T513  SE R,m                 :     19.97     19.89 :    0.996
T113  STH R,m (unal1)        :      9.40      9.37 :    0.997
T230  XR R,R                 :      3.20      3.19 :    0.997
T532  LD R,m (unal)          :      9.87      9.84 :    0.997
T204  AL R,m                 :     10.39     10.36 :    0.997
T124  LM 2,7,m (6r)          :     15.28     15.24 :    0.997
T264  CL R,m                 :      7.74      7.72 :    0.997
T536  LPDR R,R               :      5.32      5.31 :    0.998
T102  L R,m                  :      7.47      7.47 :    1.000
T108  LNR R,R                :      3.22      3.22 :    1.000
T220  SLA R,1                :      6.47      6.47 :    1.000
T160  MVI m,i                :      7.91      7.93 :    1.003
T115  STC R,m                :      8.83      8.86 :    1.003
T514  MER R,R                :     10.06     10.10 :    1.004
T511  AE R,m                 :     19.59     19.68 :    1.005
T538  STD R,m                :      9.84      9.89 :    1.005
T231  X R,m                  :      9.39      9.44 :    1.005
T312  BCT R,l                :      8.41      8.46 :    1.006
T232  XI m,i                 :      9.77      9.83 :    1.006
T560  AXR R,R                :     25.66     25.82 :    1.006
T522  AUR R,R                :     10.01     10.08 :    1.007
T551  CD R,m                 :     18.15     18.29 :    1.008
T545  MD R,m                 :     22.32     22.52 :    1.009
T167  MVCIN m,m (10c)        :     73.19     73.87 :    1.009
T508  STE R,m                :      9.14      9.23 :    1.010
T533  LTDR R,R               :      5.18      5.24 :    1.012
T109  LPR R,R                :      3.79      3.84 :    1.013
T534  LCDR R,R               :      5.20      5.27 :    1.013
T450  MVO m,m (10d)          :     49.91     50.61 :    1.014
T502  LE R,m (unal)          :      9.57      9.71 :    1.015
T521  CE R,m                 :     16.78     17.04 :    1.015
D178  MVCL (1kb,over1)       :     10.77     10.95 :    1.017
T168  MVCIN m,m (30c)        :    204.04    207.50 :    1.017
D171  MVCL (100b)            :     31.79     32.34 :    1.017
D610  EX R,i (bare, via TM)  :     21.75     22.13 :    1.017
T504  LCER R,R               :      4.84      4.93 :    1.019
T118  STCM R,i,m (0111)      :      9.81     10.00 :    1.019
T451  MVO m,m (30d)          :    129.11    131.67 :    1.020
T169  MVCIN m,m (100c)       :    667.17    680.48 :    1.020
T120  STM 2,3,m (2r)         :     11.02     11.24 :    1.020
T543  SD R,m                 :     20.98     21.41 :    1.020
T517  DE R,m                 :     24.95     25.48 :    1.021
T200  AR R,R                 :      3.40      3.48 :    1.024
T610  EX R,i (with TM)       :     30.57     31.29 :    1.024
T203  ALR R,R                :      2.81      2.88 :    1.025
T315  BXLE R,R,l             :      8.58      8.80 :    1.026
T266  CLM R,i,m              :     12.30     12.64 :    1.028
T509  STE R,m (unal)         :      9.71      9.98 :    1.028
T208  SLR R,R                :      2.87      2.95 :    1.028
D176  MVCL (1kb,pad)         :     36.18     37.21 :    1.028
D295  CDS R,R,m (eq,eq)      :     39.36     40.57 :    1.031
T123  LM 2,3,m (2r)          :     11.30     11.65 :    1.031
D411  ED (30c)               :    389.96    402.09 :    1.031
T205  SR R,R                 :      3.86      3.99 :    1.034
D296  CDS R,R,m (eq,ne)      :     39.40     40.81 :    1.036
T304  BR R                   :      6.70      6.94 :    1.036
T446  SRP m,i,i (30d,>>)     :    187.37    194.25 :    1.037
T425  MP m,m (30d)           :    277.56    288.01 :    1.038
T305  BR R (far)             :     10.73     11.14 :    1.038
T250  TM m,i                 :      8.82      9.16 :    1.039
T520  CER R,R                :     10.98     11.42 :    1.040
T550  CDR R,R                :     11.94     12.44 :    1.042
T424  MP m,m (10d)           :    277.65    290.00 :    1.044
D216  D R,m                  :     20.20     21.10 :    1.045
D172  MVCL (250b)            :     40.94     42.81 :    1.046
T302  BNZ l (do br)          :      7.16      7.49 :    1.046
T211  M R,m                  :      9.94     10.40 :    1.046
T152  MVC m,m (15c)          :     19.15     20.04 :    1.046
T151  MVC m,m (10c)          :     20.01     20.98 :    1.048
D620  TS m (zero)            :     34.56     36.26 :    1.049
T193  ICM R,i,m (0111)       :     12.57     13.20 :    1.050
D415  EDMK (10c)             :    132.04    138.86 :    1.052
T547  DD R,m                 :    156.37    164.48 :    1.052
T611  EX R,i (with XI)       :     30.62     32.24 :    1.053
D215  DR R,R                 :     14.72     15.50 :    1.053
D410  ED (10c)               :    129.41    136.42 :    1.054
D427  DP m,m (30d)           :   1030.89   1087.62 :    1.055
T150  MVC m,m (5c)           :     17.66     18.66 :    1.057
T400  CVB R,m                :     38.90     41.11 :    1.057
T442  ZAP m,m (10d,30d)      :    100.87    106.76 :    1.058
T153  MVC m,m (30c)          :     19.73     20.89 :    1.059
T441  ZAP m,m (30d,30d)      :    100.61    106.53 :    1.059
T440  ZAP m,m (10d,10d)      :    100.57    106.51 :    1.059
T443  ZAP m,m (30d,10d)      :    100.39    106.42 :    1.060
T546  DDR R,R                :    152.40    161.71 :    1.061
T303  BNZ l (do br, far)     :     12.88     13.69 :    1.063
D290  CS R,R,m (eq,eq)       :     36.80     39.18 :    1.065
T154  MVC m,m (100c)         :     23.10     24.62 :    1.066
D179  MVCL (1kb,over2)       :    103.63    110.51 :    1.066
D426  DP m,m (10d)           :    442.87    472.57 :    1.067
T122  STM 14,12,m (15r)      :     19.73     21.08 :    1.068
D280  CLCL (100b,10b)        :     98.28    105.08 :    1.069
D291  CS R,R,m (eq,ne)       :     36.84     39.40 :    1.069
T273  CLC m,m (30c,ne)       :     30.05     32.20 :    1.072
D281  CLCL (4kb,10b)         :    100.88    108.22 :    1.073
T275  CLC m,m (100c,ne)      :     30.00     32.19 :    1.073
T277  CLC m,m (250c,ne)      :     30.00     32.20 :    1.073
D611  EX R,i (bare, via XI)  :     20.85     22.40 :    1.074
D177  MVCL (4kb,pad)         :     97.64    104.91 :    1.074
T271  CLC m,m (10c,ne)       :     29.99     32.31 :    1.077
T422  SP m,m (10d)           :    223.74    241.35 :    1.079
T421  AP m,m (30d)           :    217.21    234.32 :    1.079
T420  AP m,m (10d)           :    221.84    239.32 :    1.079
T430  CP m,m (10d)           :    157.86    170.35 :    1.079
D321  BALR R,R (far)         :     29.02     31.37 :    1.081
T192  ICM R,i,m (1100)       :     16.48     17.82 :    1.081
T431  CP m,m (30d)           :    158.00    170.96 :    1.082
T191  ICM R,i,m (0010)       :     15.87     17.18 :    1.083
T156  MVC m,m (250c,over1)   :    351.62    381.12 :    1.084
T105  LH R,m (unal3)         :      9.48     10.29 :    1.085
T100  LR R,R                 :      2.09      2.27 :    1.086
T445  SRP m,i,i (30d,<<)     :    126.09    136.97 :    1.086
T235  XC m,m (10c)           :     22.35     24.37 :    1.090
T161  MVN m,m (10c)          :     20.06     21.88 :    1.091
