s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-03-31_sys2.dat                        330   0.89%     4.5%
      02: 2018-04-01_nbk2.dat                        330   2.28%    22.1%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T601  SPM R                  :      2.79      2.35 :    0.842
T210  MR R,R                 :      5.75      6.34 :    1.103
T500  LER R,R                :      5.54      6.44 :    1.162
T530  LDR R,R                :      5.70      6.97 :    1.223
D325  BAS R,R                :      8.57     11.06 :    1.291
D322  BAL R,R                :      8.62     11.14 :    1.292
T238  NR R,R                 :      3.56      4.66 :    1.309
T239  OR R,R                 :      3.55      4.66 :    1.313
D320  BALR R,R               :      6.61      8.72 :    1.319
T273  CLC m,m (30c,ne)       :     30.05     40.32 :    1.342
T271  CLC m,m (10c,ne)       :     29.99     40.24 :    1.342
T277  CLC m,m (250c,ne)      :     30.00     40.38 :    1.346
T275  CLC m,m (100c,ne)      :     30.00     40.41 :    1.347
D324  BASR R,R               :      6.79      9.18 :    1.352
D295  CDS R,R,m (eq,eq)      :     39.36     53.27 :    1.353
D296  CDS R,R,m (eq,ne)      :     39.40     53.43 :    1.356
D610  EX R,i (bare, via TM)  :     21.75     29.74 :    1.367
T242  SRL R,1                :      4.47      6.12 :    1.369
T109  LPR R,R                :      3.79      5.20 :    1.372
T310  BCTR R,0               :      3.55      4.88 :    1.375
T311  BCTR R,R               :      7.11      9.78 :    1.376
T304  BR R                   :      6.70      9.22 :    1.376
D620  TS m (zero)            :     34.56     47.77 :    1.382
T220  SLA R,1                :      6.47      9.07 :    1.402
T516  DER R,R                :     20.30     28.51 :    1.404
T513  SE R,m                 :     19.97     28.09 :    1.407
T223  SRDA R,1               :      6.26      8.84 :    1.412
D291  CS R,R,m (eq,ne)       :     36.84     52.09 :    1.414
T270  CLC m,m (10c,eq)       :     34.19     48.35 :    1.414
T200  AR R,R                 :      3.40      4.81 :    1.415
T272  CLC m,m (30c,eq)       :     45.29     64.12 :    1.416
T107  LCR R,R                :      3.65      5.17 :    1.416
T225  SRDA R,60              :      6.26      8.88 :    1.419
T240  SLL R,1                :      4.31      6.12 :    1.420
D290  CS R,R,m (eq,eq)       :     36.80     52.35 :    1.423
T512  SER R,R                :     14.64     20.90 :    1.428
T540  ADR R,R                :     15.43     22.03 :    1.428
T244  SLL R,30               :      4.32      6.17 :    1.428
T517  DE R,m                 :     24.95     35.67 :    1.430
D611  EX R,i (bare, via XI)  :     20.85     29.91 :    1.435
T542  SDR R,R                :     15.53     22.28 :    1.435
T510  AER R,R                :     14.56     20.89 :    1.435
T506  LPER R,R               :      5.68      8.15 :    1.435
T222  SRA R,1                :      5.14      7.38 :    1.436
T276  CLC m,m (250c,eq)      :    165.90    238.25 :    1.436
T192  ICM R,i,m (1100)       :     16.48     23.68 :    1.437
T224  SRA R,30               :      5.13      7.38 :    1.439
T274  CLC m,m (100c,eq)      :     83.62    120.37 :    1.439
D215  DR R,R                 :     14.72     21.19 :    1.440
T315  BXLE R,R,l             :      8.58     12.36 :    1.441
T610  EX R,i (with TM)       :     30.57     44.17 :    1.445
T230  XR R,R                 :      3.20      4.66 :    1.456
T551  CD R,m                 :     18.15     26.44 :    1.457
T193  ICM R,i,m (0111)       :     12.57     18.32 :    1.457
T543  SD R,m                 :     20.98     30.70 :    1.463
T156  MVC m,m (250c,over1)   :    351.62    515.47 :    1.466
T546  DDR R,R                :    152.40    223.51 :    1.467
T312  BCT R,l                :      8.41     12.34 :    1.467
T101  LA R,n                 :      2.77      4.08 :    1.473
D176  MVCL (1kb,pad)         :     36.18     53.35 :    1.475
T106  LTR R,R                :      3.52      5.21 :    1.480
T545  MD R,m                 :     22.32     33.04 :    1.480
T541  AD R,m                 :     20.65     30.57 :    1.480
T505  LNER R,R               :      5.11      7.57 :    1.481
T108  LNR R,R                :      3.22      4.78 :    1.484
T547  DD R,m                 :    156.37    232.14 :    1.485
T243  SRDL R,1               :      5.78      8.60 :    1.488
T209  SL R,m                 :     10.60     15.80 :    1.491
T241  SLDL R,1               :      5.78      8.63 :    1.493
T245  SLDL R,60              :      5.77      8.62 :    1.494
T221  SLDA R,1               :      7.43     11.10 :    1.494
D216  D R,m                  :     20.20     30.24 :    1.497
T521  CE R,m                 :     16.78     25.15 :    1.499
T300  BCR 0,0 (noop)         :      2.49      3.74 :    1.502
T514  MER R,R                :     10.06     15.13 :    1.504
T522  AUR R,R                :     10.01     15.08 :    1.506
T511  AE R,m                 :     19.59     29.53 :    1.507
T553  HDR R,R                :      7.56     11.41 :    1.509
T207  SH R,m                 :     10.58     16.03 :    1.515
T544  MDR R,R                :     16.37     24.85 :    1.518
T560  AXR R,R                :     25.66     38.98 :    1.519
T191  ICM R,i,m (0010)       :     15.87     24.13 :    1.520
D177  MVCL (4kb,pad)         :     97.64    149.11 :    1.527
T204  AL R,m                 :     10.39     15.88 :    1.528
T302  BNZ l (do br)          :      7.16     10.95 :    1.529
T611  EX R,i (with XI)       :     30.62     46.85 :    1.530
T117  STCM R,i,m (1100)      :     13.36     20.61 :    1.543
T520  CER R,R                :     10.98     16.95 :    1.544
T552  AWR R,R                :     12.15     18.80 :    1.547
