s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-03-31_sys2.dat                        330   0.89%     4.5%
      02: 2018-04-01_sys1-08.dat                     330   0.52%     6.2%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D321  BALR R,R (far)         :     29.02     21.51 :    0.741
T500  LER R,R                :      5.54      5.40 :    0.975
T530  LDR R,R                :      5.70      5.84 :    1.025
T311  BCTR R,R               :      7.11      7.29 :    1.025
T304  BR R                   :      6.70      6.99 :    1.043
D324  BASR R,R               :      6.79      7.31 :    1.077
T210  MR R,R                 :      5.75      6.26 :    1.089
D320  BALR R,R               :      6.61      7.21 :    1.091
T506  LPER R,R               :      5.68      6.21 :    1.093
T238  NR R,R                 :      3.56      3.96 :    1.112
T239  OR R,R                 :      3.55      3.96 :    1.115
T505  LNER R,R               :      5.11      5.82 :    1.139
T106  LTR R,R                :      3.52      4.04 :    1.148
T312  BCT R,l                :      8.41      9.87 :    1.174
T516  DER R,R                :     20.30     23.84 :    1.174
D322  BAL R,R                :      8.62     10.41 :    1.208
T503  LTER R,R               :      5.01      6.10 :    1.218
T108  LNR R,R                :      3.22      3.97 :    1.233
T230  XR R,R                 :      3.20      3.95 :    1.234
T315  BXLE R,R,l             :      8.58     10.63 :    1.239
T200  AR R,R                 :      3.40      4.22 :    1.241
T546  DDR R,R                :    152.40    189.99 :    1.247
D325  BAS R,R                :      8.57     10.69 :    1.247
T205  SR R,R                 :      3.86      4.85 :    1.256
T547  DD R,m                 :    156.37    197.15 :    1.261
D174  MVCL (4kb)             :    325.75    412.89 :    1.268
T156  MVC m,m (250c,over1)   :    351.62    449.07 :    1.277
T504  LCER R,R               :      4.84      6.19 :    1.279
T254  TR m,m (250c)          :    151.23    193.85 :    1.282
T535  LNDR R,R               :      5.45      7.00 :    1.284
T107  LCR R,R                :      3.65      4.70 :    1.288
T512  SER R,R                :     14.64     18.87 :    1.289
T270  CLC m,m (10c,eq)       :     34.19     44.09 :    1.290
T510  AER R,R                :     14.56     18.86 :    1.295
T553  HDR R,R                :      7.56      9.80 :    1.296
T520  CER R,R                :     10.98     14.29 :    1.301
T522  AUR R,R                :     10.01     13.03 :    1.302
T560  AXR R,R                :     25.66     33.47 :    1.304
D610  EX R,i (bare, via TM)  :     21.75     28.43 :    1.307
T302  BNZ l (do br)          :      7.16      9.38 :    1.310
T517  DE R,m                 :     24.95     32.69 :    1.310
T542  SDR R,R                :     15.53     20.35 :    1.310
T523  HER R,R                :      6.27      8.22 :    1.311
T109  LPR R,R                :      3.79      4.97 :    1.311
D173  MVCL (1kb)             :     96.68    127.23 :    1.316
T300  BCR 0,0 (noop)         :      2.49      3.28 :    1.317
T550  CDR R,R                :     11.94     15.77 :    1.321
T203  ALR R,R                :      2.81      3.73 :    1.327
D611  EX R,i (bare, via XI)  :     20.85     27.77 :    1.332
T536  LPDR R,R               :      5.32      7.10 :    1.335
T237  XC m,m (250c)          :    225.18    300.54 :    1.335
T540  ADR R,R                :     15.43     20.60 :    1.335
T208  SLR R,R                :      2.87      3.84 :    1.338
T253  TR m,m (100c)          :     69.62     93.34 :    1.341
T236  XC m,m (100c)          :    101.14    135.69 :    1.342
D323  BAL R,R (far)          :     16.18     21.76 :    1.345
T544  MDR R,R                :     16.37     22.08 :    1.349
T514  MER R,R                :     10.06     13.57 :    1.349
T259  TRT m,m (250c,100b)    :    799.32   1082.15 :    1.354
T552  AWR R,R                :     12.15     16.51 :    1.359
T257  TRT m,m (250c,zero)    :   1936.51   2632.79 :    1.360
T533  LTDR R,R               :      5.18      7.05 :    1.361
T551  CD R,m                 :     18.15     24.71 :    1.361
T534  LCDR R,R               :      5.20      7.08 :    1.362
T256  TRT m,m (100c,zero)    :    782.46   1065.35 :    1.362
T303  BNZ l (do br, far)     :     12.88     17.56 :    1.363
T255  TRT m,m (10c,zero)     :     84.11    115.45 :    1.373
T511  AE R,m                 :     19.59     26.91 :    1.374
T258  TRT m,m (250c,10b)     :     93.44    128.59 :    1.376
T263  CLR R,R                :      2.51      3.46 :    1.378
T601  SPM R                  :      2.79      3.85 :    1.380
T543  SD R,m                 :     20.98     28.98 :    1.381
T545  MD R,m                 :     22.32     30.88 :    1.384
T125  LM 0,11,m (12r)        :     20.33     28.46 :    1.400
T273  CLC m,m (30c,ne)       :     30.05     42.12 :    1.402
T277  CLC m,m (250c,ne)      :     30.00     42.09 :    1.403
T275  CLC m,m (100c,ne)      :     30.00     42.10 :    1.403
T101  LA R,n                 :      2.77      3.89 :    1.404
T521  CE R,m                 :     16.78     23.57 :    1.405
T537  LRDR R,R               :      7.38     10.37 :    1.405
T271  CLC m,m (10c,ne)       :     29.99     42.15 :    1.405
T541  AD R,m                 :     20.65     29.04 :    1.406
T241  SLDL R,1               :      5.78      8.16 :    1.412
T243  SRDL R,1               :      5.78      8.17 :    1.413
T513  SE R,m                 :     19.97     28.24 :    1.414
T245  SLDL R,60              :      5.77      8.16 :    1.414
T191  ICM R,i,m (0010)       :     15.87     22.51 :    1.418
T610  EX R,i (with TM)       :     30.57     43.38 :    1.419
D282  CLCL (4kb,100b)        :    870.45   1239.83 :    1.424
T124  LM 2,7,m (6r)          :     15.28     21.78 :    1.425
T192  ICM R,i,m (1100)       :     16.48     23.51 :    1.427
D283  CLCL (4kb,250b)        :   2134.36   3045.11 :    1.427
D215  DR R,R                 :     14.72     21.01 :    1.427
D280  CLCL (100b,10b)        :     98.28    140.49 :    1.429
T305  BR R (far)             :     10.73     15.34 :    1.430
D281  CLCL (4kb,10b)         :    100.88    144.46 :    1.432
T235  XC m,m (10c)           :     22.35     32.05 :    1.434
D172  MVCL (250b)            :     40.94     58.77 :    1.436
T223  SRDA R,1               :      6.26      9.06 :    1.447
T225  SRDA R,60              :      6.26      9.06 :    1.447
T100  LR R,R                 :      2.09      3.03 :    1.450
T231  X R,m                  :      9.39     13.69 :    1.458
T266  CLM R,i,m              :     12.30     17.97 :    1.461
T611  EX R,i (with XI)       :     30.62     44.76 :    1.462
T301  BNZ l (no br)          :      2.11      3.09 :    1.464
T561  MXR R,R                :     29.68     43.72 :    1.473
T157  MVC m,m (250c,over2)   :     31.22     46.01 :    1.474
T222  SRA R,1                :      5.14      7.59 :    1.477
T531  LD R,m                 :      9.99     14.76 :    1.477
T224  SRA R,30               :      5.13      7.58 :    1.478
T162  MVN m,m (30c)          :     33.78     50.04 :    1.481
T404  UNPK m,m (5d)          :     42.84     63.63 :    1.485
T166  MVZ m,m (30c)          :     33.75     50.13 :    1.485
D177  MVCL (4kb,pad)         :     97.64    145.68 :    1.492
D171  MVCL (100b)            :     31.79     47.44 :    1.492
T220  SLA R,1                :      6.47      9.66 :    1.493
T402  PACK m,m (5d)          :     38.52     57.55 :    1.494
T405  UNPK m,m (15d)         :    102.57    153.37 :    1.495
T260  CR R,R                 :      2.56      3.83 :    1.496
T117  STCM R,i,m (1100)      :     13.36     19.99 :    1.496
T539  STD R,m (unal)         :      9.83     14.71 :    1.496
T400  CVB R,m                :     38.90     58.22 :    1.497
T204  AL R,m                 :     10.39     15.56 :    1.498
T507  LRER R,R               :      6.17      9.25 :    1.499
T403  PACK m,m (15d)         :     96.11    144.12 :    1.500
T538  STD R,m                :      9.84     14.79 :    1.503
T121  STM 2,7,m (6r)         :     14.38     21.63 :    1.504
T193  ICM R,i,m (0111)       :     12.57     18.91 :    1.504
D178  MVCL (1kb,over1)       :     10.77     16.24 :    1.508
T154  MVC m,m (100c)         :     23.10     34.87 :    1.510
D415  EDMK (10c)             :    132.04    199.86 :    1.514
D410  ED (10c)               :    129.41    196.21 :    1.516
T201  A R,m                  :      9.33     14.16 :    1.518
D411  ED (30c)               :    389.96    593.52 :    1.522
D170  MVCL (10b)             :     24.92     38.10 :    1.529
T509  STE R,m (unal)         :      9.71     14.91 :    1.536
T532  LD R,m (unal)          :      9.87     15.19 :    1.539
T150  MVC m,m (5c)           :     17.66     27.23 :    1.542
T153  MVC m,m (30c)          :     19.73     30.43 :    1.542
T209  SL R,m                 :     10.60     16.39 :    1.546
T202  AH R,m                 :     10.03     15.51 :    1.546
T515  ME R,m                 :     15.06     23.33 :    1.549
T508  STE R,m                :      9.14     14.16 :    1.549
T123  LM 2,3,m (2r)          :     11.30     17.54 :    1.552
T122  STM 14,12,m (15r)      :     19.73     30.65 :    1.553
T152  MVC m,m (15c)          :     19.15     29.76 :    1.554
T501  LE R,m                 :      9.22     14.35 :    1.556
T262  CH R,m                 :      9.15     14.27 :    1.560
T207  SH R,m                 :     10.58     16.52 :    1.561
T242  SRL R,1                :      4.47      6.98 :    1.562
T252  TR m,m (10c)           :     16.44     25.69 :    1.563
T113  STH R,m (unal1)        :      9.40     14.69 :    1.563
T272  CLC m,m (30c,eq)       :     45.29     70.95 :    1.567
T221  SLDA R,1               :      7.43     11.64 :    1.567
T168  MVCIN m,m (30c)        :    204.04    319.66 :    1.567
T169  MVCIN m,m (100c)       :    667.17   1046.18 :    1.568
T151  MVC m,m (10c)          :     20.01     31.40 :    1.569
T111  ST R,m (unal)          :      8.65     13.59 :    1.571
T115  STC R,m                :      8.83     13.91 :    1.575
T167  MVCIN m,m (10c)        :     73.19    115.30 :    1.575
D216  D R,m                  :     20.20     31.98 :    1.583
T116  STCM R,i,m (0010)      :     12.30     19.50 :    1.585
T112  STH R,m                :      9.47     15.04 :    1.588
T161  MVN m,m (10c)          :     20.06     32.01 :    1.596
T120  STM 2,3,m (2r)         :     11.02     17.61 :    1.598
T104  LH R,m                 :      9.09     14.53 :    1.598
T401  CVD R,m                :     36.04     57.64 :    1.599
T451  MVO m,m (30d)          :    129.11    206.94 :    1.603
D176  MVCL (1kb,pad)         :     36.18     58.22 :    1.609
T450  MVO m,m (10d)          :     49.91     80.34 :    1.610
T165  MVZ m,m (10c)          :     20.02     32.69 :    1.633
T118  STCM R,i,m (0111)      :      9.81     16.02 :    1.633
T264  CL R,m                 :      7.74     12.64 :    1.633
T261  C R,m                  :      8.70     14.21 :    1.633
T206  S R,m                  :      9.89     16.20 :    1.638
T190  IC R,m                 :      8.98     14.76 :    1.644
T114  STH R,m (unal3)        :      9.35     15.43 :    1.650
T110  ST R,m                 :      7.71     12.79 :    1.659
T160  MVI m,i                :      7.91     13.18 :    1.666
T105  LH R,m (unal3)         :      9.48     15.86 :    1.673
T265  CLI m,i                :      9.79     16.44 :    1.679
D426  DP m,m (10d)           :    442.87    745.15 :    1.683
T502  LE R,m (unal)          :      9.57     16.20 :    1.693
T250  TM m,i                 :      8.82     14.95 :    1.695
T244  SLL R,30               :      4.32      7.37 :    1.706
T240  SLL R,1                :      4.31      7.37 :    1.710
T102  L R,m                  :      7.47     12.81 :    1.715
T212  MH R,m                 :     10.02     17.24 :    1.721
T446  SRP m,i,i (30d,>>)     :    187.37    324.69 :    1.733
T232  XI m,i                 :      9.77     16.99 :    1.739
T103  L R,m (unal)           :      8.60     15.11 :    1.757
T425  MP m,m (30d)           :    277.56    493.63 :    1.778
D427  DP m,m (30d)           :   1030.89   1835.22 :    1.780
T424  MP m,m (10d)           :    277.65    496.01 :    1.786
T155  MVC m,m (250c)         :     31.20     56.68 :    1.817
T211  M R,m                  :      9.94     18.21 :    1.832
T445  SRP m,i,i (30d,<<)     :    126.09    232.33 :    1.843
T310  BCTR R,0               :      3.55      6.84 :    1.927
D179  MVCL (1kb,over2)       :    103.63    200.53 :    1.935
T274  CLC m,m (100c,eq)      :     83.62    164.91 :    1.972
D296  CDS R,R,m (eq,ne)      :     39.40     77.96 :    1.979
D295  CDS R,R,m (eq,eq)      :     39.36     77.94 :    1.980
T442  ZAP m,m (10d,30d)      :    100.87    200.19 :    1.985
T422  SP m,m (10d)           :    223.74    444.98 :    1.989
T441  ZAP m,m (30d,30d)      :    100.61    200.53 :    1.993
T440  ZAP m,m (10d,10d)      :    100.57    200.69 :    1.996
T443  ZAP m,m (30d,10d)      :    100.39    200.38 :    1.996
T420  AP m,m (10d)           :    221.84    442.89 :    1.996
D291  CS R,R,m (eq,ne)       :     36.84     78.16 :    2.122
D290  CS R,R,m (eq,eq)       :     36.80     78.20 :    2.125
T423  SP m,m (30d)           :    233.56    504.19 :    2.159
D175  MVCL (100b,pad)        :     19.89     43.23 :    2.173
D620  TS m (zero)            :     34.56     75.72 :    2.191
T276  CLC m,m (250c,eq)      :    165.90    366.18 :    2.207
T431  CP m,m (30d)           :    158.00    351.21 :    2.223
T430  CP m,m (10d)           :    157.86    351.03 :    2.224
T421  AP m,m (30d)           :    217.21    499.73 :    2.301
D621  TS m (ones)            :    174.69    821.24 :    4.701
D297  CDS R,R,m (ne)         :    176.49    834.16 :    4.726
D292  CS R,R,m (ne)          :    174.66    837.33 :    4.794
T600  STCK m                 :     65.48    515.42 :    7.871
