s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-avr  w50-max
      01: 2018-03-31_sys2.dat                        330   0.83%     4.5%
      02: 2018-04-02_rasp2b.dat                      330   0.69%    15.8%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T156  MVC m,m (250c,over1)   :    351.62   1140.12 :    3.242
T276  CLC m,m (250c,eq)      :    165.90    667.73 :    4.025
T274  CLC m,m (100c,eq)      :     83.62    431.75 :    5.163
D610  EX R,i (bare, via TM)  :     21.75    133.29 :    6.128
D611  EX R,i (bare, via XI)  :     20.85    132.73 :    6.366
T304  BR R                   :      6.70     48.34 :    7.215
T272  CLC m,m (30c,eq)       :     45.29    337.77 :    7.458
T311  BCTR R,R               :      7.11     56.72 :    7.977
T500  LER R,R                :      5.54     45.83 :    8.273
T610  EX R,i (with TM)       :     30.57    256.64 :    8.395
T210  MR R,R                 :      5.75     48.29 :    8.398
T611  EX R,i (with XI)       :     30.62    263.28 :    8.598
T302  BNZ l (do br)          :      7.16     61.84 :    8.637
T506  LPER R,R               :      5.68     49.33 :    8.685
T315  BXLE R,R,l             :      8.58     75.36 :    8.783
T270  CLC m,m (10c,eq)       :     34.19    306.69 :    8.970
T530  LDR R,R                :      5.70     51.55 :    9.044
T312  BCT R,l                :      8.41     76.91 :    9.145
D427  DP m,m (30d)           :   1030.89   9532.10 :    9.246
T277  CLC m,m (250c,ne)      :     30.00    277.52 :    9.251
T271  CLC m,m (10c,ne)       :     29.99    284.19 :    9.476
D325  BAS R,R                :      8.57     82.32 :    9.606
T275  CLC m,m (100c,ne)      :     30.00    288.56 :    9.619
T273  CLC m,m (30c,ne)       :     30.05    289.61 :    9.638
T505  LNER R,R               :      5.11     49.26 :    9.640
T512  SER R,R                :     14.64    142.09 :    9.706
T510  AER R,R                :     14.56    143.44 :    9.852
D324  BASR R,R               :      6.79     68.17 :   10.040
D321  BALR R,R (far)         :     29.02    301.08 :   10.375
T523  HER R,R                :      6.27     67.47 :   10.761
T106  LTR R,R                :      3.52     37.94 :   10.778
T520  CER R,R                :     10.98    118.73 :   10.813
T535  LNDR R,R               :      5.45     59.33 :   10.886
T503  LTER R,R               :      5.01     54.60 :   10.898
T238  NR R,R                 :      3.56     38.98 :   10.949
T239  OR R,R                 :      3.55     38.99 :   10.983
T237  XC m,m (250c)          :    225.18   2480.14 :   11.014
T507  LRER R,R               :      6.17     68.35 :   11.078
T193  ICM R,i,m (0111)       :     12.57    139.49 :   11.097
T553  HDR R,R                :      7.56     84.23 :   11.142
D322  BAL R,R                :      8.62     96.15 :   11.154
D320  BALR R,R               :      6.61     74.02 :   11.198
T236  XC m,m (100c)          :    101.14   1135.43 :   11.226
T522  AUR R,R                :     10.01    112.71 :   11.260
T536  LPDR R,R               :      5.32     59.94 :   11.267
T109  LPR R,R                :      3.79     43.10 :   11.372
T430  CP m,m (10d)           :    157.86   1798.84 :   11.395
D426  DP m,m (10d)           :    442.87   5062.48 :   11.431
T220  SLA R,1                :      6.47     74.05 :   11.445
T504  LCER R,R               :      4.84     55.76 :   11.521
T431  CP m,m (30d)           :    158.00   1822.46 :   11.535
T533  LTDR R,R               :      5.18     59.99 :   11.581
T424  MP m,m (10d)           :    277.65   3220.94 :   11.601
T425  MP m,m (30d)           :    277.56   3258.54 :   11.740
T534  LCDR R,R               :      5.20     61.09 :   11.748
T537  LRDR R,R               :      7.38     86.74 :   11.753
T513  SE R,m                 :     19.97    235.42 :   11.789
T107  LCR R,R                :      3.65     43.31 :   11.866
T222  SRA R,1                :      5.14     61.20 :   11.907
T542  SDR R,R                :     15.53    185.20 :   11.925
T224  SRA R,30               :      5.13     61.19 :   11.928
T540  ADR R,R                :     15.43    184.10 :   11.931
T511  AE R,m                 :     19.59    237.43 :   12.120
T230  XR R,R                 :      3.20     39.08 :   12.212
T446  SRP m,i,i (30d,>>)     :    187.37   2291.62 :   12.230
T243  SRDL R,1               :      5.78     71.12 :   12.304
T550  CDR R,R                :     11.94    147.81 :   12.379
T521  CE R,m                 :     16.78    208.01 :   12.396
T552  AWR R,R                :     12.15    150.89 :   12.419
T208  SLR R,R                :      2.87     35.67 :   12.429
T221  SLDA R,1               :      7.43     92.42 :   12.439
T108  LNR R,R                :      3.22     40.18 :   12.478
T241  SLDL R,1               :      5.78     72.37 :   12.521
T245  SLDL R,60              :      5.77     72.27 :   12.525
T310  BCTR R,0               :      3.55     44.57 :   12.555
T225  SRDA R,60              :      6.26     79.07 :   12.631
T223  SRDA R,1               :      6.26     79.08 :   12.633
T203  ALR R,R                :      2.81     35.68 :   12.698
T423  SP m,m (30d)           :    233.56   2969.72 :   12.715
T422  SP m,m (10d)           :    223.74   2863.91 :   12.800
T420  AP m,m (10d)           :    221.84   2844.51 :   12.822
T265  CLI m,i                :      9.79    125.93 :   12.863
T263  CLR R,R                :      2.51     32.32 :   12.876
T205  SR R,R                 :      3.86     49.80 :   12.902
T200  AR R,R                 :      3.40     44.13 :   12.979
T125  LM 0,11,m (12r)        :     20.33    264.30 :   13.000
T242  SRL R,1                :      4.47     58.92 :   13.181
T551  CD R,m                 :     18.15    241.81 :   13.323
T232  XI m,i                 :      9.77    130.54 :   13.361
T421  AP m,m (30d)           :    217.21   2912.68 :   13.410
T300  BCR 0,0 (noop)         :      2.49     33.46 :   13.438
T543  SD R,m                 :     20.98    283.95 :   13.534
T244  SLL R,30               :      4.32     58.71 :   13.590
T240  SLL R,1                :      4.31     58.73 :   13.626
T541  AD R,m                 :     20.65    281.78 :   13.646
T100  LR R,R                 :      2.09     28.92 :   13.837
T124  LM 2,7,m (6r)          :     15.28    212.31 :   13.895
D295  CDS R,R,m (eq,eq)      :     39.36    547.10 :   13.900
D296  CDS R,R,m (eq,ne)      :     39.40    547.97 :   13.908
T209  SL R,m                 :     10.60    147.67 :   13.931
T560  AXR R,R                :     25.66    358.18 :   13.959
T250  TM m,i                 :      8.82    123.34 :   13.984
D290  CS R,R,m (eq,eq)       :     36.80    518.48 :   14.089
T123  LM 2,3,m (2r)          :     11.30    159.25 :   14.093
D291  CS R,R,m (eq,ne)       :     36.84    520.03 :   14.116
T204  AL R,m                 :     10.39    147.49 :   14.195
D297  CDS R,R,m (ne)         :    176.49   2522.27 :   14.291
T115  STC R,m                :      8.83    126.46 :   14.322
D292  CS R,R,m (ne)          :    174.66   2504.57 :   14.340
T445  SRP m,i,i (30d,<<)     :    126.09   1809.85 :   14.354
T601  SPM R                  :      2.79     40.31 :   14.448
T112  STH R,m                :      9.47    136.99 :   14.466
D621  TS m (ones)            :    174.69   2539.41 :   14.537
T235  XC m,m (10c)           :     22.35    325.49 :   14.563
T544  MDR R,R                :     16.37    238.65 :   14.578
T207  SH R,m                 :     10.58    154.58 :   14.611
T190  IC R,m                 :      8.98    131.30 :   14.621
T160  MVI m,i                :      7.91    115.72 :   14.630
T212  MH R,m                 :     10.02    147.89 :   14.759
T113  STH R,m (unal1)        :      9.40    139.25 :   14.814
T260  CR R,R                 :      2.56     37.93 :   14.816
D620  TS m (zero)            :     34.56    515.77 :   14.924
