s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-07_srv1-pf.dat                     330   0.46%    20.7%
      02: 2018-04-01_srv1.dat                        330   0.46%    11.9%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T239  OR R,R                 :      5.54      5.96 :    1.076
T117  STCM R,i,m (1100)      :     24.95     27.44 :    1.100
T192  ICM R,i,m (1100)       :     30.55     33.61 :    1.100
D178  MVCL (1kb,over1)       :     29.78     32.78 :    1.101
T125  LM 0,11,m (12r)        :     35.32     38.93 :    1.102
T440  ZAP m,m (10d,10d)      :    197.43    218.31 :    1.106
T222  SRA R,1                :      8.80      9.74 :    1.107
T191  ICM R,i,m (0010)       :     29.79     32.99 :    1.107
T116  STCM R,i,m (0010)      :     23.91     26.48 :    1.107
D323  BAL R,R (far)          :     26.74     29.64 :    1.108
D324  BASR R,R               :     10.11     11.21 :    1.109
D171  MVCL (100b)            :     55.60     61.65 :    1.109
T224  SRA R,30               :      8.78      9.74 :    1.109
T537  LRDR R,R               :     12.21     13.55 :    1.110
T255  TRT m,m (10c,zero)     :    134.40    149.17 :    1.110
T421  AP m,m (30d)           :    495.68    550.35 :    1.110
T441  ZAP m,m (30d,30d)      :    199.27    221.30 :    1.111
T114  STH R,m (unal3)        :     16.15     17.95 :    1.111
D177  MVCL (4kb,pad)         :    244.17    271.43 :    1.112
T105  LH R,m (unal3)         :     16.48     18.32 :    1.112
T431  CP m,m (30d)           :    302.35    336.23 :    1.112
T502  LE R,m (unal)          :     15.67     17.43 :    1.112
T154  MVC m,m (100c)         :     52.71     58.64 :    1.113
T230  XR R,R                 :      5.51      6.13 :    1.113
T122  STM 14,12,m (15r)      :     44.78     49.82 :    1.113
D175  MVCL (100b,pad)        :     36.42     40.52 :    1.113
T250  TM m,i                 :     14.39     16.01 :    1.113
T277  CLC m,m (250c,ne)      :     34.74     38.66 :    1.113
T123  LM 2,3,m (2r)          :     18.83     20.96 :    1.113
T443  ZAP m,m (30d,10d)      :    196.61    218.89 :    1.113
T405  UNPK m,m (15d)         :    174.58    194.41 :    1.114
D295  CDS R,R,m (eq,eq)      :     85.28     94.97 :    1.114
D215  DR R,R                 :     20.06     22.34 :    1.114
T103  L R,m (unal)           :     15.38     17.13 :    1.114
T553  HDR R,R                :     15.38     17.13 :    1.114
D322  BAL R,R                :     12.83     14.29 :    1.114
T112  STH R,m                :     15.29     17.03 :    1.114
D176  MVCL (1kb,pad)         :     67.16     74.81 :    1.114
D325  BAS R,R                :     12.80     14.26 :    1.114
T165  MVZ m,m (10c)          :     34.63     38.58 :    1.114
T539  STD R,m (unal)         :     15.43     17.19 :    1.114
T111  ST R,m (unal)          :     14.55     16.21 :    1.114
T106  LTR R,R                :      5.52      6.15 :    1.114
T521  CE R,m                 :     26.60     29.64 :    1.114
T402  PACK m,m (5d)          :     63.82     71.12 :    1.114
D173  MVCL (1kb)             :    167.95    187.19 :    1.115
T541  AD R,m                 :     35.60     39.68 :    1.115
T157  MVC m,m (250c,over2)   :     66.13     73.71 :    1.115
T508  STE R,m                :     14.83     16.53 :    1.115
T543  SD R,m                 :     35.84     39.95 :    1.115
T500  LER R,R                :      6.80      7.58 :    1.115
T532  LD R,m (unal)          :     15.51     17.29 :    1.115
T265  CLI m,i                :     15.16     16.90 :    1.115
T201  A R,m                  :     15.50     17.28 :    1.115
T259  TRT m,m (250c,100b)    :   1165.64   1299.52 :    1.115
T545  MD R,m                 :     37.78     42.12 :    1.115
T190  IC R,m                 :     14.70     16.39 :    1.115
D283  CLCL (4kb,250b)        :   3574.83   3986.03 :    1.115
T257  TRT m,m (250c,zero)    :   2813.87   3137.74 :    1.115
T540  ADR R,R                :     29.80     33.23 :    1.115
T160  MVI m,i                :     13.64     15.21 :    1.115
T264  CL R,m                 :     12.94     14.43 :    1.115
T151  MVC m,m (10c)          :     36.55     40.76 :    1.115
T531  LD R,m                 :     15.80     17.62 :    1.115
T401  CVD R,m                :     59.45     66.30 :    1.115
D216  D R,m                  :     26.64     29.71 :    1.115
T101  LA R,n                 :      5.38      6.00 :    1.115
T533  LTDR R,R               :      8.85      9.87 :    1.115
D321  BALR R,R (far)         :     40.43     45.09 :    1.115
T166  MVZ m,m (30c)          :     71.29     79.51 :    1.115
T302  BNZ l (do br)          :     10.58     11.80 :    1.115
T273  CLC m,m (30c,ne)       :     34.34     38.30 :    1.115
T520  CER R,R                :     18.47     20.60 :    1.115
T451  MVO m,m (30d)          :    256.25    285.81 :    1.115
T200  AR R,R                 :      5.72      6.38 :    1.115
