s370_perf_sum  -nrr  -rat  -k r2  -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 1964-05-01_s360-70.dat                     169   0.00%     0.0%

Tag   Comment                :     nrr01     nrr02 :  t02/t01
D411  ED (30c)               :    464.21     47.25 :    0.102
D410  ED (10c)               :    159.07     22.25 :    0.140
T523  HER R,R                :      6.94      1.00 :    0.144
T553  HDR R,R                :      6.94      1.00 :    0.144
D415  EDMK (10c)             :    160.08     24.75 :    0.155
T223  SRDA R,1               :      8.00      1.50 :    0.188
T221  SLDA R,1               :      7.52      1.50 :    0.199
T400  CVB R,m                :     39.22      9.50 :    0.242
T220  SLA R,1                :      4.04      1.00 :    0.248
T241  SLDL R,1               :      6.00      1.50 :    0.250
T243  SRDL R,1               :      6.00      1.50 :    0.250
T503  LTER R,R               :      3.97      1.00 :    0.252
T504  LCER R,R               :      3.97      1.00 :    0.252
T505  LNER R,R               :      3.97      1.00 :    0.252
T506  LPER R,R               :      3.97      1.00 :    0.252
T533  LTDR R,R               :      3.97      1.00 :    0.252
T534  LCDR R,R               :      3.97      1.00 :    0.252
T535  LNDR R,R               :      3.97      1.00 :    0.252
T536  LPDR R,R               :      3.97      1.00 :    0.252
D426  DP m,m (10d)           :    243.62     62.02 :    0.255
T547  DD R,m                 :     70.95     18.25 :    0.257
T546  DDR R,R                :     68.80     18.25 :    0.265
T517  DE R,m                 :     37.90     10.25 :    0.270
T516  DER R,R                :     36.89     10.25 :    0.278
D427  DP m,m (30d)           :    798.63    232.78 :    0.291
T222  SRA R,1                :      3.04      1.00 :    0.329
T240  SLL R,1                :      3.04      1.00 :    0.329
T242  SRL R,1                :      3.04      1.00 :    0.329
T520  CER R,R                :      5.95      2.00 :    0.336
T550  CDR R,R                :      5.94      2.00 :    0.337
T420  AP m,m (10d)           :     44.06     15.50 :    0.352
T551  CD R,m                 :      7.95      2.80 :    0.352
T541  AD R,m                 :      8.00      2.83 :    0.354
T543  SD R,m                 :      8.00      2.83 :    0.354
T512  SER R,R                :      5.97      2.12 :    0.355
T510  AER R,R                :      5.96      2.12 :    0.356
T540  ADR R,R                :      5.96      2.12 :    0.356
T542  SDR R,R                :      5.96      2.12 :    0.356
T401  CVD R,m                :     50.58     18.00 :    0.356
T422  SP m,m (10d)           :     42.69     15.50 :    0.363
T552  AWR R,R                :      6.00      2.25 :    0.375
T522  AUR R,R                :      5.98      2.25 :    0.376
T515  ME R,m                 :     13.92      5.50 :    0.395
T511  AE R,m                 :      7.06      2.83 :    0.401
T513  SE R,m                 :      7.05      2.83 :    0.401
T521  CE R,m                 :      6.96      2.80 :    0.402
T514  MER R,R                :     12.92      5.50 :    0.426
T405  UNPK m,m (15d)         :     50.89     22.12 :    0.435
T424  MP m,m (10d)           :    100.68     45.45 :    0.451
D322  BAL R,R                :      5.51      2.50 :    0.454
T442  ZAP m,m (10d,30d)      :     35.73     16.25 :    0.455
T403  PACK m,m (15d)         :     45.30     21.12 :    0.466
T440  ZAP m,m (10d,10d)      :     31.64     15.00 :    0.474
D320  BALR R,R               :      5.17      2.50 :    0.484
T312  BCT R,l                :      5.06      2.50 :    0.494
T108  LNR R,R                :      2.00      1.00 :    0.500
T109  LPR R,R                :      2.00      1.00 :    0.500
T500  LER R,R                :      1.99      1.00 :    0.503
T530  LDR R,R                :      1.99      1.00 :    0.503
T421  AP m,m (30d)           :     50.65     25.50 :    0.503
T423  SP m,m (30d)           :     50.65     25.50 :    0.503
T430  CP m,m (10d)           :     28.55     15.00 :    0.525
T451  MVO m,m (30d)          :     66.30     35.88 :    0.541
T315  BXLE R,R,l             :      5.02      2.75 :    0.548
D323  BAL R,R (far)          :      4.56      2.50 :    0.548
D321  BALR R,R (far)         :      4.28      2.50 :    0.584
T545  MD R,m                 :     17.92     10.50 :    0.586
T302  BNZ l (do br)          :      4.10      2.50 :    0.610
T303  BNZ l (do br, far)     :      4.09      2.50 :    0.611
T404  UNPK m,m (5d)          :     22.71     14.00 :    0.616
T225  SRDA R,60              :      8.00      5.00 :    0.625
T531  LD R,m                 :      4.07      2.62 :    0.644
T305  BR R (far)             :      3.88      2.50 :    0.644
T122  STM 14,12,m (15r)      :     17.28     11.15 :    0.645
T441  ZAP m,m (30d,30d)      :     36.79     23.75 :    0.646
T544  MDR R,R                :     15.91     10.50 :    0.660
T443  ZAP m,m (30d,10d)      :     33.72     22.50 :    0.667
T431  CP m,m (30d)           :     35.67     25.00 :    0.701
T450  MVO m,m (10d)          :     25.20     18.38 :    0.729
T402  PACK m,m (5d)          :     18.65     13.62 :    0.730
T538  STD R,m                :      4.22      3.15 :    0.746
T211  M R,m                  :      9.09      7.00 :    0.770
T125  LM 0,11,m (12r)        :     14.25     11.30 :    0.793
T121  STM 2,7,m (6r)         :      8.17      6.65 :    0.814
T224  SRA R,30               :      3.04      2.50 :    0.822
T244  SLL R,30               :      3.04      2.50 :    0.822
T245  SLDL R,60              :      6.00      5.00 :    0.833
T501  LE R,m                 :      3.09      2.62 :    0.848
T102  L R,m                  :      3.06      2.62 :    0.856
T201  A R,m                  :      3.06      2.62 :    0.856
T204  AL R,m                 :      3.06      2.62 :    0.856
T206  S R,m                  :      3.06      2.62 :    0.856
T209  SL R,m                 :      3.06      2.62 :    0.856
T261  C R,m                  :      3.06      2.62 :    0.856
T264  CL R,m                 :      3.06      2.62 :    0.856
T304  BR R                   :      2.85      2.50 :    0.877
T231  X R,m                  :      3.06      2.70 :    0.882
T250  TM m,i                 :      3.06      2.70 :    0.882
T124  LM 2,7,m (6r)          :      8.17      7.40 :    0.906
T190  IC R,m                 :      3.07      2.80 :    0.912
T262  CH R,m                 :      3.07      2.80 :    0.912
T104  LH R,m                 :      3.06      2.80 :    0.915
T202  AH R,m                 :      3.06      2.80 :    0.915
