s370_perf_sum  -rat  -k r2  -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 1964-05-01_s360-70.dat                     169   0.00%     0.0%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D411  ED (30c)               :  26535.94  18900.00 :    0.712
D410  ED (10c)               :   9093.06   8900.00 :    0.979
T553  HDR R,R                :    396.80    400.00 :    1.008
T523  HER R,R                :    396.71    400.00 :    1.008
D415  EDMK (10c)             :   9150.85   9900.00 :    1.082
T223  SRDA R,1               :    457.28    600.00 :    1.312
T221  SLDA R,1               :    429.71    600.00 :    1.396
T400  CVB R,m                :   2242.06   3800.00 :    1.695
T220  SLA R,1                :    231.04    400.00 :    1.731
T241  SLDL R,1               :    343.10    600.00 :    1.749
T243  SRDL R,1               :    343.10    600.00 :    1.749
T536  LPDR R,R               :    227.12    400.00 :    1.761
T506  LPER R,R               :    227.10    400.00 :    1.761
T504  LCER R,R               :    227.09    400.00 :    1.761
T503  LTER R,R               :    227.08    400.00 :    1.761
T505  LNER R,R               :    227.08    400.00 :    1.761
T533  LTDR R,R               :    227.08    400.00 :    1.761
T534  LCDR R,R               :    227.08    400.00 :    1.761
T535  LNDR R,R               :    227.08    400.00 :    1.761
D426  DP m,m (10d)           :  13926.19  24810.00 :    1.782
T547  DD R,m                 :   4056.01   7300.00 :    1.800
T546  DDR R,R                :   3932.92   7300.00 :    1.856
T517  DE R,m                 :   2166.61   4100.00 :    1.892
T516  DER R,R                :   2108.56   4100.00 :    1.944
D427  DP m,m (30d)           :  45653.17  93110.00 :    2.040
T222  SRA R,1                :    173.69    400.00 :    2.303
T242  SRL R,1                :    173.68    400.00 :    2.303
T240  SLL R,1                :    173.62    400.00 :    2.304
T520  CER R,R                :    339.85    800.00 :    2.354
T550  CDR R,R                :    339.58    800.00 :    2.356
T420  AP m,m (10d)           :   2518.49   6200.00 :    2.462
T551  CD R,m                 :    454.69   1120.00 :    2.463
T543  SD R,m                 :    457.39   1130.00 :    2.471
T541  AD R,m                 :    457.37   1130.00 :    2.471
T401  CVD R,m                :   2891.54   7200.00 :    2.490
T512  SER R,R                :    341.28    850.00 :    2.491
T540  ADR R,R                :    340.98    850.00 :    2.493
T510  AER R,R                :    340.85    850.00 :    2.494
T542  SDR R,R                :    340.46    850.00 :    2.497
T422  SP m,m (10d)           :   2440.57   6200.00 :    2.540
T552  AWR R,R                :    342.91    900.00 :    2.625
T522  AUR R,R                :    342.09    900.00 :    2.631
T515  ME R,m                 :    795.66   2200.00 :    2.765
T511  AE R,m                 :    403.51   1130.00 :    2.800
T513  SE R,m                 :    402.94   1130.00 :    2.804
T521  CE R,m                 :    398.10   1120.00 :    2.813
T514  MER R,R                :    738.79   2200.00 :    2.978
T405  UNPK m,m (15d)         :   2909.07   8850.00 :    3.042
T424  MP m,m (10d)           :   5755.23  18180.00 :    3.159
D322  BAL R,R                :    315.01   1000.00 :    3.175
T442  ZAP m,m (10d,30d)      :   2042.26   6500.00 :    3.183
T403  PACK m,m (15d)         :   2589.41   8450.00 :    3.263
T440  ZAP m,m (10d,10d)      :   1808.71   6000.00 :    3.317
D320  BALR R,R               :    295.41   1000.00 :    3.385
T312  BCT R,l                :    289.30   1000.00 :    3.457
T108  LNR R,R                :    114.55    400.00 :    3.492
T109  LPR R,R                :    114.42    400.00 :    3.496
T500  LER R,R                :    113.81    400.00 :    3.515
T530  LDR R,R                :    113.77    400.00 :    3.516
T421  AP m,m (30d)           :   2895.22  10200.00 :    3.523
T423  SP m,m (30d)           :   2895.16  10200.00 :    3.523
T430  CP m,m (10d)           :   1632.21   6000.00 :    3.676
T451  MVO m,m (30d)          :   3789.85  14350.00 :    3.786
T315  BXLE R,R,l             :    287.18   1100.00 :    3.830
D323  BAL R,R (far)          :    260.93   1000.00 :    3.832
D321  BALR R,R (far)         :    244.95   1000.00 :    4.082
T545  MD R,m                 :   1024.47   4200.00 :    4.100
T302  BNZ l (do br)          :    234.26   1000.00 :    4.269
T303  BNZ l (do br, far)     :    233.88   1000.00 :    4.276
T404  UNPK m,m (5d)          :   1298.31   5600.00 :    4.313
T225  SRDA R,60              :    457.28   2000.00 :    4.374
T531  LD R,m                 :    232.90   1050.00 :    4.508
T305  BR R (far)             :    221.77   1000.00 :    4.509
T122  STM 14,12,m (15r)      :    987.92   4460.00 :    4.515
T441  ZAP m,m (30d,30d)      :   2103.29   9500.00 :    4.517
T544  MDR R,R                :    909.73   4200.00 :    4.617
T443  ZAP m,m (30d,10d)      :   1927.36   9000.00 :    4.670
T431  CP m,m (30d)           :   2039.11  10000.00 :    4.904
T450  MVO m,m (10d)          :   1440.49   7350.00 :    5.102
T402  PACK m,m (5d)          :   1066.12   5450.00 :    5.112
T538  STD R,m                :    241.24   1260.00 :    5.223
T211  M R,m                  :    519.58   2800.00 :    5.389
T125  LM 0,11,m (12r)        :    814.77   4520.00 :    5.548
T121  STM 2,7,m (6r)         :    466.81   2660.00 :    5.698
T224  SRA R,30               :    173.70   1000.00 :    5.757
T244  SLL R,30               :    173.64   1000.00 :    5.759
T245  SLDL R,60              :    343.08   2000.00 :    5.830
T501  LE R,m                 :    176.67   1050.00 :    5.943
T102  L R,m                  :    174.70   1050.00 :    6.010
T206  S R,m                  :    174.70   1050.00 :    6.010
T209  SL R,m                 :    174.68   1050.00 :    6.011
T204  AL R,m                 :    174.66   1050.00 :    6.012
T201  A R,m                  :    174.65   1050.00 :    6.012
T264  CL R,m                 :    174.65   1050.00 :    6.012
T261  C R,m                  :    174.64   1050.00 :    6.012
T304  BR R                   :    163.03   1000.00 :    6.134
T231  X R,m                  :    174.70   1080.00 :    6.182
T250  TM m,i                 :    174.67   1080.00 :    6.183
T124  LM 2,7,m (6r)          :    466.91   2960.00 :    6.340
T262  CH R,m                 :    175.25   1120.00 :    6.391
T190  IC R,m                 :    175.21   1120.00 :    6.392
T265  CLI m,i                :    174.69   1120.00 :    6.411
T202  AH R,m                 :    174.67   1120.00 :    6.412
T207  SH R,m                 :    174.66   1120.00 :    6.412
T104  LH R,m                 :    174.64   1120.00 :    6.413
T112  STH R,m                :    219.65   1460.00 :    6.647
T212  MH R,m                 :    463.18   3200.00 :    6.909
T601  SPM R                  :    114.48    800.00 :    6.988
T210  MR R,R                 :    400.45   2800.00 :    6.992
T100  LR R,R                 :     57.16    400.00 :    6.998
T106  LTR R,R                :     57.16    400.00 :    6.998
T200  AR R,R                 :     57.16    400.00 :    6.998
T203  ALR R,R                :     57.15    400.00 :    6.999
T208  SLR R,R                :     57.15    400.00 :    6.999
T260  CR R,R                 :     57.15    400.00 :    6.999
T263  CLR R,R                :     57.15    400.00 :    6.999
T107  LCR R,R                :     57.14    400.00 :    7.000
T205  SR R,R                 :     57.14    400.00 :    7.000
T508  STE R,m                :    179.95   1260.00 :    7.002
T161  MVN m,m (10c)          :   1070.34   7600.00 :    7.101
T165  MVZ m,m (10c)          :   1070.31   7600.00 :    7.101
T110  ST R,m                 :    161.82   1260.00 :    7.786
T162  MVN m,m (30c)          :   1995.75  15600.00 :    7.817
T166  MVZ m,m (30c)          :   1995.61  15600.00 :    7.817
T120  STM 2,3,m (2r)         :    236.80   1860.00 :    7.855
T123  LM 2,3,m (2r)          :    233.26   1920.00 :    8.231
T311  BCTR R,R               :    114.20   1000.00 :    8.757
T425  MP m,m (30d)           :   5994.19  52680.00 :    8.789
D216  D R,m                  :    632.41   5700.00 :    9.013
T115  STC R,m                :    161.59   1460.00 :    9.035
T160  MVI m,i                :    159.98   1460.00 :    9.126
T237  XC m,m (250c)          :  11292.25 103600.00 :    9.174
T253  TR m,m (100c)          :  15270.69 144000.00 :    9.430
T254  TR m,m (250c)          :  36946.10 354000.00 :    9.582
T252  TR m,m (10c)           :   1871.90  18000.00 :    9.616
T257  TRT m,m (250c,zero)    :  36710.43 354600.00 :    9.659
T259  TRT m,m (250c,100b)    :  15034.83 146000.00 :    9.711
T256  TRT m,m (100c,zero)    :  14792.61 144600.00 :    9.775
T258  TRT m,m (250c,10b)     :   2039.27  20000.00 :    9.807
T235  XC m,m (10c)           :    762.90   7600.00 :    9.962
T232  XI m,i                 :    220.74   2200.00 :    9.966
T238  NR R,R                 :     57.20    600.00 :   10.490
T239  OR R,R                 :     57.16    600.00 :   10.497
T230  XR R,R                 :     57.15    600.00 :   10.499
T255  TRT m,m (10c,zero)     :   1748.31  18600.00 :   10.639
D215  DR R,R                 :    516.33   5500.00 :   10.652
T236  XC m,m (100c)          :   4089.86  43600.00 :   10.661
T150  MVC m,m (5c)           :    555.61   6000.00 :   10.799
T151  MVC m,m (10c)          :    727.69   8000.00 :   10.994
D610  EX R,i (bare, via TM)  :    288.51   3200.00 :   11.091
T152  MVC m,m (15c)          :    840.48  10000.00 :   11.898
D611  EX R,i (bare, via XI)  :    256.27   3200.00 :   12.487
T153  MVC m,m (30c)          :   1243.19  16000.00 :   12.870
T275  CLC m,m (100c,ne)      :    353.81   4600.00 :   13.001
T277  CLC m,m (250c,ne)      :    353.80   4600.00 :   13.002
