s370_perf_sum  -nrr  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 2018-03-31_sys2-1cpu.dat                   330   0.21%     7.5%

Tag   Comment                :     nrr01     nrr02 :  t02/t01
D177  MVCL (4kb,pad)         :    553.49     46.86 :    0.085
D179  MVCL (1kb,over2)       :    572.99     49.84 :    0.087
T155  MVC m,m (250c)         :    134.67     15.03 :    0.112
T254  TR m,m (250c)          :    646.31     72.97 :    0.113
D176  MVCL (1kb,pad)         :    150.68     17.36 :    0.115
T253  TR m,m (100c)          :    267.14     33.61 :    0.126
D174  MVCL (4kb)             :   1069.26    156.93 :    0.147
D173  MVCL (1kb)             :    297.19     46.56 :    0.157
T154  MVC m,m (100c)         :     56.32     11.12 :    0.197
T157  MVC m,m (250c,over2)   :     70.19     15.02 :    0.214
T252  TR m,m (10c)           :     32.75      7.93 :    0.242
D172  MVCL (250b)            :     76.47     19.75 :    0.258
T516  DER R,R                :     36.89      9.77 :    0.265
T561  MXR R,R                :     52.91     14.30 :    0.270
T517  DE R,m                 :     37.90     12.03 :    0.317
D175  MVCL (100b,pad)        :     30.25      9.61 :    0.318
T401  CVD R,m                :     50.58     17.41 :    0.344
D178  MVCL (1kb,over1)       :     15.03      5.19 :    0.345
T514  MER R,R                :     12.92      4.83 :    0.374
T223  SRDA R,1               :      8.00      3.01 :    0.376
T225  SRDA R,60              :      8.00      3.01 :    0.376
T210  MR R,R                 :      7.01      2.74 :    0.391
D410  ED (10c)               :    159.07     62.41 :    0.392
D415  EDMK (10c)             :    160.08     63.46 :    0.396
D411  ED (30c)               :    464.21    186.82 :    0.402
D171  MVCL (100b)            :     37.57     15.31 :    0.408
T523  HER R,R                :      6.94      3.01 :    0.434
T153  MVC m,m (30c)          :     21.75      9.50 :    0.437
T241  SLDL R,1               :      6.00      2.78 :    0.463
T243  SRDL R,1               :      6.00      2.78 :    0.463
T245  SLDL R,60              :      6.00      2.78 :    0.463
T166  MVZ m,m (30c)          :     34.91     16.23 :    0.465
