s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-27_srv5-a.dat                      330   0.38%     3.4%
      02: 2018-04-07_srv1-pf.dat                     330   0.46%    20.7%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T238  NR R,R                 :      5.60      5.34 :    0.954
T230  XR R,R                 :      5.64      5.51 :    0.977
T239  OR R,R                 :      5.62      5.54 :    0.986
T200  AR R,R                 :      5.79      5.72 :    0.988
T106  LTR R,R                :      5.38      5.52 :    1.026
T530  LDR R,R                :      6.27      6.57 :    1.048
T108  LNR R,R                :      5.42      5.68 :    1.048
T505  LNER R,R               :      6.35      6.97 :    1.098
T242  SRL R,1                :      6.71      7.41 :    1.104
T500  LER R,R                :      6.12      6.80 :    1.111
T244  SLL R,30               :      6.71      7.61 :    1.134
T240  SLL R,1                :      6.70      7.60 :    1.134
T210  MR R,R                 :      6.40      7.38 :    1.153
T508  STE R,m                :     12.65     14.83 :    1.172
T110  ST R,m                 :     11.47     13.46 :    1.173
T538  STD R,m                :     13.07     15.63 :    1.196
T112  STH R,m                :     12.65     15.29 :    1.209
T503  LTER R,R               :      6.13      7.42 :    1.210
T107  LCR R,R                :      5.64      6.84 :    1.213
T111  ST R,m (unal)          :     11.98     14.55 :    1.215
T160  MVI m,i                :     11.23     13.64 :    1.215
T205  SR R,R                 :      5.73      6.96 :    1.215
T109  LPR R,R                :      5.62      6.84 :    1.217
T115  STC R,m                :     11.96     14.58 :    1.219
T506  LPER R,R               :      6.23      7.62 :    1.223
T509  STE R,m (unal)         :     12.80     15.71 :    1.227
T156  MVC m,m (250c,over1)   :    576.72    710.78 :    1.232
T304  BR R                   :      7.99      9.91 :    1.240
T302  BNZ l (do br)          :      8.51     10.58 :    1.243
T536  LPDR R,R               :      6.51      8.11 :    1.246
T535  LNDR R,R               :      6.47      8.14 :    1.258
T539  STD R,m (unal)         :     12.24     15.43 :    1.261
T504  LCER R,R               :      6.08      7.69 :    1.265
T113  STH R,m (unal1)        :     12.20     15.44 :    1.266
T310  BCTR R,0               :      5.36      6.80 :    1.269
T232  XI m,i                 :     12.12     15.40 :    1.271
T275  CLC m,m (100c,ne)      :     26.94     34.35 :    1.275
T273  CLC m,m (30c,ne)       :     26.77     34.34 :    1.283
T271  CLC m,m (10c,ne)       :     26.73     34.35 :    1.285
T534  LCDR R,R               :      6.35      8.21 :    1.293
T277  CLC m,m (250c,ne)      :     26.71     34.74 :    1.301
T114  STH R,m (unal3)        :     12.24     16.15 :    1.319
T224  SRA R,30               :      6.59      8.78 :    1.332
T222  SRA R,1                :      6.59      8.80 :    1.335
T118  STCM R,i,m (0111)      :     12.51     16.83 :    1.345
D320  BALR R,R               :      6.96      9.37 :    1.346
T311  BCTR R,R               :      7.50     10.27 :    1.369
T533  LTDR R,R               :      6.36      8.85 :    1.392
T312  BCT R,l                :      9.15     12.88 :    1.408
T253  TR m,m (100c)          :     74.92    105.84 :    1.413
T245  SLDL R,60              :      6.72      9.62 :    1.432
T601  SPM R                  :      3.48      4.99 :    1.434
T254  TR m,m (250c)          :    150.79    216.96 :    1.439
T241  SLDL R,1               :      6.67      9.61 :    1.441
T243  SRDL R,1               :      6.70      9.70 :    1.448
D324  BASR R,R               :      6.96     10.11 :    1.453
T203  ALR R,R                :      3.30      4.82 :    1.461
T225  SRDA R,60              :      7.02     10.30 :    1.467
T223  SRDA R,1               :      7.01     10.30 :    1.469
T274  CLC m,m (100c,eq)      :    121.73    178.98 :    1.470
T120  STM 2,3,m (2r)         :     12.38     18.48 :    1.493
T276  CLC m,m (250c,eq)      :    272.28    410.30 :    1.507
T315  BXLE R,R,l             :      8.83     13.41 :    1.519
T272  CLC m,m (30c,eq)       :     51.18     78.34 :    1.531
D325  BAS R,R                :      8.36     12.80 :    1.531
T305  BR R (far)             :     11.52     17.64 :    1.531
T270  CLC m,m (10c,eq)       :     31.27     47.93 :    1.533
D173  MVCL (1kb)             :    108.47    167.95 :    1.548
T100  LR R,R                 :      2.79      4.33 :    1.552
T445  SRP m,i,i (30d,<<)     :    158.68    246.70 :    1.555
T541  AD R,m                 :     22.73     35.60 :    1.566
T260  CR R,R                 :      3.14      4.92 :    1.567
T208  SLR R,R                :      3.42      5.38 :    1.573
D322  BAL R,R                :      8.15     12.83 :    1.574
T220  SLA R,1                :      7.23     11.58 :    1.602
T510  AER R,R                :     15.99     25.79 :    1.613
D174  MVCL (4kb)             :    361.87    584.08 :    1.614
T512  SER R,R                :     16.02     25.92 :    1.618
D179  MVCL (1kb,over2)       :    113.23    183.31 :    1.619
T165  MVZ m,m (10c)          :     21.30     34.63 :    1.626
T540  ADR R,R                :     18.31     29.80 :    1.628
T161  MVN m,m (10c)          :     21.23     34.56 :    1.628
T543  SD R,m                 :     21.70     35.84 :    1.652
D410  ED (10c)               :    141.03    233.05 :    1.652
T301  BNZ l (no br)          :      2.76      4.57 :    1.656
T202  AH R,m                 :      9.40     15.61 :    1.661
D415  EDMK (10c)             :    141.05    235.05 :    1.666
D176  MVCL (1kb,pad)         :     39.97     67.16 :    1.680
T520  CER R,R                :     10.99     18.47 :    1.681
T117  STCM R,i,m (1100)      :     14.82     24.95 :    1.684
T209  SL R,m                 :      9.80     16.50 :    1.684
T252  TR m,m (10c)           :     17.68     29.83 :    1.687
D171  MVCL (100b)            :     32.77     55.60 :    1.697
T263  CLR R,R                :      2.89      4.92 :    1.702
D170  MVCL (10b)             :     25.58     43.62 :    1.705
T204  AL R,m                 :      9.47     16.18 :    1.709
T207  SH R,m                 :      9.47     16.21 :    1.712
T521  CE R,m                 :     15.43     26.60 :    1.724
T201  A R,m                  :      8.99     15.50 :    1.724
T420  AP m,m (10d)           :    253.82    438.95 :    1.729
T551  CD R,m                 :     16.12     27.92 :    1.732
T532  LD R,m (unal)          :      8.94     15.51 :    1.735
T206  S R,m                  :      9.21     16.00 :    1.737
T550  CDR R,R                :     11.82     20.57 :    1.740
T101  LA R,n                 :      3.09      5.38 :    1.741
D175  MVCL (100b,pad)        :     20.89     36.42 :    1.743
T430  CP m,m (10d)           :    171.51    299.40 :    1.746
T522  AUR R,R                :     10.54     18.41 :    1.747
T511  AE R,m                 :     18.97     33.21 :    1.751
T300  BCR 0,0 (noop)         :      2.81      4.92 :    1.751
T611  EX R,i (with XI)       :     32.12     56.25 :    1.751
T542  SDR R,R                :     16.96     29.72 :    1.752
T431  CP m,m (30d)           :    171.55    302.35 :    1.762
T544  MDR R,R                :     17.58     31.00 :    1.763
T537  LRDR R,R               :      6.92     12.21 :    1.764
T545  MD R,m                 :     21.40     37.78 :    1.765
T151  MVC m,m (10c)          :     20.69     36.55 :    1.767
T531  LD R,m                 :      8.90     15.80 :    1.775
T513  SE R,m                 :     19.15     34.00 :    1.775
