s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-28_srv4.dat                        330   3.54%    12.3%
      02: 2018-03-31_sys2.dat                        330   0.89%     4.5%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D297  CDS R,R,m (ne)         :    293.83    176.49 :    0.601
D621  TS m (ones)            :    287.95    174.69 :    0.607
D292  CS R,R,m (ne)          :    287.06    174.66 :    0.608
D323  BAL R,R (far)          :     19.16     16.18 :    0.844
D320  BALR R,R               :      7.76      6.61 :    0.852
D324  BASR R,R               :      7.92      6.79 :    0.857
D325  BAS R,R                :      9.53      8.57 :    0.899
T276  CLC m,m (250c,eq)      :    182.71    165.90 :    0.908
T546  DDR R,R                :    166.29    152.40 :    0.916
T274  CLC m,m (100c,eq)      :     90.82     83.62 :    0.921
T547  DD R,m                 :    169.74    156.37 :    0.921
T156  MVC m,m (250c,over1)   :    379.09    351.62 :    0.928
T301  BNZ l (no br)          :      2.24      2.11 :    0.942
T272  CLC m,m (30c,eq)       :     47.85     45.29 :    0.946
D322  BAL R,R                :      9.10      8.62 :    0.947
T270  CLC m,m (10c,eq)       :     35.67     34.19 :    0.959
T516  DER R,R                :     21.04     20.30 :    0.965
T193  ICM R,i,m (0111)       :     12.94     12.57 :    0.971
D177  MVCL (4kb,pad)         :    100.10     97.64 :    0.975
T302  BNZ l (do br)          :      7.33      7.16 :    0.977
T166  MVZ m,m (30c)          :     34.50     33.75 :    0.978
T162  MVN m,m (30c)          :     34.52     33.78 :    0.979
T101  LA R,n                 :      2.83      2.77 :    0.979
T303  BNZ l (do br, far)     :     13.10     12.88 :    0.983
D215  DR R,R                 :     14.96     14.72 :    0.984
T192  ICM R,i,m (1100)       :     16.74     16.48 :    0.984
T100  LR R,R                 :      2.12      2.09 :    0.986
T600  STCK m                 :     66.32     65.48 :    0.987
D427  DP m,m (30d)           :   1039.63   1030.89 :    0.992
D290  CS R,R,m (eq,eq)       :     37.03     36.80 :    0.994
T191  ICM R,i,m (0010)       :     15.95     15.87 :    0.995
