s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-27_srv5-a.dat                      330   0.38%     3.4%
      02: 2018-04-28_srv4.dat                        330   3.54%    12.3%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T230  XR R,R                 :      5.64      2.82 :    0.500
T239  OR R,R                 :      5.62      2.81 :    0.500
T238  NR R,R                 :      5.60      2.81 :    0.502
T242  SRL R,1                :      6.71      3.38 :    0.504
T108  LNR R,R                :      5.42      2.74 :    0.506
T240  SLL R,1                :      6.70      3.39 :    0.506
T244  SLL R,30               :      6.71      3.40 :    0.507
T200  AR R,R                 :      5.79      2.96 :    0.511
T107  LCR R,R                :      5.64      2.94 :    0.521
T106  LTR R,R                :      5.38      2.82 :    0.524
T310  BCTR R,0               :      5.36      2.93 :    0.547
T110  ST R,m                 :     11.47      6.36 :    0.554
T109  LPR R,R                :      5.62      3.14 :    0.559
T222  SRA R,1                :      6.59      3.84 :    0.583
T224  SRA R,30               :      6.59      3.84 :    0.583
T111  ST R,m (unal)          :     11.98      7.05 :    0.588
T205  SR R,R                 :      5.73      3.43 :    0.599
T508  STE R,m                :     12.65      7.60 :    0.601
T160  MVI m,i                :     11.23      6.75 :    0.601
T112  STH R,m                :     12.65      7.70 :    0.609
T114  STH R,m (unal3)        :     12.24      7.51 :    0.614
T509  STE R,m (unal)         :     12.80      7.90 :    0.617
T115  STC R,m                :     11.96      7.39 :    0.618
T113  STH R,m (unal1)        :     12.20      7.54 :    0.618
T538  STD R,m                :     13.07      8.14 :    0.623
T304  BR R                   :      7.99      5.19 :    0.650
T156  MVC m,m (250c,over1)   :    576.72    379.09 :    0.657
T210  MR R,R                 :      6.40      4.21 :    0.658
T505  LNER R,R               :      6.35      4.23 :    0.666
T276  CLC m,m (250c,eq)      :    272.28    182.71 :    0.671
T539  STD R,m (unal)         :     12.24      8.23 :    0.672
T118  STCM R,i,m (0111)      :     12.51      8.48 :    0.678
T503  LTER R,R               :      6.13      4.17 :    0.680
T232  XI m,i                 :     12.12      8.31 :    0.686
T504  LCER R,R               :      6.08      4.17 :    0.686
T506  LPER R,R               :      6.23      4.31 :    0.692
D178  MVCL (1kb,over1)       :     13.09      9.09 :    0.694
T536  LPDR R,R               :      6.51      4.54 :    0.697
T535  LNDR R,R               :      6.47      4.54 :    0.702
T445  SRP m,i,i (30d,<<)     :    158.68    112.30 :    0.708
T534  LCDR R,R               :      6.35      4.51 :    0.710
T533  LTDR R,R               :      6.36      4.54 :    0.714
T245  SLDL R,60              :      6.72      4.83 :    0.719
T243  SRDL R,1               :      6.70      4.82 :    0.719
T600  STCK m                 :     92.00     66.32 :    0.721
T241  SLDL R,1               :      6.67      4.81 :    0.721
T540  ADR R,R                :     18.31     13.30 :    0.726
T220  SLA R,1                :      7.23      5.29 :    0.732
T208  SLR R,R                :      3.42      2.52 :    0.737
T274  CLC m,m (100c,eq)      :    121.73     90.82 :    0.746
T500  LER R,R                :      6.12      4.62 :    0.755
T601  SPM R                  :      3.48      2.63 :    0.756
T541  AD R,m                 :     22.73     17.25 :    0.759
T530  LDR R,R                :      6.27      4.76 :    0.759
T225  SRDA R,60              :      7.02      5.33 :    0.759
T100  LR R,R                 :      2.79      2.12 :    0.760
T120  STM 2,3,m (2r)         :     12.38      9.41 :    0.760
T203  ALR R,R                :      3.30      2.51 :    0.761
T223  SRDA R,1               :      7.01      5.35 :    0.763
T510  AER R,R                :     15.99     12.53 :    0.784
T542  SDR R,R                :     16.96     13.36 :    0.788
T512  SER R,R                :     16.02     12.62 :    0.788
T117  STCM R,i,m (1100)      :     14.82     11.99 :    0.809
D410  ED (10c)               :    141.03    114.13 :    0.809
T301  BNZ l (no br)          :      2.76      2.24 :    0.812
T260  CR R,R                 :      3.14      2.55 :    0.812
D173  MVCL (1kb)             :    108.47     88.12 :    0.812
D174  MVCL (4kb)             :    361.87    294.22 :    0.813
T543  SD R,m                 :     21.70     17.66 :    0.814
T221  SLDA R,1               :      7.26      5.96 :    0.821
D179  MVCL (1kb,over2)       :    113.23     93.12 :    0.822
T552  AWR R,R                :     12.54     10.32 :    0.823
T420  AP m,m (10d)           :    253.82    209.46 :    0.825
D175  MVCL (100b,pad)        :     20.89     17.34 :    0.830
T522  AUR R,R                :     10.54      8.75 :    0.830
D172  MVCL (250b)            :     42.37     35.36 :    0.835
D171  MVCL (100b)            :     32.77     27.38 :    0.836
T253  TR m,m (100c)          :     74.92     62.98 :    0.841
T544  MDR R,R                :     17.58     14.78 :    0.841
