s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-29_srv3.dat                        330   9.05%    19.6%
      02: 2018-04-20_srv2.dat                        330   5.10%    17.9%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D320  BALR R,R               :      8.31      7.76 :    0.934
D324  BASR R,R               :      8.14      7.90 :    0.971
T500  LER R,R                :      5.16      5.26 :    1.019
D322  BAL R,R                :      9.73      9.92 :    1.020
D325  BAS R,R                :      9.61     10.48 :    1.091
D323  BAL R,R (far)          :     19.59     21.77 :    1.111
T156  MVC m,m (250c,over1)   :    409.32    460.49 :    1.125
T530  LDR R,R                :      4.99      5.68 :    1.138
T546  DDR R,R                :    174.16    198.36 :    1.139
T547  DD R,m                 :    176.72    201.96 :    1.143
T303  BNZ l (do br, far)     :     14.21     16.62 :    1.170
T302  BNZ l (do br)          :      7.67      9.12 :    1.189
T276  CLC m,m (250c,eq)      :    191.43    228.06 :    1.191
T301  BNZ l (no br)          :      2.35      2.81 :    1.196
T514  MER R,R                :     10.22     12.29 :    1.203
T193  ICM R,i,m (0111)       :     13.18     15.88 :    1.205
D215  DR R,R                 :     15.58     18.78 :    1.205
D177  MVCL (4kb,pad)         :    104.73    126.39 :    1.207
T561  MXR R,R                :     29.62     35.91 :    1.212
T505  LNER R,R               :      4.81      5.86 :    1.218
D427  DP m,m (30d)           :   1088.78   1328.27 :    1.220
T274  CLC m,m (100c,eq)      :     95.01    116.26 :    1.224
T311  BCTR R,R               :      6.94      8.52 :    1.228
T101  LA R,n                 :      3.04      3.74 :    1.230
T272  CLC m,m (30c,eq)       :     50.37     62.00 :    1.231
T312  BCT R,l                :      8.44     10.40 :    1.232
D611  EX R,i (bare, via XI)  :     22.07     27.22 :    1.233
T517  DE R,m                 :     25.08     31.06 :    1.238
T315  BXLE R,R,l             :      8.69     10.78 :    1.241
T516  DER R,R                :     22.31     27.70 :    1.242
T450  MVO m,m (10d)          :     49.52     61.54 :    1.243
T191  ICM R,i,m (0010)       :     16.52     20.53 :    1.243
T515  ME R,m                 :     14.44     17.97 :    1.244
T270  CLC m,m (10c,eq)       :     37.37     46.52 :    1.245
T560  AXR R,R                :     25.34     31.60 :    1.247
T503  LTER R,R               :      4.72      5.89 :    1.248
T100  LR R,R                 :      2.21      2.76 :    1.249
T210  MR R,R                 :      4.62      5.77 :    1.249
T277  CLC m,m (250c,ne)      :     31.67     39.56 :    1.249
T273  CLC m,m (30c,ne)       :     31.55     39.46 :    1.251
T451  MVO m,m (30d)          :    128.76    161.14 :    1.251
D290  CS R,R,m (eq,eq)       :     38.83     48.63 :    1.252
T192  ICM R,i,m (1100)       :     17.19     21.56 :    1.254
D621  TS m (ones)            :    314.54    394.59 :    1.254
D291  CS R,R,m (eq,ne)       :     38.75     48.64 :    1.255
T264  CL R,m                 :      7.54      9.47 :    1.256
T271  CLC m,m (10c,ne)       :     31.47     39.53 :    1.256
D297  CDS R,R,m (ne)         :    319.25    401.02 :    1.256
