s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-avr  w50-max
      01: 2018-04-02_rasp2b.dat                      330   0.69%    15.8%
      02: 2018-04-30_rasp2b-1cpu.dat                 330   0.78%    20.6%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D621  TS m (ones)            :   2539.41    186.68 :    0.074
D292  CS R,R,m (ne)          :   2504.57    220.67 :    0.088
D297  CDS R,R,m (ne)         :   2522.27    249.87 :    0.099
D620  TS m (zero)            :    515.77    175.26 :    0.340
D290  CS R,R,m (eq,eq)       :    518.48    187.99 :    0.363
D291  CS R,R,m (eq,ne)       :    520.03    188.57 :    0.363
D296  CDS R,R,m (eq,ne)      :    547.97    213.32 :    0.389
D295  CDS R,R,m (eq,eq)      :    547.10    213.17 :    0.390
T600  STCK m                 :   2838.00   2721.37 :    0.959
D171  MVCL (100b)            :    704.84    685.23 :    0.972
D170  MVCL (10b)             :    510.28    503.70 :    0.987
T153  MVC m,m (30c)          :    373.79    369.42 :    0.988
D178  MVCL (1kb,over1)       :    173.79    172.43 :    0.992
D610  EX R,i (bare, via TM)  :    133.29    132.53 :    0.994
D179  MVCL (1kb,over2)       :   2823.91   2809.16 :    0.995
D611  EX R,i (bare, via XI)  :    132.73    132.05 :    0.995
T109  LPR R,R                :     43.10     42.89 :    0.995
D175  MVCL (100b,pad)        :    392.06    390.24 :    0.995
T242  SRL R,1                :     58.92     58.65 :    0.995
T451  MVO m,m (30d)          :   2300.82   2290.68 :    0.996
D427  DP m,m (30d)           :   9532.10   9493.29 :    0.996
T441  ZAP m,m (30d,30d)      :   1581.87   1575.52 :    0.996
T274  CLC m,m (100c,eq)      :    431.75    430.06 :    0.996
T404  UNPK m,m (5d)          :    709.10    706.43 :    0.996
T514  MER R,R                :    173.74    173.09 :    0.996
T610  EX R,i (with TM)       :    256.64    255.68 :    0.996
D426  DP m,m (10d)           :   5062.48   5043.79 :    0.996
T118  STCM R,i,m (0111)      :    300.61    299.54 :    0.996
T450  MVO m,m (10d)          :    882.48    879.38 :    0.996
T440  ZAP m,m (10d,10d)      :   1550.62   1545.27 :    0.997
T124  LM 2,7,m (6r)          :    212.31    211.60 :    0.997
T611  EX R,i (with XI)       :    263.28    262.41 :    0.997
T506  LPER R,R               :     49.33     49.17 :    0.997
T431  CP m,m (30d)           :   1822.46   1816.61 :    0.997
D280  CLCL (100b,10b)        :   1841.77   1836.09 :    0.997
T277  CLC m,m (250c,ne)      :    277.52    276.67 :    0.997
T241  SLDL R,1               :     72.37     72.15 :    0.997
T421  AP m,m (30d)           :   2912.68   2904.05 :    0.997
T509  STE R,m (unal)         :    145.76    145.33 :    0.997
D173  MVCL (1kb)             :   2771.64   2763.50 :    0.997
T252  TR m,m (10c)           :    294.37    293.51 :    0.997
T210  MR R,R                 :     48.29     48.15 :    0.997
T500  LER R,R                :     45.83     45.70 :    0.997
T230  XR R,R                 :     39.08     38.97 :    0.997
T445  SRP m,i,i (30d,<<)     :   1809.85   1804.78 :    0.997
D324  BASR R,R               :     68.17     67.98 :    0.997
T271  CLC m,m (10c,ne)       :    284.19    283.40 :    0.997
T443  ZAP m,m (30d,10d)      :   1566.20   1561.85 :    0.997
T162  MVN m,m (30c)          :    526.88    525.44 :    0.997
