s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-30_rasp2b-1cpu.dat                 330   0.55%    20.6%
      02: 2018-04-16_pogoe2.dat                      330   0.97%     5.4%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T254  TR m,m (250c)          :   2444.09   2074.98 :    0.849
D411  ED (30c)               :   7056.43   6436.13 :    0.912
T257  TRT m,m (250c,zero)    :  33102.67  30842.75 :    0.932
T256  TRT m,m (100c,zero)    :  13300.98  12489.28 :    0.939
T259  TRT m,m (250c,100b)    :  13447.27  12666.64 :    0.942
T253  TR m,m (100c)          :   1101.21   1045.64 :    0.950
D426  DP m,m (10d)           :   5043.79   4807.65 :    0.953
T424  MP m,m (10d)           :   3219.84   3083.91 :    0.958
T425  MP m,m (30d)           :   3257.18   3124.00 :    0.959
D427  DP m,m (30d)           :   9493.29   9156.23 :    0.964
T446  SRP m,i,i (30d,>>)     :   2287.43   2245.46 :    0.982
D410  ED (10c)               :   2507.28   2491.64 :    0.994
D283  CLCL (4kb,250b)        :  38690.72  38494.42 :    0.995
D415  EDMK (10c)             :   2524.12   2511.57 :    0.995
D282  CLCL (4kb,100b)        :  15674.74  15614.84 :    0.996
T421  AP m,m (30d)           :   2904.05   2923.44 :    1.007
D281  CLCL (4kb,10b)         :   1877.31   1890.17 :    1.007
T403  PACK m,m (15d)         :   1661.57   1673.98 :    1.007
T423  SP m,m (30d)           :   2967.47   2992.50 :    1.008
T451  MVO m,m (30d)          :   2290.68   2325.23 :    1.015
D280  CLCL (100b,10b)        :   1836.09   1871.44 :    1.019
T422  SP m,m (10d)           :   2858.41   2915.43 :    1.020
T420  AP m,m (10d)           :   2839.87   2912.53 :    1.026
T169  MVCIN m,m (100c)       :  11426.96  11729.11 :    1.026
T258  TRT m,m (250c,10b)     :   1554.18   1602.74 :    1.031
T442  ZAP m,m (10d,30d)      :   1561.55   1614.33 :    1.034
T440  ZAP m,m (10d,10d)      :   1545.27   1598.93 :    1.035
T445  SRP m,i,i (30d,<<)     :   1804.78   1867.85 :    1.035
T405  UNPK m,m (15d)         :   1689.12   1757.94 :    1.041
T441  ZAP m,m (30d,30d)      :   1575.52   1648.79 :    1.047
T443  ZAP m,m (30d,10d)      :   1561.85   1642.92 :    1.052
T168  MVCIN m,m (30c)        :   3516.62   3708.86 :    1.055
T255  TRT m,m (10c,zero)     :   1404.24   1483.41 :    1.056
T430  CP m,m (10d)           :   1796.52   1912.05 :    1.064
T431  CP m,m (30d)           :   1816.61   1934.09 :    1.065
D178  MVCL (1kb,over1)       :    172.43    184.71 :    1.071
T237  XC m,m (250c)          :   2475.60   2733.62 :    1.104
T402  PACK m,m (5d)          :    665.45    743.43 :    1.117
T450  MVO m,m (10d)          :    879.38    988.12 :    1.124
T167  MVCIN m,m (10c)        :   1253.54   1420.22 :    1.133
T560  AXR R,R                :    358.02    406.09 :    1.134
T546  DDR R,R                :   7251.90   8257.45 :    1.139
