s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-05-06_rasp3b.dat                      330   0.46%     2.6%
      02: 2018-04-02_rasp2b.dat                      330   0.54%    15.8%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T156  MVC m,m (250c,over1)   :    826.17   1140.12 :    1.380
T431  CP m,m (30d)           :   1291.63   1822.46 :    1.411
T430  CP m,m (10d)           :   1269.50   1798.84 :    1.417
D320  BALR R,R               :     51.97     74.02 :    1.424
T425  MP m,m (30d)           :   2277.49   3258.54 :    1.431
T420  AP m,m (10d)           :   1986.55   2844.51 :    1.432
T442  ZAP m,m (10d,30d)      :   1092.43   1565.22 :    1.433
T424  MP m,m (10d)           :   2246.70   3220.94 :    1.434
T422  SP m,m (10d)           :   1995.68   2863.91 :    1.435
T441  ZAP m,m (30d,30d)      :   1101.99   1581.87 :    1.435
T440  ZAP m,m (10d,10d)      :   1079.12   1550.62 :    1.437
D325  BAS R,R                :     56.79     82.32 :    1.450
T423  SP m,m (30d)           :   2035.66   2969.72 :    1.459
T443  ZAP m,m (30d,10d)      :   1073.26   1566.20 :    1.459
T421  AP m,m (30d)           :   1994.33   2912.68 :    1.460
D322  BAL R,R                :     65.17     96.15 :    1.475
T445  SRP m,i,i (30d,<<)     :   1226.28   1809.85 :    1.476
T505  LNER R,R               :     33.28     49.26 :    1.480
T506  LPER R,R               :     33.31     49.33 :    1.481
T116  STCM R,i,m (0010)      :    218.51    323.62 :    1.481
T118  STCM R,i,m (0111)      :    202.57    300.61 :    1.484
T300  BCR 0,0 (noop)         :     22.38     33.46 :    1.495
T191  ICM R,i,m (0010)       :    202.26    303.06 :    1.498
T244  SLL R,30               :     39.15     58.71 :    1.500
T240  SLL R,1                :     39.14     58.73 :    1.501
T192  ICM R,i,m (1100)       :    201.42    303.05 :    1.505
T242  SRL R,1                :     39.14     58.92 :    1.505
T109  LPR R,R                :     28.58     43.10 :    1.508
T446  SRP m,i,i (30d,>>)     :   1516.91   2291.62 :    1.511
T303  BNZ l (do br, far)     :    158.24    239.23 :    1.512
T108  LNR R,R                :     26.57     40.18 :    1.512
T238  NR R,R                 :     25.73     38.98 :    1.515
T239  OR R,R                 :     25.73     38.99 :    1.515
T512  SER R,R                :     93.68    142.09 :    1.517
T510  AER R,R                :     94.51    143.44 :    1.518
T230  XR R,R                 :     25.73     39.08 :    1.519
T243  SRDL R,1               :     46.82     71.12 :    1.519
T151  MVC m,m (10c)          :    206.31    313.56 :    1.520
T305  BR R (far)             :    121.26    184.45 :    1.521
T210  MR R,R                 :     31.72     48.29 :    1.522
T260  CR R,R                 :     24.90     37.93 :    1.523
T221  SLDA R,1               :     60.60     92.42 :    1.525
T106  LTR R,R                :     24.86     37.94 :    1.526
T315  BXLE R,R,l             :     49.37     75.36 :    1.526
T500  LER R,R                :     29.98     45.83 :    1.529
T310  BCTR R,0               :     29.14     44.57 :    1.530
T220  SLA R,1                :     48.36     74.05 :    1.531
T254  TR m,m (250c)          :   1595.02   2447.09 :    1.534
T208  SLR R,R                :     23.20     35.67 :    1.538
T203  ALR R,R                :     23.20     35.68 :    1.538
T301  BNZ l (no br)          :     23.22     35.73 :    1.539
T117  STCM R,i,m (1100)      :    221.81    341.34 :    1.539
T312  BCT R,l                :     49.96     76.91 :    1.539
T237  XC m,m (250c)          :   1610.39   2480.14 :    1.540
T253  TR m,m (100c)          :    715.86   1103.68 :    1.542
T125  LM 0,11,m (12r)        :    171.21    264.30 :    1.544
T400  CVB R,m                :    436.11    673.38 :    1.544
T513  SE R,m                 :    152.43    235.42 :    1.544
T553  HDR R,R                :     54.45     84.23 :    1.547
T507  LRER R,R               :     44.18     68.35 :    1.547
T245  SLDL R,60              :     46.71     72.27 :    1.547
T521  CE R,m                 :    134.39    208.01 :    1.548
T241  SLDL R,1               :     46.71     72.37 :    1.549
T502  LE R,m (unal)          :     94.29    146.26 :    1.551
T101  LA R,n                 :     32.02     49.67 :    1.551
T530  LDR R,R                :     33.23     51.55 :    1.551
T223  SRDA R,1               :     50.89     79.08 :    1.554
T236  XC m,m (100c)          :    730.45   1135.43 :    1.554
T169  MVCIN m,m (100c)       :   7356.84  11440.12 :    1.555
T154  MVC m,m (100c)         :    319.40    496.71 :    1.555
T225  SRDA R,60              :     50.82     79.07 :    1.556
T504  LCER R,R               :     35.83     55.76 :    1.556
T522  AUR R,R                :     72.39    112.71 :    1.557
T107  LCR R,R                :     27.80     43.31 :    1.558
T304  BR R                   :     31.02     48.34 :    1.558
T152  MVC m,m (15c)          :    212.36    330.95 :    1.558
T168  MVCIN m,m (30c)        :   2258.94   3520.51 :    1.558
T231  X R,m                  :     93.33    145.49 :    1.559
T265  CLI m,i                :     80.76    125.93 :    1.559
T114  STH R,m (unal3)        :     90.81    141.64 :    1.560
T261  C R,m                  :     92.53    144.34 :    1.560
T509  STE R,m (unal)         :     93.40    145.76 :    1.561
D323  BAL R,R (far)          :    208.64    325.75 :    1.561
T263  CLR R,R                :     20.70     32.32 :    1.561
T113  STH R,m (unal1)        :     89.13    139.25 :    1.562
T547  DD R,m                 :   4695.41   7336.85 :    1.563
T503  LTER R,R               :     34.93     54.60 :    1.563
T167  MVCIN m,m (10c)        :    803.59   1256.93 :    1.564
T601  SPM R                  :     25.77     40.31 :    1.564
T103  L R,m (unal)           :     88.27    138.10 :    1.565
T545  MD R,m                 :    213.98    334.81 :    1.565
T102  L R,m                  :     83.53    130.71 :    1.565
T523  HER R,R                :     43.10     67.47 :    1.565
T546  DDR R,R                :   4633.58   7254.83 :    1.566
D427  DP m,m (30d)           :   6085.45   9532.10 :    1.566
T112  STH R,m                :     87.44    136.99 :    1.567
T204  AL R,m                 :     94.09    147.49 :    1.568
T166  MVZ m,m (30c)          :    335.84    526.48 :    1.568
T162  MVN m,m (30c)          :    336.08    526.88 :    1.568
T533  LTDR R,R               :     38.26     59.99 :    1.568
