s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-01_nbk2.dat                        330   2.28%    22.1%
      02: 2018-06-23_nbk2.dat                        330   1.65%     4.5%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T600  STCK m                 :   2048.30    107.01 :    0.052
D621  TS m (ones)            :   3632.02   1827.93 :    0.503
D297  CDS R,R,m (ne)         :   3663.68   1851.34 :    0.505
D292  CS R,R,m (ne)          :   3687.64   1867.82 :    0.507
T224  SRA R,30               :      7.38      6.58 :    0.892
D170  MVCL (10b)             :     47.02     42.16 :    0.897
T222  SRA R,1                :      7.38      6.64 :    0.900
T191  ICM R,i,m (0010)       :     24.13     21.82 :    0.904
D171  MVCL (100b)            :     57.47     52.26 :    0.909
D172  MVCL (250b)            :     70.95     65.17 :    0.919
D620  TS m (zero)            :     47.77     44.29 :    0.927
D173  MVCL (1kb)             :    197.06    183.07 :    0.929
T443  ZAP m,m (30d,10d)      :    225.99    210.42 :    0.931
D427  DP m,m (30d)           :   1958.38   1823.72 :    0.931
T441  ZAP m,m (30d,30d)      :    225.59    210.08 :    0.931
D323  BAL R,R (far)          :     27.29     25.42 :    0.931
T421  AP m,m (30d)           :    559.04    521.14 :    0.932
T203  ALR R,R                :      4.43      4.13 :    0.932
T225  SRDA R,60              :      8.88      8.28 :    0.932
T520  CER R,R                :     16.95     15.82 :    0.933
D174  MVCL (4kb)             :    686.47    640.76 :    0.933
T550  CDR R,R                :     18.48     17.25 :    0.933
T311  BCTR R,R               :      9.78      9.13 :    0.934
T422  SP m,m (10d)           :    496.84    463.88 :    0.934
T312  BCT R,l                :     12.34     11.53 :    0.934
T423  SP m,m (30d)           :    571.30    533.80 :    0.934
T310  BCTR R,0               :      4.88      4.56 :    0.934
D281  CLCL (4kb,10b)         :    182.79    170.88 :    0.935
T304  BR R                   :      9.22      8.62 :    0.935
T532  LD R,m (unal)          :     16.30     15.24 :    0.935
T553  HDR R,R                :     11.41     10.67 :    0.935
T445  SRP m,i,i (30d,<<)     :    264.69    247.53 :    0.935
T277  CLC m,m (250c,ne)      :     40.38     37.77 :    0.935
T206  S R,m                  :     15.84     14.82 :    0.936
T511  AE R,m                 :     29.53     27.63 :    0.936
T168  MVCIN m,m (30c)        :    358.82    335.79 :    0.936
T510  AER R,R                :     20.89     19.55 :    0.936
T161  MVN m,m (10c)          :     32.78     30.68 :    0.936
D426  DP m,m (10d)           :    790.09    739.48 :    0.936
T523  HER R,R                :     10.62      9.94 :    0.936
T212  MH R,m                 :     16.13     15.10 :    0.936
T503  LTER R,R               :      8.18      7.66 :    0.936
T442  ZAP m,m (10d,30d)      :    224.71    210.45 :    0.937
T514  MER R,R                :     15.13     14.17 :    0.937
T104  LH R,m                 :     15.14     14.18 :    0.937
T209  SL R,m                 :     15.80     14.80 :    0.937
T534  LCDR R,R               :      8.39      7.86 :    0.937
T162  MVN m,m (30c)          :     57.18     53.57 :    0.937
T530  LDR R,R                :      6.97      6.53 :    0.937
T210  MR R,R                 :      6.34      5.94 :    0.937
T122  STM 14,12,m (15r)      :     32.97     30.89 :    0.937
T420  AP m,m (10d)           :    484.55    454.00 :    0.937
D290  CS R,R,m (eq,eq)       :     52.35     49.05 :    0.937
T121  STM 2,7,m (6r)         :     22.69     21.26 :    0.937
T112  STH R,m                :     15.60     14.62 :    0.937
T232  XI m,i                 :     16.94     15.88 :    0.937
D410  ED (10c)               :    222.36    208.45 :    0.937
T208  SLR R,R                :      4.80      4.50 :    0.938
T207  SH R,m                 :     16.03     15.03 :    0.938
T544  MDR R,R                :     24.85     23.30 :    0.938
T440  ZAP m,m (10d,10d)      :    225.64    211.61 :    0.938
T430  CP m,m (10d)           :    361.72    339.25 :    0.938
T263  CLR R,R                :      4.19      3.93 :    0.938
T543  SD R,m                 :     30.70     28.80 :    0.938
T105  LH R,m (unal3)         :     15.68     14.71 :    0.938
T401  CVD R,m                :     73.47     68.93 :    0.938
T275  CLC m,m (100c,ne)      :     40.41     37.92 :    0.938
T205  SR R,R                 :      6.18      5.80 :    0.939
T547  DD R,m                 :    232.14    217.88 :    0.939
T221  SLDA R,1               :     11.10     10.42 :    0.939
T169  MVCIN m,m (100c)       :   1172.09   1100.35 :    0.939
D177  MVCL (4kb,pad)         :    149.11    139.99 :    0.939
T262  CH R,m                 :     16.19     15.20 :    0.939
T508  STE R,m                :     14.72     13.82 :    0.939
T545  MD R,m                 :     33.04     31.02 :    0.939
T193  ICM R,i,m (0111)       :     18.32     17.20 :    0.939
D415  EDMK (10c)             :    225.93    212.13 :    0.939
T533  LTDR R,R               :      8.03      7.54 :    0.939
D324  BASR R,R               :      9.18      8.62 :    0.939
T542  SDR R,R                :     22.28     20.93 :    0.939
D283  CLCL (4kb,250b)        :   3906.56   3670.52 :    0.940
T270  CLC m,m (10c,eq)       :     48.35     45.43 :    0.940
T522  AUR R,R                :     15.08     14.17 :    0.940
T402  PACK m,m (5d)          :     63.89     60.04 :    0.940
T541  AD R,m                 :     30.57     28.74 :    0.940
T424  MP m,m (10d)           :    548.66    515.84 :    0.940
T531  LD R,m                 :     16.24     15.27 :    0.940
T276  CLC m,m (250c,eq)      :    238.25    224.05 :    0.940
T152  MVC m,m (15c)          :     33.42     31.43 :    0.940
T120  STM 2,3,m (2r)         :     17.81     16.75 :    0.940
T259  TRT m,m (250c,100b)    :   1260.88   1185.88 :    0.941
T540  ADR R,R                :     22.03     20.72 :    0.941
T537  LRDR R,R               :     12.11     11.39 :    0.941
T405  UNPK m,m (15d)         :    172.93    162.65 :    0.941
T167  MVCIN m,m (10c)        :    127.62    120.06 :    0.941
D610  EX R,i (bare, via TM)  :     29.74     27.98 :    0.941
T245  SLDL R,60              :      8.62      8.11 :    0.941
T425  MP m,m (30d)           :    550.43    517.87 :    0.941
T264  CL R,m                 :     13.71     12.90 :    0.941
T500  LER R,R                :      6.44      6.06 :    0.941
T201  A R,m                  :     16.11     15.16 :    0.941
T431  CP m,m (30d)           :    361.01    339.77 :    0.941
T101  LA R,n                 :      4.08      3.84 :    0.941
D282  CLCL (4kb,100b)        :   1583.97   1490.84 :    0.941
T235  XC m,m (10c)           :     37.25     35.06 :    0.941
T560  AXR R,R                :     38.98     36.69 :    0.941
T551  CD R,m                 :     26.44     24.89 :    0.941
T253  TR m,m (100c)          :    139.99    131.79 :    0.941
T103  L R,m (unal)           :     14.88     14.01 :    0.942
T546  DDR R,R                :    223.51    210.45 :    0.942
T125  LM 0,11,m (12r)        :     33.58     31.62 :    0.942
T315  BXLE R,R,l             :     12.36     11.64 :    0.942
T403  PACK m,m (15d)         :    160.81    151.46 :    0.942
T157  MVC m,m (250c,over2)   :     54.22     51.07 :    0.942
T515  ME R,m                 :     23.64     22.27 :    0.942
T305  BR R (far)             :     18.64     17.56 :    0.942
T266  CLM R,i,m              :     19.19     18.08 :    0.942
D280  CLCL (100b,10b)        :    178.47    168.15 :    0.942
T521  CE R,m                 :     25.15     23.70 :    0.942
T274  CLC m,m (100c,eq)      :    120.37    113.46 :    0.943
T211  M R,m                  :     16.75     15.79 :    0.943
T610  EX R,i (with TM)       :     44.17     41.64 :    0.943
T507  LRER R,R               :     10.50      9.90 :    0.943
T265  CLI m,i                :     16.30     15.37 :    0.943
T256  TRT m,m (100c,zero)    :   1236.96   1166.41 :    0.943
T536  LPDR R,R               :      9.82      9.26 :    0.943
T156  MVC m,m (250c,over1)   :    515.47    486.16 :    0.943
T118  STCM R,i,m (0111)      :     16.54     15.60 :    0.943
T113  STH R,m (unal1)        :     14.96     14.11 :    0.943
T204  AL R,m                 :     15.88     14.98 :    0.943
T100  LR R,R                 :      3.53      3.33 :    0.943
D215  DR R,R                 :     21.19     19.99 :    0.943
T223  SRDA R,1               :      8.84      8.34 :    0.943
T115  STC R,m                :     14.87     14.03 :    0.944
T506  LPER R,R               :      8.15      7.69 :    0.944
T102  L R,m                  :     11.90     11.23 :    0.944
T509  STE R,m (unal)         :     15.30     14.44 :    0.944
T202  AH R,m                 :     16.02     15.12 :    0.944
T200  AR R,R                 :      4.81      4.54 :    0.944
T254  TR m,m (250c)          :    316.06    298.33 :    0.944
T255  TRT m,m (10c,zero)     :    134.69    127.14 :    0.944
T252  TR m,m (10c)           :     29.39     27.75 :    0.944
T110  ST R,m                 :     12.21     11.53 :    0.944
T106  LTR R,R                :      5.21      4.92 :    0.944
T538  STD R,m                :     15.82     14.94 :    0.944
T241  SLDL R,1               :      8.63      8.15 :    0.944
T236  XC m,m (100c)          :    185.53    175.22 :    0.944
T512  SER R,R                :     20.90     19.74 :    0.944
T123  LM 2,3,m (2r)          :     18.57     17.54 :    0.945
T231  X R,m                  :     15.33     14.48 :    0.945
T301  BNZ l (no br)          :      3.79      3.58 :    0.945
T153  MVC m,m (30c)          :     33.98     32.10 :    0.945
T258  TRT m,m (250c,10b)     :    148.37    140.18 :    0.945
T220  SLA R,1                :      9.07      8.57 :    0.945
D411  ED (30c)               :    687.59    649.74 :    0.945
T303  BNZ l (do br, far)     :     21.44     20.26 :    0.945
T517  DE R,m                 :     35.67     33.71 :    0.945
T150  MVC m,m (5c)           :     30.26     28.60 :    0.945
T302  BNZ l (do br)          :     10.95     10.35 :    0.945
T552  AWR R,R                :     18.80     17.77 :    0.945
T451  MVO m,m (30d)          :    229.36    216.82 :    0.945
T535  LNDR R,R               :     10.28      9.72 :    0.946
T273  CLC m,m (30c,ne)       :     40.32     38.13 :    0.946
T611  EX R,i (with XI)       :     46.85     44.31 :    0.946
T114  STH R,m (unal3)        :     14.97     14.16 :    0.946
T504  LCER R,R               :      8.53      8.07 :    0.946
T446  SRP m,i,i (30d,>>)     :    361.05    341.58 :    0.946
T111  ST R,m (unal)          :     13.54     12.81 :    0.946
T165  MVZ m,m (10c)          :     32.67     30.91 :    0.946
T109  LPR R,R                :      5.20      4.92 :    0.946
T155  MVC m,m (250c)         :     54.34     51.42 :    0.946
T237  XC m,m (250c)          :    422.54    399.84 :    0.946
T502  LE R,m (unal)          :     16.02     15.16 :    0.946
T239  OR R,R                 :      4.66      4.41 :    0.946
D216  D R,m                  :     30.24     28.62 :    0.946
T160  MVI m,i                :     13.44     12.72 :    0.946
T243  SRDL R,1               :      8.60      8.14 :    0.947
T300  BCR 0,0 (noop)         :      3.74      3.54 :    0.947
T250  TM m,i                 :     14.43     13.66 :    0.947
T561  MXR R,R                :     47.99     45.43 :    0.947
D176  MVCL (1kb,pad)         :     53.35     50.51 :    0.947
T166  MVZ m,m (30c)          :     56.94     53.93 :    0.947
T505  LNER R,R               :      7.57      7.17 :    0.947
D296  CDS R,R,m (eq,ne)      :     53.43     50.62 :    0.947
T513  SE R,m                 :     28.09     26.62 :    0.948
T190  IC R,m                 :     15.49     14.68 :    0.948
T404  UNPK m,m (5d)          :     71.60     67.88 :    0.948
D325  BAS R,R                :     11.06     10.49 :    0.948
T238  NR R,R                 :      4.66      4.42 :    0.948
T271  CLC m,m (10c,ne)       :     40.24     38.18 :    0.949
T261  C R,m                  :     15.26     14.48 :    0.949
D295  CDS R,R,m (eq,eq)      :     53.27     50.55 :    0.949
T124  LM 2,7,m (6r)          :     23.72     22.52 :    0.949
D321  BALR R,R (far)         :     45.68     43.37 :    0.949
T257  TRT m,m (250c,zero)    :   3035.03   2882.67 :    0.950
T516  DER R,R                :     28.51     27.08 :    0.950
T260  CR R,R                 :      4.39      4.17 :    0.950
T154  MVC m,m (100c)         :     40.66     38.63 :    0.950
D611  EX R,i (bare, via XI)  :     29.91     28.43 :    0.951
T272  CLC m,m (30c,eq)       :     64.12     60.99 :    0.951
T107  LCR R,R                :      5.17      4.92 :    0.952
T108  LNR R,R                :      4.78      4.55 :    0.952
T240  SLL R,1                :      6.12      5.83 :    0.953
