s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-06-26_pra2.dat                        326   0.54%     2.1%
      02: 2018-06-26_pra1.dat                        326   0.92%     6.8%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T600  STCK m                 :   1750.67   1288.33 :    0.736
D292  CS R,R,m (ne)          :    109.89    111.42 :    1.014
D297  CDS R,R,m (ne)         :    144.30    148.85 :    1.032
D621  TS m (ones)            :     68.85     71.54 :    1.039
T521  CE R,m                 :    101.20    106.63 :    1.054
D174  MVCL (4kb)             :   4389.58   4631.58 :    1.055
D320  BALR R,R               :     35.03     36.97 :    1.055
D321  BALR R,R (far)         :    110.49    116.65 :    1.056
T157  MVC m,m (250c,over2)   :    379.75    400.94 :    1.056
T312  BCT R,l                :     25.03     26.44 :    1.056
T305  BR R (far)             :     60.10     63.51 :    1.057
D173  MVCL (1kb)             :   1245.78   1316.68 :    1.057
T155  MVC m,m (250c)         :    415.69    439.38 :    1.057
T221  SLDA R,1               :     52.98     56.01 :    1.057
D179  MVCL (1kb,over2)       :   1270.25   1343.30 :    1.058
T274  CLC m,m (100c,eq)      :    362.66    383.53 :    1.058
T276  CLC m,m (250c,eq)      :    751.82    795.33 :    1.058
T154  MVC m,m (100c)         :    246.53    261.13 :    1.059
T303  BNZ l (do br, far)     :     68.80     72.89 :    1.059
T108  LNR R,R                :     19.25     20.40 :    1.060
D611  EX R,i (bare, via XI)  :     67.05     71.08 :    1.060
T150  MVC m,m (5c)           :    144.80    153.52 :    1.060
T505  LNER R,R               :     25.85     27.41 :    1.060
T101  LA R,n                 :     14.22     15.08 :    1.060
D282  CLCL (4kb,100b)        :   5693.21   6037.87 :    1.061
T206  S R,m                  :     58.37     61.91 :    1.061
T431  CP m,m (30d)           :    832.90    883.52 :    1.061
T533  LTDR R,R               :     27.79     29.49 :    1.061
T151  MVC m,m (10c)          :    153.21    162.59 :    1.061
T515  ME R,m                 :    101.58    107.80 :    1.061
D170  MVCL (10b)             :    246.57    261.68 :    1.061
T272  CLC m,m (30c,eq)       :    181.10    192.20 :    1.061
T270  CLC m,m (10c,eq)       :    128.87    136.79 :    1.061
T539  STD R,m (unal)         :     87.44     92.82 :    1.062
D171  MVCL (100b)            :    336.89    357.66 :    1.062
