s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-03-31_sys2-1cpu.dat                   330   0.21%     7.5%
      02: 2018-06-26_pra2.dat                        326   0.54%     2.1%
      03: 2018-06-26_pra1.dat                        326   0.92%     6.8%

Tag   Comment                :     tpi01     tpi02     tpi03 :  t02/t01  t03/t01
T302  BNZ l (do br)          :      7.14     18.47     19.64 :    2.587    2.751
T312  BCT R,l                :      8.38     25.03     26.44 :    2.987    3.155
D610  EX R,i (bare, via TM)  :     21.73     66.88     71.40 :    3.078    3.286
D611  EX R,i (bare, via XI)  :     20.88     67.05     71.08 :    3.211    3.404
T304  BR R                   :      6.69     23.80     25.39 :    3.558    3.795
T311  BCTR R,R               :      7.07     25.52     27.12 :    3.610    3.836
T156  MVC m,m (250c,over1)   :    350.48   1265.45   1348.93 :    3.611    3.849
T273  CLC m,m (30c,ne)       :     29.97    109.37    116.47 :    3.649    3.886
T277  CLC m,m (250c,ne)      :     29.98    109.48    116.35 :    3.652    3.881
T275  CLC m,m (100c,ne)      :     29.98    109.53    116.45 :    3.653    3.884
T271  CLC m,m (10c,ne)       :     29.97    109.63    116.41 :    3.658    3.884
T270  CLC m,m (10c,eq)       :     34.13    128.87    136.79 :    3.776    4.008
T610  EX R,i (with TM)       :     30.52    115.74    123.63 :    3.792    4.051
D321  BALR R,R (far)         :     28.91    110.49    116.65 :    3.822    4.035
D621  TS m (ones)            :     18.01     68.85     71.54 :    3.823    3.972
T611  EX R,i (with XI)       :     30.61    122.32    130.25 :    3.996    4.255
T272  CLC m,m (30c,eq)       :     45.24    181.10    192.20 :    4.003    4.248
T500  LER R,R                :      5.48     23.16     24.76 :    4.226    4.518
T315  BXLE R,R,l             :      8.54     36.51     39.02 :    4.275    4.569
T274  CLC m,m (100c,eq)      :     83.56    362.66    383.53 :    4.340    4.590
T530  LDR R,R                :      5.68     25.75     27.46 :    4.533    4.835
T276  CLC m,m (250c,eq)      :    165.37    751.82    795.33 :    4.546    4.809
D620  TS m (zero)            :     14.56     66.56     71.30 :    4.571    4.897
